,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2011-07-13,508.0,508.0,508.0,508.0,61990700000,19997000,628,164.0,508.0
1,2011-07-16,533.0,533.0,511.0,533.0,24882185061,7652278,2469,508.0,533.0
2,2011-07-18,539.0,547.0,523.0,535.0,22880391716,7009102,2520,533.0,524.0
3,2011-07-19,521.0,532.0,516.0,525.0,6528187296,2038452,700,535.0,522.0
4,2011-07-20,515.0,521.0,510.0,516.0,3170383917,1007426,282,525.0,510.0
5,2011-07-23,508.0,533.0,508.0,518.0,6436454757,2035163,480,516.0,516.0
6,2011-07-24,515.0,521.0,503.0,510.0,2385879728,766713,234,518.0,506.0
7,2011-07-25,497.0,502.0,485.0,491.0,4607951288,1538626,279,510.0,486.0
8,2011-07-26,483.0,511.0,483.0,498.0,2503645228,823545,181,491.0,496.0
9,2011-07-27,511.0,511.0,493.0,500.0,1452172030,476305,86,498.0,493.0
10,2011-07-30,500.0,506.0,485.0,492.0,1008456880,336051,80,500.0,499.0
11,2011-07-31,480.0,480.0,470.0,476.0,514845540,177399,48,492.0,473.0
12,2011-08-01,475.0,490.0,460.0,470.0,1526774878,531941,95,476.0,470.0
13,2011-08-02,451.0,472.0,447.0,454.0,2105961253,760280,134,470.0,456.0
14,2011-08-03,460.0,467.0,445.0,461.0,1429877579,508470,121,454.0,465.0
15,2011-08-06,446.0,459.0,446.0,449.0,764009562,278640,83,461.0,449.0
16,2011-08-07,452.0,465.0,444.0,457.0,1191231780,426859,86,449.0,444.0
17,2011-08-08,457.0,457.0,442.0,445.0,1081472169,397883,76,457.0,444.0
18,2011-08-09,442.0,442.0,434.0,439.0,1447341736,540254,99,445.0,434.0
19,2011-08-10,434.0,461.0,428.0,452.0,2359543930,856066,137,439.0,461.0
20,2011-08-13,474.0,474.0,474.0,474.0,369881622,127854,37,452.0,474.0
21,2011-08-14,498.0,498.0,497.0,498.0,3747359874,1233902,133,474.0,498.0
22,2011-08-15,502.0,506.0,483.0,498.0,1264248600,415984,114,498.0,495.0
23,2011-08-16,478.0,499.0,478.0,490.0,3175283484,1061957,102,498.0,492.0
24,2011-08-17,494.0,514.0,492.0,510.0,8897671018,2857161,266,490.0,514.0
25,2011-08-20,516.0,536.0,513.0,530.0,10931094612,3379835,441,510.0,526.0
26,2011-08-21,525.0,556.0,521.0,551.0,7211999422,2145357,411,530.0,556.0
27,2011-08-23,572.0,578.0,572.0,576.0,1417379588,403068,55,551.0,578.0
28,2011-08-24,603.0,605.0,585.0,602.0,20144463550,5484930,564,576.0,590.0
29,2011-08-27,604.0,614.0,592.0,600.0,10818385787,2956672,469,602.0,598.0
