,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2005-01-15,12.0,12.0,12.0,12.0,2592000000,1440000,1810,12.0,12.0
1,2005-01-16,13.0,13.0,13.0,13.0,491626800,260120,257,12.0,13.0
2,2005-01-17,14.0,14.0,14.0,14.0,2976000000,1500000,1227,13.0,14.0
3,2005-01-26,14.0,14.0,14.0,14.0,560735268,269196,198,14.0,14.0
4,2005-01-30,15.0,15.0,14.0,15.0,5781634832,2673786,1834,14.0,15.0
5,2005-01-31,15.0,16.0,15.0,16.0,2629635600,1162420,335,15.0,16.0
6,2005-02-01,16.0,16.0,16.0,16.0,3166883606,1366584,371,16.0,16.0
7,2005-02-02,16.0,16.0,15.0,16.0,791954104,347088,227,16.0,16.0
8,2005-02-05,16.0,16.0,15.0,16.0,2522605232,1099893,238,16.0,16.0
9,2005-02-06,16.0,17.0,16.0,16.0,2685725061,1148484,272,16.0,16.0
10,2005-02-07,16.0,16.0,16.0,16.0,680700809,296570,99,16.0,16.0
11,2005-02-08,16.0,16.0,16.0,16.0,190512884,84067,59,16.0,16.0
12,2005-02-09,16.0,16.0,16.0,16.0,410973728,174206,78,16.0,16.0
13,2005-02-12,17.0,17.0,17.0,17.0,143419824,57924,34,16.0,17.0
14,2005-02-13,18.0,18.0,18.0,18.0,110483490,42510,15,17.0,18.0
15,2005-02-14,19.0,19.0,18.0,19.0,1198460594,441861,161,18.0,19.0
16,2005-02-15,19.0,19.0,18.0,18.0,474120249,178747,92,19.0,18.0
17,2005-02-16,17.0,18.0,17.0,18.0,59585940,23645,13,18.0,18.0
18,2005-02-21,17.0,17.0,17.0,17.0,254702992,103932,70,18.0,17.0
19,2005-02-22,16.0,17.0,16.0,16.0,316520283,134817,68,17.0,16.0
20,2005-02-23,16.0,16.0,16.0,16.0,290333176,123877,60,16.0,16.0
21,2005-02-26,17.0,17.0,16.0,17.0,75678140,30974,15,16.0,17.0
22,2005-02-27,18.0,18.0,17.0,18.0,622690352,245132,86,17.0,18.0
23,2005-02-28,18.0,18.0,18.0,18.0,793687653,302552,111,18.0,18.0
24,2005-03-01,19.0,19.0,18.0,18.0,374066135,141090,55,18.0,18.0
25,2005-03-02,18.0,18.0,18.0,18.0,437971665,167889,52,18.0,18.0
26,2005-03-05,18.0,18.0,18.0,18.0,88427949,33653,21,18.0,18.0
27,2005-03-06,18.0,18.0,18.0,18.0,293001865,111572,56,18.0,18.0
28,2005-03-07,18.0,19.0,18.0,19.0,18638422057,7076749,94,18.0,19.0
29,2005-03-08,20.0,20.0,20.0,20.0,405878994,144082,43,19.0,20.0
30,2005-03-09,20.0,20.0,19.0,20.0,994938147,344037,99,20.0,20.0
31,2005-03-12,20.0,20.0,19.0,20.0,889848952,310590,83,20.0,20.0
32,2005-03-13,21.0,21.0,20.0,21.0,1187105074,394747,115,20.0,21.0
33,2005-03-14,22.0,22.0,22.0,22.0,1058494745,335285,98,21.0,22.0
34,2005-03-15,23.0,23.0,22.0,23.0,1130265020,342141,127,22.0,23.0
35,2005-03-16,23.0,24.0,23.0,23.0,1011704517,303799,95,23.0,23.0
36,2005-03-26,23.0,23.0,23.0,23.0,89531130,26960,10,23.0,23.0
37,2005-03-27,24.0,24.0,24.0,24.0,87598959,25126,19,23.0,24.0
38,2005-03-28,24.0,24.0,23.0,23.0,790622131,236115,105,24.0,23.0
39,2005-03-29,22.0,23.0,22.0,22.0,431712722,135137,66,23.0,22.0
40,2005-03-30,22.0,23.0,21.0,22.0,437731987,137586,57,22.0,22.0
41,2005-04-03,22.0,23.0,21.0,22.0,347250340,110122,42,22.0,22.0
42,2005-04-04,22.0,22.0,21.0,21.0,215437689,69577,24,22.0,21.0
43,2005-04-05,21.0,22.0,20.0,21.0,569668382,186084,71,21.0,21.0
44,2005-04-06,21.0,22.0,21.0,21.0,1645898947,539196,127,21.0,21.0
45,2005-04-10,21.0,22.0,21.0,22.0,12041454818,3921412,20,21.0,22.0
46,2005-04-11,23.0,23.0,22.0,22.0,21728965,6615,7,22.0,22.0
47,2005-04-12,23.0,23.0,22.0,22.0,35661631,10771,10,22.0,22.0
48,2005-04-13,23.0,23.0,23.0,23.0,171658575,51165,11,22.0,23.0
49,2005-04-16,24.0,24.0,24.0,24.0,911370330,258765,79,23.0,24.0
50,2005-04-17,26.0,26.0,24.0,25.0,1438549555,399693,154,24.0,25.0
51,2005-04-18,24.0,24.0,24.0,24.0,1433846726,419198,104,25.0,24.0
52,2005-04-19,24.0,24.0,23.0,23.0,428635210,129674,57,24.0,23.0
53,2005-04-20,23.0,24.0,22.0,23.0,9740568793,3082608,60,23.0,23.0
54,2005-04-23,23.0,24.0,23.0,24.0,604646179,174401,58,23.0,24.0
55,2005-04-24,24.0,25.0,24.0,25.0,1110797328,312294,86,24.0,25.0
56,2005-04-25,25.0,26.0,25.0,25.0,1050254338,287037,81,25.0,25.0
57,2005-05-01,27.0,27.0,24.0,25.0,95364251,26966,19,25.0,25.0
58,2005-05-02,24.0,24.0,24.0,24.0,407571005,119713,44,25.0,24.0
59,2005-05-03,24.0,25.0,23.0,24.0,1584718204,465236,137,24.0,24.0
60,2005-05-04,25.0,25.0,24.0,24.0,1598695442,455883,63,24.0,24.0
61,2005-05-07,25.0,25.0,24.0,24.0,732266878,207422,87,24.0,24.0
62,2005-05-08,24.0,25.0,23.0,24.0,1858348691,539061,92,24.0,24.0
63,2005-05-09,24.0,25.0,24.0,25.0,2154602901,600885,120,24.0,25.0
64,2005-05-10,26.0,26.0,26.0,26.0,303100608,80016,37,25.0,26.0
65,2005-05-11,28.0,28.0,28.0,28.0,257987990,64870,34,26.0,28.0
66,2005-05-14,29.0,29.0,29.0,29.0,741008225,177487,65,28.0,29.0
67,2005-05-15,30.0,30.0,29.0,30.0,7762549494,1779214,570,29.0,30.0
68,2005-05-16,31.0,32.0,30.0,32.0,2025164634,443352,159,30.0,32.0
69,2005-05-17,33.0,33.0,33.0,33.0,2345883182,489157,206,32.0,33.0
70,2005-05-18,35.0,35.0,35.0,35.0,1165284368,231574,89,33.0,35.0
71,2005-05-23,33.0,37.0,33.0,35.0,2579034851,515234,229,35.0,35.0
72,2005-05-24,36.0,36.0,33.0,35.0,2681468869,524927,213,35.0,35.0
73,2005-05-25,34.0,34.0,34.0,34.0,1407708088,286645,140,35.0,34.0
74,2005-05-28,36.0,36.0,34.0,36.0,1560176134,303110,126,34.0,36.0
75,2005-05-29,37.0,37.0,35.0,36.0,1138475891,221894,94,36.0,36.0
76,2005-05-30,35.0,36.0,34.0,34.0,5215138790,1049463,319,36.0,34.0
77,2005-05-31,33.0,34.0,33.0,33.0,1739258165,368001,108,34.0,33.0
78,2005-06-01,31.0,31.0,31.0,31.0,1477780230,329127,83,33.0,31.0
79,2005-06-06,30.0,33.0,30.0,31.0,3982243447,902870,319,31.0,31.0
80,2005-06-07,30.0,32.0,30.0,31.0,1334767691,297060,108,31.0,31.0
81,2005-06-08,31.0,32.0,31.0,31.0,1272781946,282386,113,31.0,31.0
82,2005-06-11,31.0,31.0,30.0,30.0,684803049,155591,51,31.0,30.0
83,2005-06-12,31.0,32.0,31.0,32.0,955054955,208402,72,30.0,32.0
84,2005-06-13,33.0,33.0,32.0,33.0,1672455863,356074,143,32.0,33.0
85,2005-06-14,34.0,34.0,33.0,34.0,1565296516,317656,83,33.0,34.0
86,2005-06-15,36.0,36.0,34.0,35.0,4367318030,859711,277,34.0,35.0
87,2005-06-18,37.0,37.0,35.0,36.0,1401829847,269848,108,35.0,36.0
88,2005-06-19,35.0,35.0,34.0,34.0,1717516676,347759,96,36.0,34.0
