,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-01-21,10011.0,10011.0,10011.0,10011.0,87426490000,8742649,197,10011.0,10011.0
1,2019-01-23,10011.0,10011.0,10011.0,10011.0,46297230000,4629723,419,10011.0,10011.0
2,2019-01-26,10011.0,10011.0,10011.0,10011.0,2546090000,254609,44,10011.0,10011.0
3,2019-01-27,10011.0,10011.0,10011.0,10011.0,67896650000,6789665,223,10011.0,10011.0
4,2019-02-27,10056.0,10059.0,10055.0,10056.0,12558249280,1250173,95,10011.0,10056.0
5,2019-03-02,10075.0,10075.0,10071.0,10075.0,7000381952,695602,125,10056.0,10073.0
6,2019-03-03,10077.0,10081.0,10077.0,10081.0,3984454186,395688,36,10075.0,10081.0
7,2019-03-04,10082.0,10086.0,10082.0,10084.0,3149594904,312678,44,10081.0,10086.0
8,2019-03-05,10089.0,10092.0,10089.0,10089.0,139042178,13796,26,10084.0,10089.0
9,2019-03-06,10093.0,10097.0,10093.0,10097.0,17266415762,1711967,56,10089.0,10097.0
10,2019-03-09,10111.0,10114.0,10110.0,10111.0,1153031274,114162,23,10097.0,10110.0
11,2019-03-10,10115.0,10119.0,10115.0,10118.0,1418124970,140309,17,10111.0,10115.0
12,2019-03-11,10122.0,10125.0,10121.0,10121.0,16737481248,1655463,54,10118.0,10121.0
13,2019-03-12,10126.0,10130.0,10126.0,10130.0,4257657072,420768,20,10121.0,10130.0
14,2019-03-13,10133.0,10136.0,10132.0,10134.0,20004294444,1976180,66,10130.0,10132.0
15,2019-03-16,10148.0,10152.0,10148.0,10152.0,5166912407,509515,23,10134.0,10152.0
16,2019-03-18,10163.0,10163.0,10159.0,10162.0,15114816658,1489021,49,10152.0,10159.0
17,2019-03-19,10168.0,10169.0,10164.0,10168.0,114383637187,11261728,308,10162.0,10168.0
18,2019-03-25,10042.0,10042.0,10038.0,10042.0,19886923373,1982599,60,10168.0,10042.0
19,2019-03-26,10045.0,10048.0,10044.0,10047.0,61970915974,6174675,156,10042.0,10044.0
20,2019-03-27,10049.0,10053.0,10049.0,10053.0,54298606397,5407266,94,10047.0,10053.0
21,2019-03-30,10066.0,10070.0,10066.0,10069.0,20368614555,2025114,71,10053.0,10070.0
22,2019-03-31,10072.0,10075.0,10071.0,10075.0,16063031910,1596115,48,10069.0,10075.0
23,2019-04-06,10104.0,10108.0,10104.0,10108.0,40939765126,4054792,113,10075.0,10108.0
24,2019-04-07,10114.0,10115.0,10111.0,10114.0,62754539213,6211546,153,10108.0,10112.0
25,2019-04-08,10116.0,10119.0,10115.0,10118.0,44074735855,4360632,129,10114.0,10119.0
26,2019-04-09,10124.0,10125.0,10121.0,10124.0,15160011782,1499134,58,10118.0,10125.0
27,2019-04-10,10127.0,10131.0,10126.0,10129.0,76628568419,7573699,182,10124.0,10130.0
28,2019-04-13,10143.0,10147.0,10143.0,10147.0,77319620307,7628414,209,10129.0,10147.0
29,2019-04-14,10152.0,10152.0,10148.0,10151.0,10524742723,1037964,34,10147.0,10152.0
