,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2005-02-16,15179.0,15179.0,15179.0,15179.0,13117832,6734,1,15179.0,15179.0
1,2005-02-16,15179.0,15179.0,15179.0,15179.0,13117832,6734,1,15179.0,15179.0
2,2005-02-22,14727.0,14727.0,14727.0,14727.0,2173500,1150,1,15179.0,14727.0
3,2005-02-22,14288.0,14288.0,14288.0,14288.0,2173500,1150,1,14727.0,14288.0
4,2005-03-01,13442.0,13457.0,13442.0,13442.0,1796606,1010,4,14288.0,13442.0
5,2005-03-01,12645.0,12659.0,12645.0,12645.0,1796606,1010,4,13442.0,12645.0
6,2005-03-02,12517.0,12517.0,11386.0,11991.0,52546030,31160,13,12645.0,11991.0
7,2005-03-02,11869.0,11869.0,10797.0,11370.0,52546030,31160,13,11991.0,11370.0
8,2005-03-09,12139.0,12139.0,12139.0,12139.0,450000000,250000,14,11370.0,12139.0
9,2005-03-09,12960.0,12960.0,12960.0,12960.0,450000000,250000,14,12139.0,12960.0
10,2005-03-12,12989.0,12989.0,12989.0,12989.0,35080584,19446,1,12960.0,12989.0
11,2005-03-12,13018.0,13018.0,13018.0,13018.0,35080584,19446,1,12989.0,13018.0
12,2005-03-13,13285.0,13285.0,13285.0,13285.0,4609864,2504,1,13018.0,13285.0
13,2005-03-13,13557.0,13557.0,13557.0,13557.0,4609864,2504,1,13285.0,13557.0
14,2006-11-20,1841.0,1841.0,1841.0,1841.0,488078250,1952313,79,13557.0,1841.0
15,2006-11-20,250.0,250.0,250.0,250.0,488078250,1952313,79,1841.0,250.0
