,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2016-11-06,769.0,769.0,660.0,702.0,66682984,146105,19,1538.0,685.0
1,2016-11-07,668.0,692.0,668.0,669.0,509028886,1169372,132,702.0,668.0
2,2016-11-08,637.0,702.0,637.0,674.0,751580051,1715243,169,669.0,702.0
3,2016-11-09,692.0,706.0,646.0,692.0,438425114,974213,95,674.0,706.0
4,2016-11-12,726.0,726.0,726.0,726.0,131887656,279423,24,692.0,726.0
5,2016-11-13,762.0,762.0,697.0,737.0,651934559,1361286,135,726.0,723.0
6,2016-11-14,709.0,772.0,708.0,763.0,920515007,1856911,169,737.0,769.0
7,2016-11-15,734.0,746.0,726.0,729.0,271689117,573583,62,763.0,726.0
8,2016-11-16,700.0,742.0,700.0,722.0,386188805,822661,78,729.0,722.0
9,2016-11-19,708.0,746.0,700.0,734.0,22859110,47954,16,722.0,738.0
10,2016-11-21,708.0,740.0,698.0,731.0,246002310,518349,49,734.0,705.0
11,2016-11-22,702.0,737.0,702.0,725.0,101890319,216170,34,731.0,728.0
12,2016-11-23,689.0,705.0,689.0,695.0,102537225,226671,27,725.0,695.0
13,2016-11-26,663.0,729.0,663.0,723.0,308244368,655802,70,695.0,715.0
14,2016-11-27,689.0,714.0,688.0,688.0,436609177,976107,60,723.0,688.0
15,2016-11-29,677.0,677.0,655.0,665.0,83583383,193622,19,688.0,655.0
16,2016-12-03,638.0,638.0,632.0,634.0,36358252,88204,11,665.0,632.0
17,2016-12-04,609.0,665.0,603.0,643.0,131396110,314568,54,634.0,665.0
18,2016-12-05,662.0,674.0,662.0,674.0,83119480,189808,29,643.0,674.0
19,2016-12-06,648.0,702.0,642.0,655.0,81109903,190553,26,674.0,688.0
20,2016-12-07,628.0,683.0,626.0,652.0,79485412,187313,36,655.0,655.0
21,2016-12-10,629.0,666.0,620.0,631.0,517365088,1261086,90,652.0,623.0
22,2016-12-11,652.0,652.0,600.0,605.0,232704400,591677,69,631.0,600.0
23,2016-12-12,583.0,614.0,575.0,589.0,217064293,566993,44,605.0,608.0
24,2016-12-13,565.0,605.0,565.0,583.0,3260570,8601,3,589.0,605.0
25,2016-12-14,606.0,608.0,569.0,571.0,35406631,95417,13,583.0,569.0
26,2016-12-18,549.0,549.0,543.0,545.0,87852435,248475,31,571.0,543.0
27,2016-12-19,522.0,566.0,518.0,520.0,670887047,1987531,111,545.0,518.0
28,2016-12-20,497.0,537.0,495.0,495.0,377583470,1172297,84,520.0,495.0
29,2016-12-21,500.0,500.0,471.0,471.0,528162768,1724989,90,495.0,471.0
30,2016-12-24,449.0,454.0,448.0,448.0,571124436,1961255,200,471.0,454.0
31,2016-12-25,432.0,462.0,426.0,429.0,157776350,566019,95,448.0,426.0
32,2017-02-19,308.0,308.0,308.0,308.0,600000000,3000000,60,429.0,308.0
33,2017-02-20,292.0,292.0,292.0,292.0,95000000,500000,10,308.0,292.0
34,2017-02-21,278.0,278.0,278.0,278.0,54300000,300000,6,292.0,278.0
35,2017-02-22,265.0,265.0,265.0,265.0,34400000,200000,4,278.0,265.0
36,2017-02-25,252.0,252.0,252.0,252.0,24600000,150000,3,265.0,252.0
37,2017-02-26,240.0,240.0,240.0,240.0,24960000,160000,5,252.0,240.0
38,2017-02-27,229.0,229.0,229.0,229.0,14900000,100000,2,240.0,229.0
39,2017-03-01,218.0,218.0,218.0,218.0,376300000,2650000,53,229.0,218.0
40,2017-03-05,208.0,208.0,208.0,208.0,2025135000,15001000,501,218.0,208.0
41,2017-03-06,198.0,198.0,198.0,198.0,145125000,1125000,23,208.0,198.0
42,2017-03-07,189.0,189.0,189.0,189.0,246000000,2000000,40,198.0,189.0
43,2017-03-08,185.0,185.0,180.0,180.0,125328000,1069900,42,189.0,180.0
44,2017-03-11,175.0,177.0,174.0,175.0,6018395295,52763533,1214,180.0,177.0
45,2017-09-25,215.0,215.0,214.0,215.0,43390000,310000,21,175.0,214.0
46,2017-09-26,205.0,226.0,205.0,208.0,601256510,4453974,369,215.0,205.0
47,2017-09-27,203.0,205.0,198.0,202.0,72192999,553078,47,208.0,200.0
48,2017-10-02,192.0,192.0,192.0,192.0,126470375,1011763,78,202.0,192.0
49,2017-10-03,183.0,186.0,183.0,183.0,367600657,3085967,196,192.0,183.0
50,2017-10-04,183.0,183.0,175.0,175.0,151744207,1329459,80,183.0,175.0
51,2017-10-07,168.0,168.0,168.0,168.0,117820934,1080926,47,175.0,168.0
52,2017-10-08,160.0,160.0,160.0,160.0,83380544,801736,36,168.0,160.0
53,2017-10-09,152.0,152.0,152.0,152.0,28370331,286569,20,160.0,152.0
54,2017-10-10,157.0,157.0,146.0,148.0,33139379,346689,21,152.0,148.0
55,2017-10-11,154.0,154.0,145.0,151.0,21789400,222295,21,148.0,154.0
56,2017-10-14,152.0,157.0,152.0,157.0,68130560,669119,38,151.0,157.0
57,2017-10-15,165.0,165.0,165.0,165.0,8068228,75404,18,157.0,165.0
58,2017-10-16,172.0,172.0,172.0,172.0,53215008,475134,34,165.0,172.0
59,2017-10-17,180.0,180.0,180.0,180.0,43850196,374788,30,172.0,180.0
60,2017-10-18,188.0,188.0,178.0,188.0,165458838,1357876,80,180.0,188.0
61,2017-10-21,197.0,197.0,180.0,188.0,192224661,1576672,123,188.0,188.0
62,2017-10-22,188.0,188.0,182.0,186.0,9783471,81036,6,188.0,182.0
63,2017-10-23,185.0,195.0,177.0,178.0,123364267,1062425,69,186.0,177.0
64,2017-10-24,171.0,183.0,171.0,177.0,33052561,288259,29,178.0,182.0
65,2017-10-25,171.0,171.0,169.0,169.0,27441796,249175,16,177.0,169.0
66,2017-10-28,163.0,177.0,163.0,172.0,5182617,46404,8,169.0,175.0
67,2017-10-29,168.0,178.0,168.0,175.0,16248427,142305,22,172.0,175.0
68,2017-10-30,172.0,178.0,171.0,177.0,14585129,127247,9,175.0,178.0
69,2017-10-31,178.0,178.0,171.0,178.0,6711733,58103,7,177.0,178.0
70,2017-11-01,172.0,182.0,172.0,180.0,6213813,53332,7,178.0,180.0
71,2017-11-04,182.0,185.0,172.0,172.0,280233016,2492737,120,180.0,172.0
72,2017-11-05,166.0,172.0,165.0,166.0,79950710,739196,42,172.0,165.0
73,2017-11-06,160.0,174.0,160.0,168.0,74866103,687962,59,166.0,174.0
74,2017-11-07,160.0,162.0,160.0,162.0,5145497,49234,7,168.0,162.0
75,2017-11-08,160.0,169.0,158.0,165.0,118151088,1101161,84,162.0,169.0
76,2018-01-06,157.0,157.0,154.0,154.0,815959180,8141180,163,165.0,155.0
77,2019-02-06,280.0,280.0,280.0,280.0,22153586,121723,5,154.0,280.0
78,2019-02-10,294.0,294.0,278.0,294.0,967735554,5067530,297,280.0,294.0
79,2019-02-12,283.0,308.0,283.0,305.0,555778293,2806715,182,294.0,292.0
80,2019-02-13,291.0,294.0,291.0,291.0,222375558,1176203,125,305.0,291.0
81,2019-02-16,278.0,278.0,277.0,277.0,375869074,2086464,137,291.0,277.0
82,2019-02-17,263.0,265.0,263.0,263.0,106653258,623669,38,277.0,263.0
83,2019-02-18,252.0,252.0,251.0,251.0,151584417,929816,91,263.0,251.0
84,2019-02-19,238.0,245.0,238.0,238.0,249440866,1607715,79,251.0,238.0
85,2019-02-20,228.0,232.0,228.0,229.0,61654454,413624,57,238.0,228.0
86,2019-02-23,228.0,234.0,228.0,231.0,47300405,315321,35,229.0,234.0
87,2019-02-24,242.0,242.0,231.0,235.0,88680390,579195,36,231.0,231.0
88,2019-02-25,231.0,238.0,228.0,232.0,41973990,277621,41,235.0,231.0
89,2019-02-26,231.0,237.0,231.0,234.0,45652666,301076,21,232.0,237.0
90,2019-02-27,232.0,235.0,231.0,234.0,24670716,162794,19,234.0,234.0
91,2019-03-02,237.0,245.0,231.0,238.0,99592839,642544,42,234.0,245.0
92,2019-03-03,248.0,249.0,231.0,248.0,280137610,1738018,83,238.0,238.0
93,2019-03-04,251.0,258.0,235.0,248.0,316295181,1969069,117,248.0,252.0
94,2019-03-05,242.0,245.0,237.0,238.0,131743774,848100,59,248.0,238.0
95,2019-03-06,237.0,245.0,231.0,238.0,154366285,998843,61,238.0,245.0
96,2019-03-09,243.0,246.0,234.0,238.0,97130936,627506,17,238.0,246.0
97,2019-03-10,238.0,249.0,238.0,248.0,102653492,636195,50,238.0,249.0
98,2019-03-11,260.0,260.0,249.0,257.0,21479832,128357,17,248.0,252.0
99,2019-03-12,258.0,258.0,245.0,249.0,71676580,441389,22,257.0,248.0
100,2019-03-13,248.0,258.0,243.0,249.0,138610894,856646,52,249.0,245.0
101,2019-03-16,245.0,262.0,245.0,258.0,415882273,2482691,121,249.0,262.0
102,2019-03-17,271.0,271.0,271.0,271.0,149644528,850253,72,258.0,271.0
103,2019-03-18,283.0,283.0,283.0,283.0,38124616,207199,11,271.0,283.0
104,2019-03-19,297.0,297.0,297.0,297.0,170405876,882932,39,283.0,297.0
105,2019-03-25,311.0,311.0,308.0,311.0,81628800,404400,28,297.0,311.0
106,2019-03-26,326.0,326.0,323.0,326.0,57200156,269963,23,311.0,326.0
107,2019-03-27,342.0,342.0,326.0,342.0,861982484,3885813,196,326.0,342.0
108,2019-03-30,358.0,358.0,358.0,358.0,59958356,257332,13,342.0,358.0
109,2019-03-31,375.0,375.0,352.0,372.0,1283540398,5294208,234,358.0,375.0
110,2019-04-06,377.0,391.0,354.0,365.0,503372453,2126175,110,372.0,372.0
111,2019-04-07,369.0,382.0,349.0,374.0,590713744,2426191,94,365.0,382.0
112,2019-04-08,366.0,392.0,366.0,388.0,616748058,2449114,126,374.0,392.0
113,2019-04-09,403.0,406.0,394.0,405.0,543643158,2067473,114,388.0,395.0
114,2019-04-10,425.0,425.0,408.0,425.0,177753598,644365,47,405.0,425.0
115,2019-04-13,428.0,445.0,415.0,443.0,806300560,2801040,142,425.0,445.0
116,2019-04-14,465.0,465.0,465.0,465.0,487581416,1614508,80,443.0,465.0
117,2019-04-15,488.0,488.0,488.0,488.0,68355344,215632,18,465.0,488.0
118,2019-04-16,511.0,511.0,492.0,509.0,837888014,2528392,185,488.0,511.0
119,2019-04-17,534.0,534.0,485.0,518.0,532778601,1582153,145,509.0,502.0
120,2019-04-20,523.0,543.0,523.0,540.0,233187648,663694,41,518.0,543.0
121,2019-04-22,566.0,566.0,548.0,563.0,709753349,1938381,126,540.0,548.0
122,2019-04-23,586.0,588.0,552.0,580.0,191735271,508587,80,563.0,586.0
123,2019-04-24,608.0,608.0,552.0,569.0,480549192,1298689,78,580.0,592.0
124,2019-04-27,594.0,594.0,549.0,566.0,170501410,462781,37,569.0,568.0
125,2019-04-28,569.0,578.0,538.0,552.0,1031179738,2873235,243,566.0,562.0
126,2019-04-29,571.0,572.0,554.0,565.0,429830447,1169699,88,552.0,566.0
127,2019-04-30,552.0,588.0,552.0,580.0,118349450,314090,28,565.0,585.0
128,2019-05-01,608.0,608.0,552.0,580.0,1133770811,3008071,155,580.0,552.0
129,2019-05-04,585.0,594.0,560.0,571.0,1095768702,2954883,240,580.0,574.0
130,2019-05-05,572.0,597.0,543.0,566.0,1138896727,3097050,222,571.0,572.0
131,2019-05-06,580.0,594.0,538.0,562.0,1844682959,5054061,264,566.0,538.0
132,2019-07-08,1069.0,1102.0,1069.0,1088.0,1166700000,1650000,35,562.0,1102.0
133,2019-07-09,1142.0,1142.0,1088.0,1091.0,302918336,427208,14,1088.0,1088.0
134,2019-07-10,1091.0,1145.0,1091.0,1097.0,2595701275,3641499,107,1091.0,1145.0
135,2019-07-13,1151.0,1151.0,1043.0,1052.0,180225840,263330,23,1097.0,1043.0
136,2019-07-14,1092.0,1092.0,1000.0,1000.0,13113380426,20173667,484,1052.0,1000.0
137,2021-09-13,2509.0,2758.0,2509.0,2558.0,190897726,74623,54,1000.0,2690.0
138,2021-09-14,2600.0,2755.0,2400.0,2625.0,7995811441,3045819,873,2558.0,2572.0
139,2021-09-15,2477.0,2595.0,2440.0,2511.0,5221694061,2079544,576,2625.0,2510.0
140,2021-09-18,2400.0,2500.0,2303.0,2333.0,3503654171,1501638,274,2511.0,2369.0
141,2021-09-19,2310.0,2478.0,2112.0,2249.0,1508736976,670758,244,2333.0,2260.0
142,2021-09-20,2127.0,2371.0,2127.0,2221.0,1891998944,851945,269,2249.0,2188.0
143,2021-09-21,2132.0,2291.0,2031.0,2118.0,3872923625,1828284,304,2221.0,2171.0
144,2021-09-22,2244.0,2329.0,2081.0,2308.0,6107955008,2646742,348,2118.0,2329.0
145,2021-09-25,2490.0,2538.0,2340.0,2512.0,10306769543,4102615,452,2308.0,2538.0
146,2021-09-26,2538.0,2650.0,2416.0,2553.0,8865720689,3473108,380,2512.0,2540.0
147,2021-09-28,2625.0,2632.0,2311.0,2428.0,7038555356,2898371,314,2553.0,2389.0
148,2021-09-29,2300.0,2390.0,2300.0,2352.0,5491804282,2334598,219,2428.0,2350.0
149,2021-10-02,2322.0,2417.0,2254.0,2308.0,1866538834,808786,199,2352.0,2273.0
150,2021-10-03,2255.0,2416.0,2255.0,2340.0,7121008816,3043137,291,2308.0,2390.0
151,2021-10-04,2400.0,2479.0,2267.0,2323.0,3154435077,1357926,206,2340.0,2282.0
152,2021-10-06,2259.0,2484.0,2259.0,2406.0,4119988555,1712047,270,2323.0,2400.0
153,2021-10-09,2303.0,2500.0,2260.0,2330.0,4005805310,1719083,217,2406.0,2267.0
154,2021-10-10,2250.0,2333.0,2203.0,2273.0,1519812333,668523,104,2330.0,2328.0
155,2021-10-11,2211.0,2390.0,2201.0,2287.0,3929125980,1717704,221,2273.0,2208.0
156,2021-10-12,2211.0,2274.0,2100.0,2150.0,3017448741,1403511,119,2287.0,2158.0
157,2021-10-13,2106.0,2158.0,2101.0,2123.0,516724570,243442,59,2150.0,2114.0
158,2021-10-16,2279.0,2279.0,2112.0,2203.0,1545242023,701578,115,2123.0,2182.0
