,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-10-15,10194.0,10493.0,10194.0,10199.0,1445286018,141524,36,9987.0,10199.0
1,2019-10-16,10492.0,10492.0,10202.0,10213.0,1608508845,157303,22,10199.0,10202.0
2,2019-10-20,10209.0,10216.0,10208.0,10215.0,863149153,84393,10,10213.0,10215.0
3,2019-10-21,10216.0,10256.0,10216.0,10256.0,218968415,21324,23,10215.0,10255.0
4,2019-10-22,10255.0,10261.0,10237.0,10243.0,250755173,24450,11,10256.0,10261.0
5,2019-10-23,10262.0,10272.0,10247.0,10253.0,132011287,12859,10,10243.0,10272.0
6,2019-10-26,10287.0,10287.0,10269.0,10283.0,27593560,2680,5,10253.0,10269.0
7,2019-10-28,10297.0,10297.0,10296.0,10297.0,232334850,22535,9,10283.0,10297.0
8,2019-10-30,10307.0,10317.0,10307.0,10317.0,161776130,15661,9,10297.0,10317.0
9,2019-11-02,10337.0,10387.0,10337.0,10337.0,2083958600,201346,7,10317.0,10387.0
10,2019-11-03,10486.0,10486.0,10306.0,10321.0,665252350,64372,11,10337.0,10306.0
11,2019-11-04,10310.0,10310.0,10310.0,10310.0,8196462,794,3,10321.0,10310.0
12,2019-11-05,10329.0,10329.0,10328.0,10329.0,6546338,633,2,10310.0,10328.0
13,2019-11-09,10010.0,10010.0,9993.0,9997.0,1258030165,125676,27,10329.0,10010.0
14,2019-11-10,10013.0,10013.0,10002.0,10013.0,639719253,63808,21,9997.0,10013.0
15,2019-11-11,10017.0,10019.0,10007.0,10015.0,461879059,46061,24,10013.0,10019.0
16,2019-11-12,10009.0,10024.0,10009.0,10024.0,2436502795,242755,11,10015.0,10024.0
17,2019-11-13,10028.0,10028.0,10018.0,10028.0,331969816,33062,23,10024.0,10028.0
18,2019-11-16,10028.0,10044.0,10027.0,10028.0,643389446,64078,8,10028.0,10044.0
19,2019-11-17,10046.0,10046.0,10030.0,10039.0,8996426,895,4,10028.0,10039.0
20,2019-11-18,10037.0,10050.0,10037.0,10038.0,33207874,3304,8,10039.0,10037.0
21,2019-11-19,10037.0,10051.0,10037.0,10041.0,48158088,4790,5,10038.0,10051.0
22,2019-11-20,10057.0,10057.0,10054.0,10056.0,172323071,17115,15,10041.0,10054.0
23,2019-11-23,10069.0,10070.0,10057.0,10062.0,112808132,11197,21,10056.0,10057.0
24,2019-11-24,10073.0,10073.0,10063.0,10071.0,81581570,8090,14,10062.0,10072.0
25,2019-11-25,10062.0,10062.0,10061.0,10061.0,152325628,15120,7,10071.0,10062.0
26,2019-11-26,10067.0,10089.0,10066.0,10083.0,770836711,76350,26,10061.0,10071.0
27,2019-11-27,10094.0,10101.0,10077.0,10101.0,30653124046,3030780,79,10083.0,10101.0
28,2019-11-30,10115.0,10115.0,10096.0,10099.0,398582311,39415,29,10101.0,10112.0
29,2019-12-01,10125.0,10125.0,10111.0,10113.0,717940020,70900,11,10099.0,10117.0
30,2019-12-02,10139.0,10139.0,10123.0,10133.0,1418774292,139836,14,10113.0,10123.0
31,2019-12-03,10128.0,10134.0,10126.0,10131.0,651772650,64250,5,10133.0,10134.0
32,2019-12-04,10137.0,10156.0,10137.0,10138.0,146116674,14394,11,10131.0,10138.0
33,2019-12-07,10001.0,10016.0,9996.0,9999.0,525624142,52499,25,10138.0,9998.0
34,2019-12-08,10004.0,10029.0,10004.0,10011.0,2680876106,267449,38,9999.0,10011.0
35,2019-12-09,10035.0,10035.0,10020.0,10021.0,210275212,20957,13,10011.0,10020.0
36,2019-12-10,10022.0,10034.0,10021.0,10021.0,719008469,71655,17,10021.0,10032.0
37,2019-12-11,10023.0,10032.0,10023.0,10023.0,207678655,20693,9,10021.0,10024.0
38,2019-12-14,10041.0,10046.0,10041.0,10041.0,276402939,27491,13,10023.0,10046.0
39,2019-12-15,10057.0,10057.0,10052.0,10052.0,648346306,64413,21,10041.0,10054.0
40,2019-12-16,10058.0,10058.0,10051.0,10052.0,37179839,3694,9,10052.0,10051.0
41,2019-12-17,10103.0,10122.0,10103.0,10114.0,86160408,8508,10,10052.0,10103.0
42,2019-12-18,10116.0,10116.0,10116.0,10116.0,20268129000,2001000,31,10114.0,10116.0
43,2019-12-21,10140.0,10160.0,10140.0,10141.0,105232562,10364,5,10116.0,10159.0
44,2019-12-22,10172.0,10172.0,10156.0,10156.0,310808289,30564,7,10141.0,10157.0
45,2019-12-23,10169.0,10190.0,10169.0,10188.0,347208856,34036,12,10156.0,10190.0
46,2019-12-24,10170.0,10170.0,10168.0,10168.0,31562646,3100,2,10188.0,10168.0
47,2019-12-25,10170.0,10193.0,10170.0,10190.0,1075954081,105451,16,10168.0,10193.0
48,2019-12-28,10187.0,10202.0,10183.0,10189.0,75497160,7400,5,10190.0,10202.0
49,2019-12-29,10198.0,10217.0,10197.0,10208.0,32706100,3200,5,10189.0,10217.0
50,2019-12-30,10188.0,10188.0,10161.0,10177.0,139571597,13697,5,10208.0,10188.0
51,2019-12-31,10177.0,10178.0,10177.0,10177.0,20899790,2051,3,10177.0,10177.0
