,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2022-04-27,1657.0,1657.0,1657.0,1657.0,1997979220800,299996880,1580124,249.0,1657.0
1,2022-04-30,1739.0,1739.0,1739.0,1672.0,2659841790,380521,2143,1657.0,1739.0
2,2022-05-01,1754.0,1754.0,1754.0,1754.0,16017233400,2271948,3569,1672.0,1754.0
3,2022-05-02,1841.0,1841.0,1841.0,1841.0,16784080600,2268119,3865,1754.0,1841.0
4,2022-05-07,1933.0,1933.0,1933.0,1933.0,16022431530,2062089,8327,1841.0,1933.0
5,2022-05-08,2028.0,2028.0,2028.0,2028.0,59968189000,7358060,17817,1933.0,2028.0
6,2022-05-09,2128.0,2128.0,2128.0,2128.0,75675836250,8850975,20093,2028.0,2128.0
7,2022-05-10,2232.0,2232.0,2232.0,2232.0,95462310060,10642398,23925,2128.0,2232.0
8,2022-05-11,2342.0,2342.0,2342.0,2342.0,127552135960,13554956,44664,2232.0,2342.0
9,2022-05-14,2459.0,2459.0,2459.0,2459.0,173548878880,17565676,70111,2342.0,2459.0
10,2022-05-15,2580.0,2580.0,2580.0,2580.0,113552018500,10950050,48920,2459.0,2580.0
11,2022-05-16,2707.0,2707.0,2707.0,2707.0,159224785280,14634631,55698,2580.0,2707.0
12,2022-05-17,2842.0,2842.0,2842.0,2842.0,681849052240,59706572,199056,2707.0,2842.0
13,2022-05-18,2879.0,2984.0,2879.0,2954.0,2067545821010,174177988,370202,2842.0,2984.0
14,2022-05-21,3016.0,3101.0,2889.0,3053.0,484548615660,39487974,68664,2954.0,3101.0
15,2022-05-22,3200.0,3205.0,3138.0,3200.0,188372577020,14649764,14739,3053.0,3205.0
16,2022-05-23,3359.0,3359.0,3359.0,3359.0,99863739000,7397314,10139,3200.0,3359.0
17,2022-05-24,3526.0,3526.0,3526.0,3526.0,85886226270,6061131,6202,3359.0,3526.0
18,2022-05-25,3698.0,3700.0,3536.0,3685.0,1783454004750,120423196,65915,3526.0,3700.0
19,2022-05-28,3869.0,3869.0,3633.0,3857.0,939323529940,60586602,41129,3685.0,3869.0
