,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2015-03-15,9994.0,9994.0,9994.0,9994.0,100325200000,10032520,117,9994.0,9994.0
1,2015-03-16,9994.0,9994.0,9994.0,9994.0,156325000000,15632500,232,9994.0,9994.0
2,2015-03-17,9994.0,9994.0,9994.0,9994.0,110564000000,11056400,126,9994.0,9994.0
3,2015-05-17,10371.0,10371.0,10371.0,10371.0,10378000,1000,1,9994.0,10371.0
4,2015-05-18,10377.0,10377.0,10377.0,10377.0,540175680,52020,4,10371.0,10377.0
5,2015-05-19,10395.0,10397.0,10395.0,10397.0,66792680,6420,3,10377.0,10397.0
6,2015-05-20,10401.0,10401.0,10401.0,10401.0,111781920,10740,4,10397.0,10401.0
7,2015-05-23,10419.0,10419.0,10418.0,10418.0,10374545900,995160,22,10401.0,10418.0
8,2015-05-24,10423.0,10423.0,10423.0,10423.0,57469300,5510,2,10418.0,10423.0
9,2015-05-25,10430.0,10430.0,10430.0,10430.0,15588285720,1493560,155,10423.0,10430.0
10,2015-05-26,10435.0,10436.0,10435.0,10436.0,3780099580,361990,10,10430.0,10436.0
11,2015-05-27,10442.0,10442.0,10441.0,10442.0,3578153290,342440,14,10436.0,10441.0
12,2015-05-30,10459.0,10460.0,10459.0,10459.0,1639187650,156620,7,10442.0,10459.0
13,2015-05-31,10465.0,10466.0,10465.0,10466.0,8231427000,786000,11,10459.0,10465.0
14,2015-06-01,10472.0,10472.0,10471.0,10471.0,10027503000,957000,19,10466.0,10471.0
15,2015-06-02,10478.0,10478.0,10478.0,10478.0,11965796550,1141230,25,10471.0,10478.0
16,2015-06-06,10503.0,10503.0,10503.0,10503.0,5771356300,549130,8,10478.0,10503.0
17,2015-06-07,10508.0,10509.0,10508.0,10509.0,10763959060,1023580,27,10503.0,10509.0
18,2015-06-08,10515.0,10515.0,10514.0,10515.0,16859124500,1602330,37,10509.0,10515.0
19,2015-06-09,10520.0,10521.0,10519.0,10520.0,6548612960,622070,18,10515.0,10521.0
20,2015-06-10,10528.0,10528.0,10528.0,10528.0,6461852950,613370,16,10520.0,10528.0
21,2015-06-13,10546.0,10547.0,10546.0,10546.0,9968909560,944640,22,10528.0,10547.0
22,2015-06-14,10553.0,10553.0,10552.0,10552.0,7148163200,676970,20,10546.0,10552.0
23,2015-06-15,10559.0,10560.0,10559.0,10559.0,16563891910,1567620,29,10552.0,10560.0
24,2015-06-16,10565.0,10566.0,10564.0,10565.0,19410430050,1836020,28,10559.0,10564.0
25,2015-06-17,10571.0,10572.0,10571.0,10571.0,1239117390,117140,8,10565.0,10571.0
26,2015-06-20,10589.0,10590.0,10589.0,10589.0,55986429910,5283730,72,10571.0,10589.0
27,2015-06-21,10596.0,10596.0,10595.0,10595.0,11943160260,1126500,20,10589.0,10595.0
28,2015-06-22,10601.0,10601.0,10600.0,10601.0,5693301700,536700,24,10595.0,10601.0
29,2015-06-23,10607.0,10608.0,10606.0,10606.0,5939866710,559670,18,10601.0,10608.0
30,2015-06-24,10614.0,10614.0,10614.0,10614.0,191178000,18000,1,10606.0,10614.0
31,2015-06-27,10633.0,10633.0,10632.0,10632.0,5744352790,539930,24,10614.0,10632.0
32,2015-06-28,10639.0,10640.0,10639.0,10639.0,80714790100,7581700,165,10632.0,10639.0
33,2015-06-29,10645.0,10646.0,10645.0,10645.0,8935325870,838840,25,10639.0,10646.0
34,2015-06-30,10651.0,10651.0,10651.0,10651.0,170421420,15990,6,10645.0,10651.0
35,2015-07-01,10657.0,10657.0,10656.0,10657.0,22795519880,2137660,47,10651.0,10657.0
36,2015-07-04,10677.0,10677.0,10675.0,10675.0,17024857550,1593760,32,10657.0,10675.0
37,2015-07-05,10681.0,10682.0,10681.0,10681.0,8214103500,768500,10,10675.0,10682.0
38,2015-07-06,10688.0,10689.0,10688.0,10688.0,12343423200,1154130,28,10681.0,10689.0
39,2015-07-07,10695.0,10703.0,10695.0,10696.0,3580931170,334560,15,10688.0,10703.0
40,2015-07-11,10721.0,10721.0,10721.0,10721.0,2602612800,242600,13,10696.0,10721.0
41,2015-07-12,10727.0,10728.0,10727.0,10727.0,76119230860,7091400,133,10721.0,10727.0
42,2015-07-13,10734.0,10735.0,10734.0,10735.0,3824633510,356050,14,10727.0,10734.0
43,2015-07-14,10740.0,10741.0,10740.0,10741.0,2303926980,214360,9,10735.0,10740.0
44,2015-07-15,10747.0,10753.0,10746.0,10747.0,10795845280,1003880,26,10741.0,10747.0
45,2015-07-20,10754.0,10780.0,10754.0,10779.0,15635337580,1449660,83,10747.0,10779.0
46,2015-07-21,10785.0,10786.0,10784.0,10785.0,39720046870,3680510,53,10779.0,10786.0
47,2015-07-22,10791.0,10799.0,10791.0,10792.0,9239168370,855580,19,10785.0,10792.0
48,2015-07-25,10810.0,10811.0,10810.0,10811.0,8724855940,806520,23,10792.0,10811.0
49,2015-07-26,10816.0,10817.0,10816.0,10816.0,57899192170,5349630,107,10811.0,10817.0
50,2015-07-27,10823.0,10824.0,10823.0,10823.0,3212441600,296620,16,10816.0,10824.0
51,2015-07-28,10829.0,10830.0,10829.0,10830.0,2881581310,265910,14,10823.0,10829.0
52,2015-07-29,10835.0,10836.0,10835.0,10835.0,1532888960,141380,11,10830.0,10835.0
53,2015-08-01,10855.0,10855.0,10854.0,10854.0,18940738150,1743850,42,10835.0,10855.0
54,2015-08-02,10861.0,10861.0,10861.0,10861.0,9068802600,834450,26,10854.0,10861.0
55,2015-08-03,10868.0,10869.0,10868.0,10869.0,10515923610,966930,20,10861.0,10869.0
56,2015-08-04,10876.0,10877.0,10875.0,10876.0,19978023990,1835680,43,10869.0,10876.0
57,2015-08-05,10883.0,10883.0,10883.0,10883.0,1464813900,134510,5,10876.0,10883.0
58,2015-08-08,10904.0,10905.0,10903.0,10904.0,73729618180,6757380,93,10883.0,10905.0
59,2015-08-09,10910.0,10911.0,10910.0,10910.0,4748404250,434950,15,10904.0,10911.0
60,2015-08-10,10917.0,10918.0,10917.0,10917.0,6483419000,593500,13,10910.0,10918.0
61,2015-08-12,10931.0,10931.0,10931.0,10931.0,808646340,73930,5,10917.0,10931.0
62,2015-08-15,10963.0,10963.0,10952.0,10953.0,58629176630,5349400,70,10931.0,10953.0
63,2015-08-16,10959.0,10960.0,10959.0,10959.0,13515257480,1232460,38,10953.0,10960.0
64,2015-08-17,10966.0,10967.0,10966.0,10966.0,1936769400,176500,10,10959.0,10966.0
65,2015-08-18,10973.0,10974.0,10973.0,10973.0,4076931000,371300,22,10966.0,10973.0
66,2015-08-19,10981.0,10982.0,10980.0,10981.0,1984187730,180580,14,10973.0,10980.0
67,2015-08-22,11002.0,11003.0,11002.0,11002.0,37126667350,3372390,89,10981.0,11003.0
68,2015-08-23,11008.0,11009.0,11008.0,11008.0,3419505740,310440,12,11002.0,11008.0
69,2015-08-24,11015.0,11016.0,11015.0,11016.0,792856940,71930,7,11008.0,11015.0
70,2015-08-25,11023.0,11023.0,11022.0,11023.0,5107099880,463020,17,11016.0,11022.0
71,2015-08-26,11029.0,11030.0,11029.0,11029.0,1358127850,123060,10,11023.0,11030.0
72,2015-08-29,11036.0,11036.0,11036.0,11036.0,317154960,28720,4,11029.0,11036.0
73,2015-08-30,11057.0,11058.0,11057.0,11057.0,3976782220,359430,22,11036.0,11058.0
74,2015-08-31,11064.0,11065.0,11064.0,11064.0,1623119410,146610,12,11057.0,11064.0
75,2015-09-01,11072.0,11072.0,11071.0,11072.0,566787980,51160,5,11064.0,11071.0
76,2015-09-02,11078.0,11079.0,11078.0,11078.0,67299281900,6071200,66,11072.0,11078.0
77,2015-09-05,11098.0,11099.0,11098.0,11098.0,2740056700,246740,13,11078.0,11098.0
78,2015-09-06,11106.0,11106.0,11105.0,11105.0,53349114050,4801030,103,11098.0,11105.0
79,2015-09-07,11112.0,11113.0,11112.0,11113.0,3960676220,356180,17,11105.0,11113.0
80,2015-09-08,11119.0,11120.0,11119.0,11119.0,328110720,29490,12,11113.0,11120.0
81,2015-09-09,11126.0,11127.0,11126.0,11126.0,23681474660,2127140,28,11119.0,11127.0
82,2015-09-12,11147.0,11148.0,11147.0,11147.0,2702735230,242310,27,11126.0,11147.0
83,2015-09-13,11154.0,11155.0,11154.0,11154.0,960873650,86090,14,11147.0,11154.0
84,2015-09-14,11161.0,11162.0,11161.0,11161.0,6323462390,566200,19,11154.0,11162.0
85,2015-09-15,11169.0,11171.0,11168.0,11169.0,6529692440,584250,17,11161.0,11170.0
86,2015-09-16,11176.0,11177.0,11176.0,11176.0,9645343740,862500,31,11169.0,11176.0
87,2015-09-19,11197.0,11198.0,11197.0,11197.0,36426798930,3251230,83,11176.0,11197.0
88,2015-09-20,11198.0,11199.0,11198.0,11198.0,5806147810,518160,15,11197.0,11199.0
89,2015-09-21,11205.0,11206.0,11204.0,11205.0,20231909020,1804510,35,11198.0,11205.0
