,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2009-10-07,12.0,12.0,11.0,11.0,157042813200,24954800,519,2.0,11.0
1,2009-10-10,11.0,11.0,11.0,11.0,52172050000,8050000,938,11.0,11.0
2,2009-10-11,12.0,12.0,12.0,12.0,86930273850,13023262,1534,11.0,12.0
3,2009-10-12,12.0,12.0,12.0,12.0,90733046250,13197534,2677,12.0,12.0
4,2009-10-13,12.0,12.0,12.0,12.0,94590922453,13358413,2766,12.0,12.0
5,2009-10-17,13.0,13.0,13.0,13.0,50448707595,6917415,1596,12.0,13.0
6,2009-10-18,13.0,13.0,13.0,13.0,4388662278,584298,214,13.0,13.0
7,2009-10-19,13.0,13.0,13.0,13.0,1395442888,180383,75,13.0,13.0
8,2009-10-20,14.0,14.0,14.0,14.0,1386760577,174721,89,13.0,14.0
9,2009-10-21,14.0,14.0,14.0,14.0,2215583045,272285,124,14.0,14.0
10,2009-10-24,14.0,14.0,14.0,14.0,11487333840,1370640,530,14.0,14.0
11,2009-10-25,15.0,15.0,15.0,15.0,28632076408,3316969,930,14.0,15.0
12,2009-10-26,15.0,15.0,15.0,15.0,220333226275,24787091,8229,15.0,15.0
13,2009-10-27,16.0,16.0,15.0,16.0,42925675759,4696609,1883,15.0,16.0
14,2009-10-28,16.0,16.0,15.0,16.0,90138226709,9859803,3782,16.0,16.0
15,2009-10-31,16.0,16.0,16.0,16.0,42915183645,4719922,1750,16.0,16.0
16,2009-11-01,16.0,16.0,16.0,16.0,32485710014,3482570,1082,16.0,16.0
17,2009-11-02,17.0,17.0,16.0,16.0,75851254117,8015003,2263,16.0,16.0
18,2009-11-03,16.0,16.0,16.0,16.0,3891664370,423392,128,16.0,16.0
19,2009-11-04,16.0,16.0,15.0,15.0,50763797340,5667787,1210,16.0,15.0
20,2009-11-07,16.0,16.0,15.0,15.0,18920679878,2112391,590,15.0,15.0
21,2009-11-08,15.0,15.0,15.0,15.0,41837298110,4824366,927,15.0,15.0
22,2009-11-09,15.0,15.0,15.0,15.0,12230108251,1395249,404,15.0,15.0
23,2009-11-10,15.0,15.0,15.0,15.0,22660537415,2668401,545,15.0,15.0
