,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-08-05,2513.0,2513.0,2513.0,2513.0,8736000000000,840000000,5410754,242.0,2513.0
1,2020-08-09,2639.0,2639.0,2639.0,2639.0,151640427120,13886486,2506,2513.0,2639.0
2,2020-08-12,2770.0,2770.0,2770.0,2702.0,26254126560,2290936,3136,2639.0,2770.0
3,2020-08-15,2835.0,2835.0,2835.0,2719.0,6298646370,536969,3687,2702.0,2835.0
4,2020-08-16,2854.0,2854.0,2854.0,2733.0,5511526230,466683,3201,2719.0,2854.0
5,2020-08-17,2869.0,2869.0,2869.0,2784.0,19460817520,1639496,11363,2733.0,2869.0
6,2020-08-18,2922.0,2922.0,2922.0,2837.0,20593441050,1703345,11082,2784.0,2922.0
7,2020-08-19,2977.0,2977.0,2977.0,2881.0,17521750400,1422220,9896,2837.0,2977.0
8,2020-08-22,3023.0,3023.0,3023.0,2963.0,30562055100,2443010,13618,2881.0,3023.0
9,2020-08-23,3110.0,3110.0,3110.0,3110.0,160849131300,12497990,19460,2963.0,3110.0
10,2020-08-24,3265.0,3265.0,3265.0,3226.0,42094674160,3115816,19947,3110.0,3265.0
11,2020-08-25,3386.0,3386.0,3386.0,3313.0,32382545880,2311388,15251,3226.0,3386.0
12,2020-08-26,3478.0,3478.0,3478.0,3374.0,22593321690,1570071,11076,3313.0,3478.0
13,2020-08-31,3541.0,3541.0,3541.0,3541.0,64762141600,4420624,22249,3374.0,3541.0
14,2020-09-01,3717.0,3717.0,3717.0,3717.0,81960512160,5329032,26132,3541.0,3717.0
15,2020-09-02,3901.0,3901.0,3901.0,3901.0,105570190560,6540904,27443,3717.0,3901.0
16,2020-09-05,4094.0,4094.0,4094.0,4094.0,70846010620,4182173,10909,3901.0,4094.0
17,2020-09-07,3891.0,4297.0,3891.0,3891.0,306634167980,19043602,13810,4094.0,3891.0
18,2020-09-08,3698.0,3698.0,3698.0,3732.0,38990933100,2548427,2558,3891.0,3698.0
19,2020-09-09,3545.0,3915.0,3545.0,3688.0,3515658333170,230371004,336598,3732.0,3867.0
20,2020-09-12,3872.0,3872.0,3698.0,3860.0,1546753044990,96847244,101484,3688.0,3872.0
21,2020-09-13,3843.0,3843.0,3669.0,3705.0,189729598130,12375671,13841,3860.0,3669.0
22,2020-09-14,3521.0,3864.0,3521.0,3674.0,1203854842020,79206244,118977,3705.0,3736.0
23,2020-09-15,3765.0,3857.0,3661.0,3833.0,317609679620,20021512,47527,3674.0,3857.0
24,2020-09-16,4000.0,4012.0,3642.0,3785.0,1061286118430,67767859,120094,3833.0,3657.0
25,2020-09-19,3596.0,3698.0,3596.0,3613.0,632519421070,42309184,121624,3785.0,3596.0
26,2020-09-20,3434.0,3434.0,3434.0,3475.0,35112995260,2471006,4596,3613.0,3434.0
27,2020-09-21,3304.0,3304.0,3304.0,3410.0,16678862690,1220107,996,3475.0,3304.0
28,2020-09-22,3241.0,3241.0,3241.0,3272.0,34746637590,2591099,1425,3410.0,3241.0
29,2020-09-23,3263.0,3434.0,3147.0,3374.0,993605853020,71164902,119561,3272.0,3434.0
30,2020-09-26,3383.0,3541.0,3251.0,3425.0,462212587520,32612737,74669,3374.0,3521.0
31,2020-09-27,3383.0,3383.0,3255.0,3280.0,82700892330,6092609,7223,3425.0,3255.0
32,2020-09-28,3118.0,3118.0,3118.0,3236.0,12580092900,975201,622,3280.0,3118.0
33,2020-09-29,3077.0,3335.0,3077.0,3103.0,494910047480,38559365,73763,3236.0,3156.0
34,2020-09-30,3081.0,3195.0,2948.0,3055.0,341225020890,26990342,57912,3103.0,3113.0
35,2020-10-03,3207.0,3207.0,3168.0,3207.0,289592024930,21829597,34564,3055.0,3207.0
36,2020-10-04,3207.0,3265.0,3048.0,3077.0,488930345890,38400229,49594,3207.0,3069.0
37,2020-10-05,2970.0,3229.0,2948.0,3137.0,443708556920,34188329,65003,3077.0,3229.0
38,2020-10-06,3238.0,3292.0,3142.0,3282.0,228530093210,16829536,27563,3137.0,3292.0
39,2020-10-07,3383.0,3444.0,3193.0,3359.0,464625320080,33426768,49253,3282.0,3340.0
40,2020-10-10,3214.0,3335.0,3193.0,3234.0,498410381100,37238044,56308,3359.0,3243.0
41,2020-10-12,3197.0,3197.0,3038.0,3089.0,189710600140,14841300,20091,3234.0,3166.0
42,2020-10-13,3137.0,3241.0,3069.0,3202.0,520073331110,39254026,67741,3089.0,3238.0
43,2020-10-14,3209.0,3301.0,3045.0,3110.0,305602025510,23748551,43379,3202.0,3072.0
44,2020-10-18,3021.0,3142.0,2956.0,2970.0,250737900430,20396490,28822,3110.0,2956.0
45,2020-10-19,2852.0,2946.0,2823.0,2832.0,104190364230,8890235,10979,2970.0,2823.0
46,2020-10-20,2692.0,2973.0,2692.0,2895.0,586724949120,48977573,47563,2832.0,2973.0
