,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2018-08-04,10006.0,10006.0,10006.0,10006.0,40673240000,4067324,508,10006.0,10006.0
1,2018-08-05,10006.0,10006.0,10006.0,10006.0,10698420000,1069842,119,10006.0,10006.0
2,2018-08-06,10006.0,10006.0,10006.0,10006.0,1009270000,100927,107,10006.0,10006.0
3,2018-08-07,10006.0,10006.0,10006.0,10006.0,10020000000,1002000,111,10006.0,10006.0
4,2018-08-08,10006.0,10006.0,10006.0,10006.0,40584450000,4058445,161,10006.0,10006.0
5,2018-10-15,10394.0,10400.0,10394.0,10399.0,35163703363,3383391,90,10006.0,10399.0
6,2018-10-16,10406.0,10406.0,10401.0,10406.0,26252770345,2524305,69,10399.0,10406.0
7,2018-10-17,10414.0,10414.0,10406.0,10409.0,43401541309,4172217,106,10406.0,10413.0
8,2018-10-20,10426.0,10426.0,10422.0,10426.0,1386664350,133090,16,10409.0,10426.0
9,2018-10-21,10432.0,10432.0,10429.0,10432.0,11208084375,1075137,19,10426.0,10432.0
10,2018-10-22,10438.0,10438.0,10435.0,10438.0,10776409920,1033120,28,10432.0,10438.0
11,2018-10-23,10445.0,10445.0,10440.0,10442.0,38865780340,3724560,80,10438.0,10442.0
12,2018-10-24,10446.0,10451.0,10446.0,10449.0,41571196750,3981310,81,10442.0,10451.0
13,2018-10-27,10470.0,10470.0,10464.0,10470.0,2623931953,250782,15,10449.0,10468.0
14,2018-10-28,10470.0,10477.0,10470.0,10475.0,49429150,4722,9,10470.0,10477.0
15,2018-10-29,10482.0,10482.0,10476.0,10482.0,1728403220,165004,8,10475.0,10482.0
16,2018-10-31,10487.0,10490.0,10487.0,10489.0,1869307100,178340,8,10482.0,10490.0
17,2018-11-03,10513.0,10513.0,10510.0,10512.0,850742832,80982,14,10489.0,10513.0
18,2018-11-04,10518.0,10518.0,10515.0,10518.0,1403491483,133526,10,10512.0,10518.0
19,2018-11-05,10521.0,10524.0,10521.0,10524.0,170194571,16183,7,10518.0,10521.0
20,2018-11-06,10528.0,10532.0,10528.0,10530.0,3137090938,298126,22,10524.0,10528.0
21,2018-11-10,10557.0,10557.0,10553.0,10553.0,757456704,71824,10,10530.0,10553.0
22,2018-11-11,10560.0,10564.0,10560.0,10564.0,546411519,51759,6,10553.0,10564.0
23,2018-11-12,10667.0,10668.0,10570.0,10572.0,293719555,27800,8,10564.0,10570.0
24,2018-11-13,10578.0,10578.0,10573.0,10577.0,590985315,55910,5,10572.0,10573.0
25,2018-11-14,10584.0,10584.0,10584.0,10584.0,264425000,25000,1,10577.0,10584.0
26,2018-11-17,10599.0,10604.0,10599.0,10603.0,395133180,37290,6,10584.0,10604.0
27,2018-11-18,10605.0,10609.0,10605.0,10609.0,2297713594,216731,13,10603.0,10609.0
28,2018-11-19,10614.0,10615.0,10611.0,10615.0,8025251078,756530,33,10609.0,10611.0
29,2018-11-20,10622.0,10622.0,10616.0,10617.0,8127000490,765970,19,10615.0,10616.0
30,2018-11-21,10623.0,10627.0,10623.0,10625.0,10869604354,1023700,15,10617.0,10627.0
31,2018-11-24,10642.0,10645.0,10642.0,10645.0,1439437308,135311,17,10625.0,10642.0
32,2018-11-26,10655.0,10661.0,10655.0,10661.0,1434353330,134631,10,10645.0,10661.0
33,2018-11-27,10668.0,10668.0,10663.0,10668.0,9506509399,891709,25,10661.0,10668.0
34,2018-11-28,10675.0,10675.0,10669.0,10673.0,3815922756,357762,46,10668.0,10675.0
35,2018-12-01,10691.0,10695.0,10689.0,10691.0,11736358812,1098498,32,10673.0,10691.0
36,2018-12-02,10698.0,10701.0,10698.0,10698.0,16716387821,1563589,41,10691.0,10698.0
37,2018-12-03,10707.0,10707.0,10707.0,10707.0,803473700,75091,5,10698.0,10707.0
38,2018-12-04,10708.0,10714.0,10708.0,10710.0,8509129790,795010,15,10707.0,10711.0
39,2018-12-05,10717.0,10719.0,10717.0,10719.0,6960033660,649760,17,10710.0,10717.0
40,2018-12-08,10735.0,10741.0,10735.0,10739.0,1189352735,110828,12,10719.0,10741.0
41,2018-12-09,10742.0,10747.0,10742.0,10743.0,12790972865,1191429,38,10739.0,10742.0
42,2018-12-10,10754.0,10754.0,10748.0,10751.0,6738328839,627159,21,10743.0,10754.0
43,2018-12-12,10767.0,10769.0,10767.0,10768.0,55108363110,5121110,125,10751.0,10769.0
44,2018-12-15,10789.0,10790.0,10782.0,10789.0,53051946389,4920423,64,10768.0,10790.0
45,2018-12-16,10796.0,10796.0,10789.0,10794.0,34067450206,3158082,74,10789.0,10796.0
46,2018-12-17,10801.0,10802.0,10796.0,10801.0,20112425734,1863236,40,10794.0,10801.0
47,2018-12-18,10802.0,10815.0,10802.0,10808.0,16246473910,1504211,45,10801.0,10815.0
48,2018-12-19,10810.0,10821.0,10809.0,10816.0,12054086248,1115187,24,10808.0,10821.0
49,2018-12-22,10831.0,10835.0,10831.0,10835.0,969493168,89536,17,10816.0,10835.0
50,2018-12-23,10837.0,10847.0,10837.0,10846.0,1320295370,121814,11,10835.0,10847.0
