,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,3605.0,3605.0,3605.0,3605.0,24926050,1650,5,3605.0,3605.0
1,2001-03-27,3603.0,3605.0,3603.0,3605.0,24170500,1600,3,3605.0,3605.0
2,2001-03-28,3605.0,3605.0,3605.0,3605.0,20590841,1363,3,3605.0,3605.0
3,2001-03-31,3606.0,3608.0,3606.0,3608.0,7558600,500,2,3605.0,3608.0
4,2001-04-03,3608.0,3608.0,3608.0,3608.0,3024200,200,1,3608.0,3608.0
5,2001-04-08,3605.0,3608.0,3605.0,3608.0,10582100,700,2,3608.0,3608.0
6,2001-04-09,3651.0,3675.0,3632.0,3675.0,74733375,4875,14,3608.0,3675.0
7,2001-04-10,3699.0,3818.0,3699.0,3818.0,126264266,7962,12,3675.0,3818.0
8,2001-04-11,3820.0,3845.0,3820.0,3845.0,33728500,2100,7,3818.0,3845.0
9,2001-04-14,3866.0,3894.0,3866.0,3894.0,41138019,2536,6,3845.0,3894.0
10,2001-04-15,3915.0,4089.0,3914.0,4089.0,70103285,4237,16,3894.0,4089.0
11,2001-04-16,4191.0,4191.0,4191.0,4191.0,43910000,2500,5,4089.0,4191.0
12,2001-04-18,4296.0,4296.0,4296.0,4296.0,20037339,1113,2,4191.0,4296.0
13,2001-04-21,4339.0,4339.0,4339.0,4339.0,18383013,1011,5,4296.0,4339.0
14,2001-04-22,4382.0,4382.0,4382.0,4382.0,125921948,6857,11,4339.0,4382.0
15,2001-04-23,4426.0,4426.0,4426.0,4426.0,115733280,6240,11,4382.0,4426.0
16,2001-04-24,4470.0,4470.0,4470.0,4470.0,239113980,12765,22,4426.0,4470.0
17,2001-04-25,4425.0,4425.0,4425.0,4425.0,35365315,1907,7,4470.0,4425.0
18,2001-04-28,4424.0,4428.0,4424.0,4428.0,151650815,8177,14,4425.0,4428.0
19,2001-04-29,4431.0,4472.0,4428.0,4428.0,1266330572,68006,62,4428.0,4428.0
20,2001-04-30,4472.0,4472.0,4472.0,4472.0,696640452,37172,45,4428.0,4472.0
21,2001-07-04,3167.0,3167.0,2747.0,3167.0,281219500,22100,40,4472.0,3167.0
22,2001-07-07,3198.0,3198.0,3135.0,3135.0,478057200,35882,68,3167.0,3135.0
23,2001-07-08,3104.0,3139.0,3104.0,3104.0,207508012,15834,40,3135.0,3104.0
24,2001-07-09,3073.0,3073.0,3073.0,3073.0,13134540,1020,2,3104.0,3073.0
25,2001-07-10,3042.0,3042.0,3042.0,3042.0,33682858,2642,4,3073.0,3042.0
26,2001-07-11,2966.0,2966.0,2966.0,2966.0,13400618,1078,3,3042.0,2966.0
27,2001-07-14,2892.0,2966.0,2892.0,2966.0,421007294,34426,48,2966.0,2966.0
28,2001-07-15,2965.0,2965.0,2910.0,2910.0,90025760,7330,27,2966.0,2910.0
29,2001-07-16,2909.0,2910.0,2887.0,2887.0,40637178,3339,12,2910.0,2887.0
30,2001-07-17,2887.0,2887.0,2864.0,2864.0,229930780,19100,40,2887.0,2864.0
31,2001-07-18,2865.0,2935.0,2864.0,2935.0,58256217,4826,23,2864.0,2935.0
32,2001-07-22,3008.0,3008.0,3008.0,3008.0,18960928,1504,5,2935.0,3008.0
33,2001-07-29,3341.0,3341.0,3160.0,3337.0,439868805,31463,78,3008.0,3337.0
34,2001-07-30,3337.0,3460.0,3337.0,3341.0,713694451,50619,124,3337.0,3341.0
35,2001-07-31,3341.0,3341.0,3198.0,3198.0,292564052,21495,41,3341.0,3198.0
36,2001-08-01,3198.0,3198.0,3162.0,3197.0,300105354,22473,43,3198.0,3197.0
37,2001-08-04,3259.0,3284.0,3197.0,3198.0,430819332,31734,32,3197.0,3198.0
