,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-09-25,1445.0,1445.0,1445.0,1445.0,2402454599820,1207263618,818287,726.0,1445.0
1,2019-09-28,1517.0,1517.0,1517.0,1517.0,1287099748,616132,515,1445.0,1517.0
2,2019-09-29,1592.0,1592.0,1592.0,1592.0,1994088321,909297,720,1517.0,1592.0
3,2019-09-30,1672.0,1672.0,1672.0,1672.0,3467900846,1506473,1302,1592.0,1672.0
4,2019-10-01,1755.0,1755.0,1755.0,1755.0,293884905592,121590776,16018,1672.0,1755.0
5,2019-10-02,1842.0,1842.0,1842.0,1842.0,35093217405,13832565,8056,1755.0,1842.0
6,2019-10-05,1934.0,1934.0,1934.0,1934.0,11381914985,4274095,3220,1842.0,1934.0
7,2019-10-06,2030.0,2030.0,2030.0,2030.0,84831685704,30340374,7439,1934.0,2030.0
8,2019-10-07,2131.0,2131.0,1929.0,2128.0,843781506085,287915325,145420,2030.0,2131.0
9,2019-10-08,2106.0,2106.0,2022.0,2058.0,186398309744,65766994,41306,2128.0,2022.0
10,2019-10-09,1956.0,1956.0,1956.0,1956.0,111500522269,41403833,21469,2058.0,1956.0
11,2019-10-12,1963.0,2053.0,1858.0,2010.0,398810323364,144089622,91157,1956.0,2053.0
12,2019-10-13,2110.0,2110.0,1910.0,2048.0,446623786322,158396990,88386,2010.0,2019.0
13,2019-10-14,1982.0,1996.0,1945.0,1956.0,257129404369,95442898,39501,2048.0,1945.0
14,2019-10-15,1946.0,1985.0,1859.0,1884.0,103747392865,39979362,15937,1956.0,1859.0
15,2019-10-16,1837.0,1946.0,1793.0,1820.0,201441354294,80399617,34220,1884.0,1808.0
16,2019-10-20,1808.0,1859.0,1729.0,1754.0,94000728588,38928261,12031,1820.0,1729.0
17,2019-10-21,1699.0,1841.0,1667.0,1766.0,338978897555,139395502,41410,1754.0,1841.0
18,2019-10-22,1854.0,1854.0,1776.0,1846.0,137871750632,54241923,12988,1766.0,1854.0
19,2019-10-23,1887.0,1921.0,1754.0,1831.0,154699430475,61339515,26579,1846.0,1839.0
20,2019-10-26,1830.0,1831.0,1740.0,1769.0,94642912135,38852872,20502,1831.0,1767.0
21,2019-10-28,1757.0,1832.0,1741.0,1799.0,96543919725,38977912,18452,1769.0,1811.0
22,2019-10-30,1835.0,1837.0,1806.0,1817.0,136420327084,54526560,18832,1799.0,1815.0
23,2019-11-02,1826.0,1826.0,1742.0,1768.0,142206325463,58427359,19718,1817.0,1757.0
24,2019-11-03,1752.0,1805.0,1731.0,1773.0,119820283243,49071549,15934,1768.0,1774.0
25,2019-11-04,1774.0,1778.0,1730.0,1746.0,89551181317,37243269,11582,1773.0,1735.0
26,2019-11-05,1749.0,1833.0,1728.0,1803.0,142708624223,57468008,15278,1746.0,1833.0
27,2019-11-09,1893.0,1893.0,1893.0,1893.0,95432694489,36606327,6092,1803.0,1893.0
28,2019-11-10,1881.0,1902.0,1819.0,1852.0,160050700351,62757337,15507,1893.0,1844.0
29,2019-11-11,1824.0,1870.0,1816.0,1830.0,89279239833,35428860,11006,1852.0,1821.0
30,2019-11-12,1830.0,1874.0,1816.0,1845.0,89229835537,35114107,10639,1830.0,1838.0
31,2019-11-13,1837.0,1872.0,1821.0,1838.0,80026830369,31617028,9787,1845.0,1830.0
32,2019-11-16,1866.0,1886.0,1815.0,1847.0,101912892411,40076316,9087,1838.0,1821.0
33,2019-11-17,1759.0,1814.0,1754.0,1757.0,118057386019,48794063,7544,1847.0,1754.0
34,2019-11-18,1725.0,1800.0,1725.0,1766.0,55765380619,22931286,5559,1757.0,1754.0
35,2019-11-19,1783.0,1812.0,1759.0,1786.0,53065778564,21568877,6358,1766.0,1789.0
36,2019-11-20,1787.0,1836.0,1779.0,1809.0,58471415119,23473622,6780,1786.0,1807.0
37,2019-11-23,1834.0,1852.0,1785.0,1809.0,64331612453,25821982,7400,1809.0,1791.0
38,2019-11-24,1794.0,1801.0,1761.0,1777.0,61697472671,25211950,7871,1809.0,1790.0
