,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-03-17,690.0,690.0,690.0,690.0,225000000000,150000000,335341,460.0,690.0
1,2019-03-18,725.0,725.0,725.0,725.0,538223175,341729,816,690.0,725.0
2,2019-03-19,761.0,761.0,761.0,761.0,1564152903,946251,2234,725.0,761.0
3,2019-03-25,798.0,798.0,798.0,798.0,2630988700,1516420,3544,761.0,798.0
4,2019-03-26,838.0,838.0,838.0,838.0,7009946784,3849504,8830,798.0,838.0
5,2019-03-27,860.0,874.0,796.0,855.0,139672329792,75144290,139970,838.0,870.0
6,2019-03-30,862.0,898.0,860.0,886.0,32174107425,16711035,19237,855.0,898.0
7,2019-03-31,930.0,930.0,930.0,930.0,5685794497,2813357,3576,886.0,930.0
8,2019-04-06,976.0,976.0,976.0,976.0,5829893676,2747358,4598,930.0,976.0
9,2019-04-07,1025.0,1025.0,1025.0,1025.0,4112498100,1845825,2721,976.0,1025.0
10,2019-04-08,1025.0,1076.0,983.0,1037.0,58669297815,26035714,15890,1025.0,1076.0
11,2019-04-09,1088.0,1142.0,1088.0,1123.0,4189020042,1717152,1114,1037.0,1142.0
12,2019-04-10,1150.0,1179.0,1126.0,1165.0,27472823823,10844862,9345,1123.0,1179.0
13,2019-04-13,1223.0,1223.0,1223.0,1223.0,4896444799,1841461,2726,1165.0,1223.0
14,2019-04-14,1284.0,1284.0,1284.0,1284.0,4336700456,1553816,2953,1223.0,1284.0
15,2019-04-15,1348.0,1348.0,1348.0,1348.0,13912138100,4748170,1778,1284.0,1348.0
16,2019-04-16,1415.0,1415.0,1281.0,1354.0,131232912306,44588110,14717,1348.0,1304.0
17,2019-04-17,1286.0,1286.0,1286.0,1286.0,11017836516,3940571,1776,1354.0,1286.0
18,2019-04-20,1222.0,1350.0,1222.0,1299.0,109633043208,38829778,22040,1286.0,1350.0
19,2019-04-22,1364.0,1364.0,1234.0,1356.0,108690974099,36871395,12861,1299.0,1364.0
20,2019-04-23,1394.0,1424.0,1380.0,1420.0,49082086336,15902679,5152,1356.0,1424.0
21,2019-04-24,1491.0,1491.0,1491.0,1491.0,15360133680,4740782,1453,1420.0,1491.0
22,2019-04-27,1565.0,1565.0,1518.0,1564.0,48792918379,14357004,3186,1491.0,1565.0
23,2019-04-28,1584.0,1642.0,1518.0,1618.0,98298407169,27947249,12429,1564.0,1642.0
24,2019-04-29,1683.0,1699.0,1643.0,1687.0,17599044288,4801244,1872,1618.0,1699.0
25,2019-04-30,1771.0,1859.0,1771.0,1828.0,66628418528,16769658,4291,1687.0,1804.0
26,2019-05-01,1840.0,1918.0,1762.0,1838.0,136822747794,34239220,11249,1828.0,1795.0
27,2019-05-04,1772.0,1831.0,1747.0,1779.0,118748992133,30717961,12671,1838.0,1762.0
28,2019-05-05,1749.0,1813.0,1690.0,1737.0,91140980259,24141446,7886,1779.0,1749.0
29,2019-05-06,1680.0,1720.0,1650.0,1678.0,26884994576,7369029,2795,1737.0,1650.0
30,2019-05-07,1595.0,1650.0,1595.0,1596.0,12326479402,3553015,892,1678.0,1595.0
31,2019-05-08,1516.0,1643.0,1516.0,1539.0,58210919762,17405504,6442,1596.0,1560.0
32,2019-05-11,1541.0,1615.0,1541.0,1599.0,46301703157,13324508,3321,1539.0,1574.0
33,2019-05-12,1610.0,1614.0,1519.0,1530.0,21635647258,6506717,2396,1599.0,1521.0
34,2019-05-13,1539.0,1587.0,1477.0,1537.0,33581883513,10051295,2920,1530.0,1542.0
35,2019-05-14,1540.0,1572.0,1508.0,1538.0,29749829812,8901797,3389,1537.0,1518.0
36,2019-05-15,1518.0,1519.0,1461.0,1475.0,27299775672,8518767,2839,1538.0,1467.0
37,2019-05-18,1475.0,1541.0,1475.0,1517.0,21654814562,6568568,2528,1475.0,1514.0
38,2019-05-19,1503.0,1513.0,1448.0,1468.0,16817848060,5271173,2319,1517.0,1465.0
39,2019-05-20,1449.0,1449.0,1395.0,1400.0,24713260516,8124023,2253,1468.0,1399.0
40,2019-05-21,1421.0,1470.0,1403.0,1463.0,13117369427,4126789,2433,1400.0,1470.0
41,2019-05-22,1518.0,1527.0,1488.0,1509.0,19662109820,5997004,1955,1463.0,1498.0
42,2019-05-25,1504.0,1565.0,1458.0,1525.0,22076092573,6659367,2045,1509.0,1549.0
43,2019-05-26,1559.0,1565.0,1491.0,1533.0,19708788902,5914739,3319,1525.0,1512.0
44,2019-05-28,1518.0,1559.0,1490.0,1510.0,26188165787,7975736,2376,1533.0,1504.0
45,2019-05-29,1514.0,1533.0,1463.0,1481.0,12538905884,3893587,1634,1510.0,1463.0
46,2019-06-01,1458.0,1494.0,1415.0,1447.0,13894316173,4417980,1619,1481.0,1459.0
47,2019-06-02,1456.0,1519.0,1455.0,1496.0,21588083635,6639518,1993,1447.0,1519.0
48,2019-06-03,1553.0,1564.0,1519.0,1547.0,24982490001,7428883,1782,1496.0,1541.0
49,2019-06-08,1523.0,1540.0,1486.0,1514.0,13511260384,4107228,1221,1547.0,1537.0
50,2019-06-09,1546.0,1589.0,1546.0,1583.0,25654050646,7455157,1735,1514.0,1589.0
51,2019-06-10,1609.0,1610.0,1532.0,1564.0,27288286984,8026622,1710,1583.0,1535.0
52,2019-06-11,1564.0,1643.0,1517.0,1597.0,42621707163,12276198,2257,1564.0,1643.0
53,2019-06-12,1677.0,1677.0,1677.0,1677.0,10003039110,2744318,549,1597.0,1677.0
54,2019-06-15,1697.0,1761.0,1677.0,1733.0,46251337413,12279763,2077,1677.0,1761.0
55,2019-06-16,1804.0,1817.0,1656.0,1737.0,39191843930,10382193,2471,1733.0,1666.0
56,2019-06-17,1656.0,1737.0,1650.0,1666.0,25726415728,7104050,3097,1737.0,1650.0
57,2019-06-18,1657.0,1661.0,1590.0,1619.0,17970162949,5107190,1597,1666.0,1606.0
58,2019-06-19,1606.0,1647.0,1555.0,1598.0,10086084803,2904348,1012,1619.0,1600.0
59,2019-06-22,1572.0,1605.0,1518.0,1540.0,12128896045,3622388,1151,1598.0,1564.0
60,2019-06-23,1564.0,1617.0,1538.0,1591.0,11723555814,3388824,1876,1540.0,1617.0
61,2019-06-24,1670.0,1671.0,1638.0,1663.0,10928336867,3023651,774,1591.0,1671.0
62,2019-06-25,1707.0,1707.0,1619.0,1654.0,14997032731,4172850,1145,1663.0,1643.0
63,2019-06-26,1666.0,1666.0,1587.0,1607.0,16960233364,4856772,1259,1654.0,1610.0
64,2019-06-30,1610.0,1614.0,1578.0,1597.0,11415805936,3288528,1225,1607.0,1584.0
65,2019-07-01,1608.0,1629.0,1571.0,1601.0,8349587597,2399183,1038,1597.0,1607.0
66,2019-07-02,1628.0,1681.0,1610.0,1667.0,20242098213,5585823,1639,1601.0,1681.0
67,2019-07-03,1743.0,1743.0,1648.0,1678.0,16501283024,4525181,1346,1667.0,1656.0
68,2019-07-06,1633.0,1677.0,1608.0,1634.0,10771676845,3033223,931,1678.0,1634.0
69,2019-07-07,1625.0,1664.0,1614.0,1636.0,8886682469,2500021,886,1634.0,1647.0
70,2019-07-08,1679.0,1715.0,1653.0,1688.0,21123193182,5757720,1725,1636.0,1663.0
