,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-05-31,18.0,19.0,18.0,18.0,17350866825,2408030,260,18.0,18.0
1,2003-06-07,19.0,19.0,19.0,19.0,15120000,2000,1,18.0,19.0
2,2003-06-08,20.0,20.0,19.0,19.0,853651426,109604,37,19.0,19.0
3,2003-06-09,19.0,19.0,19.0,19.0,149388750,20325,13,19.0,19.0
4,2003-06-10,19.0,19.0,19.0,19.0,140440079,19137,19,19.0,19.0
5,2003-06-11,19.0,19.0,18.0,19.0,1069094250,146655,83,19.0,19.0
6,2003-06-14,19.0,19.0,19.0,19.0,429166900,58903,94,19.0,19.0
7,2003-06-15,19.0,19.0,19.0,19.0,1084125464,149627,39,19.0,19.0
8,2003-06-16,19.0,19.0,18.0,18.0,246050000,34000,43,19.0,18.0
9,2003-06-17,18.0,19.0,18.0,18.0,349327395,47980,67,18.0,18.0
10,2003-06-18,18.0,18.0,18.0,18.0,421197679,58500,147,18.0,18.0
11,2003-06-21,18.0,18.0,18.0,18.0,215950000,30000,6,18.0,18.0
12,2003-06-22,18.0,18.0,18.0,18.0,84039317,11759,6,18.0,18.0
13,2003-06-23,18.0,18.0,18.0,18.0,69750000,10000,2,18.0,18.0
14,2003-06-24,18.0,18.0,18.0,18.0,1787100,259,1,18.0,18.0
15,2003-06-25,17.0,18.0,17.0,18.0,12130400,1794,2,18.0,18.0
16,2003-06-28,18.0,18.0,17.0,18.0,285328647,40609,23,18.0,18.0
17,2003-06-29,19.0,19.0,19.0,19.0,43976150,6070,5,18.0,19.0
18,2003-07-02,19.0,19.0,18.0,19.0,90051725,12445,9,19.0,19.0
19,2003-07-05,18.0,18.0,18.0,18.0,57780000,8025,5,19.0,18.0
20,2003-07-06,19.0,19.0,18.0,19.0,568105900,77863,29,18.0,19.0
21,2003-07-07,19.0,19.0,19.0,19.0,82820000,11200,6,19.0,19.0
22,2003-07-08,19.0,19.0,19.0,19.0,56323050,7663,18,19.0,19.0
23,2003-08-09,18.0,18.0,18.0,18.0,7200000,1000,1,19.0,18.0
24,2003-08-10,18.0,18.0,18.0,18.0,114957360,15970,24,18.0,18.0
25,2003-08-11,18.0,18.0,18.0,18.0,154872000,21510,11,18.0,18.0
26,2003-08-12,18.0,18.0,18.0,18.0,194083200,26956,11,18.0,18.0
27,2003-08-13,18.0,18.0,18.0,18.0,19440000,2700,1,18.0,18.0
28,2003-08-17,18.0,18.0,18.0,18.0,31312800,4349,2,18.0,18.0
29,2003-08-18,18.0,18.0,18.0,18.0,133142400,18492,6,18.0,18.0
30,2003-08-24,18.0,18.0,18.0,18.0,719802,100,2,18.0,18.0
31,2003-08-26,18.0,18.0,18.0,18.0,7167033,1000,2,18.0,18.0
32,2003-08-30,18.0,18.0,18.0,18.0,839734288,116950,33,18.0,18.0
33,2003-08-31,18.0,18.0,18.0,18.0,690335570,95881,22,18.0,18.0
34,2003-09-01,19.0,19.0,18.0,18.0,83777634,11554,6,18.0,18.0
35,2003-09-02,19.0,19.0,18.0,18.0,384140750,52985,16,18.0,18.0
36,2003-09-03,19.0,19.0,18.0,18.0,154758000,21346,7,18.0,18.0
37,2003-09-06,19.0,19.0,18.0,18.0,7322000,1010,2,18.0,18.0
38,2003-09-07,19.0,19.0,18.0,18.0,83922000,11610,4,18.0,18.0
39,2003-09-08,19.0,19.0,18.0,18.0,133472000,18410,7,18.0,18.0
40,2003-09-09,18.0,19.0,18.0,19.0,526339970,72670,18,18.0,19.0
41,2003-09-13,19.0,19.0,19.0,19.0,914423154,123554,18,19.0,19.0
42,2003-09-14,19.0,19.0,19.0,19.0,588000000,80000,12,19.0,19.0
43,2003-09-22,19.0,19.0,19.0,19.0,1062635,145,2,19.0,19.0
44,2003-09-23,19.0,19.0,19.0,19.0,1054092,144,3,19.0,19.0
45,2003-10-01,19.0,19.0,19.0,19.0,36323200,5010,3,19.0,19.0
46,2003-10-04,18.0,18.0,18.0,18.0,129600000,18000,5,19.0,18.0
47,2003-10-05,18.0,18.0,18.0,18.0,154455420,21579,8,18.0,18.0
48,2003-10-06,18.0,18.0,18.0,18.0,7271590,1010,2,18.0,18.0
49,2003-10-07,18.0,18.0,18.0,18.0,9215610,1280,2,18.0,18.0
