,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-14,33720.0,33720.0,33720.0,33720.0,691372000,172843,1,0.0,33720.0
1,2001-04-15,33720.0,33720.0,33720.0,33720.0,352000,88,1,33720.0,33720.0
2,2005-07-16,7587.0,7587.0,7587.0,7587.0,121500000,135000,14,33720.0,7587.0
3,2005-07-17,6828.0,6828.0,6828.0,6828.0,57977370,71577,13,7587.0,6828.0
4,2005-07-19,6322.0,6331.0,6322.0,6322.0,46753750,62337,16,6828.0,6322.0
5,2005-07-20,6322.0,6331.0,6322.0,6322.0,210079250,280079,43,6322.0,6322.0
6,2005-07-23,6322.0,6407.0,6322.0,6348.0,595624290,792710,53,6322.0,6348.0
7,2005-07-24,6348.0,6634.0,6322.0,6348.0,813293056,1079984,27,6348.0,6348.0
8,2005-07-25,6693.0,6828.0,6693.0,6736.0,8962266,11204,6,6348.0,6736.0
9,2005-07-26,6854.0,6854.0,6854.0,6854.0,45528,56,1,6736.0,6854.0
10,2005-07-27,6913.0,7402.0,6913.0,7090.0,16125883,19164,14,6854.0,7090.0
11,2005-07-30,7427.0,7427.0,6584.0,7250.0,49921953,58027,21,7090.0,7250.0
12,2005-07-31,6592.0,7166.0,6584.0,7031.0,105430900,126342,18,7250.0,7031.0
13,2005-08-01,7166.0,7166.0,6575.0,6601.0,43098720,54984,20,7031.0,6601.0
14,2005-08-02,6727.0,7258.0,6727.0,7064.0,6569207,7835,4,6601.0,7064.0
15,2005-08-06,7595.0,7764.0,7166.0,7486.0,38169749,42964,16,7064.0,7486.0
16,2005-08-07,6752.0,7579.0,6744.0,6761.0,24401105,30425,5,7486.0,6761.0
17,2005-08-08,6761.0,6761.0,6727.0,6744.0,9847267,12309,7,6761.0,6744.0
18,2005-08-09,6744.0,6744.0,6744.0,6744.0,1600000,2000,1,6744.0,6744.0
19,2005-08-10,6668.0,6677.0,6660.0,6660.0,10704703,13543,7,6744.0,6660.0
20,2005-08-14,6660.0,6660.0,6660.0,6660.0,8749250,11075,7,6660.0,6660.0
21,2005-08-15,6778.0,6786.0,6710.0,6761.0,21527051,26828,11,6660.0,6761.0
22,2005-08-16,6744.0,6744.0,6736.0,6736.0,13653508,17075,8,6761.0,6736.0
23,2005-08-17,6736.0,6744.0,6736.0,6736.0,7175870,8980,4,6736.0,6736.0
24,2005-08-20,6786.0,6997.0,6744.0,6837.0,33075001,40778,19,6736.0,6837.0
25,2005-08-21,6997.0,6997.0,6997.0,6997.0,20750000,25000,5,6837.0,6997.0
26,2005-08-22,6997.0,7106.0,6988.0,6988.0,71280725,85889,22,6997.0,6988.0
27,2005-08-23,6744.0,7039.0,6744.0,7031.0,12746940,15277,7,6988.0,7031.0
28,2005-08-24,7098.0,7098.0,6828.0,6955.0,31549450,38213,13,7031.0,6955.0
29,2005-08-27,7081.0,7166.0,6870.0,7064.0,13349256,15928,14,6955.0,7064.0
30,2005-08-28,7064.0,7064.0,6854.0,7031.0,43652306,52287,9,7064.0,7031.0
31,2005-08-29,7031.0,7031.0,6887.0,6988.0,72921258,87943,19,7031.0,6988.0
