,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-08-16,6603.0,6603.0,5133.0,5424.0,5778774663808,847098236,1522626,795.0,5133.0
1,2023-08-19,5693.0,5693.0,5693.0,5693.0,43228156320,6037452,2400,5424.0,5693.0
2,2023-08-20,5971.0,5971.0,5971.0,5971.0,184916431940,24622694,4951,5693.0,5971.0
3,2023-08-21,6266.0,6266.0,6011.0,6178.0,2812840176790,361803879,353293,5971.0,6051.0
4,2023-08-22,5955.0,6003.0,5876.0,5892.0,775687300210,104691804,133271,6178.0,5876.0
5,2023-08-23,5669.0,5820.0,5598.0,5685.0,922812760440,129021070,144490,5892.0,5749.0
6,2023-08-26,5804.0,5884.0,5749.0,5812.0,522055341110,71463231,51308,5685.0,5788.0
7,2023-08-27,5892.0,5955.0,5725.0,5820.0,671087561250,91740141,62523,5812.0,5773.0
8,2023-08-28,5749.0,5876.0,5614.0,5701.0,488697223000,68131240,72408,5820.0,5629.0
9,2023-08-29,5629.0,5788.0,5614.0,5685.0,325903778570,45565458,50478,5701.0,5637.0
10,2023-08-30,5629.0,5828.0,5614.0,5717.0,405442420670,56407397,88913,5685.0,5709.0
11,2023-09-02,5733.0,5796.0,5606.0,5661.0,238241356120,33456146,18536,5717.0,5629.0
12,2023-09-03,5645.0,5685.0,5606.0,5629.0,165602004550,23375553,15549,5661.0,5629.0
13,2023-09-04,5629.0,5725.0,5614.0,5645.0,161513873180,22755589,13735,5629.0,5637.0
14,2023-09-05,5661.0,5701.0,5590.0,5622.0,219034977370,30972356,19337,5645.0,5590.0
15,2023-09-09,5582.0,5701.0,5407.0,5526.0,266757238860,38409827,23039,5622.0,5494.0
16,2023-09-10,5502.0,5645.0,5494.0,5534.0,141502224350,20319248,14106,5526.0,5534.0
17,2023-09-11,5558.0,5566.0,5502.0,5526.0,111038896110,15973543,9103,5534.0,5510.0
18,2023-09-12,5518.0,5542.0,5470.0,5502.0,111688105050,16131859,9607,5526.0,5518.0
19,2023-09-13,5486.0,5542.0,5478.0,5502.0,92033328190,13292492,6426,5502.0,5486.0
20,2023-09-17,5478.0,5526.0,5462.0,5486.0,136756694790,19806151,8632,5502.0,5462.0
21,2023-09-18,5470.0,5534.0,5439.0,5470.0,93350512740,13568271,8359,5486.0,5478.0
22,2023-09-19,5486.0,5502.0,5407.0,5439.0,67907057340,9923693,5436,5470.0,5455.0
23,2023-09-20,5423.0,5447.0,5391.0,5415.0,75449710610,11084065,4658,5439.0,5407.0
24,2023-09-23,5423.0,5439.0,5375.0,5399.0,56405009270,8306635,5464,5415.0,5383.0
25,2023-09-25,5439.0,5439.0,5296.0,5351.0,69179257490,10277509,6207,5399.0,5303.0
26,2023-09-26,5319.0,5319.0,5248.0,5264.0,86646657300,13086113,6288,5351.0,5248.0
27,2023-09-27,5264.0,5272.0,5184.0,5232.0,95025004760,14443823,5630,5264.0,5200.0
28,2023-09-30,5208.0,5232.0,5017.0,5089.0,119112553570,18598856,9814,5232.0,5025.0
29,2023-10-01,5049.0,5049.0,4850.0,4906.0,115928481720,18793692,8028,5089.0,4890.0
30,2023-10-02,4850.0,5073.0,4810.0,4962.0,87376338030,14005545,5440,4906.0,5001.0
31,2023-10-04,5009.0,5009.0,4850.0,4898.0,67288896870,10914784,4553,4962.0,4874.0
32,2023-10-07,4858.0,4898.0,4691.0,4771.0,80981937740,13506992,5219,4898.0,4707.0
33,2023-10-08,4691.0,4699.0,4532.0,4540.0,123726536460,21673992,5526,4771.0,4540.0
34,2023-10-09,4357.0,4659.0,4357.0,4556.0,74101935240,12925143,4105,4540.0,4524.0
35,2023-10-10,4453.0,4580.0,4453.0,4524.0,43398369380,7628244,3328,4556.0,4564.0
36,2023-10-11,4588.0,4675.0,4500.0,4564.0,27062088220,4714221,2460,4524.0,4524.0
37,2023-10-14,4532.0,4532.0,4341.0,4373.0,68934593870,12540091,3893,4564.0,4341.0
38,2023-10-15,4333.0,4453.0,4254.0,4318.0,45376608280,8351477,2938,4373.0,4286.0
39,2023-10-16,4294.0,4413.0,4294.0,4381.0,43904511230,7966729,2808,4318.0,4397.0
40,2023-10-17,4413.0,4445.0,4318.0,4373.0,46185007570,8392476,2907,4381.0,4333.0
41,2023-10-18,4294.0,4365.0,4174.0,4246.0,45513567540,8524602,2702,4373.0,4230.0
42,2023-10-21,4262.0,4341.0,4230.0,4270.0,30144407280,5611058,2357,4246.0,4238.0
43,2023-10-22,4238.0,4333.0,4230.0,4286.0,32427785180,6015093,2442,4270.0,4270.0
44,2023-10-23,4262.0,4278.0,4198.0,4214.0,51079615940,9630907,2507,4286.0,4214.0
45,2023-10-24,4198.0,4214.0,4047.0,4103.0,44981057600,8718152,2845,4214.0,4063.0
46,2023-10-25,4119.0,4166.0,4055.0,4119.0,22713874520,4387771,2304,4103.0,4087.0
47,2023-10-28,4063.0,4071.0,3920.0,3928.0,108538266440,21953793,3858,4119.0,3944.0
48,2023-10-29,3904.0,4023.0,3904.0,3984.0,26491581060,5283905,2214,3928.0,3968.0
49,2023-10-30,3984.0,4174.0,3984.0,4087.0,44988114550,8759035,2712,3984.0,4158.0
50,2023-10-31,4166.0,4206.0,4039.0,4119.0,24210235780,4676474,2249,4087.0,4079.0
51,2023-11-01,4039.0,4079.0,3944.0,3992.0,26594101470,5298656,2224,4119.0,4007.0
52,2023-11-04,4023.0,4166.0,4023.0,4103.0,21982905920,4260782,2133,3992.0,4095.0
53,2023-11-05,4127.0,4302.0,4087.0,4286.0,187575633890,34798487,4232,4103.0,4294.0
54,2023-11-06,4318.0,4389.0,4254.0,4333.0,105903341420,19447371,3254,4286.0,4349.0
