,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-12-09,6726.0,6726.0,6726.0,6726.0,14168872032090,341995463,4519898,162.0,6726.0
1,2020-12-12,7062.0,7062.0,7062.0,6900.0,31565122500,725635,10094,6726.0,7062.0
2,2020-12-13,7244.0,7244.0,7244.0,7067.0,30347980660,680143,9494,6900.0,7244.0
3,2020-12-14,7419.0,7419.0,7419.0,7419.0,103881675400,2273122,10887,7067.0,7419.0
4,2020-12-15,7790.0,7790.0,7790.0,7790.0,127954551380,2666831,16318,7419.0,7790.0
5,2020-12-16,8178.0,8178.0,8178.0,8178.0,89775962100,1782330,17291,7790.0,8178.0
6,2020-12-19,8585.0,8585.0,8585.0,8585.0,118731516880,2245301,17189,8178.0,8585.0
7,2020-12-20,9014.0,9014.0,9014.0,9014.0,316784961120,5705781,29029,8585.0,9014.0
8,2020-12-21,9463.0,9463.0,9463.0,9463.0,219297472200,3762180,30369,9014.0,9463.0
9,2020-12-22,9936.0,9936.0,9936.0,9936.0,799783020000,13068350,70051,9463.0,9936.0
10,2020-12-23,10433.0,10433.0,10433.0,10433.0,419413453200,6526820,53845,9936.0,10433.0
11,2020-12-26,10954.0,10954.0,10882.0,10954.0,7295672842810,108133476,579968,10433.0,10954.0
12,2020-12-27,11030.0,11365.0,10683.0,10980.0,3118787665800,46113231,375224,10954.0,10981.0
13,2020-12-28,10845.0,10845.0,10431.0,10491.0,475410362290,7357217,19405,10980.0,10431.0
14,2020-12-29,9967.0,9967.0,9967.0,9967.0,202825315980,3303882,3252,10491.0,9967.0
15,2020-12-30,9470.0,9912.0,9470.0,9525.0,5042767599160,85944794,507703,9967.0,9470.0
16,2021-01-02,9270.0,9384.0,9049.0,9085.0,1050870879000,18778812,63412,9525.0,9049.0
17,2021-01-03,8873.0,9538.0,8848.0,9451.0,3414317611800,58655954,199725,9085.0,9538.0
18,2021-01-04,9640.0,9822.0,8978.0,9139.0,2332894454340,41445964,111866,9451.0,8978.0
