,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2024-02-07,17829.0,17829.0,15840.0,16283.0,1980813035192,96347764,1126124,792.0,15840.0
1,2024-02-10,17068.0,17068.0,17068.0,17068.0,88472512150,4105453,1988,16283.0,17068.0
2,2024-02-12,17900.0,17900.0,17900.0,17900.0,88172295400,3901429,3736,17068.0,17900.0
3,2024-02-13,18771.0,18771.0,18771.0,18771.0,137374134900,5796377,4414,17900.0,18771.0
4,2024-02-14,19682.0,19682.0,19682.0,19682.0,213172270850,8578361,22550,18771.0,19682.0
5,2024-02-17,20632.0,20632.0,20632.0,20632.0,266776903800,10240956,14987,19682.0,20632.0
6,2024-02-18,21662.0,21662.0,21662.0,21662.0,346885602050,12683203,17911,20632.0,21662.0
7,2024-02-19,22731.0,22731.0,22731.0,22731.0,476906551100,16616953,24892,21662.0,22731.0
8,2024-02-20,23840.0,23840.0,23523.0,23840.0,3430197321800,114003526,344742,22731.0,23800.0
9,2024-02-21,23721.0,23761.0,22652.0,22969.0,381118469550,13144376,38415,23840.0,22652.0
10,2024-02-24,21820.0,21820.0,21820.0,21820.0,92267897850,3349107,1498,22969.0,21820.0
11,2024-02-26,20751.0,20751.0,20751.0,20751.0,142195155200,5427296,1540,21820.0,20751.0
12,2024-02-27,19721.0,20117.0,19721.0,19761.0,913759831300,36604191,106315,20751.0,19721.0
13,2024-02-28,19642.0,20157.0,19207.0,19603.0,432272860150,17457996,79470,19761.0,19523.0
14,2024-03-02,19365.0,19919.0,19048.0,19563.0,272681163800,11040050,33236,19603.0,19603.0
15,2024-03-03,19919.0,20197.0,19048.0,19444.0,315449839950,12855461,36011,19563.0,19167.0
16,2024-03-04,19207.0,19682.0,18652.0,19246.0,263334291900,10843931,22535,19444.0,19484.0
17,2024-03-05,19603.0,20197.0,19484.0,20117.0,243790439450,9590026,14224,19246.0,20197.0
18,2024-03-06,20434.0,20672.0,19523.0,19880.0,156966261450,6249223,12847,20117.0,19721.0
19,2024-03-10,19207.0,19642.0,18890.0,19207.0,106002076650,4374439,3714,19880.0,19207.0
20,2024-03-11,19444.0,19880.0,18850.0,19246.0,129799160250,5341977,11637,19207.0,18890.0
21,2024-03-12,18929.0,19761.0,18771.0,19365.0,121519204100,4967704,9283,19246.0,19009.0
