,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-22,1176.0,1176.0,1176.0,1176.0,903000,100,1,1176.0,1176.0
1,2001-04-24,1176.0,1176.0,1176.0,1176.0,1806000,200,1,1176.0,1176.0
2,2001-05-21,1185.0,1185.0,1185.0,1185.0,9100000,1000,1,1176.0,1185.0
3,2001-06-11,1186.0,1186.0,1186.0,1186.0,273180,30,1,1185.0,1186.0
4,2001-08-06,1198.0,1198.0,1198.0,1198.0,8804400,957,1,1186.0,1198.0
5,2001-08-20,1258.0,1258.0,1258.0,1258.0,9244620,957,1,1198.0,1258.0
6,2001-08-21,1258.0,1258.0,1258.0,1258.0,9244620,957,1,1258.0,1258.0
7,2001-08-25,1321.0,1321.0,1321.0,1321.0,19413702,1914,2,1258.0,1321.0
8,2001-09-12,1387.0,1387.0,1387.0,1387.0,10202700,958,1,1321.0,1387.0
9,2001-09-18,1387.0,1387.0,1387.0,1387.0,10193007,957,1,1387.0,1387.0
10,2001-10-03,1387.0,1387.0,1387.0,1387.0,19301300,1812,5,1387.0,1387.0
11,2001-10-22,1388.0,1388.0,1388.0,1388.0,10201620,957,1,1387.0,1388.0
12,2001-10-27,1433.0,1433.0,1433.0,1433.0,10527000,957,1,1388.0,1433.0
13,2001-11-21,1437.0,1437.0,1437.0,1437.0,10555710,957,1,1433.0,1437.0
14,2002-02-12,1508.0,1508.0,1508.0,1508.0,22200777,1917,7,1437.0,1508.0
15,2002-05-18,1584.0,1584.0,1584.0,1584.0,23310720,1917,5,1508.0,1584.0
16,2002-06-11,1663.0,1663.0,1663.0,1663.0,24476256,1917,7,1584.0,1663.0
17,2002-08-03,1693.0,1693.0,1693.0,1693.0,23400000,1800,3,1663.0,1693.0
18,2002-08-14,1778.0,1778.0,1778.0,1778.0,13650000,1000,4,1693.0,1778.0
19,2002-10-07,1780.0,1780.0,1780.0,1780.0,13666000,1000,2,1778.0,1780.0
20,2002-10-09,1780.0,1780.0,1780.0,1780.0,13077405,957,3,1780.0,1780.0
21,2002-11-03,1780.0,1780.0,1780.0,1780.0,52897225,3871,5,1780.0,1780.0
22,2003-01-01,1784.0,1784.0,1784.0,1784.0,1370000,100,1,1780.0,1784.0
23,2003-01-14,1786.0,1786.0,1786.0,1786.0,24842520,1812,3,1784.0,1786.0
24,2003-01-15,1786.0,1786.0,1786.0,1786.0,10132886,739,2,1786.0,1786.0
25,2003-01-27,1803.0,1803.0,1803.0,1803.0,6324880,457,1,1786.0,1803.0
26,2003-02-18,1786.0,1786.0,1786.0,1786.0,9185700,670,1,1803.0,1786.0
27,2003-02-23,1786.0,1786.0,1786.0,1786.0,8747618,638,1,1786.0,1786.0
28,2003-03-03,1786.0,1786.0,1786.0,1786.0,411300,30,1,1786.0,1786.0
29,2003-03-09,1786.0,1786.0,1786.0,1786.0,15492300,1130,1,1786.0,1786.0
30,2003-03-31,1786.0,1786.0,1786.0,1786.0,411300,30,1,1786.0,1786.0
31,2003-04-15,1786.0,1786.0,1786.0,1786.0,22470690,1639,3,1786.0,1786.0
32,2003-05-28,1797.0,1797.0,1797.0,1797.0,13800000,1000,1,1786.0,1797.0
33,2003-05-31,1887.0,1887.0,1887.0,1887.0,1449434700,100030,12,1797.0,1887.0
34,2003-06-01,1981.0,1981.0,1981.0,1981.0,2206030000,145000,20,1887.0,1981.0
35,2003-06-02,2080.0,2080.0,2080.0,2080.0,79870000,5000,1,1981.0,2080.0
36,2003-06-07,2184.0,2184.0,2184.0,2184.0,1685586000,100500,17,2080.0,2184.0
37,2003-06-08,2294.0,2294.0,2294.0,2294.0,1761000000,100000,16,2184.0,2294.0
38,2003-06-09,2408.0,2408.0,2408.0,2408.0,92450000,5000,2,2294.0,2408.0
39,2003-06-14,2528.0,2528.0,2528.0,2528.0,26208900,1350,2,2408.0,2528.0
40,2003-06-15,2655.0,2655.0,2655.0,2655.0,25113088,1232,3,2528.0,2655.0
41,2003-06-16,2787.0,2787.0,2787.0,2787.0,34886890,1630,2,2655.0,2787.0
42,2003-06-17,2927.0,2927.0,1529.0,2927.0,869839960,69080,251,2787.0,2927.0
43,2003-06-18,3073.0,3073.0,3073.0,3073.0,933740912,39572,10,2927.0,3073.0
44,2003-06-21,3073.0,3073.0,3073.0,3073.0,60053910,2545,6,3073.0,3073.0
45,2003-06-24,2920.0,2920.0,2920.0,2920.0,112085000,5000,2,3073.0,2920.0
46,2003-06-25,2774.0,2774.0,2774.0,2774.0,63891000,3000,2,2920.0,2774.0
47,2003-06-28,2635.0,2635.0,2635.0,2635.0,40466000,2000,2,2774.0,2635.0
48,2003-06-29,2503.0,2503.0,2503.0,2503.0,34176716,1778,2,2635.0,2503.0
49,2003-07-09,2378.0,2378.0,2378.0,2378.0,4419162,242,2,2503.0,2378.0
50,2003-07-12,2378.0,2378.0,2378.0,2378.0,547860,30,1,2378.0,2378.0
51,2003-07-13,2378.0,2378.0,2378.0,2378.0,37672443,2063,3,2378.0,2378.0
