,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-03-04,470.0,470.0,470.0,470.0,2406375428600,707757479,1681523,138.0,470.0
1,2020-03-07,493.0,493.0,493.0,493.0,54577392450,15287785,3680,470.0,493.0
2,2020-03-09,518.0,518.0,518.0,518.0,99177240996,26461377,4437,493.0,518.0
3,2020-03-10,544.0,544.0,544.0,544.0,280419932545,71263007,5131,518.0,544.0
4,2020-03-11,571.0,571.0,571.0,571.0,138235586904,33462984,7309,544.0,571.0
5,2020-03-14,599.0,599.0,599.0,592.0,39501656220,9108060,7639,571.0,599.0
6,2020-03-15,622.0,622.0,622.0,599.0,13195386000,2932308,5799,592.0,622.0
7,2020-03-16,629.0,629.0,629.0,606.0,12076511238,2651847,5916,599.0,629.0
8,2020-03-17,636.0,636.0,636.0,612.0,12096604848,2627412,4957,606.0,636.0
9,2020-03-18,643.0,643.0,643.0,619.0,11512730112,2473728,5842,612.0,643.0
10,2020-03-24,649.0,649.0,649.0,625.0,11236109253,2390153,5387,619.0,649.0
11,2020-03-25,656.0,656.0,656.0,633.0,13204591488,2778744,6150,625.0,656.0
12,2020-03-28,665.0,665.0,665.0,664.0,51495375614,10703674,5489,633.0,665.0
13,2020-03-29,697.0,697.0,697.0,674.0,16054708880,3181040,8031,664.0,697.0
14,2020-03-30,707.0,707.0,707.0,704.0,51132810240,9986877,8253,674.0,707.0
15,2020-04-06,740.0,776.0,740.0,774.0,78202684629,13946195,13221,704.0,776.0
16,2020-04-07,813.0,853.0,813.0,777.0,5117671986,869298,2168,774.0,853.0
17,2020-04-08,816.0,816.0,816.0,816.0,117709824915,19906955,25375,777.0,816.0
18,2020-04-11,857.0,900.0,857.0,899.0,182303409130,27997895,10358,816.0,900.0
19,2020-04-12,944.0,944.0,944.0,944.0,169215493388,24753583,11331,899.0,944.0
20,2020-04-13,941.0,991.0,897.0,926.0,1303927438273,194425233,192355,944.0,921.0
21,2020-04-14,880.0,972.0,880.0,888.0,391137805900,60781579,77664,926.0,899.0
22,2020-04-15,880.0,933.0,844.0,929.0,179910689620,26732001,42657,888.0,933.0
23,2020-04-18,975.0,975.0,975.0,975.0,208408942524,29494614,16771,929.0,975.0
24,2020-04-19,1024.0,1024.0,952.0,1008.0,1265676321414,173345559,98779,975.0,1006.0
25,2020-04-20,1058.0,1058.0,1058.0,1058.0,161236731862,21032707,19564,1008.0,1058.0
