,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-09-15,2640.0,2640.0,2640.0,2640.0,1556519618500,203999950,2098792,346.0,2640.0
1,2021-09-18,2772.0,2772.0,2772.0,2750.0,13201214746,1647886,3463,2640.0,2772.0
2,2021-09-19,2888.0,2888.0,2888.0,2870.0,14314057680,1715080,4842,2750.0,2888.0
3,2021-09-20,3013.0,3013.0,3013.0,3003.0,15922838880,1828320,7227,2870.0,3013.0
4,2021-09-21,3153.0,3153.0,3153.0,3153.0,19405364748,2129182,13368,3003.0,3153.0
5,2021-09-22,3311.0,3311.0,3311.0,3311.0,49534981090,5176610,75342,3153.0,3311.0
6,2021-09-25,3476.0,3476.0,3476.0,3476.0,38365926315,3818645,47218,3311.0,3476.0
7,2021-09-26,3650.0,3650.0,3650.0,3650.0,53762873010,5096490,71247,3476.0,3650.0
8,2021-09-28,3832.0,3832.0,3832.0,3832.0,475041886800,42889300,209659,3650.0,3832.0
9,2021-09-29,4023.0,4023.0,4023.0,4023.0,28998388383,2493627,16253,3832.0,4023.0
10,2021-10-03,4224.0,4224.0,4224.0,4224.0,45706657590,3743379,36682,4023.0,4224.0
11,2021-10-04,4435.0,4435.0,4435.0,4435.0,48870557920,3812056,42200,4224.0,4435.0
12,2021-10-06,4657.0,4657.0,4657.0,4657.0,92773400454,6892014,44903,4435.0,4657.0
13,2021-10-09,4660.0,4671.0,4424.0,4539.0,583807735417,44495856,109893,4657.0,4424.0
14,2021-10-10,4312.0,4494.0,4312.0,4323.0,680985498697,54505706,304983,4539.0,4456.0
15,2021-10-11,4498.0,4538.0,4428.0,4525.0,144933819184,11080159,49798,4323.0,4538.0
16,2021-10-12,4723.0,4752.0,4533.0,4708.0,404706495497,29739502,66491,4525.0,4752.0
17,2021-10-13,4878.0,4943.0,4792.0,4932.0,113664867874,7973766,23577,4708.0,4943.0
18,2021-10-16,5178.0,5178.0,5178.0,5178.0,50641398279,3383537,16094,4932.0,5178.0
19,2021-10-17,5197.0,5431.0,4951.0,5231.0,410339709199,27140249,55919,5178.0,5231.0
20,2021-10-18,5259.0,5366.0,5034.0,5278.0,255958228849,16778330,35220,5231.0,5283.0
21,2021-10-19,5278.0,5366.0,5124.0,5288.0,185999661153,12169342,28348,5278.0,5295.0
22,2021-10-20,5190.0,5302.0,5024.0,5126.0,219578994614,14820884,22966,5288.0,5210.0
23,2021-10-23,5091.0,5359.0,5014.0,5207.0,122716131659,8153409,19524,5126.0,5194.0
24,2021-10-25,5224.0,5293.0,5190.0,5229.0,114315277648,7564050,16703,5207.0,5252.0
25,2021-10-26,5231.0,5304.0,5231.0,5240.0,72951395212,4816467,12853,5229.0,5232.0
26,2021-10-27,5190.0,5224.0,4978.0,5005.0,128057093237,8851883,15716,5240.0,4978.0
