,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-08-07,10000.0,10000.0,10000.0,10000.0,980000000000,98000000,812,10000.0,10000.0
1,2023-09-09,10200.0,10201.0,10200.0,10201.0,7206218085,706438,41,10000.0,10201.0
2,2023-09-10,10207.0,10208.0,10207.0,10207.0,6472004676,634069,45,10201.0,10208.0
3,2023-09-11,10214.0,10218.0,10214.0,10218.0,297846788383,29149250,50,10207.0,10218.0
4,2023-09-12,10224.0,10225.0,10223.0,10224.0,21801008950,2132326,20,10218.0,10225.0
5,2023-09-13,10232.0,10235.0,10231.0,10233.0,19558752870,1911402,36,10224.0,10235.0
6,2023-09-17,10258.0,10259.0,10258.0,10258.0,22104668748,2154859,39,10233.0,10259.0
7,2023-09-18,10265.0,10267.0,10265.0,10266.0,17346821886,1689677,28,10258.0,10267.0
8,2023-09-19,10273.0,10273.0,10272.0,10273.0,510418116,49687,14,10266.0,10272.0
9,2023-09-20,10290.0,10291.0,10288.0,10289.0,82773692026,8045232,28,10273.0,10291.0
10,2023-09-23,10304.0,10305.0,10303.0,10304.0,73930160424,7175109,56,10289.0,10304.0
11,2023-09-25,10304.0,10315.0,10304.0,10314.0,23104265865,2240111,31,10304.0,10314.0
12,2023-09-26,10321.0,10322.0,10321.0,10322.0,5203017577,504084,44,10314.0,10322.0
13,2023-09-27,10338.0,10339.0,10338.0,10339.0,20376003023,1970801,31,10322.0,10339.0
14,2023-09-30,10349.0,10349.0,10348.0,10348.0,30643138117,2961257,64,10339.0,10348.0
15,2023-10-01,10354.0,10355.0,10354.0,10354.0,13215313151,1276345,26,10348.0,10354.0
16,2023-10-02,10365.0,10365.0,10364.0,10364.0,4875493734,470417,25,10354.0,10365.0
17,2023-10-04,10385.0,10385.0,10384.0,10384.0,3800797061,366009,19,10364.0,10385.0
18,2023-10-07,10396.0,10396.0,10395.0,10395.0,8653646480,832470,35,10384.0,10396.0
19,2023-10-08,11434.0,10402.0,10401.0,10401.0,9756421218,938005,49,10395.0,10401.0
20,2023-10-09,10408.0,10409.0,10408.0,10408.0,5928815363,569638,35,10401.0,10408.0
21,2023-10-10,10416.0,10416.0,10415.0,10415.0,40705164161,3908272,72,10408.0,10416.0
22,2023-10-11,10422.0,10433.0,10422.0,10433.0,100787771702,9660597,107,10415.0,10433.0
23,2023-10-14,10442.0,10443.0,10442.0,10442.0,13031678953,1248006,27,10433.0,10443.0
24,2023-10-15,10450.0,10450.0,10449.0,10449.0,6012859700,575448,25,10442.0,10449.0
25,2023-10-16,10456.0,10459.0,10456.0,10458.0,36724597463,3511622,47,10449.0,10459.0
26,2023-10-17,10465.0,10466.0,10465.0,10466.0,1724058861306,164729588,159,10458.0,10466.0
27,2023-10-18,10476.0,10477.0,10476.0,10477.0,15687847296,1497428,28,10466.0,10477.0
28,2023-10-21,10487.0,10488.0,10487.0,10488.0,1374369036416,131043549,221,10477.0,10488.0
29,2023-10-22,10490.0,10496.0,10490.0,10496.0,48955100123,4664171,61,10488.0,10495.0
30,2023-10-23,10504.0,10504.0,10503.0,10504.0,344610575818,32807557,78,10496.0,10504.0
31,2023-10-24,10512.0,10512.0,10511.0,10511.0,61728405673,5872565,93,10504.0,10512.0
32,2023-10-25,10522.0,10522.0,10521.0,10521.0,22945923552,2180928,24,10511.0,10522.0
