,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2004-08-18,11.0,11.0,11.0,11.0,633600000,288000,513,0.0,11.0
1,2004-08-23,12.0,12.0,12.0,12.0,369600000,160000,67,11.0,12.0
2,2004-08-24,13.0,13.0,13.0,13.0,388000000,160000,103,12.0,13.0
3,2004-08-25,13.0,13.0,9.0,13.0,18427173980,7681500,3862,13.0,13.0
4,2004-08-28,14.0,14.0,14.0,14.0,804573000,301000,144,13.0,14.0
5,2004-08-29,15.0,15.0,15.0,15.0,1403000000,500000,240,14.0,15.0
6,2004-08-31,15.0,15.0,15.0,15.0,1475946000,501000,291,15.0,15.0
7,2004-09-01,16.0,16.0,16.0,16.0,1399118550,452350,249,15.0,16.0
8,2004-09-05,17.0,17.0,16.0,16.0,4739090,1460,4,16.0,16.0
9,2004-09-06,17.0,17.0,16.0,16.0,355740,110,3,16.0,16.0
10,2004-09-07,17.0,17.0,16.0,16.0,13854468,4266,11,16.0,16.0
11,2004-09-11,17.0,17.0,16.0,16.0,518780,160,2,16.0,16.0
12,2004-09-12,17.0,17.0,16.0,16.0,3282980,1010,2,16.0,16.0
13,2004-09-15,17.0,17.0,16.0,16.0,3282980,1010,2,16.0,16.0
14,2004-09-18,17.0,17.0,16.0,16.0,2307380,710,2,16.0,16.0
15,2004-09-19,17.0,17.0,16.0,16.0,5721990,1760,4,16.0,16.0
16,2004-09-20,17.0,17.0,16.0,16.0,1657490,510,2,16.0,16.0
17,2004-09-21,17.0,17.0,16.0,16.0,13368330,4110,10,16.0,16.0
18,2004-09-22,17.0,17.0,16.0,16.0,34517060,10595,17,16.0,16.0
19,2004-09-26,17.0,17.0,16.0,16.0,35979230,11010,5,16.0,16.0
20,2004-09-27,17.0,17.0,16.0,16.0,11507760,3510,9,16.0,16.0
21,2004-09-28,17.0,17.0,11.0,17.0,4964351430,1987220,1857,16.0,17.0
22,2004-09-29,18.0,18.0,18.0,18.0,3450979470,1001445,706,17.0,18.0
23,2004-10-02,19.0,19.0,19.0,19.0,18090000000,5000000,1955,18.0,19.0
24,2004-10-03,20.0,20.0,20.0,20.0,19056844800,5017600,1809,19.0,20.0
25,2004-10-04,21.0,21.0,21.0,21.0,19948583709,5003407,1661,20.0,21.0
26,2004-10-05,22.0,22.0,22.0,22.0,21062779920,5031720,1541,21.0,22.0
27,2004-10-06,23.0,23.0,22.0,23.0,41619914165,9486602,2580,22.0,23.0
28,2004-10-09,22.0,23.0,22.0,22.0,9573928372,2252326,932,23.0,22.0
29,2004-10-10,22.0,22.0,21.0,21.0,5287527140,1281183,671,22.0,21.0
30,2004-10-11,21.0,23.0,21.0,22.0,6358829963,1493888,596,21.0,22.0
31,2004-10-12,23.0,23.0,22.0,23.0,11598406718,2622183,658,22.0,23.0
32,2004-10-13,23.0,23.0,22.0,22.0,6746724642,1593184,463,23.0,22.0
33,2004-10-16,22.0,22.0,21.0,22.0,1546311653,370439,219,22.0,22.0
34,2004-10-17,21.0,21.0,21.0,21.0,1967971928,488909,242,22.0,21.0
35,2004-10-18,21.0,21.0,21.0,21.0,2201804208,552042,235,21.0,21.0
36,2004-10-19,21.0,21.0,20.0,20.0,1913256289,489246,182,21.0,20.0
37,2004-10-20,19.0,19.0,19.0,19.0,530520735,142805,79,20.0,19.0
38,2004-10-23,20.0,20.0,19.0,20.0,2828596184,742311,281,19.0,20.0
39,2004-10-24,20.0,20.0,19.0,20.0,1903634468,502828,174,20.0,20.0
40,2004-10-25,20.0,20.0,19.0,20.0,1948088731,519960,190,20.0,20.0
41,2004-10-26,19.0,19.0,19.0,19.0,887363958,247579,93,20.0,19.0
42,2004-10-27,18.0,18.0,18.0,18.0,2888111292,844651,246,19.0,18.0
43,2004-10-30,18.0,18.0,17.0,17.0,847277456,260130,92,18.0,17.0
44,2004-10-31,17.0,17.0,16.0,17.0,1971577977,618691,229,17.0,17.0
45,2004-11-01,17.0,17.0,17.0,17.0,1458867493,438918,140,17.0,17.0
46,2004-11-02,18.0,18.0,18.0,18.0,4013048979,1150201,351,17.0,18.0
