,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2004-01-17,49.0,49.0,49.0,49.0,695930400,159984,130,49.0,49.0
1,2004-01-18,49.0,52.0,49.0,51.0,883065280,200010,109,49.0,51.0
2,2004-01-19,54.0,54.0,54.0,54.0,118850000,25000,12,51.0,54.0
3,2004-01-20,54.0,54.0,54.0,54.0,96000000,20000,10,54.0,54.0
4,2004-01-21,54.0,54.0,54.0,54.0,45711035,9510,8,54.0,54.0
5,2004-01-24,55.0,57.0,55.0,57.0,137130824,27310,21,54.0,57.0
6,2004-01-25,57.0,58.0,57.0,58.0,66918932,13166,6,57.0,58.0
7,2004-01-26,59.0,60.0,58.0,60.0,129812900,24650,15,58.0,60.0
8,2004-01-27,63.0,63.0,63.0,63.0,97276000,17600,12,60.0,63.0
9,2004-02-01,66.0,66.0,64.0,64.0,5859180,1010,2,63.0,64.0
10,2004-02-03,66.0,66.0,66.0,66.0,75015381,12927,15,64.0,66.0
11,2004-02-04,66.0,66.0,66.0,66.0,32856444,5661,4,66.0,66.0
12,2004-02-07,66.0,66.0,66.0,66.0,1566030,270,2,66.0,66.0
13,2004-02-08,66.0,66.0,66.0,66.0,19890852,3430,6,66.0,66.0
14,2004-02-09,66.0,66.0,66.0,66.0,5820379,1003,2,66.0,66.0
15,2004-02-15,62.0,62.0,62.0,62.0,42283740,7674,4,66.0,62.0
16,2004-02-16,64.0,64.0,63.0,63.0,5751710,1010,2,62.0,63.0
17,2004-02-18,63.0,63.0,63.0,63.0,27907700,5010,5,63.0,63.0
18,2004-03-10,60.0,63.0,60.0,61.0,35549838,6568,27,63.0,61.0
19,2004-03-27,60.0,61.0,60.0,61.0,20681912,3852,5,61.0,61.0
20,2004-03-28,61.0,61.0,61.0,61.0,26758710,4983,3,61.0,61.0
21,2004-04-07,61.0,61.0,61.0,61.0,89158542,16517,38,61.0,61.0
22,2004-04-10,61.0,61.0,61.0,61.0,2077845,385,2,61.0,61.0
23,2004-04-12,61.0,61.0,61.0,61.0,2471826,458,2,61.0,61.0
24,2004-04-18,61.0,61.0,61.0,61.0,3908517,725,3,61.0,61.0
25,2004-06-07,58.0,61.0,58.0,59.0,52474387,10010,11,61.0,59.0
26,2004-06-09,61.0,61.0,61.0,61.0,27952950,5180,7,59.0,61.0
27,2004-06-14,61.0,61.0,61.0,61.0,21720000,4000,1,61.0,61.0
28,2004-06-15,61.0,62.0,61.0,62.0,137414940,25010,5,61.0,62.0
29,2004-06-19,62.0,63.0,62.0,63.0,50617440,9130,5,62.0,63.0
30,2004-06-20,63.0,63.0,63.0,63.0,22200000,4000,1,63.0,63.0
31,2004-06-27,63.0,63.0,63.0,63.0,12762700,2300,2,63.0,63.0
32,2004-07-12,63.0,63.0,63.0,63.0,70791645,12760,16,63.0,63.0
33,2004-08-10,63.0,65.0,63.0,64.0,49139840,8690,5,63.0,64.0
34,2004-08-11,65.0,65.0,65.0,65.0,24150000,4200,3,64.0,65.0
35,2004-08-14,66.0,66.0,66.0,66.0,25155000,4300,4,65.0,66.0
36,2004-08-15,67.0,67.0,67.0,67.0,59500000,10000,1,66.0,67.0
37,2004-08-16,68.0,69.0,68.0,68.0,143356040,23876,6,67.0,68.0
38,2004-08-17,69.0,69.0,69.0,69.0,30500000,5000,1,68.0,69.0
39,2004-08-22,69.0,69.0,69.0,69.0,30550000,5000,1,69.0,69.0
40,2004-08-23,71.0,71.0,71.0,71.0,62500000,10000,1,69.0,71.0
41,2004-08-25,71.0,74.0,71.0,72.0,197784970,31110,9,71.0,72.0
42,2004-09-01,72.0,72.0,72.0,72.0,3178500,500,1,72.0,72.0
43,2004-09-18,71.0,71.0,71.0,71.0,31150000,5000,1,72.0,71.0
44,2004-09-19,69.0,69.0,69.0,69.0,30500000,5000,1,71.0,69.0
45,2004-09-20,68.0,68.0,68.0,68.0,29850000,5000,1,69.0,68.0
46,2004-09-21,68.0,68.0,66.0,67.0,157289380,26710,6,68.0,67.0
47,2004-09-22,70.0,70.0,69.0,70.0,44179958,7154,4,67.0,70.0
48,2004-09-25,70.0,73.0,70.0,72.0,108269505,16939,7,70.0,72.0
49,2004-09-26,72.0,76.0,72.0,74.0,65520450,10010,4,72.0,74.0
50,2004-09-27,74.0,74.0,74.0,74.0,19735530,3010,5,74.0,74.0
51,2004-09-28,74.0,74.0,74.0,74.0,26300000,4000,1,74.0,74.0
52,2004-10-04,75.0,75.0,75.0,75.0,26400000,4000,1,74.0,75.0
53,2004-10-05,75.0,75.0,75.0,75.0,26606350,4010,4,75.0,75.0
54,2004-10-06,75.0,75.0,75.0,75.0,26680000,4000,1,75.0,75.0
55,2004-10-09,76.0,76.0,76.0,76.0,26907400,4022,2,75.0,76.0
56,2004-10-10,75.0,76.0,75.0,76.0,13406800,2010,2,76.0,76.0
57,2004-10-11,76.0,76.0,76.0,76.0,654640,98,1,76.0,76.0
58,2004-10-12,75.0,75.0,75.0,75.0,67626721,10151,7,76.0,75.0
59,2004-10-13,75.0,75.0,75.0,75.0,26600000,4000,1,75.0,75.0
60,2004-10-26,71.0,71.0,71.0,71.0,233873406,37017,11,75.0,71.0
61,2004-11-13,71.0,71.0,71.0,71.0,29647600,4700,2,71.0,71.0
62,2004-11-15,71.0,71.0,71.0,71.0,54314080,8610,10,71.0,71.0
63,2004-12-07,68.0,68.0,68.0,68.0,33600000,5600,2,71.0,68.0
64,2004-12-11,68.0,68.0,68.0,68.0,9000000,1500,1,68.0,68.0
65,2004-12-13,65.0,66.0,65.0,66.0,9634740,1690,3,68.0,66.0
66,2004-12-14,68.0,68.0,67.0,67.0,6059050,1010,2,66.0,67.0
