,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2005-01-18,997.0,997.0,995.0,995.0,32343390000,5390400,5079,0.0,995.0
1,2005-01-19,1044.0,1044.0,1044.0,1044.0,5040000000,800000,1103,995.0,1044.0
2,2005-01-22,1097.0,1097.0,1097.0,1097.0,13230000000,2000000,2169,1044.0,1097.0
3,2005-01-23,1151.0,1151.0,1151.0,1151.0,6945000000,1000000,1058,1097.0,1151.0
4,2005-01-24,1209.0,1209.0,1162.0,1208.0,50784420850,6968093,2783,1151.0,1208.0
5,2005-01-25,1177.0,1202.0,1156.0,1175.0,9334739780,1317353,1501,1208.0,1175.0
6,2005-01-26,1152.0,1199.0,1116.0,1176.0,15484995560,2182370,1593,1175.0,1176.0
7,2005-01-30,1164.0,1194.0,1128.0,1179.0,4208424116,591507,424,1176.0,1179.0
8,2005-01-31,1120.0,1190.0,1120.0,1180.0,7843898475,1101663,676,1179.0,1180.0
9,2005-02-01,1175.0,1185.0,1160.0,1182.0,3994848895,559953,296,1180.0,1182.0
10,2005-02-02,1128.0,1187.0,1128.0,1184.0,5290748902,740956,312,1182.0,1184.0
11,2005-02-05,1184.0,1185.0,1174.0,1184.0,2681011041,375454,162,1184.0,1184.0
12,2005-02-06,1177.0,1185.0,1161.0,1184.0,6254653993,876111,264,1184.0,1184.0
13,2005-02-07,1180.0,1185.0,1144.0,1184.0,7591254146,1062945,330,1184.0,1184.0
14,2005-02-08,1178.0,1185.0,1177.0,1184.0,2666170655,372975,172,1184.0,1184.0
15,2005-02-09,1185.0,1185.0,1184.0,1184.0,1327768370,185702,83,1184.0,1184.0
16,2005-02-12,1187.0,1187.0,1184.0,1186.0,4747777805,663185,137,1184.0,1186.0
17,2005-02-13,1186.0,1246.0,1185.0,1215.0,3918683372,527775,192,1186.0,1215.0
18,2005-02-14,1190.0,1243.0,1190.0,1217.0,874410747,117932,81,1215.0,1217.0
19,2005-02-15,1217.0,1227.0,1161.0,1217.0,1696404368,230953,118,1217.0,1217.0
20,2005-02-16,1225.0,1228.0,1213.0,1218.0,796484017,107810,61,1217.0,1218.0
21,2005-02-21,1189.0,1218.0,1157.0,1218.0,59955304,8542,16,1218.0,1218.0
