,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2009-11-01,1014.0,1019.0,1012.0,1016.0,405791820,399041,40,999.0,1019.0
1,2013-03-05,400.0,432.0,400.0,400.0,17524200,43800,16,1016.0,432.0
2,2013-03-06,432.0,432.0,432.0,432.0,3369600,7800,6,400.0,432.0
3,2013-03-09,466.0,466.0,466.0,466.0,21249600,45600,10,432.0,466.0
4,2013-03-10,502.0,502.0,429.0,432.0,147702335,342072,79,466.0,429.0
5,2013-03-11,460.0,466.0,405.0,424.0,14076495,33235,5,432.0,417.0
6,2013-03-12,423.0,425.0,391.0,407.0,120787057,297104,33,424.0,425.0
7,2013-03-13,381.0,394.0,380.0,382.0,45697435,119656,11,407.0,386.0
8,2013-03-16,388.0,388.0,388.0,388.0,17460000,45000,3,382.0,388.0
9,2013-03-17,363.0,370.0,361.0,361.0,3611780,10001,4,388.0,370.0
10,2013-03-18,360.0,384.0,360.0,364.0,18279057,50237,10,361.0,384.0
11,2013-03-25,392.0,393.0,392.0,393.0,22117719,56283,10,364.0,393.0
12,2013-03-26,400.0,405.0,400.0,400.0,220860,552,3,393.0,405.0
13,2013-03-27,408.0,408.0,370.0,395.0,49576922,125461,14,400.0,400.0
14,2013-03-30,373.0,373.0,370.0,370.0,163778560,442406,38,395.0,371.0
15,2013-03-31,372.0,379.0,367.0,372.0,93315510,251100,15,370.0,379.0
16,2013-04-03,380.0,383.0,380.0,383.0,7698297,20100,3,372.0,383.0
17,2013-04-06,401.0,402.0,400.0,401.0,102011758,254237,21,383.0,402.0
18,2013-04-07,412.0,412.0,390.0,391.0,237228093,605960,34,401.0,390.0
19,2013-04-08,400.0,400.0,380.0,389.0,203668088,523048,48,391.0,400.0
20,2013-04-09,402.0,420.0,402.0,415.0,51676992,124386,19,389.0,420.0
21,2013-04-10,448.0,448.0,421.0,440.0,206250206,468428,42,415.0,446.0
22,2013-04-13,421.0,421.0,415.0,420.0,202042159,481273,41,440.0,415.0
23,2013-04-15,407.0,410.0,407.0,409.0,260923216,638257,48,420.0,410.0
24,2013-04-16,410.0,410.0,377.0,387.0,305888134,790150,59,409.0,383.0
25,2013-11-20,899.0,899.0,899.0,899.0,455130000,505700,7,387.0,899.0
26,2013-11-23,899.0,899.0,899.0,899.0,507110400,563456,20,899.0,899.0
27,2013-11-24,899.0,899.0,899.0,899.0,109354500,121505,8,899.0,899.0
28,2013-11-25,900.0,971.0,900.0,963.0,3730713422,3871362,106,899.0,971.0
29,2013-11-26,1040.0,1040.0,1040.0,1040.0,1217150733,1169213,38,963.0,1040.0
30,2013-11-27,1123.0,1123.0,1123.0,1123.0,80028800,71200,4,1040.0,1123.0
31,2013-11-30,1212.0,1212.0,1212.0,1212.0,545850,450,1,1123.0,1212.0
32,2013-12-01,1309.0,1309.0,1309.0,1309.0,36399660,27786,2,1212.0,1309.0
33,2013-12-02,1413.0,1413.0,1413.0,1413.0,13949110,9865,1,1309.0,1413.0
34,2013-12-04,1526.0,1526.0,1526.0,1526.0,21378000,14000,2,1413.0,1526.0
35,2013-12-07,1404.0,1404.0,1404.0,1404.0,8373800,5960,19,1526.0,1404.0
36,2013-12-08,1294.0,1294.0,1292.0,1294.0,355150875,274325,11,1404.0,1294.0
37,2013-12-09,1294.0,1294.0,1294.0,1294.0,1406647130,1086214,52,1294.0,1294.0
38,2013-12-10,1294.0,1294.0,1294.0,1294.0,2592693600,2002080,79,1294.0,1294.0
39,2013-12-11,1397.0,1397.0,1397.0,1397.0,1683863040,1204480,41,1294.0,1397.0
40,2013-12-14,1397.0,1397.0,1397.0,1397.0,2909725902,2081349,58,1397.0,1397.0
41,2013-12-15,1399.0,1508.0,1349.0,1431.0,16444579192,11485511,4902,1397.0,1508.0
42,2013-12-16,1545.0,1545.0,1545.0,1545.0,9270000000,6000000,116,1431.0,1545.0
43,2017-08-06,35.0,38.0,35.0,37.0,42132977,1148062,44,1545.0,38.0
44,2017-08-07,40.0,40.0,40.0,40.0,21530240,538256,24,37.0,40.0
45,2017-08-08,44.0,44.0,44.0,44.0,10492108,238457,21,40.0,44.0
46,2017-08-09,48.0,48.0,48.0,48.0,14367744,299328,12,44.0,48.0
47,2017-08-12,52.0,52.0,45.0,52.0,2280882429,44240147,1127,48.0,52.0
48,2017-08-13,52.0,56.0,49.0,53.0,990592539,18864918,718,52.0,56.0
49,2017-08-14,55.0,58.0,53.0,58.0,1143952368,19831590,496,53.0,58.0
50,2017-08-15,60.0,63.0,59.0,63.0,680201978,10829513,283,58.0,63.0
