,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-09-05,10021.0,10021.0,10021.0,10021.0,3960000000000,396000000,4338,10021.0,10021.0
1,2021-10-11,10206.0,10209.0,10205.0,10205.0,2171916065,213278,43,10021.0,10209.0
2,2021-10-12,10211.0,10215.0,10210.0,10212.0,524934314441,51514224,647,10205.0,10215.0
3,2021-10-13,10220.0,10220.0,10216.0,10220.0,39599897847,3883130,115,10212.0,10220.0
4,2021-10-16,10233.0,10234.0,10233.0,10233.0,2134736664,209062,26,10220.0,10234.0
5,2021-10-17,10238.0,10239.0,10238.0,10238.0,1456131918,142533,51,10233.0,10239.0
6,2021-10-18,10244.0,10244.0,10243.0,10243.0,437907000,42843,20,10238.0,10244.0
7,2021-10-19,10247.0,10249.0,10246.0,10247.0,112464038288,10998900,133,10243.0,10249.0
8,2021-10-20,10253.0,10267.0,10253.0,10253.0,912920130,89230,9,10247.0,10267.0
9,2021-10-23,10285.0,10285.0,10269.0,10284.0,387333955,37743,23,10253.0,10285.0
10,2021-10-25,10281.0,10296.0,10281.0,10284.0,205656984122,20040630,424,10284.0,10281.0
11,2021-10-26,10297.0,10302.0,10295.0,10297.0,410819637697,39980505,812,10284.0,10302.0
12,2021-10-27,10307.0,10307.0,10301.0,10301.0,405405457545,39439114,811,10297.0,10303.0
13,2021-10-30,10312.0,10316.0,10311.0,10313.0,128700958698,12506266,263,10301.0,10314.0
14,2021-10-31,10315.0,10329.0,10315.0,10324.0,377656006,36660,14,10313.0,10329.0
15,2021-11-01,10329.0,10334.0,10326.0,10329.0,312061749601,30276659,490,10324.0,10334.0
16,2021-11-02,10334.0,10334.0,10331.0,10332.0,19687286679,1909582,47,10329.0,10334.0
17,2021-11-03,10339.0,10340.0,10339.0,10339.0,103837929756,10064739,211,10332.0,10340.0
18,2021-11-06,10356.0,10361.0,10352.0,10357.0,241411339465,23359205,449,10339.0,10356.0
19,2021-11-07,10364.0,10367.0,10363.0,10364.0,32353963604,3128420,97,10357.0,10363.0
20,2021-11-08,10373.0,10373.0,10369.0,10369.0,829667952,80183,14,10364.0,10372.0
21,2021-11-09,10375.0,10378.0,10374.0,10375.0,421339560970,40697317,825,10369.0,10376.0
22,2021-11-10,10384.0,10386.0,10381.0,10384.0,1379051401,133084,14,10375.0,10383.0
23,2021-11-13,10399.0,10402.0,10399.0,10400.0,2393976770,230683,17,10384.0,10402.0
24,2021-11-14,10407.0,10411.0,10406.0,10408.0,2387548410,229892,36,10400.0,10407.0
25,2021-11-15,10412.0,10413.0,10412.0,10413.0,3594738082,345958,26,10408.0,10412.0
26,2021-11-16,10419.0,10419.0,10418.0,10418.0,1168463013,112391,16,10413.0,10419.0
27,2021-11-17,10422.0,10426.0,10422.0,10425.0,3468052738,333376,14,10418.0,10426.0
28,2021-11-20,10442.0,10444.0,10440.0,10442.0,309051523646,29659430,671,10425.0,10443.0
29,2021-11-21,10448.0,10451.0,10448.0,10449.0,5169363672,495763,39,10442.0,10450.0
30,2021-11-22,10455.0,10457.0,10454.0,10455.0,23047572571,2209067,67,10449.0,10457.0
