,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2011-10-15,175.0,175.0,175.0,175.0,114338950050,58635359,1160,90.0,175.0
1,2011-10-16,179.0,179.0,171.0,176.0,16549753869,8463535,2257,175.0,174.0
2,2011-10-17,172.0,175.0,171.0,173.0,6130368001,3190903,1230,176.0,171.0
3,2011-10-18,173.0,175.0,172.0,174.0,6455829694,3341652,1067,173.0,173.0
4,2011-10-19,173.0,175.0,173.0,175.0,4553644675,2343917,722,174.0,174.0
5,2011-10-22,175.0,175.0,171.0,172.0,2065728654,1079437,571,175.0,171.0
6,2011-10-23,171.0,173.0,169.0,171.0,2985933428,1571288,650,172.0,169.0
7,2011-10-24,170.0,171.0,162.0,166.0,4939455662,2681578,481,171.0,166.0
8,2011-10-25,168.0,171.0,166.0,169.0,983817754,522504,121,166.0,169.0
9,2011-10-26,171.0,172.0,168.0,169.0,1104234175,586094,117,169.0,168.0
10,2011-10-29,169.0,171.0,166.0,168.0,1238014542,660517,101,169.0,169.0
11,2011-10-30,170.0,170.0,165.0,167.0,868493488,468013,99,168.0,165.0
12,2011-10-31,164.0,166.0,162.0,164.0,1608198881,881416,192,167.0,165.0
13,2011-11-01,164.0,166.0,164.0,165.0,740309067,403868,64,164.0,165.0
14,2011-11-02,168.0,168.0,166.0,166.0,1262753600,682920,94,165.0,166.0
15,2011-11-05,165.0,165.0,163.0,164.0,1299941520,713480,86,166.0,164.0
16,2011-11-06,162.0,167.0,159.0,164.0,3480773720,1912900,274,164.0,162.0
17,2011-11-08,158.0,159.0,155.0,157.0,2009977938,1153900,187,164.0,155.0
18,2011-11-09,161.0,163.0,157.0,161.0,1343000227,751790,96,157.0,161.0
19,2011-11-12,162.0,165.0,162.0,164.0,1065696900,584853,115,161.0,163.0
20,2011-11-13,162.0,162.0,158.0,159.0,872863340,493702,108,164.0,158.0
21,2011-11-14,159.0,159.0,156.0,157.0,762145913,435268,92,159.0,158.0
22,2011-11-16,159.0,165.0,159.0,162.0,636789483,353467,96,157.0,162.0
23,2011-11-19,162.0,165.0,161.0,163.0,1299371748,715681,120,162.0,163.0
24,2011-11-20,164.0,165.0,161.0,162.0,1195717974,664003,99,163.0,162.0
25,2011-11-21,162.0,165.0,162.0,163.0,1843158485,1017780,111,162.0,164.0
26,2011-11-22,162.0,162.0,157.0,159.0,1274662822,720646,113,163.0,160.0
27,2011-11-23,159.0,161.0,156.0,158.0,863607670,491344,70,159.0,156.0
