,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2014-02-17,177.0,177.0,177.0,177.0,16000000,20000,1,212.0,177.0
1,2014-03-17,266.0,266.0,266.0,266.0,39600000,33000,4,177.0,266.0
2,2014-03-18,266.0,266.0,266.0,266.0,12000000,10000,1,266.0,266.0
3,2014-03-25,266.0,266.0,266.0,266.0,24000000,20000,1,266.0,266.0
4,2014-03-30,266.0,266.0,266.0,266.0,1200000,1000,1,266.0,266.0
5,2014-04-30,266.0,266.0,266.0,266.0,216000000,180000,1,266.0,266.0
6,2014-05-05,266.0,266.0,244.0,255.0,230000,200,2,266.0,244.0
7,2014-05-14,244.0,244.0,244.0,244.0,110000,100,1,255.0,244.0
8,2014-05-24,177.0,177.0,177.0,177.0,3844800,4800,5,244.0,177.0
9,2014-05-25,177.0,177.0,177.0,177.0,1477044,1844,1,177.0,177.0
10,2014-06-21,178.0,178.0,178.0,178.0,14436000,18000,1,177.0,178.0
11,2014-06-24,244.0,266.0,244.0,245.0,7420000,6700,2,178.0,266.0
12,2014-06-25,177.0,177.0,177.0,177.0,1602000,2000,1,245.0,177.0
13,2014-07-05,244.0,244.0,244.0,244.0,19025600,17296,4,177.0,244.0
14,2014-07-06,199.0,199.0,199.0,199.0,4500000,5000,1,244.0,199.0
15,2014-07-12,243.0,244.0,243.0,244.0,6257300,5691,2,199.0,244.0
16,2014-07-15,244.0,244.0,244.0,244.0,1101100,1001,1,244.0,244.0
17,2014-07-16,244.0,244.0,244.0,244.0,989799,899,1,244.0,244.0
18,2014-08-11,218.0,218.0,218.0,218.0,2415000,3000,1,244.0,218.0
19,2014-08-19,217.0,217.0,217.0,217.0,2409000,3000,1,218.0,217.0
20,2014-08-31,230.0,230.0,230.0,230.0,850000,1000,1,217.0,230.0
21,2014-09-15,233.0,233.0,233.0,233.0,11180000,13000,1,230.0,233.0
22,2014-09-30,230.0,230.0,230.0,230.0,2550000,3000,1,233.0,230.0
23,2014-10-20,298.0,298.0,298.0,298.0,3300000,3000,1,230.0,298.0
24,2014-10-21,298.0,298.0,298.0,298.0,199098900,180999,2,298.0,298.0
25,2014-10-22,271.0,271.0,271.0,271.0,990000,990,1,298.0,271.0
26,2014-10-26,298.0,298.0,298.0,298.0,1645600,1496,3,271.0,298.0
27,2014-10-28,271.0,271.0,271.0,271.0,910000,910,1,298.0,271.0
28,2014-11-01,298.0,298.0,298.0,298.0,3300,3,1,271.0,298.0
29,2014-11-10,325.0,325.0,325.0,325.0,12000000,10000,1,298.0,325.0
30,2014-12-07,271.0,271.0,231.0,251.0,9282565,10003,2,325.0,231.0
31,2014-12-08,298.0,298.0,298.0,298.0,550500,500,1,251.0,298.0
32,2014-12-29,217.0,231.0,217.0,223.0,23037876,27998,3,298.0,231.0
33,2015-01-04,230.0,230.0,230.0,230.0,3776550,4443,1,223.0,230.0
34,2015-01-05,233.0,233.0,233.0,233.0,15823140,18399,2,230.0,233.0
35,2015-01-14,230.0,233.0,230.0,231.0,10466090,12266,2,233.0,233.0
36,2015-01-17,244.0,244.0,244.0,244.0,900900,1001,1,231.0,244.0
37,2015-01-26,233.0,233.0,233.0,233.0,683700,795,1,244.0,233.0
38,2015-01-31,217.0,217.0,217.0,217.0,14206598,17699,3,233.0,217.0
39,2015-02-03,217.0,217.0,217.0,217.0,8019198,9999,1,217.0,217.0
40,2015-02-17,221.0,221.0,221.0,221.0,6519185,7999,1,217.0,221.0
41,2015-02-22,221.0,221.0,221.0,221.0,2445000,3000,1,221.0,221.0
42,2015-03-04,222.0,222.0,222.0,222.0,2131180,2599,1,221.0,222.0
43,2015-03-16,222.0,222.0,219.0,222.0,6551280,7999,2,222.0,219.0
44,2015-03-18,238.0,257.0,238.0,242.0,26802132,30000,4,222.0,257.0
45,2015-04-06,230.0,230.0,230.0,230.0,2188750,2575,1,242.0,230.0
46,2015-04-26,230.0,230.0,230.0,230.0,7759650,9129,1,230.0,230.0
47,2015-04-28,230.0,230.0,230.0,230.0,31339500,36870,1,230.0,230.0
48,2015-05-19,230.0,230.0,230.0,230.0,2379150,2799,1,230.0,230.0
49,2015-06-10,230.0,230.0,230.0,230.0,5099150,5999,2,230.0,230.0
50,2015-06-17,257.0,257.0,257.0,257.0,7600000,8000,1,230.0,257.0
51,2015-06-20,271.0,271.0,271.0,271.0,545000,545,1,257.0,271.0
52,2015-07-11,244.0,244.0,244.0,244.0,10800000,12000,1,271.0,244.0
53,2015-07-12,230.0,230.0,230.0,230.0,5954777,6999,2,244.0,230.0
54,2015-07-14,230.0,230.0,230.0,230.0,599955,705,1,230.0,230.0
55,2015-09-01,242.0,242.0,242.0,242.0,14123200,17654,1,230.0,242.0
56,2015-09-05,239.0,239.0,239.0,239.0,4423210,5599,1,242.0,239.0
57,2015-10-07,245.0,245.0,245.0,245.0,5669190,6999,1,239.0,245.0
58,2015-10-27,260.0,260.0,260.0,260.0,13758280,15998,2,245.0,260.0
59,2015-11-11,260.0,260.0,260.0,260.0,3441720,4002,1,260.0,260.0
60,2015-11-17,262.0,262.0,262.0,262.0,34599135,39999,1,260.0,262.0
61,2015-11-23,260.0,260.0,260.0,260.0,2579140,2999,1,262.0,260.0
62,2015-12-23,260.0,260.0,260.0,260.0,1521340,1769,1,260.0,260.0
63,2016-01-05,259.0,260.0,259.0,259.0,13714155,15999,2,260.0,260.0
64,2016-01-13,260.0,260.0,260.0,260.0,35285800,41030,2,259.0,260.0
65,2016-01-18,266.0,266.0,265.0,265.0,6136140,6999,2,260.0,265.0
66,2016-01-19,265.0,265.0,265.0,265.0,2449125,2799,1,265.0,265.0
67,2016-01-23,266.0,266.0,266.0,266.0,6159120,6999,1,265.0,266.0
68,2016-02-16,265.0,265.0,265.0,265.0,22547000,25768,1,266.0,265.0
69,2016-03-28,272.0,272.0,272.0,272.0,8101800,9002,3,265.0,272.0
70,2016-05-03,272.0,272.0,257.0,261.0,58501500,67835,5,272.0,259.0
71,2016-05-04,266.0,266.0,257.0,262.0,95300000,110000,5,261.0,257.0
72,2016-05-07,257.0,257.0,257.0,257.0,40086000,47160,2,262.0,257.0
73,2016-05-11,258.0,258.0,257.0,257.0,30952299,36398,2,257.0,257.0
74,2016-05-16,303.0,303.0,303.0,303.0,1600000000,1600000,1,257.0,303.0
75,2016-05-18,303.0,303.0,303.0,303.0,1700000000,1700000,1,303.0,303.0
76,2016-06-07,294.0,294.0,294.0,294.0,54319030,55999,2,303.0,294.0
77,2016-06-14,294.0,303.0,288.0,291.0,513549050,534999,3,294.0,303.0
78,2016-06-19,303.0,303.0,303.0,303.0,154810000,154810,5,291.0,303.0
79,2016-06-21,303.0,303.0,303.0,303.0,35997000,35997,3,303.0,303.0
80,2016-06-26,303.0,333.0,294.0,298.0,36507159,37009,5,303.0,333.0
81,2016-06-28,303.0,303.0,303.0,303.0,851700000,850000,2,298.0,303.0
82,2016-07-02,303.0,303.0,303.0,303.0,4989000,4989,1,303.0,303.0
83,2016-07-03,304.0,304.0,304.0,304.0,852550000,850000,1,303.0,304.0
84,2016-07-10,303.0,303.0,300.0,303.0,1038577020,1037597,3,304.0,300.0
