,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2013-05-08,316.0,316.0,316.0,316.0,62194164900,29616269,10014,150.0,316.0
1,2013-05-11,331.0,331.0,331.0,331.0,33233760,15072,29,316.0,331.0
2,2013-05-12,348.0,348.0,348.0,348.0,423246820,182828,167,331.0,348.0
3,2013-05-13,361.0,361.0,331.0,341.0,32781427976,14449311,9667,348.0,337.0
4,2013-05-14,329.0,336.0,324.0,326.0,10014218581,4620654,3213,341.0,331.0
5,2013-05-15,332.0,338.0,320.0,326.0,4007020943,1847820,1229,326.0,322.0
6,2013-05-18,322.0,323.0,310.0,315.0,4644736169,2215106,1235,326.0,316.0
7,2013-05-19,316.0,330.0,316.0,324.0,2964390624,1375045,877,315.0,330.0
8,2013-05-20,329.0,329.0,315.0,319.0,3983038893,1874721,909,324.0,319.0
9,2013-05-21,316.0,319.0,310.0,314.0,2107296664,1007732,502,319.0,314.0
10,2013-05-22,307.0,316.0,307.0,311.0,1730930496,835688,392,314.0,315.0
11,2013-05-25,315.0,327.0,311.0,324.0,3905587424,1812915,1058,311.0,327.0
12,2013-05-26,328.0,334.0,323.0,328.0,4473644161,2052031,1070,324.0,327.0
13,2013-05-27,325.0,328.0,319.0,323.0,3535414355,1644215,791,328.0,323.0
14,2013-05-28,324.0,339.0,318.0,335.0,8312971115,3726672,1380,323.0,339.0
15,2013-05-29,346.0,352.0,343.0,351.0,17655594622,7550375,3061,335.0,352.0
16,2013-06-01,361.0,367.0,339.0,352.0,7350863719,3140167,1251,351.0,348.0
17,2013-06-02,346.0,356.0,335.0,342.0,3238827568,1422344,599,352.0,335.0
18,2013-06-03,332.0,343.0,331.0,335.0,4488228939,2012010,891,342.0,341.0
19,2013-06-08,341.0,341.0,326.0,330.0,1883954474,856711,359,335.0,327.0
20,2013-06-09,330.0,330.0,320.0,325.0,1383057384,640030,311,330.0,322.0
21,2013-06-10,322.0,335.0,322.0,328.0,1074601004,492563,289,325.0,326.0
22,2013-06-11,324.0,340.0,324.0,334.0,2937486461,1319474,507,328.0,340.0
23,2013-06-12,338.0,339.0,329.0,337.0,7530652268,3356173,926,334.0,338.0
24,2013-06-15,343.0,354.0,343.0,354.0,8344663562,3544593,933,337.0,354.0
25,2013-06-16,368.0,368.0,340.0,353.0,5051837541,2148947,810,354.0,341.0
26,2013-06-17,341.0,347.0,337.0,341.0,2373495628,1045710,462,353.0,342.0
27,2013-06-18,341.0,352.0,339.0,346.0,4284251048,1861432,758,341.0,346.0
28,2013-06-19,346.0,353.0,340.0,345.0,2211484056,962892,457,346.0,341.0
29,2013-06-22,346.0,362.0,346.0,360.0,6859991105,2859050,1036,345.0,362.0
30,2013-06-23,377.0,378.0,370.0,378.0,8865455522,3524543,856,360.0,378.0
31,2013-06-25,397.0,397.0,379.0,394.0,19305019516,7357514,2893,378.0,396.0
