,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2005-01-05,356.0,356.0,343.0,346.0,7720405042,1910000,2479,356.0,346.0
1,2005-01-08,363.0,363.0,363.0,363.0,19148928000,4512000,2787,346.0,363.0
2,2005-01-09,382.0,382.0,382.0,382.0,31420641816,7051311,2122,363.0,382.0
3,2005-01-10,401.0,401.0,401.0,401.0,5613600000,1200000,1155,382.0,401.0
4,2005-01-11,421.0,421.0,421.0,421.0,22189518630,4518330,2249,401.0,421.0
5,2005-01-12,442.0,442.0,442.0,442.0,24014472168,4657578,1536,421.0,442.0
6,2005-01-15,464.0,464.0,454.0,463.0,22392977302,4137194,2604,442.0,463.0
7,2005-01-16,463.0,482.0,455.0,470.0,10793168064,1965472,1522,463.0,470.0
8,2005-01-17,460.0,480.0,447.0,461.0,24257218201,4491585,1633,470.0,461.0
9,2005-01-18,461.0,461.0,445.0,452.0,3503935284,664284,374,461.0,452.0
10,2005-01-19,447.0,450.0,437.0,441.0,3098129709,600968,344,452.0,441.0
11,2005-01-22,445.0,461.0,445.0,452.0,2843049818,539204,256,441.0,452.0
12,2005-01-23,458.0,467.0,452.0,463.0,2325091728,429786,229,452.0,463.0
13,2005-01-24,462.0,467.0,459.0,462.0,2118069180,392168,204,463.0,462.0
14,2005-01-25,463.0,463.0,441.0,452.0,21441560558,4064008,144,462.0,452.0
15,2005-01-26,445.0,445.0,437.0,443.0,1506001525,291311,151,452.0,443.0
16,2005-01-30,442.0,442.0,428.0,435.0,762168897,150183,77,443.0,435.0
17,2005-01-31,426.0,457.0,417.0,438.0,1939799283,379330,117,435.0,438.0
18,2005-02-01,440.0,441.0,428.0,435.0,405948843,80505,58,438.0,435.0
19,2005-02-02,434.0,434.0,428.0,429.0,852617200,170126,73,435.0,429.0
20,2005-02-05,431.0,431.0,420.0,426.0,889799087,178770,105,429.0,426.0
21,2005-02-06,424.0,424.0,420.0,421.0,1595476664,324809,113,426.0,421.0
22,2005-02-07,416.0,416.0,400.0,403.0,754146501,160234,69,421.0,403.0
23,2005-02-08,398.0,421.0,395.0,404.0,735108968,155657,79,403.0,404.0
24,2005-02-09,404.0,425.0,403.0,419.0,637368484,129227,47,404.0,419.0
25,2005-02-12,423.0,428.0,423.0,427.0,758874467,152193,60,419.0,427.0
26,2005-02-13,420.0,426.0,411.0,425.0,170786864,34916,29,427.0,425.0
27,2005-02-14,419.0,419.0,404.0,418.0,491968470,101796,49,425.0,418.0
28,2005-02-15,404.0,404.0,397.0,402.0,583308741,125639,35,418.0,402.0
29,2005-02-16,382.0,395.0,382.0,395.0,232829536,52227,14,402.0,395.0
30,2005-02-21,376.0,382.0,376.0,382.0,510118711,115843,71,395.0,382.0
31,2005-02-22,363.0,401.0,363.0,385.0,1207478230,268373,103,382.0,385.0
32,2005-02-23,384.0,394.0,377.0,390.0,705209901,154932,49,385.0,390.0
33,2005-02-26,394.0,409.0,394.0,398.0,505486472,107637,46,390.0,398.0
34,2005-02-27,418.0,418.0,406.0,406.0,364813823,75226,42,398.0,406.0
35,2005-02-28,426.0,426.0,410.0,410.0,176916270,35540,14,406.0,410.0
36,2005-03-01,431.0,431.0,407.0,424.0,1501430855,303236,122,410.0,424.0
37,2005-03-02,403.0,421.0,403.0,421.0,161115998,33746,27,424.0,421.0
38,2005-03-05,414.0,424.0,414.0,421.0,327724758,66638,43,421.0,421.0
39,2005-03-06,416.0,421.0,407.0,414.0,454562633,95109,46,421.0,414.0
40,2005-03-07,400.0,411.0,396.0,411.0,165059497,35440,21,414.0,411.0
41,2005-03-08,408.0,412.0,394.0,409.0,375170689,78847,42,411.0,409.0
42,2005-03-09,408.0,415.0,407.0,409.0,305619436,64110,37,409.0,409.0
43,2005-03-12,415.0,415.0,410.0,410.0,182104643,37602,25,409.0,410.0
44,2005-03-13,416.0,420.0,403.0,411.0,948462965,197745,77,410.0,411.0
45,2005-03-14,394.0,431.0,390.0,427.0,19644285637,4281587,121,411.0,427.0
46,2005-03-15,447.0,448.0,437.0,445.0,3596519127,693867,75,427.0,445.0
47,2005-03-16,462.0,466.0,446.0,458.0,4014491231,757955,116,445.0,458.0
48,2005-03-26,462.0,464.0,458.0,458.0,24111880,4460,6,458.0,458.0
49,2005-03-27,462.0,462.0,458.0,458.0,42309889,7843,13,458.0,458.0
50,2005-03-28,458.0,460.0,458.0,458.0,120297170,22482,21,458.0,458.0
51,2005-03-29,458.0,458.0,458.0,458.0,186503400,34857,18,458.0,458.0
52,2005-03-30,458.0,462.0,458.0,458.0,1135985137,212249,57,458.0,458.0
53,2005-04-03,458.0,458.0,458.0,458.0,638122404,119225,42,458.0,458.0
54,2005-04-04,458.0,458.0,458.0,458.0,469929586,87811,33,458.0,458.0
55,2005-04-05,458.0,458.0,438.0,458.0,1138251930,212896,69,458.0,458.0
56,2005-04-06,458.0,458.0,458.0,458.0,826787000,154660,36,458.0,458.0
57,2005-04-10,455.0,458.0,452.0,457.0,1910386939,358260,109,458.0,457.0
58,2005-04-11,454.0,479.0,454.0,469.0,3131635151,571991,192,457.0,469.0
59,2005-04-12,492.0,492.0,478.0,478.0,359042155,62475,27,469.0,478.0
60,2005-04-13,502.0,502.0,499.0,499.0,813439754,138836,54,478.0,499.0
61,2005-04-16,524.0,524.0,499.0,520.0,3406134809,561139,196,499.0,520.0
