,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2016-07-09,510.0,1020.0,510.0,939.0,2967924950,3224050,18,1020.0,713.0
1,2016-07-10,510.0,589.0,510.0,516.0,173980280,344010,27,939.0,530.0
2,2016-07-11,528.0,539.0,528.0,531.0,107855820,206990,8,516.0,535.0
3,2016-07-12,535.0,558.0,535.0,540.0,10729565,20295,3,531.0,558.0
4,2016-07-13,530.0,551.0,514.0,516.0,94693400,187000,10,540.0,541.0
5,2016-07-16,516.0,539.0,511.0,516.0,58481500,115500,11,516.0,511.0
6,2016-07-17,512.0,512.0,510.0,510.0,62692070,125335,8,516.0,510.0
7,2016-07-18,510.0,510.0,476.0,499.0,25650200,52500,7,510.0,476.0
8,2016-07-19,480.0,484.0,480.0,481.0,10382000,22000,2,499.0,484.0
9,2016-07-23,475.0,481.0,474.0,476.0,119202820,255270,13,481.0,481.0
10,2016-07-24,480.0,480.0,480.0,480.0,3720900,7900,1,476.0,480.0
11,2016-07-26,495.0,537.0,495.0,505.0,6589100,13300,3,480.0,537.0
12,2016-07-27,536.0,566.0,536.0,559.0,170910091,311738,8,505.0,551.0
13,2016-08-01,530.0,531.0,505.0,518.0,182821700,360100,13,559.0,512.0
14,2016-08-02,530.0,530.0,511.0,526.0,30977200,60010,2,518.0,511.0
15,2016-08-03,592.0,586.0,586.0,586.0,1725000,3000,1,526.0,586.0
16,2016-08-06,521.0,521.0,514.0,515.0,32822000,65000,5,586.0,514.0
17,2016-08-13,587.0,587.0,576.0,579.0,8522000,15000,7,515.0,576.0
18,2016-08-16,550.0,567.0,531.0,555.0,1533025200,2817200,8,579.0,556.0
19,2016-08-17,532.0,532.0,532.0,532.0,26100000,50000,1,555.0,532.0
20,2016-08-21,551.0,551.0,551.0,551.0,54000000,100000,2,532.0,551.0
21,2016-08-22,551.0,551.0,550.0,551.0,61279000,113500,3,551.0,550.0
22,2016-08-23,550.0,550.0,532.0,537.0,1739600,3300,2,551.0,532.0
23,2016-08-24,551.0,551.0,551.0,551.0,15120000,28000,1,537.0,551.0
24,2016-08-27,550.0,550.0,550.0,550.0,1643950,3050,4,551.0,550.0
25,2016-08-28,550.0,550.0,550.0,550.0,994455,1845,1,550.0,550.0
26,2016-08-29,532.0,532.0,532.0,532.0,5742000,11000,1,550.0,532.0
27,2016-08-31,550.0,550.0,550.0,550.0,4312000,8000,9,532.0,550.0
28,2016-09-03,550.0,550.0,532.0,533.0,45483000,87000,4,550.0,532.0
29,2016-09-04,533.0,550.0,532.0,532.0,24021078,46002,4,533.0,532.0
