,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2016-03-16,403.0,403.0,403.0,403.0,213640000000,196000000,50657,370.0,403.0
1,2016-03-26,423.0,423.0,423.0,423.0,250103568,218622,143,403.0,423.0
2,2016-03-27,444.0,444.0,444.0,444.0,526836665,438665,258,423.0,444.0
3,2016-03-28,466.0,466.0,466.0,466.0,2488219071,1973211,979,444.0,466.0
4,2016-03-29,474.0,474.0,443.0,453.0,126662238760,103490489,32677,466.0,449.0
5,2016-03-30,444.0,470.0,444.0,460.0,52570854557,42247039,9722,453.0,465.0
6,2016-04-02,464.0,472.0,460.0,464.0,32592390039,25961545,5749,460.0,461.0
7,2016-04-03,461.0,461.0,444.0,452.0,14963790767,12249511,3053,464.0,459.0
8,2016-04-04,455.0,460.0,448.0,454.0,9517984914,7750258,2256,452.0,454.0
9,2016-04-05,455.0,477.0,447.0,469.0,24445568191,19268316,3682,454.0,477.0
10,2016-04-06,493.0,493.0,481.0,493.0,38774450539,29112288,2414,469.0,493.0
11,2016-04-09,493.0,503.0,481.0,492.0,38104695887,28649825,3868,493.0,491.0
12,2016-04-10,488.0,491.0,473.0,480.0,22116272580,17030718,2136,492.0,473.0
13,2016-04-11,473.0,488.0,466.0,476.0,9783363475,7603588,1279,480.0,470.0
14,2016-04-12,473.0,500.0,471.0,497.0,61047846440,45418814,4114,476.0,498.0
15,2016-04-13,499.0,503.0,472.0,480.0,14295417972,11009226,1255,497.0,475.0
16,2016-04-16,483.0,483.0,456.0,458.0,19100639427,15424922,1353,480.0,456.0
17,2016-04-17,450.0,480.0,439.0,466.0,11908518127,9444264,1154,458.0,472.0
18,2016-04-18,475.0,485.0,467.0,475.0,8826261688,6872241,836,466.0,470.0
19,2016-04-19,470.0,473.0,454.0,461.0,6608329671,5299674,750,475.0,459.0
20,2016-04-20,459.0,473.0,459.0,466.0,4270780234,3391654,563,461.0,465.0
21,2016-04-23,470.0,473.0,459.0,464.0,3424088349,2726761,458,466.0,468.0
22,2016-04-24,462.0,476.0,462.0,470.0,7732592600,6089414,953,464.0,469.0
23,2016-04-25,470.0,481.0,465.0,472.0,8262000654,6476441,862,470.0,470.0
24,2016-04-26,473.0,495.0,467.0,490.0,32296108217,24389736,2545,472.0,495.0
25,2016-04-27,504.0,512.0,492.0,501.0,13813286358,10198936,1359,490.0,492.0
26,2016-04-30,499.0,501.0,480.0,485.0,5947386235,4534081,631,501.0,482.0
27,2016-05-01,488.0,497.0,474.0,486.0,5296330165,4029396,601,485.0,484.0
28,2016-05-02,485.0,485.0,469.0,474.0,8893770982,6943920,852,486.0,479.0
29,2016-05-03,480.0,481.0,470.0,474.0,2607981148,2036272,395,474.0,473.0
30,2016-05-04,475.0,488.0,471.0,479.0,5723064796,4423965,627,474.0,474.0
31,2016-05-07,475.0,480.0,459.0,466.0,4946766992,3925357,594,479.0,464.0
32,2016-05-08,459.0,477.0,457.0,467.0,6827396136,5403521,971,466.0,473.0
