,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2008-05-18,78.0,78.0,78.0,78.0,296670000000,118668000,4493,78.0,78.0
1,2008-05-19,80.0,80.0,80.0,80.0,7801155625,3029575,444,78.0,80.0
2,2008-05-20,82.0,82.0,82.0,82.0,16724148480,6306240,758,80.0,82.0
3,2008-05-21,85.0,85.0,83.0,83.0,978475685,358285,76,82.0,83.0
4,2008-05-24,85.0,85.0,83.0,83.0,920974290,335510,76,83.0,83.0
5,2008-05-25,86.0,86.0,84.0,84.0,1181549397,428253,107,83.0,84.0
6,2008-05-26,86.0,86.0,84.0,84.0,645918970,232680,51,84.0,84.0
7,2008-05-27,87.0,87.0,84.0,84.0,825212510,296200,53,84.0,84.0
8,2008-05-28,87.0,87.0,85.0,85.0,987393944,352893,91,84.0,85.0
9,2008-05-31,87.0,87.0,85.0,85.0,672233198,239059,62,85.0,85.0
10,2008-06-01,88.0,88.0,88.0,88.0,6270543582,2221234,337,85.0,88.0
11,2008-06-02,90.0,90.0,90.0,90.0,7237560807,2489701,303,88.0,90.0
12,2008-06-08,93.0,93.0,91.0,91.0,2344448176,783049,101,90.0,91.0
13,2008-06-09,94.0,94.0,92.0,92.0,1337181650,441460,70,91.0,92.0
14,2008-06-10,95.0,95.0,93.0,93.0,2949049278,967536,120,92.0,93.0
15,2008-06-11,96.0,96.0,94.0,94.0,2040606150,659750,91,93.0,94.0
16,2008-06-14,97.0,97.0,95.0,95.0,1316047105,421405,85,94.0,95.0
17,2008-06-15,98.0,98.0,95.0,95.0,1215114500,386610,80,95.0,95.0
18,2008-06-16,98.0,98.0,96.0,96.0,1059458950,335060,75,95.0,96.0
19,2008-06-17,99.0,99.0,96.0,96.0,1537870628,484064,102,96.0,96.0
20,2008-06-18,99.0,99.0,98.0,98.0,4194713280,1310848,182,96.0,98.0
21,2008-06-21,101.0,101.0,99.0,99.0,1880919777,576439,108,98.0,99.0
22,2008-06-22,102.0,102.0,100.0,100.0,2415954970,734333,128,99.0,100.0
23,2008-06-23,103.0,103.0,101.0,101.0,589366320,177200,39,100.0,101.0
24,2008-06-24,104.0,104.0,101.0,101.0,835740145,250597,41,101.0,101.0
25,2008-07-05,144.0,173.0,124.0,158.0,138017664658,27072882,4575,101.0,158.0
26,2008-07-06,163.0,163.0,159.0,159.0,926964860,176565,63,158.0,159.0
27,2008-07-07,163.0,163.0,154.0,159.0,70531675100,13758187,2519,159.0,159.0
28,2008-07-08,164.0,164.0,160.0,164.0,72014408536,13663515,2777,159.0,164.0
29,2008-07-09,164.0,167.0,159.0,159.0,57293514570,11165645,1871,164.0,159.0
30,2008-07-12,159.0,159.0,155.0,155.0,28195553776,5654954,1118,159.0,155.0
31,2008-07-13,159.0,159.0,157.0,157.0,6011736070,1171493,301,155.0,157.0
32,2008-07-14,162.0,162.0,160.0,160.0,4986904770,954980,240,157.0,160.0
33,2008-07-15,164.0,164.0,161.0,161.0,2136061693,403259,143,160.0,161.0
34,2008-07-19,165.0,165.0,161.0,161.0,764891246,143534,62,161.0,161.0
35,2008-07-20,166.0,166.0,163.0,163.0,3732269170,698927,277,161.0,163.0
36,2008-07-21,168.0,168.0,166.0,168.0,62688246078,11619036,2288,163.0,168.0
37,2008-07-22,173.0,173.0,168.0,168.0,393863290,70890,38,168.0,168.0
38,2008-07-23,173.0,173.0,168.0,168.0,306019050,55010,24,168.0,168.0
39,2008-07-26,173.0,173.0,171.0,171.0,7252926421,1302843,379,168.0,171.0
40,2008-07-27,176.0,176.0,171.0,171.0,641999448,113108,53,171.0,171.0
41,2008-07-28,177.0,177.0,172.0,172.0,650527305,114429,57,171.0,172.0
42,2008-07-29,177.0,177.0,172.0,172.0,411127986,72204,36,172.0,172.0
43,2008-08-02,177.0,177.0,172.0,172.0,626572536,109906,55,172.0,172.0
44,2008-08-03,177.0,177.0,174.0,174.0,4323354020,757155,245,172.0,174.0
45,2008-08-04,174.0,179.0,174.0,178.0,40029686595,6971431,1665,174.0,178.0
46,2008-08-05,184.0,184.0,176.0,183.0,76501072356,13011759,2841,178.0,183.0
47,2008-08-06,179.0,181.0,177.0,177.0,60781279415,10647701,2088,183.0,177.0
48,2008-08-09,174.0,181.0,172.0,174.0,28865970040,5168193,998,177.0,174.0
49,2008-08-25,200.0,205.0,190.0,197.0,46174440244,7284331,1764,174.0,197.0
50,2008-08-26,196.0,203.0,195.0,202.0,18129755727,2784951,704,197.0,202.0
51,2008-08-27,208.0,208.0,204.0,204.0,3744571422,558558,178,202.0,204.0
52,2008-08-30,208.0,210.0,202.0,208.0,28203080109,4214985,1265,204.0,208.0
53,2008-08-31,202.0,208.0,202.0,208.0,202917121,31261,25,208.0,208.0
54,2008-09-01,201.0,207.0,201.0,202.0,58066985019,8945953,1618,208.0,202.0
55,2008-09-02,202.0,205.0,54.0,203.0,235962013035,125252349,714,202.0,203.0
56,2008-09-03,209.0,209.0,203.0,208.0,26027100381,3883037,907,203.0,208.0
57,2008-09-06,209.0,214.0,202.0,205.0,11800842787,1788527,494,208.0,205.0
58,2008-09-07,199.0,205.0,199.0,205.0,846915326,132084,41,205.0,205.0
59,2008-09-08,199.0,199.0,199.0,199.0,15925460058,2488742,367,205.0,199.0
60,2008-09-09,193.0,199.0,193.0,193.0,11102798482,1787944,409,199.0,193.0
61,2008-09-10,188.0,193.0,188.0,193.0,15254392,2524,4,193.0,193.0
62,2008-09-21,186.0,188.0,158.0,165.0,40719364884,7664921,1707,193.0,165.0
63,2008-09-23,160.0,169.0,160.0,162.0,25932437564,4971750,847,165.0,162.0
64,2008-09-24,167.0,167.0,160.0,166.0,8634969866,1608133,368,162.0,166.0
65,2008-09-27,167.0,168.0,161.0,164.0,8190573709,1572084,299,166.0,164.0
66,2008-09-28,163.0,168.0,159.0,163.0,4809910263,921605,194,164.0,163.0
67,2008-09-29,162.0,163.0,158.0,161.0,4971210902,973763,210,163.0,161.0
68,2008-09-30,158.0,159.0,156.0,159.0,3042395328,605420,147,161.0,159.0
69,2008-10-04,155.0,159.0,155.0,159.0,305756891,61409,16,159.0,159.0
70,2008-10-05,154.0,159.0,154.0,159.0,1323135070,266010,59,159.0,159.0
71,2008-10-06,154.0,158.0,154.0,158.0,496491330,100220,25,159.0,158.0
72,2008-10-07,154.0,158.0,154.0,158.0,87217120,17630,8,158.0,158.0
73,2008-10-08,154.0,158.0,154.0,158.0,17955500,3630,8,158.0,158.0
74,2008-10-11,154.0,154.0,154.0,154.0,9948928460,2011510,399,158.0,154.0
75,2008-10-12,149.0,149.0,149.0,149.0,13391376334,2791033,585,154.0,149.0
76,2008-10-13,145.0,145.0,145.0,145.0,10741878000,2307600,479,149.0,145.0
77,2008-10-20,99.0,99.0,81.0,87.0,10111483359,3626461,710,145.0,87.0
78,2008-10-21,89.0,89.0,87.0,87.0,277576103,96683,27,87.0,87.0
79,2008-10-22,89.0,89.0,87.0,87.0,160170,56,2,87.0,87.0
80,2008-10-26,89.0,89.0,87.0,87.0,572880375,199263,54,87.0,87.0
81,2008-10-27,87.0,90.0,87.0,87.0,3571352919165,1275027018,16,87.0,87.0
82,2008-10-28,90.0,90.0,87.0,87.0,708742785,245665,48,87.0,87.0
83,2008-10-29,90.0,90.0,87.0,87.0,15496095,5353,3,87.0,87.0
84,2008-11-01,90.0,90.0,87.0,87.0,14506005,5011,4,87.0,87.0
85,2008-11-02,90.0,90.0,90.0,90.0,4981649295,1720777,307,87.0,90.0
86,2008-11-03,92.0,92.0,90.0,90.0,220477110,74260,14,90.0,90.0
87,2008-11-04,92.0,92.0,90.0,90.0,4415532,1486,3,90.0,90.0
88,2008-11-05,92.0,92.0,90.0,90.0,44608870,15010,8,90.0,90.0
89,2008-11-08,92.0,92.0,90.0,90.0,68883560,23170,9,90.0,90.0
90,2008-11-09,92.0,92.0,89.0,92.0,14625263466,4941918,823,90.0,92.0
91,2008-11-10,92.0,92.0,89.0,91.0,1438204497,500372,114,92.0,91.0
92,2008-11-11,89.0,91.0,89.0,91.0,865257900,303599,54,91.0,91.0
93,2008-11-12,88.0,90.0,88.0,90.0,2061092374,726248,142,91.0,90.0
94,2008-11-15,88.0,90.0,87.0,89.0,4519302699,1608576,245,90.0,89.0
95,2008-11-16,89.0,90.0,86.0,88.0,3051814776,1084497,64,89.0,88.0
96,2008-11-17,87.0,89.0,86.0,88.0,5314623976,1895082,119,88.0,88.0
97,2008-11-18,85.0,87.0,85.0,87.0,1734723693,627394,90,88.0,87.0
98,2008-11-19,87.0,87.0,85.0,87.0,580164269,212172,66,87.0,87.0
99,2008-11-22,86.0,87.0,84.0,87.0,4345180198,1596162,99,87.0,87.0
100,2008-11-23,84.0,86.0,84.0,86.0,442811390,163686,39,87.0,86.0
101,2008-11-24,84.0,86.0,84.0,86.0,87526638,32441,11,86.0,86.0
102,2008-11-25,84.0,86.0,84.0,86.0,69934030,25930,10,86.0,86.0
103,2008-11-26,84.0,86.0,84.0,86.0,66888580,24810,14,86.0,86.0
104,2008-11-29,84.0,86.0,84.0,86.0,80877770,30010,11,86.0,86.0
105,2008-11-30,84.0,86.0,39.0,86.0,1500065553922,1200024333,12,86.0,86.0
106,2008-12-01,84.0,86.0,84.0,86.0,126598740,47010,12,86.0,86.0
107,2008-12-02,84.0,86.0,84.0,86.0,64611730,24010,8,86.0,86.0
108,2008-12-03,84.0,86.0,84.0,86.0,10142130,3770,11,86.0,86.0
109,2008-12-06,84.0,84.0,84.0,85.0,1707657730,634817,136,86.0,84.0
110,2008-12-07,83.0,83.0,83.0,85.0,429358150,161110,19,85.0,83.0
111,2008-12-08,83.0,83.0,83.0,85.0,159480000,60000,8,85.0,83.0
112,2008-12-10,82.0,82.0,82.0,85.0,7968000,3000,2,85.0,82.0
113,2008-12-13,82.0,82.0,82.0,85.0,120731136,45456,11,85.0,82.0
114,2008-12-14,82.0,82.0,82.0,85.0,69319826,26119,5,85.0,82.0
115,2008-12-15,82.0,82.0,82.0,85.0,106120000,40000,9,85.0,82.0
