,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-17,30.0,30.0,30.0,30.0,1350000,1000,1,30.0,30.0
1,2001-04-18,30.0,30.0,30.0,30.0,9756450,7227,8,30.0,30.0
2,2001-04-21,30.0,30.0,30.0,30.0,12150000,9000,4,30.0,30.0
3,2001-04-22,30.0,30.0,30.0,30.0,318722,236,6,30.0,30.0
4,2001-04-23,30.0,30.0,30.0,30.0,1341184,992,1,30.0,30.0
5,2001-04-24,30.0,30.0,30.0,30.0,10816500,8000,13,30.0,30.0
6,2001-04-25,30.0,30.0,26.0,30.0,204829483,173711,487,30.0,30.0
7,2001-04-28,30.0,30.0,30.0,30.0,154698,114,1,30.0,30.0
8,2001-04-29,30.0,30.0,30.0,30.0,19500335,14335,12,30.0,30.0
9,2001-04-30,30.0,30.0,30.0,30.0,677040,496,2,30.0,30.0
10,2001-05-01,30.0,31.0,30.0,31.0,9898877,7123,5,30.0,31.0
11,2001-05-02,31.0,31.0,31.0,31.0,23538160,16566,8,31.0,31.0
12,2001-05-05,31.0,31.0,31.0,31.0,1043748,734,7,31.0,31.0
13,2001-05-07,32.0,32.0,32.0,32.0,128700,90,2,31.0,32.0
14,2001-05-08,32.0,32.0,32.0,32.0,12060827,8359,8,32.0,32.0
15,2001-05-09,32.0,32.0,32.0,32.0,4222410,2910,1,32.0,32.0
16,2001-05-12,32.0,32.0,32.0,32.0,4292400,2940,2,32.0,32.0
17,2001-05-13,33.0,34.0,33.0,34.0,5437441,3559,6,32.0,34.0
18,2001-05-15,36.0,36.0,36.0,36.0,13977383,8687,8,34.0,36.0
19,2001-05-16,37.0,37.0,36.0,36.0,18876286,11645,10,36.0,36.0
20,2001-05-19,35.0,35.0,35.0,35.0,2395930,1500,3,36.0,35.0
21,2001-05-20,35.0,35.0,35.0,35.0,222320,140,1,35.0,35.0
22,2001-05-21,35.0,35.0,35.0,35.0,180462,114,1,35.0,35.0
23,2001-05-26,35.0,35.0,35.0,35.0,1306620,830,3,35.0,35.0
24,2001-05-27,35.0,35.0,33.0,33.0,20085790,12760,9,35.0,33.0
25,2001-05-28,34.0,34.0,33.0,33.0,9740624,6408,13,33.0,33.0
26,2001-05-29,34.0,34.0,33.0,33.0,8833160,5812,9,33.0,33.0
27,2001-05-30,33.0,33.0,33.0,33.0,449586,300,3,33.0,33.0
28,2001-06-02,33.0,33.0,33.0,33.0,15486696,10335,5,33.0,33.0
29,2001-06-03,33.0,33.0,33.0,33.0,3150000,2100,3,33.0,33.0
30,2001-06-06,33.0,33.0,33.0,33.0,11907641,7942,11,33.0,33.0
31,2001-06-09,33.0,33.0,33.0,33.0,2415000,1610,3,33.0,33.0
32,2001-06-11,33.0,33.0,33.0,33.0,6177000,4118,3,33.0,33.0
33,2001-06-12,33.0,35.0,33.0,35.0,12673701,8169,13,33.0,35.0
34,2001-06-13,35.0,35.0,35.0,35.0,8064720,5124,6,35.0,35.0
35,2001-06-16,35.0,35.0,35.0,35.0,13603014,8652,7,35.0,35.0
36,2001-06-17,35.0,35.0,34.0,34.0,7417652,4751,6,35.0,34.0
37,2001-06-18,34.0,34.0,34.0,34.0,3156750,2050,6,34.0,34.0
38,2001-06-19,34.0,34.0,33.0,33.0,7627500,5033,7,34.0,33.0
39,2001-06-20,33.0,33.0,33.0,33.0,11242047,7500,6,33.0,33.0
40,2001-06-23,33.0,33.0,33.0,33.0,1004920,679,2,33.0,33.0
41,2001-06-24,33.0,33.0,32.0,32.0,12475040,8474,7,33.0,32.0
42,2001-06-25,32.0,32.0,32.0,32.0,8566919,5871,12,32.0,32.0
43,2001-06-26,33.0,33.0,32.0,33.0,43159732,28911,20,32.0,33.0
44,2001-06-27,33.0,33.0,33.0,33.0,5981667,4000,12,33.0,33.0
45,2001-06-30,33.0,33.0,33.0,33.0,25441184,16976,10,33.0,33.0
46,2001-07-01,33.0,33.0,33.0,33.0,24860640,16473,6,33.0,33.0
47,2001-07-02,34.0,34.0,33.0,33.0,19387500,12825,8,33.0,33.0
48,2001-07-03,33.0,35.0,33.0,35.0,20593802,13306,10,33.0,35.0
49,2001-07-04,35.0,35.0,35.0,35.0,3414600,2169,2,35.0,35.0
50,2001-07-08,34.0,34.0,34.0,34.0,312600,200,1,35.0,34.0
51,2001-07-09,33.0,33.0,33.0,33.0,18801000,12534,6,34.0,33.0
52,2001-07-10,33.0,33.0,33.0,33.0,13470000,9000,9,33.0,33.0
53,2001-07-11,33.0,34.0,33.0,34.0,47188640,30901,21,33.0,34.0
54,2001-07-14,34.0,34.0,34.0,34.0,16243858,10408,9,34.0,34.0
55,2001-07-15,34.0,34.0,34.0,34.0,34652678,22192,12,34.0,34.0
56,2001-09-29,32.0,32.0,32.0,32.0,7250000,5000,1,34.0,32.0
57,2001-09-30,30.0,30.0,30.0,30.0,28939094,21000,12,32.0,30.0
58,2001-10-02,30.0,30.0,30.0,30.0,275200,200,1,30.0,30.0
59,2001-10-03,30.0,30.0,30.0,30.0,10793517,8001,7,30.0,30.0
60,2001-10-06,29.0,29.0,29.0,29.0,2660000,2000,3,30.0,29.0
61,2001-10-07,29.0,29.0,29.0,29.0,1577438,1209,3,29.0,29.0
62,2001-10-08,29.0,29.0,28.0,28.0,4440400,3468,7,29.0,28.0
63,2001-10-10,27.0,29.0,27.0,29.0,30053528,24298,27,28.0,29.0
64,2001-10-13,29.0,29.0,29.0,29.0,38232966,29396,25,29.0,29.0
65,2001-10-14,29.0,29.0,29.0,29.0,2469298,1898,6,29.0,29.0
66,2001-10-16,29.0,29.0,29.0,29.0,2226618,1709,7,29.0,29.0
67,2001-10-17,29.0,29.0,29.0,29.0,5240000,4000,1,29.0,29.0
68,2001-10-20,29.0,29.0,29.0,29.0,4079340,3114,3,29.0,29.0
69,2001-10-21,29.0,29.0,29.0,29.0,5718828,4365,5,29.0,29.0
70,2001-10-22,29.0,29.0,29.0,29.0,4218264,3186,1,29.0,29.0
71,2001-10-23,30.0,30.0,30.0,30.0,6927085,5076,6,29.0,30.0
72,2001-10-24,31.0,32.0,31.0,32.0,12809351,9037,11,30.0,32.0
73,2001-10-27,32.0,32.0,31.0,31.0,30627541,21349,13,32.0,31.0
74,2001-10-28,30.0,31.0,30.0,31.0,4977740,3578,2,31.0,31.0
75,2001-10-29,31.0,31.0,31.0,31.0,1400000,1000,1,31.0,31.0
76,2001-10-30,30.0,30.0,30.0,30.0,10766853,7877,14,31.0,30.0
77,2001-10-31,30.0,31.0,30.0,31.0,33140307,23943,11,30.0,31.0
78,2001-11-03,31.0,31.0,30.0,31.0,11737200,8448,9,31.0,31.0
79,2001-11-05,31.0,31.0,31.0,31.0,4200000,3000,3,31.0,31.0
80,2001-11-06,31.0,31.0,31.0,31.0,7446600,5319,7,31.0,31.0
81,2001-11-07,31.0,31.0,31.0,31.0,83553400,59681,19,31.0,31.0
82,2001-11-10,31.0,32.0,31.0,32.0,12971200,8953,6,31.0,32.0
83,2001-11-11,32.0,32.0,32.0,32.0,1787508,1226,4,32.0,32.0
84,2001-11-12,32.0,32.0,32.0,32.0,10966997,7525,8,32.0,32.0
85,2001-11-13,31.0,31.0,31.0,31.0,5912203,4190,3,32.0,31.0
86,2001-11-14,31.0,31.0,31.0,31.0,23474371,16652,12,31.0,31.0
87,2001-11-18,31.0,31.0,31.0,31.0,8400000,6000,8,31.0,31.0
88,2001-11-19,30.0,31.0,30.0,31.0,16829901,12084,14,31.0,31.0
89,2001-11-20,31.0,31.0,31.0,31.0,6161976,4392,5,31.0,31.0
90,2001-11-21,31.0,31.0,31.0,31.0,14929947,10661,7,31.0,31.0
91,2001-11-25,31.0,31.0,31.0,31.0,6737921,4784,6,31.0,31.0
92,2001-11-26,32.0,32.0,31.0,32.0,9335564,6552,3,31.0,32.0
93,2001-11-27,32.0,32.0,31.0,32.0,7288415,5106,10,32.0,32.0
94,2001-11-28,32.0,32.0,32.0,32.0,3729440,2608,2,32.0,32.0
95,2001-12-02,32.0,32.0,32.0,32.0,3709420,2594,2,32.0,32.0
96,2001-12-03,31.0,31.0,31.0,31.0,43842100,31300,26,32.0,31.0
97,2001-12-04,30.0,30.0,30.0,30.0,9628242,7114,4,31.0,30.0
98,2001-12-05,30.0,30.0,30.0,30.0,16918179,12381,8,30.0,30.0
99,2001-12-08,30.0,30.0,30.0,30.0,20777623,15392,16,30.0,30.0
100,2001-12-09,30.0,30.0,30.0,30.0,2698000,2000,2,30.0,30.0
101,2001-12-11,30.0,31.0,30.0,31.0,20340513,15059,13,30.0,31.0
102,2001-12-12,31.0,31.0,31.0,31.0,23242950,16620,11,31.0,31.0
103,2001-12-15,31.0,31.0,31.0,31.0,3344600,2389,3,31.0,31.0
104,2001-12-17,31.0,31.0,31.0,31.0,7575400,5411,6,31.0,31.0
105,2001-12-18,31.0,31.0,31.0,31.0,5891656,4211,6,31.0,31.0
106,2001-12-22,30.0,30.0,30.0,30.0,3231068,2391,7,31.0,30.0
107,2001-12-23,30.0,30.0,30.0,30.0,13777523,10198,8,30.0,30.0
108,2001-12-24,30.0,30.0,30.0,30.0,3943030,2923,4,30.0,30.0
109,2001-12-25,29.0,29.0,29.0,29.0,5889456,4446,7,30.0,29.0
110,2001-12-31,31.0,31.0,31.0,31.0,32843470,23510,13,29.0,31.0
111,2002-01-01,31.0,31.0,31.0,31.0,30214801,21633,11,31.0,31.0
112,2002-01-02,31.0,31.0,31.0,31.0,4158869,2977,1,31.0,31.0
113,2002-01-05,31.0,31.0,31.0,31.0,3210580,2290,1,31.0,31.0
114,2002-01-06,31.0,32.0,31.0,32.0,15605484,10983,9,31.0,32.0
115,2002-01-07,31.0,31.0,31.0,31.0,19073075,13587,6,32.0,31.0
116,2002-01-08,31.0,32.0,31.0,32.0,22080430,15406,9,31.0,32.0
117,2002-01-12,33.0,33.0,32.0,33.0,29824000,20240,12,32.0,33.0
118,2002-01-13,34.0,34.0,34.0,34.0,30577840,20117,7,33.0,34.0
119,2002-01-14,34.0,35.0,34.0,35.0,132855389,83601,28,34.0,35.0
120,2002-03-09,44.0,46.0,44.0,46.0,530022476,259774,43,35.0,46.0
121,2002-03-10,47.0,47.0,46.0,47.0,101971350,47995,31,46.0,47.0
122,2002-03-11,49.0,49.0,48.0,48.0,312925300,141981,53,47.0,48.0
123,2002-03-12,46.0,48.0,46.0,46.0,130998888,60637,22,48.0,46.0
124,2002-03-13,45.0,46.0,45.0,46.0,80150668,38903,35,46.0,46.0
125,2002-03-16,46.0,46.0,45.0,45.0,132326386,63675,32,46.0,45.0
126,2002-03-17,44.0,45.0,44.0,44.0,9640400,4800,3,45.0,44.0
127,2002-03-18,44.0,46.0,44.0,45.0,345537496,165682,40,44.0,45.0
128,2002-03-19,46.0,46.0,46.0,46.0,92377808,44202,18,45.0,46.0
129,2002-03-26,46.0,48.0,46.0,48.0,57270250,26651,22,46.0,48.0
130,2002-03-27,51.0,51.0,49.0,51.0,75280086,32779,18,48.0,51.0
131,2002-03-30,51.0,51.0,51.0,51.0,80858800,35146,12,51.0,51.0
132,2002-03-31,51.0,52.0,51.0,52.0,95561302,40766,21,51.0,52.0
133,2002-04-03,52.0,52.0,52.0,52.0,2644580,1127,3,52.0,52.0
134,2002-04-06,52.0,52.0,51.0,51.0,101839371,44000,23,52.0,51.0
135,2002-04-07,49.0,51.0,49.0,51.0,88893951,38961,17,51.0,51.0
136,2002-04-08,51.0,51.0,51.0,51.0,89488666,38860,25,51.0,51.0
137,2002-04-09,51.0,51.0,51.0,51.0,29190360,12583,10,51.0,51.0
