,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2015-04-25,388.0,388.0,388.0,388.0,6880654000,181068,67,10.0,388.0
1,2015-04-26,388.0,388.0,388.0,388.0,2802206260,73742,30,388.0,388.0
2,2015-04-27,388.0,388.0,388.0,388.0,1716581652,45173,31,388.0,388.0
3,2015-04-28,388.0,388.0,388.0,388.0,503158000,13241,12,388.0,388.0
4,2015-04-29,388.0,388.0,388.0,388.0,4250110000,111845,43,388.0,388.0
5,2015-05-03,388.0,388.0,388.0,388.0,244340000,6430,5,388.0,388.0
6,2015-05-04,388.0,388.0,388.0,388.0,745066000,19607,14,388.0,388.0
7,2015-05-05,388.0,388.0,360.0,384.0,444099200,11821,4,388.0,388.0
8,2015-05-06,360.0,360.0,347.0,352.0,523678800,15195,13,384.0,360.0
9,2015-05-09,306.0,306.0,306.0,306.0,923400000,30780,25,352.0,306.0
10,2015-05-10,306.0,306.0,306.0,306.0,453001025,15101,16,306.0,306.0
11,2015-05-11,304.0,304.0,304.0,304.0,303662000,10190,5,306.0,304.0
12,2015-05-12,304.0,304.0,304.0,304.0,438149400,14703,8,304.0,304.0
13,2015-05-13,304.0,304.0,304.0,304.0,149000000,5000,1,304.0,304.0
14,2015-05-17,306.0,306.0,306.0,306.0,650700000,21690,13,304.0,306.0
15,2015-05-18,306.0,306.0,306.0,306.0,168510000,5617,3,306.0,306.0
16,2015-05-19,215.0,235.0,204.0,211.0,528113816,25567,21,306.0,235.0
17,2015-05-20,204.0,240.0,204.0,214.0,264734140,12648,16,211.0,204.0
18,2015-05-24,163.0,204.0,163.0,183.0,1132854457,63215,38,214.0,184.0
19,2015-05-25,143.0,202.0,143.0,192.0,752971866,40120,22,183.0,194.0
20,2015-05-26,204.0,204.0,191.0,200.0,177995426,9097,9,192.0,204.0
21,2015-05-27,204.0,204.0,154.0,180.0,634203440,35976,26,200.0,169.0
22,2015-05-30,169.0,202.0,164.0,179.0,625865668,35772,18,180.0,166.0
23,2015-05-31,194.0,201.0,166.0,183.0,811696135,45309,35,179.0,194.0
24,2015-06-01,174.0,194.0,166.0,186.0,406521090,22373,16,183.0,193.0
25,2015-06-02,179.0,194.0,167.0,184.0,754000919,41767,25,186.0,193.0
26,2015-06-06,174.0,174.0,173.0,173.0,272602016,16057,17,184.0,174.0
27,2015-06-07,174.0,183.0,166.0,173.0,594145729,35175,52,173.0,169.0
28,2015-06-08,164.0,202.0,163.0,184.0,2474043201,137532,69,173.0,201.0
29,2015-06-09,185.0,221.0,185.0,205.0,1878912430,93635,53,184.0,221.0
30,2015-06-10,204.0,255.0,204.0,239.0,1553285271,66502,48,205.0,255.0
31,2015-06-13,220.0,296.0,215.0,278.0,2447147409,89813,65,239.0,296.0
32,2015-06-14,306.0,327.0,293.0,309.0,5683766556,187887,94,278.0,306.0
33,2015-06-20,306.0,328.0,306.0,326.0,128659500,4319,3,309.0,328.0
34,2015-06-21,328.0,328.0,328.0,328.0,169197064,5640,5,326.0,328.0
35,2015-06-22,295.0,295.0,295.0,295.0,39204000,1452,3,328.0,295.0
36,2015-06-27,241.0,241.0,241.0,241.0,104302000,4741,7,295.0,241.0
37,2015-06-28,208.0,208.0,197.0,202.0,247962100,13439,12,241.0,197.0
38,2015-06-29,191.0,191.0,191.0,191.0,35000000,2000,1,202.0,191.0
39,2015-06-30,184.0,197.0,181.0,185.0,544752112,32198,45,191.0,182.0
40,2015-07-01,186.0,191.0,181.0,184.0,199534012,11892,16,185.0,186.0
41,2015-07-04,175.0,191.0,175.0,180.0,624493260,38056,37,184.0,175.0
42,2015-07-05,175.0,183.0,175.0,179.0,397947208,24349,22,180.0,183.0
43,2015-07-06,178.0,183.0,176.0,179.0,246811475,15111,16,179.0,181.0
44,2015-07-07,181.0,186.0,177.0,182.0,250339626,15033,17,179.0,184.0
45,2015-07-11,176.0,176.0,172.0,174.0,263276647,16509,15,182.0,173.0
46,2015-07-12,180.0,184.0,171.0,179.0,463997724,28424,24,174.0,171.0
47,2015-07-13,181.0,184.0,170.0,176.0,432013889,26802,35,179.0,172.0
48,2015-07-14,176.0,185.0,170.0,180.0,145946706,8857,9,176.0,170.0
49,2015-07-15,181.0,181.0,173.0,175.0,38661303,2423,3,180.0,175.0
50,2015-07-20,177.0,185.0,164.0,173.0,760744732,48177,31,175.0,164.0
51,2015-07-21,175.0,175.0,173.0,174.0,307164909,19262,14,173.0,174.0
52,2015-07-22,172.0,172.0,170.0,171.0,128042384,8196,10,174.0,170.0
53,2015-07-25,172.0,172.0,164.0,164.0,164586745,10963,10,171.0,164.0
54,2015-07-26,164.0,164.0,160.0,162.0,186074480,12576,14,164.0,160.0
55,2015-07-27,153.0,159.0,153.0,153.0,411118000,29318,21,162.0,154.0
56,2015-07-28,153.0,153.0,144.0,144.0,124375515,9422,10,153.0,144.0
57,2015-07-29,144.0,147.0,144.0,145.0,360421299,27273,21,144.0,144.0
58,2015-08-01,145.0,153.0,145.0,148.0,455363555,33709,24,145.0,151.0
59,2015-08-02,153.0,153.0,144.0,146.0,323905040,24228,15,148.0,147.0
60,2015-08-03,145.0,149.0,144.0,145.0,298281350,22453,21,146.0,145.0
61,2015-08-04,144.0,144.0,143.0,143.0,149376660,11421,14,145.0,143.0
62,2015-08-05,143.0,143.0,138.0,142.0,165413510,12780,10,143.0,138.0
63,2015-08-08,139.0,141.0,132.0,137.0,238808089,19073,11,142.0,141.0
64,2015-08-09,133.0,141.0,132.0,135.0,444031003,36016,24,137.0,138.0
65,2015-08-10,137.0,137.0,137.0,137.0,199141215,15927,10,135.0,137.0
66,2015-08-12,138.0,144.0,138.0,142.0,389820811,30036,16,137.0,144.0
67,2015-08-15,142.0,144.0,142.0,143.0,118806255,9110,7,142.0,144.0
68,2015-08-16,144.0,144.0,144.0,144.0,35325484,2686,2,143.0,144.0
69,2015-08-17,144.0,153.0,144.0,149.0,239402603,17521,15,144.0,153.0
70,2015-08-19,154.0,159.0,153.0,157.0,485489497,33819,17,149.0,159.0
71,2015-08-22,159.0,165.0,159.0,163.0,767121616,51489,32,157.0,164.0
72,2015-08-23,153.0,166.0,153.0,159.0,520877103,35856,26,163.0,154.0
73,2015-08-25,144.0,144.0,142.0,144.0,375908800,28579,17,159.0,142.0
74,2015-08-26,141.0,141.0,134.0,137.0,251822130,20134,15,144.0,141.0
75,2015-08-29,140.0,141.0,134.0,138.0,233559892,18469,9,137.0,141.0
76,2015-08-30,139.0,141.0,133.0,134.0,269646814,21953,23,138.0,133.0
77,2015-08-31,133.0,139.0,133.0,135.0,382432821,30993,22,134.0,136.0
78,2015-09-01,133.0,135.0,133.0,134.0,61021626,4972,7,135.0,134.0
79,2015-09-02,134.0,137.0,134.0,136.0,110757100,8918,8,134.0,137.0
80,2015-09-05,137.0,142.0,137.0,140.0,365204140,28553,33,136.0,141.0
81,2015-09-06,142.0,152.0,139.0,143.0,296435519,22614,23,140.0,152.0
82,2015-09-07,146.0,146.0,143.0,145.0,336043900,25319,10,143.0,143.0
83,2015-09-08,142.0,144.0,142.0,144.0,50174200,3820,6,145.0,144.0
84,2015-09-09,144.0,144.0,139.0,142.0,164760160,12734,14,144.0,140.0
85,2015-09-12,137.0,142.0,135.0,138.0,354438687,28022,21,142.0,135.0
86,2015-09-13,135.0,135.0,135.0,135.0,272669527,22141,18,138.0,135.0
87,2015-09-14,135.0,135.0,133.0,134.0,152624184,12463,21,135.0,135.0
88,2015-09-15,135.0,135.0,133.0,134.0,61926893,5061,7,134.0,133.0
89,2015-09-16,134.0,134.0,133.0,133.0,311017832,25514,20,134.0,133.0
90,2015-09-19,133.0,139.0,132.0,136.0,291172938,23421,16,133.0,137.0
91,2015-09-20,134.0,134.0,132.0,133.0,353631153,29141,17,136.0,133.0
92,2015-09-21,132.0,132.0,131.0,132.0,346685950,28762,12,133.0,131.0
93,2015-09-22,131.0,131.0,130.0,131.0,24119000,2010,3,132.0,130.0
94,2015-09-23,129.0,131.0,123.0,127.0,130434600,11250,12,131.0,123.0
95,2015-09-26,123.0,128.0,121.0,123.0,236078148,20935,23,127.0,128.0
96,2015-09-27,124.0,134.0,124.0,127.0,67194852,5768,8,123.0,126.0
97,2015-09-28,127.0,135.0,127.0,128.0,172305230,14692,15,127.0,128.0
98,2015-09-29,128.0,131.0,125.0,129.0,136232389,11554,8,128.0,127.0
99,2015-09-30,125.0,126.0,125.0,125.0,82726250,7225,5,129.0,126.0
100,2015-10-03,125.0,131.0,125.0,127.0,84684200,7273,5,125.0,126.0
101,2015-10-04,125.0,133.0,124.0,128.0,259991704,22257,18,127.0,125.0
102,2015-10-05,125.0,138.0,125.0,133.0,322431342,26530,26,128.0,138.0
103,2015-10-06,128.0,140.0,125.0,130.0,215647739,18190,25,133.0,140.0
104,2015-10-07,128.0,139.0,128.0,137.0,95411502,7630,7,130.0,139.0
105,2015-10-10,129.0,141.0,129.0,137.0,407882359,32614,25,137.0,131.0
106,2015-10-11,139.0,142.0,129.0,137.0,380471958,30323,28,137.0,137.0
