,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-08-13,10000.0,10000.0,10000.0,10000.0,980000000000,98000000,256,10000.0,10000.0
1,2023-10-09,10407.0,10408.0,10407.0,10407.0,191980086422,18447205,56,10000.0,10408.0
2,2023-10-10,10415.0,10415.0,10413.0,10414.0,41864950572,4019970,54,10407.0,10415.0
3,2023-10-11,10420.0,10422.0,10420.0,10421.0,76161392868,7308248,44,10414.0,10422.0
4,2023-10-14,10444.0,10445.0,10443.0,10444.0,17113718930,1638575,39,10421.0,10445.0
5,2023-10-15,10453.0,10453.0,10452.0,10452.0,18861553228,1804511,31,10444.0,10453.0
6,2023-10-16,10460.0,10460.0,10458.0,10459.0,27816432768,2659532,35,10452.0,10458.0
7,2023-10-17,10468.0,10468.0,10467.0,10468.0,11590759790,1107266,26,10459.0,10468.0
8,2023-10-18,10475.0,10500.0,10474.0,10475.0,91427285274,8727981,59,10468.0,10500.0
9,2023-10-21,10496.0,10498.0,10496.0,10497.0,98214529588,9356767,68,10475.0,10498.0
10,2023-10-22,10505.0,10505.0,10504.0,10505.0,5657668889,538585,28,10497.0,10505.0
11,2023-10-23,10512.0,10513.0,10512.0,10513.0,14988574809,1425725,29,10505.0,10513.0
12,2023-10-24,10518.0,10518.0,10516.0,10517.0,4183176442,397754,27,10513.0,10518.0
13,2023-10-25,10526.0,10527.0,10525.0,10526.0,19228443044,1826715,40,10517.0,10527.0
14,2023-10-28,10546.0,11578.0,10546.0,10596.0,22942652648,2165223,61,10526.0,10579.0
15,2023-10-29,10558.0,10750.0,10553.0,10556.0,228431575791,21640555,131,10596.0,10555.0
16,2023-10-30,10559.0,10562.0,10559.0,10562.0,241312081520,22847744,65,10556.0,10562.0
17,2023-10-31,10567.0,10569.0,10567.0,10568.0,119295429005,11288310,46,10562.0,10569.0
18,2023-11-01,10576.0,10580.0,10575.0,10576.0,235054226166,22225966,113,10568.0,10580.0
19,2023-11-04,10597.0,10599.0,10597.0,10597.0,94602609777,8927225,65,10576.0,10597.0
20,2023-11-05,10605.0,10606.0,10604.0,10605.0,87747598042,8274186,40,10597.0,10605.0
21,2023-11-06,10611.0,10613.0,10611.0,10613.0,35009090686,3298845,42,10605.0,10613.0
22,2023-11-07,10619.0,10620.0,10618.0,10620.0,24500126629,2307018,42,10613.0,10618.0
23,2023-11-08,10627.0,10659.0,10625.0,10628.0,279970993863,26341730,144,10620.0,10630.0
24,2023-11-11,10647.0,10650.0,10646.0,10647.0,218653351713,20535697,82,10628.0,10648.0
25,2023-11-12,10656.0,10658.0,10656.0,10657.0,11845782265,1111600,29,10647.0,10658.0
26,2023-11-13,10663.0,10665.0,10663.0,10664.0,179539753858,16836122,68,10657.0,10664.0
27,2023-11-14,10671.0,10673.0,10671.0,10672.0,37677739137,3530615,25,10664.0,10673.0
28,2023-11-15,10673.0,10684.0,10673.0,10677.0,169872300044,15909762,101,10672.0,10683.0
29,2023-11-18,10700.0,10703.0,10700.0,10702.0,65786684600,6147136,98,10677.0,10703.0
30,2023-11-19,10710.0,10711.0,10709.0,10710.0,29679403295,2771265,39,10702.0,10711.0
31,2023-11-20,10716.0,10718.0,10716.0,10717.0,72229171435,6739652,47,10710.0,10718.0
32,2023-11-21,10725.0,10726.0,10724.0,10725.0,55704958984,5193871,39,10717.0,10726.0
33,2023-11-22,10733.0,10739.0,10733.0,10735.0,177865317433,16568560,123,10725.0,10739.0
34,2023-11-25,10752.0,10754.0,10752.0,10753.0,116017547019,10789792,100,10735.0,10752.0
35,2023-11-26,10762.0,10762.0,10760.0,10762.0,58544010694,5439973,48,10753.0,10761.0
36,2023-11-27,10768.0,10769.0,10767.0,10768.0,27900230617,2591048,33,10762.0,10769.0
37,2023-11-28,10776.0,10777.0,10775.0,10777.0,40854457963,3790998,33,10768.0,10775.0
38,2023-11-29,10784.0,10793.0,10784.0,10789.0,128375703792,11898643,45,10777.0,10793.0
39,2023-12-02,10806.0,10812.0,10806.0,10807.0,156256192181,14458274,105,10789.0,10812.0
40,2023-12-03,10814.0,10816.0,10814.0,10816.0,4261415225,394004,18,10807.0,10816.0
41,2023-12-04,10821.0,10823.0,10821.0,10821.0,10360059814,957392,37,10816.0,10823.0
42,2023-12-05,10830.0,10831.0,10829.0,10830.0,40848804563,3771973,43,10821.0,10831.0
43,2023-12-06,10840.0,10845.0,10839.0,10844.0,62526871616,5766203,36,10830.0,10845.0
44,2023-12-09,10860.0,10866.0,10860.0,10862.0,66983979527,6167084,96,10844.0,10861.0
45,2023-12-10,10870.0,10870.0,10869.0,10870.0,16042966096,1475899,61,10862.0,10870.0
46,2023-12-11,10876.0,10878.0,10876.0,10876.0,58519711375,5380606,35,10870.0,10876.0
