,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-07,690.0,690.0,690.0,690.0,36498916,10000,4,690.0,690.0
1,2001-04-10,690.0,690.0,656.0,690.0,387298238,110430,40,690.0,690.0
2,2001-04-11,690.0,690.0,690.0,690.0,375950,103,1,690.0,690.0
3,2001-04-14,720.0,720.0,720.0,720.0,7684544,2018,2,690.0,720.0
4,2001-04-15,725.0,753.0,725.0,753.0,62119176,15629,12,720.0,753.0
5,2001-04-16,757.0,783.0,757.0,783.0,27141543,6591,9,753.0,783.0
6,2001-04-17,783.0,792.0,783.0,792.0,66950864,15996,18,783.0,792.0
7,2001-04-18,789.0,789.0,758.0,758.0,21718400,5400,3,792.0,758.0
8,2001-04-21,758.0,786.0,757.0,786.0,24982192,6075,10,758.0,786.0
9,2001-04-22,786.0,786.0,786.0,786.0,83159000,20000,12,786.0,786.0
10,2001-04-23,785.0,804.0,785.0,804.0,435156552,103729,45,786.0,804.0
11,2001-04-24,804.0,813.0,804.0,813.0,9880500,2306,4,804.0,813.0
12,2001-04-25,813.0,813.0,813.0,813.0,12470000,2900,2,813.0,813.0
13,2001-04-28,813.0,813.0,813.0,813.0,22630900,5263,4,813.0,813.0
14,2001-04-29,813.0,813.0,794.0,794.0,23469100,5477,7,813.0,794.0
15,2001-04-30,785.0,785.0,784.0,784.0,10498000,2530,5,794.0,784.0
16,2001-05-01,784.0,784.0,784.0,784.0,2036177,491,3,784.0,784.0
17,2001-05-02,775.0,775.0,775.0,775.0,8928832,2178,3,784.0,775.0
18,2001-05-05,781.0,781.0,781.0,781.0,5220320,1264,1,775.0,781.0
19,2001-05-06,778.0,781.0,778.0,780.0,81718068,19812,8,781.0,780.0
20,2001-05-07,780.0,780.0,777.0,777.0,20578875,5007,2,780.0,777.0
21,2001-05-08,771.0,775.0,771.0,773.0,84923356,20752,21,777.0,773.0
22,2001-05-09,773.0,774.0,772.0,773.0,48935773,11973,11,773.0,773.0
23,2001-05-12,773.0,773.0,773.0,773.0,82757844,20254,12,773.0,773.0
24,2001-05-13,774.0,775.0,766.0,775.0,32297480,7893,12,773.0,775.0
25,2001-05-15,775.0,775.0,775.0,775.0,9556868,2332,3,775.0,775.0
26,2001-05-16,773.0,773.0,773.0,773.0,46467396,11364,6,775.0,773.0
27,2001-05-19,773.0,781.0,770.0,781.0,159335910,38827,35,773.0,781.0
28,2001-05-20,783.0,794.0,783.0,794.0,60504920,14487,11,781.0,794.0
29,2001-05-21,794.0,795.0,794.0,794.0,50403000,12000,14,794.0,794.0
30,2001-05-23,794.0,794.0,794.0,794.0,1260000,300,1,794.0,794.0
31,2001-05-26,804.0,807.0,803.0,807.0,21260000,5000,4,794.0,807.0
32,2001-05-27,823.0,823.0,807.0,823.0,31913620,7406,7,807.0,823.0
33,2001-05-28,827.0,829.0,827.0,829.0,33617132,7666,7,823.0,829.0
34,2001-05-29,835.0,840.0,835.0,840.0,28724740,6493,10,829.0,840.0
35,2001-05-30,840.0,840.0,840.0,840.0,56032698,12612,15,840.0,840.0
36,2001-06-02,840.0,857.0,840.0,857.0,64634110,14379,14,840.0,857.0
37,2001-06-03,858.0,864.0,858.0,864.0,48482840,10646,10,857.0,864.0
38,2001-06-06,866.0,868.0,864.0,866.0,45567500,9950,10,864.0,866.0
39,2001-06-09,866.0,866.0,866.0,866.0,31629480,6906,8,866.0,866.0
40,2001-06-11,866.0,866.0,864.0,864.0,45710000,10000,6,866.0,864.0
41,2001-06-12,862.0,862.0,845.0,845.0,58007700,12900,10,864.0,845.0
42,2001-06-13,841.0,841.0,817.0,817.0,34566700,7907,7,845.0,817.0
43,2001-06-16,817.0,817.0,817.0,817.0,993600,230,1,817.0,817.0
44,2001-06-17,813.0,815.0,813.0,814.0,23310829,5416,17,817.0,814.0
45,2001-07-10,775.0,775.0,775.0,775.0,34575300,8433,1,814.0,775.0
46,2001-07-11,756.0,756.0,756.0,756.0,4200000,1050,6,775.0,756.0
47,2001-07-17,728.0,728.0,728.0,728.0,54500600,14156,13,756.0,728.0
48,2001-07-18,728.0,756.0,728.0,756.0,22443550,5663,8,728.0,756.0
49,2001-07-21,775.0,775.0,775.0,775.0,16605000,4050,4,756.0,775.0
50,2001-07-22,775.0,775.0,775.0,775.0,16808484,4100,5,775.0,775.0
51,2001-07-23,756.0,766.0,756.0,766.0,98435400,24500,16,775.0,766.0
52,2001-07-24,766.0,766.0,765.0,765.0,18681424,4613,4,766.0,765.0
53,2001-07-29,728.0,728.0,728.0,728.0,10525900,2734,8,765.0,728.0
54,2001-07-30,761.0,764.0,761.0,764.0,48758200,12100,10,728.0,764.0
55,2001-07-31,764.0,764.0,764.0,764.0,2021000,500,1,764.0,764.0
56,2001-08-01,764.0,764.0,764.0,764.0,26873300,6650,6,764.0,764.0
57,2001-08-04,764.0,764.0,756.0,764.0,50332000,12468,7,764.0,764.0
58,2001-08-05,764.0,764.0,764.0,764.0,11941390,2956,6,764.0,764.0
59,2001-08-06,764.0,764.0,757.0,757.0,10570264,2632,2,764.0,757.0
60,2001-08-07,757.0,757.0,757.0,757.0,85514736,21368,6,757.0,757.0
61,2001-08-08,764.0,775.0,756.0,775.0,97238934,23873,18,757.0,775.0
62,2001-08-11,775.0,775.0,775.0,775.0,8200000,2000,3,775.0,775.0
63,2001-08-12,775.0,775.0,757.0,757.0,14995780,3700,3,775.0,757.0
64,2001-08-14,775.0,776.0,757.0,775.0,68100566,16618,11,757.0,775.0
65,2001-08-15,785.0,790.0,785.0,789.0,23513092,5632,4,775.0,789.0
66,2001-08-18,794.0,804.0,794.0,804.0,13641000,3230,2,789.0,804.0
67,2001-08-19,806.0,844.0,806.0,844.0,45218069,10306,9,804.0,844.0
68,2001-08-20,843.0,843.0,836.0,843.0,38046324,8543,14,844.0,843.0
69,2001-08-21,815.0,817.0,813.0,813.0,45266950,10506,8,843.0,813.0
70,2001-08-22,819.0,823.0,814.0,823.0,45091367,10405,14,813.0,823.0
71,2001-08-25,823.0,823.0,823.0,823.0,24006300,5518,8,823.0,823.0
72,2001-08-27,823.0,823.0,810.0,810.0,44631654,10338,7,823.0,810.0
73,2001-08-28,810.0,810.0,804.0,804.0,31222000,7320,6,810.0,804.0
74,2001-08-29,794.0,794.0,794.0,794.0,4200000,1000,1,804.0,794.0
75,2001-09-01,788.0,788.0,788.0,788.0,7089000,1700,3,794.0,788.0
76,2001-09-02,788.0,788.0,788.0,788.0,8340000,2000,1,788.0,788.0
77,2001-09-03,789.0,789.0,788.0,788.0,28692100,6880,6,788.0,788.0
78,2001-09-08,788.0,788.0,788.0,788.0,2085000,500,3,788.0,788.0
79,2001-09-09,788.0,788.0,788.0,788.0,562950,135,1,788.0,788.0
80,2001-09-10,790.0,790.0,788.0,788.0,33402660,8000,6,788.0,788.0
81,2001-09-11,788.0,789.0,788.0,788.0,22144700,5310,6,788.0,788.0
82,2001-09-12,788.0,788.0,788.0,788.0,33941600,8140,3,788.0,788.0
83,2001-09-15,776.0,776.0,776.0,776.0,7678944,1872,2,788.0,776.0
84,2001-09-16,776.0,776.0,776.0,776.0,2165856,528,1,776.0,776.0
85,2001-09-17,747.0,766.0,747.0,766.0,11645000,2900,2,776.0,766.0
86,2001-09-19,766.0,766.0,765.0,766.0,78934500,19500,10,766.0,766.0
87,2001-09-22,766.0,766.0,766.0,766.0,1032495,255,1,766.0,766.0
88,2001-09-23,766.0,766.0,766.0,766.0,36162927,8931,10,766.0,766.0
89,2001-09-24,767.0,767.0,756.0,756.0,236436213,58931,27,766.0,756.0
90,2001-09-26,766.0,766.0,766.0,766.0,9744300,2406,4,756.0,766.0
91,2001-09-30,765.0,765.0,764.0,765.0,11873649,2935,14,766.0,765.0
92,2001-10-02,775.0,775.0,775.0,775.0,5740000,1400,1,765.0,775.0
93,2001-10-03,775.0,775.0,775.0,775.0,17384000,4240,5,775.0,775.0
94,2001-10-06,776.0,776.0,775.0,775.0,154582250,37690,22,775.0,775.0
95,2001-10-08,775.0,775.0,775.0,775.0,12697700,3097,3,775.0,775.0
96,2001-10-09,757.0,757.0,757.0,757.0,7205400,1800,1,775.0,757.0
97,2001-10-10,757.0,757.0,756.0,756.0,48592620,12140,19,757.0,756.0
98,2001-10-14,756.0,775.0,756.0,775.0,53933854,13436,7,756.0,775.0
99,2001-10-16,775.0,775.0,775.0,775.0,5331300,1300,3,775.0,775.0
100,2001-10-17,776.0,776.0,776.0,776.0,32716660,7972,13,775.0,776.0
