,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2005-02-01,34.0,34.0,34.0,34.0,4237490780,470780,201,0.0,34.0
1,2005-02-02,34.0,34.0,34.0,34.0,1440168248,159230,46,34.0,34.0
2,2005-02-06,34.0,34.0,34.0,34.0,184001000,20000,3,34.0,34.0
3,2005-02-07,34.0,34.0,34.0,34.0,624293873,67858,59,34.0,34.0
4,2005-02-08,36.0,36.0,34.0,35.0,973350010,103200,36,34.0,35.0
5,2005-02-09,36.0,36.0,36.0,36.0,1046785100,109610,13,35.0,36.0
6,2005-02-12,36.0,36.0,35.0,36.0,123959540,12970,12,36.0,36.0
7,2005-02-13,36.0,36.0,36.0,36.0,74258520,7712,13,36.0,36.0
8,2005-02-14,36.0,36.0,36.0,36.0,30239840,3150,9,36.0,36.0
9,2005-02-15,36.0,36.0,36.0,36.0,328638810,34228,15,36.0,36.0
10,2005-02-16,36.0,36.0,36.0,36.0,79962090,8310,7,36.0,36.0
11,2005-02-22,36.0,36.0,36.0,36.0,40357800,4200,6,36.0,36.0
12,2005-02-26,36.0,36.0,36.0,36.0,9609000,1000,1,36.0,36.0
13,2005-02-28,36.0,38.0,36.0,38.0,204504077,20283,4,36.0,38.0
14,2005-03-12,38.0,47.0,38.0,38.0,3128126020,250310,3,38.0,38.0
15,2005-04-05,39.0,39.0,39.0,39.0,317682850,30010,7,38.0,39.0
16,2005-04-10,39.0,41.0,39.0,41.0,230609760,21010,4,39.0,41.0
17,2005-04-13,41.0,41.0,41.0,41.0,5488000,500,1,41.0,41.0
18,2005-04-16,43.0,43.0,43.0,43.0,230480000,20000,2,41.0,43.0
19,2005-04-17,43.0,44.0,43.0,43.0,606144540,52010,7,43.0,43.0
20,2005-04-18,46.0,46.0,46.0,46.0,244720000,20000,2,43.0,46.0
21,2005-04-24,48.0,48.0,48.0,48.0,487920000,38000,4,46.0,48.0
22,2005-05-14,49.0,50.0,49.0,50.0,470076260,35010,8,48.0,50.0
23,2005-05-28,50.0,50.0,50.0,50.0,13426000,1000,1,50.0,50.0
24,2005-05-29,53.0,53.0,53.0,53.0,422910000,30000,3,50.0,53.0
25,2005-05-31,55.0,55.0,55.0,55.0,441913200,29859,5,53.0,55.0
26,2005-06-01,58.0,58.0,56.0,56.0,35564500,2289,4,55.0,56.0
27,2005-07-04,54.0,58.0,54.0,58.0,817154150,53010,11,56.0,58.0
28,2005-07-05,60.0,60.0,58.0,58.0,24432220,1510,3,58.0,58.0
29,2005-07-06,61.0,61.0,61.0,61.0,994518900,61220,7,58.0,61.0
30,2005-07-09,61.0,61.0,61.0,61.0,6741675,415,1,61.0,61.0
31,2005-07-12,61.0,61.0,61.0,61.0,649800000,40000,8,61.0,61.0
32,2005-07-23,61.0,61.0,61.0,61.0,1624500000,100000,20,61.0,61.0
33,2005-07-27,61.0,61.0,61.0,61.0,64980000,4000,1,61.0,61.0
34,2005-08-03,61.0,61.0,61.0,61.0,68123336,4194,2,61.0,61.0
35,2005-08-27,61.0,61.0,61.0,61.0,27955924,1721,1,61.0,61.0
36,2005-10-11,61.0,61.0,61.0,61.0,64976000,4000,4,61.0,61.0
37,2005-10-15,61.0,61.0,61.0,61.0,105586000,6500,9,61.0,61.0
38,2005-10-26,61.0,61.0,61.0,61.0,54563596,3359,1,61.0,61.0
39,2005-11-01,61.0,61.0,61.0,61.0,88692240,5460,3,61.0,61.0
40,2005-11-09,61.0,61.0,61.0,61.0,32488000,2000,1,61.0,61.0
41,2005-11-14,61.0,61.0,61.0,61.0,80277848,4942,1,61.0,61.0
42,2005-11-19,61.0,61.0,61.0,61.0,64976000,4000,1,61.0,61.0
43,2005-11-20,62.0,62.0,61.0,61.0,3906982525,236975,2,61.0,61.0
44,2006-01-23,61.0,61.0,61.0,61.0,81220000,5000,1,61.0,61.0
45,2006-01-24,61.0,61.0,61.0,61.0,81220000,5000,1,61.0,61.0
46,2006-01-25,61.0,61.0,61.0,61.0,64976000,4000,1,61.0,61.0
47,2006-01-31,61.0,61.0,61.0,61.0,81220000,5000,1,61.0,61.0
48,2006-02-01,61.0,61.0,61.0,61.0,81220000,5000,1,61.0,61.0
49,2006-02-05,61.0,61.0,61.0,61.0,16244000,1000,1,61.0,61.0
50,2006-02-13,61.0,61.0,61.0,61.0,48732000,3000,1,61.0,61.0
51,2006-02-14,61.0,61.0,61.0,61.0,81220000,5000,1,61.0,61.0
52,2006-03-01,61.0,61.0,61.0,61.0,9908840,610,1,61.0,61.0
53,2006-05-10,61.0,61.0,61.0,61.0,243811761,15010,6,61.0,61.0
54,2006-06-11,57.0,57.0,57.0,57.0,76200000,5000,1,61.0,57.0
55,2006-06-18,57.0,57.0,57.0,57.0,76428600,5015,2,57.0,57.0
56,2006-06-27,57.0,57.0,57.0,57.0,6553200,430,1,57.0,57.0
57,2006-08-12,57.0,57.0,57.0,57.0,152400000,10000,31,57.0,57.0
58,2006-08-13,57.0,57.0,57.0,57.0,15240000,1000,1,57.0,57.0
59,2006-08-14,57.0,57.0,57.0,57.0,163830000,10750,23,57.0,57.0
60,2006-08-15,57.0,57.0,57.0,57.0,57150000,3750,8,57.0,57.0
61,2006-08-16,57.0,57.0,57.0,57.0,163830000,10750,23,57.0,57.0
62,2006-08-19,57.0,57.0,57.0,57.0,304800,20,1,57.0,57.0
63,2006-08-21,57.0,57.0,57.0,57.0,137160000,9000,6,57.0,57.0
64,2006-08-26,57.0,57.0,57.0,57.0,45720000,3000,3,57.0,57.0
65,2006-08-27,57.0,57.0,57.0,57.0,7620000,500,1,57.0,57.0
66,2006-09-06,57.0,57.0,57.0,57.0,22860000,1500,5,57.0,57.0
67,2006-09-12,57.0,57.0,57.0,57.0,7620000,500,1,57.0,57.0
68,2006-09-19,57.0,57.0,57.0,57.0,11430000,750,3,57.0,57.0
69,2006-09-24,57.0,57.0,57.0,57.0,18333720000,1203000,34,57.0,57.0
70,2006-09-25,57.0,57.0,57.0,57.0,18333720000,1203000,11,57.0,57.0
71,2006-09-26,57.0,57.0,57.0,57.0,18333720000,1203000,7,57.0,57.0
72,2006-10-01,57.0,57.0,57.0,57.0,18863601791,1237769,6,57.0,57.0
73,2006-10-02,57.0,57.0,57.0,57.0,1981200000,130000,13,57.0,57.0
74,2006-10-03,57.0,57.0,57.0,57.0,19050000,1250,3,57.0,57.0
75,2006-10-18,57.0,57.0,57.0,57.0,83820000,5500,3,57.0,57.0
76,2006-11-01,57.0,57.0,57.0,57.0,22860000,1500,3,57.0,57.0
77,2006-12-02,57.0,57.0,57.0,57.0,3810000,250,1,57.0,57.0
78,2006-12-04,57.0,57.0,57.0,57.0,2209952400,145010,2,57.0,57.0
79,2006-12-16,57.0,57.0,57.0,57.0,7620000,500,1,57.0,57.0
80,2007-01-06,57.0,57.0,57.0,57.0,11430000,750,3,57.0,57.0
81,2007-01-27,57.0,57.0,57.0,57.0,30480000,2000,4,57.0,57.0
82,2007-04-24,57.0,57.0,57.0,57.0,7620000,500,1,57.0,57.0
83,2007-04-29,57.0,57.0,57.0,57.0,137160000,9000,2,57.0,57.0
84,2007-05-23,56.0,56.0,56.0,56.0,105000000,7000,2,57.0,56.0
85,2007-06-03,56.0,56.0,56.0,56.0,7500000,500,1,56.0,56.0
86,2007-07-01,56.0,56.0,56.0,56.0,82500000,5500,1,56.0,56.0
87,2007-07-03,56.0,56.0,56.0,56.0,302000000,20000,2,56.0,56.0
88,2007-07-04,56.0,56.0,56.0,56.0,995400000,66360,7,56.0,56.0
89,2007-07-09,56.0,56.0,56.0,56.0,3750000,250,1,56.0,56.0
90,2007-08-01,56.0,56.0,56.0,56.0,3600000,240,1,56.0,56.0
91,2007-08-08,56.0,56.0,56.0,56.0,4950000,330,2,56.0,56.0
92,2007-08-18,57.0,57.0,57.0,57.0,3014100000,197000,20,56.0,57.0
93,2007-09-26,57.0,57.0,57.0,57.0,7650000,500,1,57.0,57.0
94,2007-10-14,57.0,57.0,57.0,57.0,7650000,500,1,57.0,57.0
95,2007-10-27,58.0,58.0,58.0,58.0,499200000,32000,6,57.0,58.0
96,2007-11-04,59.0,59.0,59.0,59.0,504192000,32000,4,58.0,59.0
97,2007-11-21,60.0,60.0,60.0,60.0,513012260,32010,5,59.0,60.0
98,2007-12-09,60.0,60.0,60.0,60.0,8013000,500,1,60.0,60.0
99,2007-12-12,61.0,61.0,61.0,61.0,408650000,25000,3,60.0,61.0
100,2007-12-18,62.0,62.0,62.0,62.0,411131520,24660,4,61.0,62.0
