,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2018-08-18,996.0,996.0,996.0,996.0,39758840750,34572905,790,866.0,996.0
1,2018-08-20,1013.0,1013.0,998.0,998.0,26507072358,22999787,550,996.0,998.0
2,2018-08-25,1005.0,1005.0,999.0,999.0,9901627720,8577362,255,998.0,999.0
3,2018-08-27,1031.0,1031.0,1000.0,1002.0,8756179250,7567640,215,999.0,1000.0
4,2018-08-29,999.0,999.0,996.0,998.0,15307277172,13278520,425,1002.0,996.0
5,2018-09-01,996.0,999.0,996.0,996.0,6190937880,5383026,269,998.0,999.0
6,2018-09-03,999.0,999.0,996.0,996.0,19042098558,16552877,463,996.0,996.0
7,2018-09-05,999.0,999.0,996.0,998.0,5645446676,4898884,191,996.0,996.0
8,2018-09-08,1022.0,1039.0,1022.0,1025.0,3681776780,3109808,167,998.0,1039.0
9,2018-09-10,1127.0,1127.0,1127.0,1127.0,9815324246,7544446,339,1025.0,1127.0
10,2018-09-12,1186.0,1186.0,1186.0,1186.0,34121603600,24906280,1076,1127.0,1186.0
11,2018-09-15,1209.0,1299.0,1209.0,1215.0,258799413015,184485173,8985,1186.0,1299.0
12,2018-09-17,1299.0,1299.0,1299.0,1299.0,318603727500,212402485,7571,1215.0,1299.0
13,2018-09-22,1299.0,1299.0,1299.0,1299.0,205464511500,136976341,4790,1299.0,1299.0
14,2018-09-24,1299.0,1299.0,1299.0,1299.0,175764880500,117176587,4075,1299.0,1299.0
15,2018-09-26,1364.0,1364.0,1364.0,1364.0,264650163750,168031850,4032,1299.0,1364.0
16,2018-09-29,1647.0,2001.0,1647.0,1740.0,120799372536,60116936,2587,1364.0,2001.0
17,2018-10-01,2165.0,2209.0,2165.0,2171.0,434156378850,173188420,7359,1740.0,2209.0
18,2018-10-03,1791.0,2194.0,1791.0,1993.0,91860761568,39918696,1495,2171.0,2194.0
19,2018-10-06,2501.0,2501.0,1996.0,2368.0,137775587625,50399062,2840,1993.0,1996.0
20,2018-10-08,1992.0,1992.0,1989.0,1991.0,78879059743,34317572,1668,2368.0,1989.0
21,2018-10-10,1975.0,1975.0,1663.0,1784.0,83647391280,40602092,1333,1991.0,1663.0
22,2018-10-13,1663.0,1663.0,1360.0,1497.0,72665475540,42057057,1379,1784.0,1360.0
23,2018-10-15,1611.0,1732.0,1611.0,1666.0,133793413320,69528130,2747,1497.0,1732.0
24,2018-10-17,1628.0,1645.0,1628.0,1633.0,144696307632,76733276,3452,1666.0,1645.0
25,2018-10-20,1818.0,1818.0,1802.0,1814.0,109736225880,52403529,2657,1633.0,1802.0
26,2018-10-22,1689.0,1689.0,1613.0,1652.0,63424910958,33250577,1519,1814.0,1613.0
27,2018-10-24,1480.0,1480.0,1437.0,1470.0,57863394273,34101808,1754,1652.0,1437.0
28,2018-10-27,1502.0,1502.0,1446.0,1492.0,48716880552,28267914,1537,1470.0,1446.0
29,2018-10-29,1654.0,1654.0,1654.0,1654.0,95550601630,50026493,2690,1492.0,1654.0
30,2018-10-31,1628.0,1628.0,1611.0,1626.0,52959871880,28221739,1613,1654.0,1611.0
31,2018-11-03,1585.0,1585.0,1475.0,1513.0,26191158390,14983329,661,1626.0,1475.0
32,2018-11-05,1500.0,1601.0,1500.0,1578.0,32156261111,17644793,686,1513.0,1601.0
33,2018-11-10,1615.0,1615.0,1551.0,1593.0,44336218885,24092984,1166,1578.0,1551.0
34,2018-11-12,1559.0,1568.0,1559.0,1562.0,81182850667,45032728,2309,1593.0,1568.0
35,2018-11-14,1507.0,1533.0,1507.0,1513.0,31256794500,17876940,1069,1562.0,1533.0
36,2018-11-17,1551.0,1551.0,1515.0,1541.0,44170646780,24820798,1424,1513.0,1515.0
37,2018-11-19,1502.0,1502.0,1489.0,1500.0,42747397990,24667261,1531,1541.0,1489.0
38,2018-11-21,1525.0,1558.0,1525.0,1535.0,30874269225,17421291,1121,1500.0,1558.0
39,2018-11-24,1602.0,1602.0,1567.0,1589.0,29685722020,16185290,778,1535.0,1567.0
40,2018-11-26,1541.0,1541.0,1505.0,1515.0,12885970106,7363679,309,1589.0,1505.0
41,2018-11-28,1472.0,1472.0,1447.0,1458.0,14995773477,8911400,537,1515.0,1447.0
42,2018-12-01,1429.0,1429.0,1403.0,1418.0,14360388390,8773903,474,1458.0,1403.0
43,2018-12-03,1455.0,1455.0,1411.0,1432.0,11213095190,6781858,430,1418.0,1411.0
44,2018-12-05,1429.0,1498.0,1429.0,1459.0,19235383079,11420128,616,1432.0,1498.0
45,2018-12-08,1540.0,1540.0,1540.0,1540.0,54096609423,30408437,1588,1459.0,1540.0
46,2018-12-10,1430.0,1430.0,1429.0,1430.0,36199909756,21928981,1304,1540.0,1429.0
47,2018-12-12,1447.0,1447.0,1403.0,1424.0,10410673773,6333421,412,1430.0,1403.0
48,2018-12-15,1386.0,1386.0,1368.0,1383.0,29880073642,18708827,1218,1424.0,1368.0
49,2018-12-17,1424.0,1424.0,1360.0,1393.0,14267685490,8874592,461,1383.0,1360.0
50,2018-12-19,1334.0,1351.0,1334.0,1337.0,25667824620,16624400,1160,1393.0,1351.0
51,2018-12-22,1351.0,1351.0,1316.0,1345.0,14228969000,9163013,620,1337.0,1316.0
52,2018-12-24,1342.0,1342.0,1282.0,1302.0,11990719530,7970454,510,1345.0,1282.0
53,2018-12-26,1256.0,1339.0,1256.0,1275.0,44833484374,30456463,1721,1302.0,1339.0
54,2018-12-29,1341.0,1341.0,1282.0,1316.0,14029671624,9230650,554,1275.0,1282.0
55,2018-12-31,1300.0,1300.0,1300.0,1300.0,15910879186,10600186,566,1316.0,1300.0
56,2019-01-02,1304.0,1304.0,1255.0,1298.0,41300548614,27554081,1788,1300.0,1255.0
57,2019-01-05,1263.0,1263.0,1262.0,1263.0,36329132948,24902643,1582,1298.0,1262.0
58,2019-01-07,1274.0,1281.0,1274.0,1275.0,21633603289,14689271,852,1263.0,1281.0
59,2019-01-09,1298.0,1298.0,1287.0,1295.0,15960560493,10672745,617,1275.0,1287.0
60,2019-01-12,1308.0,1308.0,1308.0,1308.0,26797512470,17746697,1200,1295.0,1308.0
61,2019-01-14,1285.0,1285.0,1238.0,1246.0,15196226011,10564358,545,1308.0,1238.0
62,2019-01-16,1230.0,1231.0,1230.0,1230.0,30987350867,21819742,1330,1246.0,1231.0
63,2019-01-19,1220.0,1247.0,1220.0,1229.0,30976785568,21825276,1174,1230.0,1247.0
64,2019-01-21,1212.0,1212.0,1186.0,1205.0,19559268580,14061557,658,1229.0,1186.0
65,2019-01-23,1247.0,1262.0,1247.0,1250.0,20068447636,13899840,831,1205.0,1262.0
66,2019-01-26,1269.0,1269.0,1212.0,1231.0,5502457040,3871874,256,1250.0,1212.0
67,2019-01-28,1180.0,1182.0,1180.0,1181.0,19762184126,14502112,804,1231.0,1182.0
68,2019-01-30,1199.0,1199.0,1199.0,1199.0,41239009330,29775458,1598,1181.0,1199.0
