,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-02-08,52.0,52.0,52.0,52.0,6406000,2000,1,0.0,52.0
1,2003-02-26,55.0,55.0,55.0,55.0,15133500,4500,1,52.0,55.0
2,2003-03-02,57.0,57.0,57.0,57.0,7062000,2000,1,55.0,57.0
3,2003-03-03,57.0,57.0,57.0,57.0,7062000,2000,1,57.0,57.0
4,2003-03-05,57.0,57.0,57.0,57.0,3531000,1000,1,57.0,57.0
5,2003-03-09,60.0,60.0,60.0,60.0,840451040,226720,390,57.0,60.0
6,2003-03-10,62.0,63.0,62.0,63.0,19824800,5096,2,60.0,63.0
7,2003-03-11,66.0,66.0,66.0,66.0,20430000,5000,1,63.0,66.0
8,2003-03-30,70.0,70.0,70.0,70.0,12418020,2895,3,66.0,70.0
9,2003-03-31,70.0,70.0,70.0,70.0,5577000,1300,2,70.0,70.0
10,2003-04-05,70.0,70.0,70.0,70.0,2522520,588,2,70.0,70.0
11,2003-04-06,70.0,70.0,70.0,70.0,1932087300,450370,17,70.0,70.0
12,2003-04-07,71.0,73.0,71.0,71.0,2816470000,640000,49,70.0,71.0
13,2003-04-09,71.0,71.0,71.0,71.0,4402000,1000,1,71.0,71.0
14,2003-04-13,75.0,75.0,72.0,72.0,17881500,4000,5,71.0,72.0
15,2003-04-15,76.0,76.0,76.0,76.0,280260000,60000,11,72.0,76.0
16,2003-04-16,80.0,80.0,80.0,80.0,147120000,30000,9,76.0,80.0
17,2003-04-19,84.0,84.0,84.0,84.0,154470000,30000,10,80.0,84.0
18,2003-04-20,88.0,88.0,88.0,88.0,162180000,30000,8,84.0,88.0
19,2003-04-21,92.0,92.0,92.0,92.0,340560000,60000,40,88.0,92.0
20,2003-04-22,97.0,97.0,97.0,97.0,4996023600,838400,209,92.0,97.0
21,2003-04-26,97.0,97.0,97.0,97.0,249266130,41830,15,97.0,97.0
22,2003-04-27,97.0,102.0,97.0,102.0,82849730,13370,6,97.0,102.0
23,2003-04-28,107.0,107.0,107.0,107.0,2389241360,363770,99,102.0,107.0
24,2003-04-29,112.0,112.0,112.0,112.0,1307764336,189641,46,107.0,112.0
25,2003-04-30,118.0,118.0,110.0,118.0,856254335,122491,51,112.0,118.0
26,2003-05-03,118.0,123.0,118.0,120.0,253872000,34300,16,118.0,120.0
27,2003-05-04,120.0,120.0,115.0,120.0,2575853286,353257,176,120.0,120.0
28,2003-05-05,121.0,126.0,120.0,120.0,1471371982,191914,80,120.0,120.0
29,2003-05-06,126.0,126.0,126.0,126.0,529825100,68300,53,120.0,126.0
30,2003-05-07,127.0,131.0,127.0,131.0,30741350,3865,3,126.0,131.0
31,2003-05-10,131.0,132.0,131.0,132.0,450202734,55731,37,131.0,132.0
32,2003-05-11,132.0,139.0,132.0,139.0,254358300,29756,29,132.0,139.0
33,2003-05-12,139.0,139.0,139.0,139.0,261689751,30578,29,139.0,139.0
34,2003-05-13,139.0,139.0,132.0,137.0,620825604,74611,45,139.0,137.0
35,2003-05-14,135.0,139.0,133.0,139.0,848852146,101302,65,137.0,139.0
36,2003-05-17,140.0,140.0,139.0,139.0,1103047802,128889,53,139.0,139.0
37,2003-05-18,139.0,139.0,139.0,139.0,8925620,1044,2,139.0,139.0
38,2003-05-20,132.0,138.0,132.0,138.0,1343546755,164065,65,139.0,138.0
39,2003-05-21,136.0,137.0,136.0,137.0,287925760,34170,20,138.0,137.0
40,2003-05-24,133.0,137.0,133.0,137.0,243876425,29303,29,137.0,137.0
41,2003-05-25,135.0,137.0,135.0,137.0,425562207,50855,34,137.0,137.0
42,2003-05-26,144.0,144.0,137.0,144.0,1347760822,153332,72,137.0,144.0
43,2003-05-27,144.0,146.0,144.0,145.0,912009115,102465,58,144.0,145.0
44,2003-05-28,141.0,145.0,141.0,145.0,294777520,33600,17,145.0,145.0
45,2003-05-31,141.0,144.0,141.0,144.0,376739040,42922,31,145.0,144.0
46,2003-06-01,143.0,144.0,137.0,144.0,2584504252,297450,83,144.0,144.0
47,2003-06-02,142.0,143.0,142.0,143.0,54134224,6176,6,144.0,143.0
48,2003-06-03,140.0,142.0,138.0,142.0,924773581,106705,32,143.0,142.0
49,2003-06-07,142.0,142.0,140.0,140.0,121278000,14000,3,142.0,140.0
50,2003-06-09,133.0,133.0,133.0,133.0,9861600,1200,1,140.0,133.0
51,2003-06-10,133.0,133.0,127.0,127.0,226653002,28270,23,133.0,127.0
52,2003-07-08,172.0,187.0,163.0,166.0,4039886013,377401,115,127.0,166.0
53,2003-07-09,174.0,174.0,163.0,174.0,3679505990,343835,122,166.0,174.0
54,2003-07-12,183.0,183.0,183.0,183.0,3547147170,315330,79,174.0,183.0
55,2003-07-13,192.0,192.0,174.0,191.0,590262876,50498,36,183.0,191.0
56,2003-07-14,182.0,191.0,182.0,191.0,1838351946,159870,80,191.0,191.0
57,2003-07-15,191.0,200.0,191.0,200.0,1129928332,92449,45,191.0,200.0
58,2003-07-16,210.0,210.0,199.0,199.0,696087298,56467,42,200.0,199.0
59,2003-07-19,199.0,199.0,189.0,189.0,674933607,57453,25,199.0,189.0
60,2003-07-20,189.0,189.0,180.0,187.0,691669316,62341,50,189.0,187.0
61,2003-07-21,178.0,187.0,178.0,178.0,317535904,28691,30,187.0,178.0
62,2003-07-22,169.0,178.0,169.0,178.0,1004808196,95697,47,178.0,178.0
63,2003-07-23,175.0,178.0,173.0,178.0,863843740,79600,45,178.0,178.0
64,2003-07-26,187.0,187.0,178.0,187.0,1984034946,172774,83,178.0,187.0
65,2003-07-27,188.0,196.0,188.0,192.0,904457060,75757,65,187.0,192.0
66,2003-07-28,196.0,202.0,195.0,202.0,4382965010,355037,150,192.0,202.0
67,2003-07-29,205.0,212.0,202.0,212.0,5463161976,419573,125,202.0,212.0
68,2003-07-30,222.0,222.0,211.0,212.0,1484117606,111448,68,212.0,212.0
69,2003-08-03,211.0,212.0,203.0,209.0,605323303,47582,38,212.0,209.0
70,2003-08-04,208.0,208.0,195.0,198.0,2335716610,192083,66,209.0,198.0
71,2003-08-06,197.0,197.0,195.0,195.0,125654289,10484,6,198.0,195.0
72,2003-08-09,192.0,192.0,190.0,190.0,123158820,10415,5,195.0,190.0
73,2003-08-10,178.0,179.0,171.0,171.0,414321113,39283,25,190.0,171.0
74,2003-08-11,166.0,179.0,166.0,172.0,612882124,59051,49,171.0,172.0
75,2003-08-12,179.0,194.0,179.0,179.0,698216960,61012,32,172.0,179.0
76,2003-08-13,187.0,195.0,180.0,195.0,237799675,20620,13,179.0,195.0
77,2003-08-16,190.0,190.0,180.0,180.0,101640620,9000,7,195.0,180.0
78,2003-08-17,181.0,189.0,179.0,187.0,163630239,14622,16,180.0,187.0
79,2003-08-18,187.0,187.0,174.0,174.0,100022287,9006,11,187.0,174.0
80,2003-08-19,174.0,174.0,162.0,170.0,504242446,47902,26,174.0,170.0
81,2003-08-20,171.0,171.0,170.0,170.0,65376762,6206,6,170.0,170.0
82,2003-08-23,171.0,179.0,170.0,170.0,73977771,6766,12,170.0,170.0
83,2003-08-24,174.0,175.0,170.0,170.0,66310812,6200,10,170.0,170.0
84,2003-08-25,172.0,174.0,170.0,170.0,213647547,20016,18,170.0,170.0
85,2003-08-26,174.0,174.0,170.0,170.0,302051760,28598,14,170.0,170.0
