,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,63.0,64.0,63.0,64.0,15959700,1243,3,63.0,64.0
1,2001-03-27,64.0,64.0,64.0,64.0,26000000,2000,3,64.0,64.0
2,2001-03-28,67.0,67.0,67.0,67.0,13650000,1000,4,64.0,67.0
3,2001-04-08,69.0,69.0,69.0,69.0,28714000,2051,4,67.0,69.0
4,2001-04-09,69.0,69.0,69.0,69.0,51703000,3693,5,69.0,69.0
5,2001-04-10,69.0,69.0,69.0,69.0,1568000,112,1,69.0,69.0
6,2001-04-16,69.0,69.0,69.0,69.0,92404561,6601,14,69.0,69.0
7,2001-04-17,69.0,69.0,69.0,69.0,15062174,1076,3,69.0,69.0
8,2001-04-18,69.0,69.0,69.0,69.0,76630276,5474,9,69.0,69.0
9,2001-04-22,70.0,70.0,69.0,69.0,139167200,9881,8,69.0,69.0
10,2001-04-28,69.0,69.0,69.0,69.0,3780000,270,2,69.0,69.0
11,2001-04-29,69.0,69.0,69.0,69.0,14002000,1000,2,69.0,69.0
12,2001-04-30,69.0,69.0,69.0,69.0,155108691,11077,7,69.0,69.0
13,2001-05-01,69.0,70.0,69.0,70.0,107567102,7644,6,69.0,70.0
14,2001-05-02,70.0,70.0,70.0,70.0,7050000,500,1,70.0,70.0
15,2001-05-05,70.0,70.0,70.0,70.0,16920000,1200,4,70.0,70.0
16,2001-05-06,70.0,70.0,70.0,70.0,37055531,2628,13,70.0,70.0
17,2001-05-07,69.0,69.0,69.0,69.0,21004500,1500,2,70.0,69.0
18,2001-05-08,69.0,69.0,69.0,69.0,11200000,800,11,69.0,69.0
19,2001-05-12,69.0,69.0,69.0,69.0,18201300,1300,3,69.0,69.0
20,2001-05-13,73.0,73.0,73.0,73.0,31575600,2148,2,69.0,73.0
21,2001-05-20,76.0,76.0,76.0,76.0,14663250,950,3,73.0,76.0
22,2001-05-23,80.0,80.0,80.0,80.0,16206000,1000,2,76.0,80.0
23,2001-05-27,84.0,84.0,84.0,84.0,27889224,1639,3,80.0,84.0
24,2001-05-28,88.0,88.0,88.0,88.0,53598000,3000,4,84.0,88.0
25,2001-05-30,88.0,88.0,88.0,88.0,5182590,290,1,88.0,88.0
26,2001-06-02,88.0,88.0,88.0,88.0,22344500,1250,3,88.0,88.0
27,2001-06-16,87.0,87.0,87.0,87.0,84408900,4796,4,88.0,87.0
28,2001-06-17,84.0,87.0,83.0,87.0,440583280,26081,18,87.0,87.0
29,2001-07-16,52.0,52.0,52.0,52.0,10500000,1000,1,87.0,52.0
30,2001-07-18,55.0,55.0,55.0,55.0,11025000,1000,4,52.0,55.0
31,2001-08-28,57.0,57.0,57.0,57.0,12733600,1100,5,55.0,57.0
32,2001-08-29,60.0,60.0,60.0,60.0,40703746,3349,7,57.0,60.0
33,2001-09-03,63.0,63.0,63.0,63.0,16589300,1300,5,60.0,63.0
34,2001-09-11,65.0,65.0,65.0,65.0,6540000,500,3,63.0,65.0
35,2001-09-12,66.0,66.0,66.0,66.0,37197297,2775,8,65.0,66.0
36,2001-09-15,66.0,66.0,65.0,65.0,2652308853,202893,10,66.0,65.0
37,2001-09-16,65.0,65.0,65.0,65.0,21466362,1631,3,65.0,65.0
38,2001-09-17,65.0,65.0,65.0,65.0,6550000,500,1,65.0,65.0
39,2001-09-18,64.0,64.0,64.0,64.0,6500000,500,1,65.0,64.0
40,2001-09-19,65.0,66.0,64.0,66.0,33354086,2526,6,64.0,66.0
41,2001-09-22,66.0,66.0,66.0,66.0,26600000,2000,1,66.0,66.0
42,2001-09-24,67.0,67.0,67.0,67.0,15322368,1124,4,66.0,67.0
43,2001-09-29,68.0,68.0,68.0,68.0,33043200,2400,3,67.0,68.0
44,2001-09-30,69.0,69.0,69.0,69.0,8343000,600,1,68.0,69.0
45,2001-10-02,69.0,69.0,69.0,69.0,11979532,853,2,69.0,69.0
46,2001-10-06,70.0,70.0,70.0,70.0,8552952,603,2,69.0,70.0
