,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-06-27,204750.0,239754.0,204750.0,219404.0,1707953220470,7465368,84704,95902.0,224410.0
1,2020-06-28,230749.0,268524.0,223853.0,243580.0,2366953466020,9319007,72924,219404.0,253804.0
2,2020-06-29,258934.0,268524.0,212901.0,257649.0,2709903479030,10086715,83716,243580.0,268429.0
3,2020-06-30,270653.0,306885.0,270442.0,296537.0,1668183569940,5395047,43087,257649.0,306885.0
4,2020-07-04,326065.0,326065.0,268524.0,315315.0,1616707884550,4917074,33922,296537.0,288539.0
5,2020-07-05,288558.0,288558.0,245988.0,265753.0,4049437617800,14613167,110667,315315.0,259893.0
6,2020-07-06,278105.0,292327.0,239179.0,267661.0,2592370846620,9288258,69186,265753.0,262406.0
7,2020-07-07,262483.0,268524.0,252940.0,259356.0,3561578517220,13169629,81930,267661.0,257016.0
8,2020-07-08,233434.0,285288.0,233424.0,234556.0,2636238172700,10778690,66836,259356.0,233424.0
9,2020-07-11,248375.0,258004.0,239754.0,254024.0,2169733555370,8191339,57002,234556.0,258004.0
10,2020-07-12,258436.0,278115.0,257975.0,261533.0,497729576870,1825137,18075,254024.0,261811.0
11,2020-07-13,263940.0,278115.0,249344.0,260804.0,2231621831930,8206039,55976,261533.0,252298.0
12,2020-07-14,254139.0,254139.0,234729.0,247282.0,1642581526520,6370304,45516,260804.0,245508.0
13,2020-07-15,238028.0,244549.0,222559.0,238881.0,1350239992220,5420617,37733,247282.0,237817.0
14,2020-07-18,218656.0,258800.0,215011.0,221868.0,1083065468420,4681558,38288,238881.0,223451.0
15,2020-07-19,244050.0,244050.0,199686.0,244050.0,925916718460,3638492,22412,221868.0,244050.0
16,2020-07-20,249344.0,268448.0,219663.0,248817.0,2152244174550,8295528,52542,244050.0,244923.0
17,2020-07-21,233290.0,249181.0,223978.0,230873.0,1454804188290,6043067,44686,248817.0,230835.0
18,2020-07-22,241672.0,248289.0,239274.0,241135.0,1524793652370,6064228,43665,230873.0,240233.0
19,2020-07-25,253756.0,253756.0,241451.0,245901.0,1677625010410,6542723,45497,241135.0,241586.0
20,2020-07-26,234585.0,237826.0,228332.0,233770.0,1788064837810,7335205,48028,245901.0,234057.0
21,2020-07-27,232178.0,232178.0,210398.0,225158.0,1557921768410,6635594,52461,233770.0,224467.0
22,2020-07-28,220574.0,220574.0,202650.0,215826.0,1204472155460,5352030,52660,225158.0,214848.0
23,2020-07-29,211099.0,225513.0,207195.0,218627.0,1771502947410,7770610,47347,215826.0,220583.0
24,2020-08-01,221533.0,240483.0,220583.0,229454.0,1294781952130,5411600,41163,218627.0,229684.0
25,2020-08-02,229540.0,239658.0,215779.0,231650.0,752751611780,3116385,24430,229454.0,229301.0
26,2020-08-03,227152.0,227152.0,208490.0,218262.0,1204530376530,5292642,43850,231650.0,217025.0
27,2020-08-04,217025.0,217025.0,210983.0,212249.0,1446457145270,6535568,51849,218262.0,211492.0
28,2020-08-05,224410.0,233472.0,191026.0,223997.0,1569748845100,6720554,38795,212249.0,222588.0
29,2020-08-09,230164.0,234959.0,226433.0,230154.0,1630852924300,6795594,44106,223997.0,227210.0
30,2020-08-10,213851.0,220334.0,210983.0,212441.0,739880271030,3340075,23264,230154.0,211847.0
31,2020-08-11,199485.0,206179.0,197538.0,201384.0,1269783082890,6046766,43923,212441.0,204913.0
32,2020-08-12,191707.0,194201.0,189885.0,191659.0,1030489780620,5156313,33469,201384.0,192801.0
33,2020-08-15,179010.0,183172.0,176459.0,179528.0,1169347772700,6246533,35623,191659.0,179883.0
34,2020-08-16,173006.0,197481.0,161575.0,172441.0,722517259070,4018148,26554,179528.0,171798.0
35,2020-08-17,180295.0,189684.0,179815.0,186490.0,713384852480,3668578,19752,172441.0,189684.0
36,2020-08-18,191803.0,191899.0,181254.0,188015.0,1816655159300,9266238,47706,186490.0,188984.0
37,2020-08-19,173486.0,181254.0,172623.0,175634.0,1066791697100,5825121,34387,188015.0,179221.0
38,2020-08-22,179211.0,180966.0,171664.0,176027.0,642428171690,3500093,19493,175634.0,180774.0
39,2020-08-23,180774.0,186529.0,163129.0,169966.0,1353069903540,7634365,43315,176027.0,168787.0
40,2020-08-24,177418.0,177610.0,158429.0,166600.0,1553104762500,8940162,42232,169966.0,170033.0
41,2020-08-25,177418.0,183258.0,177418.0,181590.0,888433067020,4691963,23262,166600.0,183258.0
42,2020-08-26,199744.0,199744.0,199744.0,199744.0,226697783840,1088428,8751,181590.0,199744.0
