,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-07-11,10033.0,10033.0,10033.0,10033.0,489774940000,48977494,2085,10033.0,10033.0
1,2020-07-12,10033.0,10033.0,10033.0,10033.0,500225060000,50022506,1814,10033.0,10033.0
2,2020-08-09,11037.0,11037.0,10234.0,10917.0,1719519310,158023,126,10033.0,10354.0
3,2020-08-10,10334.0,10334.0,9828.0,10055.0,40241724409,4015319,398,10917.0,10043.0
4,2020-08-11,10224.0,10224.0,10033.0,10037.0,6406335146,640360,112,10055.0,10033.0
5,2020-08-12,10043.0,10043.0,10033.0,10034.0,5353483001,535273,95,10037.0,10039.0
6,2020-08-15,10033.0,10043.0,10033.0,10034.0,2396520716,239639,93,10034.0,10035.0
7,2020-08-16,10043.0,10043.0,9923.0,9979.0,2741781134,275665,77,10034.0,9943.0
8,2020-08-17,9933.0,9951.0,9933.0,9935.0,1202917550,121482,68,9979.0,9936.0
9,2020-08-18,9963.0,10038.0,9963.0,10007.0,2155236273,216093,84,9935.0,10032.0
10,2020-08-19,10033.0,10033.0,9894.0,9920.0,778645545,78751,37,10007.0,9904.0
11,2020-08-22,9893.0,10033.0,9893.0,9923.0,651261368,65849,38,9920.0,9917.0
12,2020-08-23,10030.0,10030.0,9876.0,9922.0,8271595851,836458,80,9923.0,9880.0
13,2020-08-24,9881.0,9883.0,9843.0,9845.0,3521583671,358903,35,9922.0,9843.0
14,2020-08-25,9903.0,10031.0,9903.0,9953.0,348625229,35143,42,9845.0,9937.0
15,2020-08-26,10021.0,10033.0,9935.0,10002.0,3447606242,345827,98,9953.0,10023.0
16,2020-08-31,10043.0,10123.0,10003.0,10052.0,3017717625,301204,87,10002.0,10033.0
17,2020-09-01,10033.0,10043.0,10003.0,10018.0,2527140576,253093,55,10052.0,10004.0
18,2020-09-02,9984.0,10030.0,9943.0,9958.0,839653240,84604,44,10018.0,9973.0
19,2020-09-05,10003.0,10032.0,10003.0,10009.0,478139885,47929,31,9958.0,10023.0
20,2020-09-06,10043.0,10043.0,10033.0,10037.0,1313355043,131288,90,10009.0,10034.0
21,2020-09-07,10003.0,10033.0,9973.0,9981.0,1489286638,149708,42,10037.0,9973.0
22,2020-09-08,9973.0,9993.0,9923.0,9931.0,1501011943,151651,29,9981.0,9923.0
23,2020-09-09,10043.0,10043.0,9903.0,9957.0,5454831308,549686,43,9931.0,9953.0
24,2020-09-12,10051.0,10051.0,9984.0,9997.0,2506544631,251551,53,9957.0,9985.0
25,2020-09-13,10042.0,10042.0,9943.0,9963.0,3965449489,399321,60,9997.0,9943.0
26,2020-09-14,10003.0,10047.0,9973.0,10003.0,3428024902,343831,52,9963.0,10003.0
27,2020-09-15,10013.0,10113.0,10013.0,10064.0,7627725107,760391,90,10003.0,10113.0
28,2020-09-16,10123.0,10166.0,10043.0,10112.0,19848312738,1969189,110,10064.0,10068.0
29,2020-09-19,10134.0,10134.0,10093.0,10123.0,2760560125,273615,60,10112.0,10124.0
30,2020-09-20,10128.0,11037.0,10128.0,10181.0,3423057208,337332,88,10123.0,10138.0
31,2020-09-21,10144.0,10144.0,10134.0,10137.0,2294095971,227064,30,10181.0,10139.0
32,2020-09-22,10154.0,10154.0,9534.0,10144.0,7060030892,698340,47,10137.0,10144.0
33,2020-09-23,10149.0,10154.0,10143.0,10146.0,13845890351,1369318,80,10144.0,10144.0
34,2020-09-26,10168.0,10169.0,10159.0,10162.0,17573297496,1735119,98,10146.0,10159.0
35,2020-09-27,10174.0,10174.0,10033.0,10142.0,21463744360,2123400,77,10162.0,10114.0
36,2020-09-28,10054.0,10113.0,10019.0,10043.0,4460049697,445551,31,10142.0,10020.0
37,2020-09-29,10103.0,10103.0,10033.0,10081.0,5325073196,529967,28,10043.0,10035.0
38,2020-09-30,10038.0,10038.0,10033.0,10035.0,146337190,14631,13,10081.0,10035.0
39,2020-10-03,10132.0,10132.0,10035.0,10076.0,1334085319,132831,31,10035.0,10042.0
40,2020-10-04,10038.0,10141.0,10038.0,10047.0,796107080,79503,22,10076.0,10044.0
41,2020-10-05,10033.0,10087.0,10033.0,10039.0,1192631353,119196,23,10047.0,10035.0
42,2020-10-07,10033.0,10053.0,10033.0,10034.0,9165239598,916448,45,10039.0,10033.0
43,2020-10-10,10043.0,10087.0,10033.0,10039.0,4172194473,416988,45,10034.0,10034.0
44,2020-10-11,10083.0,10083.0,10034.0,10066.0,6720729279,669872,42,10039.0,10073.0
45,2020-10-12,10053.0,10082.0,10033.0,10045.0,7197361707,718842,34,10066.0,10082.0
46,2020-10-13,10112.0,10113.0,10063.0,10089.0,834049619,82940,31,10045.0,10113.0
47,2020-10-14,10071.0,10071.0,10034.0,10067.0,9298894673,926707,26,10089.0,10037.0
48,2020-10-18,10073.0,10130.0,10073.0,10088.0,729219290,72521,31,10067.0,10074.0
49,2020-10-19,10078.0,10078.0,9834.0,10067.0,5243095438,522527,25,10088.0,10033.0
50,2020-10-20,10073.0,10103.0,10073.0,10075.0,1458762481,145266,25,10067.0,10093.0
51,2020-10-21,10118.0,10153.0,10075.0,10105.0,390612076,38781,21,10075.0,10108.0
52,2020-10-24,10174.0,10174.0,10073.0,10098.0,643775108,63964,27,10105.0,10073.0
53,2020-10-26,10033.0,10053.0,10033.0,10034.0,281694130,28167,11,10098.0,10053.0
54,2020-10-27,10151.0,10153.0,10044.0,10147.0,664696004,65729,27,10034.0,10151.0
55,2020-10-28,10134.0,10134.0,10043.0,10049.0,983530876,98192,31,10147.0,10044.0
56,2020-10-31,10053.0,10173.0,10053.0,10079.0,326166758,32467,22,10049.0,10053.0
57,2020-11-01,10054.0,10078.0,10053.0,10053.0,4182935581,417448,28,10079.0,10053.0
58,2020-11-02,10053.0,10076.0,10053.0,10054.0,209489291,20904,13,10053.0,10053.0
59,2020-11-04,10179.0,10179.0,10053.0,10067.0,81964130,8169,9,10054.0,10053.0
60,2020-11-07,10053.0,10083.0,10033.0,10051.0,100188170,10001,9,10067.0,10083.0
61,2020-11-08,10033.0,10034.0,10033.0,10033.0,501071200,50106,12,10051.0,10033.0
62,2020-11-09,10033.0,10053.0,10033.0,10035.0,65160300,6515,4,10033.0,10033.0
63,2020-11-10,10033.0,10041.0,10033.0,10038.0,30016000,3000,3,10035.0,10041.0
64,2020-11-11,10033.0,10133.0,10033.0,10059.0,154058451,15366,10,10038.0,10033.0
65,2020-11-14,10130.0,10130.0,10033.0,10074.0,102184175,10177,11,10059.0,10033.0
66,2020-11-15,10133.0,10145.0,10034.0,10122.0,1185670775,117527,21,10074.0,10040.0
67,2020-11-16,10040.0,10083.0,10034.0,10057.0,130008820,12970,10,10122.0,10081.0
68,2020-11-17,10043.0,10058.0,10043.0,10058.0,1578606475,157469,9,10057.0,10058.0
69,2020-11-18,10058.0,10083.0,10058.0,10068.0,75374015,7511,13,10058.0,10074.0
70,2020-11-21,10135.0,10135.0,10069.0,10113.0,358178912,35533,22,10068.0,10069.0
71,2020-11-22,10073.0,10121.0,10073.0,10113.0,4867827000,482900,14,10113.0,10121.0
72,2020-11-23,10114.0,10131.0,10113.0,10114.0,2226373340,220848,15,10113.0,10131.0
73,2020-11-24,10117.0,10117.0,10115.0,10117.0,2326324587,230720,20,10114.0,10115.0
74,2020-11-25,10118.0,10134.0,10118.0,10122.0,385641572,38228,13,10117.0,10122.0
75,2020-11-28,10123.0,10134.0,10123.0,10127.0,427783420,42384,17,10122.0,10124.0
76,2020-11-29,10172.0,10183.0,10125.0,10157.0,435694177,43041,15,10127.0,10183.0
77,2020-11-30,10183.0,10189.0,10158.0,10172.0,408085218,40253,18,10157.0,10187.0
78,2020-12-01,10194.0,10204.0,10194.0,10198.0,1242705230,122260,18,10172.0,10194.0
79,2020-12-02,10234.0,10234.0,10214.0,10218.0,5425992000,532800,32,10198.0,10214.0
80,2020-12-05,10244.0,10244.0,10204.0,10223.0,4609465500,452388,30,10218.0,10244.0
81,2020-12-06,10245.0,10264.0,10229.0,10245.0,10580250874,1036174,54,10223.0,10254.0
82,2020-12-07,10254.0,10274.0,10234.0,10264.0,8101029458,791907,49,10245.0,10274.0
83,2020-12-08,10274.0,10283.0,10264.0,10274.0,8404683544,820774,25,10264.0,10275.0
84,2020-12-09,10334.0,10535.0,10284.0,10358.0,635507897,61556,39,10274.0,10435.0
85,2020-12-12,10364.0,10464.0,10354.0,10360.0,11755698430,1138501,38,10358.0,10354.0
86,2020-12-13,10404.0,10474.0,10334.0,10387.0,23412907974,2261475,65,10360.0,10387.0
87,2020-12-14,10435.0,10484.0,10425.0,10439.0,2584500810,248403,32,10387.0,10430.0
