,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-03,28.0,28.0,28.0,28.0,3522328,428,4,28.0,28.0
1,2001-04-07,28.0,28.0,28.0,28.0,510136,62,1,28.0,28.0
2,2001-04-11,28.0,28.0,28.0,28.0,510136,62,1,28.0,28.0
3,2001-04-16,28.0,28.0,28.0,28.0,510136,62,1,28.0,28.0
4,2001-04-24,28.0,28.0,28.0,28.0,1020372,124,2,28.0,28.0
5,2001-04-28,28.0,28.0,28.0,28.0,2550680,310,8,28.0,28.0
6,2001-05-05,28.0,28.0,28.0,28.0,11815780,1436,5,28.0,28.0
7,2001-05-07,28.0,28.0,28.0,28.0,510322,62,1,28.0,28.0
8,2001-05-12,28.0,28.0,28.0,28.0,33436322,4062,5,28.0,28.0
9,2001-05-15,28.0,28.0,28.0,28.0,1531152,186,3,28.0,28.0
10,2001-05-28,29.0,29.0,29.0,29.0,15367254,1778,5,28.0,29.0
11,2001-07-08,22.0,23.0,22.0,23.0,7510544,1148,2,29.0,23.0
12,2001-07-10,24.0,24.0,24.0,24.0,8860884,1236,11,23.0,24.0
13,2001-07-14,24.0,26.0,24.0,24.0,4864382,668,7,24.0,24.0
14,2001-07-15,24.0,24.0,24.0,24.0,33278382,4627,6,24.0,24.0
15,2001-07-16,24.0,25.0,24.0,25.0,93815200,13026,15,24.0,25.0
16,2001-07-17,25.0,25.0,25.0,25.0,1526910,210,1,25.0,25.0
17,2001-07-29,26.0,26.0,26.0,26.0,11786896,1544,7,25.0,26.0
18,2001-07-30,27.0,27.0,27.0,27.0,6732600,840,7,26.0,27.0
19,2001-08-04,29.0,29.0,29.0,29.0,8835750,1050,7,27.0,29.0
20,2001-08-07,29.0,29.0,29.0,29.0,1767150,210,1,29.0,29.0
21,2001-08-11,29.0,29.0,29.0,29.0,9263250,1074,7,29.0,29.0
22,2001-08-15,29.0,29.0,29.0,29.0,1811250,210,3,29.0,29.0
23,2001-08-22,30.0,30.0,30.0,30.0,9971520,1128,8,29.0,30.0
24,2001-08-25,30.0,30.0,30.0,30.0,1308320,148,1,30.0,30.0
25,2001-08-27,31.0,31.0,31.0,31.0,13881452,1532,2,30.0,31.0
26,2001-08-28,32.0,32.0,32.0,32.0,101098282,10886,8,31.0,32.0
27,2001-09-01,31.0,32.0,31.0,32.0,15450772,1666,5,32.0,32.0
28,2001-09-03,32.0,32.0,32.0,32.0,4476334,482,4,32.0,32.0
29,2001-09-04,32.0,32.0,32.0,32.0,10660180,1148,2,32.0,32.0
30,2001-09-05,32.0,32.0,32.0,32.0,5274090,568,4,32.0,32.0
31,2001-09-08,32.0,32.0,32.0,32.0,2525792,272,2,32.0,32.0
32,2001-09-09,32.0,32.0,32.0,32.0,14803060,1582,3,32.0,32.0
33,2001-09-10,32.0,32.0,32.0,32.0,168804,18,1,32.0,32.0
34,2001-09-11,32.0,32.0,32.0,32.0,581436,62,1,32.0,32.0
35,2001-09-12,32.0,32.0,32.0,32.0,3132252,334,4,32.0,32.0
36,2001-09-15,32.0,32.0,32.0,32.0,2879886,307,2,32.0,32.0
37,2001-09-16,32.0,32.0,32.0,32.0,1745858,186,2,32.0,32.0
38,2001-09-17,32.0,32.0,32.0,32.0,3381210,360,3,32.0,32.0
39,2001-09-19,32.0,32.0,32.0,32.0,582180,62,1,32.0,32.0
40,2001-09-22,32.0,32.0,32.0,32.0,63440620,6760,12,32.0,32.0
