,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2018-10-15,726.0,726.0,726.0,726.0,115499425800,34999826,201795,220.0,726.0
1,2018-10-16,762.0,762.0,762.0,762.0,210561120,60768,375,726.0,762.0
2,2018-10-17,800.0,800.0,800.0,800.0,258981944,71188,477,762.0,800.0
3,2018-10-20,840.0,840.0,840.0,840.0,9841402602,2576958,994,800.0,840.0
4,2018-10-21,882.0,882.0,882.0,882.0,32757346568,8170952,2594,840.0,882.0
5,2018-10-22,926.0,926.0,926.0,926.0,777924216,184824,965,882.0,926.0
6,2018-10-23,972.0,972.0,972.0,972.0,92842920441,21009939,7010,926.0,972.0
7,2018-10-24,1021.0,1021.0,1021.0,1021.0,104729470208,22575872,22812,972.0,1021.0
8,2018-10-27,1023.0,1054.0,970.0,1004.0,196851836344,43135988,77475,1021.0,970.0
9,2018-10-28,954.0,954.0,954.0,954.0,2083855584,480594,360,1004.0,954.0
10,2018-10-29,906.0,987.0,906.0,939.0,104150714303,24409042,37744,954.0,906.0
11,2018-10-31,977.0,986.0,946.0,972.0,47046073417,10653174,13057,939.0,986.0
12,2018-11-03,988.0,1020.0,972.0,1015.0,47542430926,10304668,7949,972.0,1020.0
13,2018-11-04,1043.0,1066.0,1001.0,1060.0,93675519642,19451524,11940,1015.0,1066.0
14,2018-11-05,1071.0,1104.0,1069.0,1084.0,57508735835,11674031,9596,1060.0,1097.0
15,2018-11-06,1100.0,1100.0,1045.0,1067.0,45639551852,9406132,14203,1084.0,1063.0
16,2018-11-10,1069.0,1069.0,1014.0,1018.0,30225528949,6529712,4465,1067.0,1014.0
17,2018-11-11,974.0,1012.0,968.0,975.0,28662121485,6469444,5117,1018.0,987.0
18,2018-11-12,988.0,1023.0,987.0,1014.0,18534507941,4022505,3817,975.0,1023.0
19,2018-11-13,1045.0,1056.0,1016.0,1032.0,22721953403,4844446,4299,1014.0,1021.0
20,2018-11-14,1021.0,1077.0,994.0,1045.0,34789973861,7324276,4736,1032.0,1056.0
21,2018-11-17,1045.0,1064.0,1002.0,1027.0,16201560778,3469821,4806,1045.0,1023.0
22,2018-11-18,1037.0,1037.0,976.0,984.0,23295957500,5209157,2900,1027.0,1012.0
23,2018-11-19,984.0,1010.0,979.0,990.0,9254112625,2056575,2556,984.0,991.0
24,2018-11-20,959.0,980.0,946.0,957.0,12596127874,2896326,2875,990.0,969.0
25,2018-11-21,946.0,978.0,946.0,960.0,6444427550,1476333,2415,957.0,962.0
26,2018-11-24,977.0,977.0,912.0,925.0,12078827060,2871918,2821,960.0,918.0
27,2018-11-26,913.0,913.0,879.0,881.0,6193138843,1546629,1303,925.0,879.0
28,2018-11-27,851.0,904.0,851.0,878.0,13472870468,3373838,3738,881.0,880.0
29,2018-11-28,880.0,884.0,835.0,840.0,17767592909,4655910,2610,878.0,846.0
30,2018-12-01,836.0,836.0,798.0,799.0,13026174907,3585225,2122,840.0,798.0
31,2018-12-02,803.0,832.0,799.0,818.0,7476813553,2010323,1630,799.0,829.0
32,2018-12-03,838.0,847.0,827.0,835.0,4832471499,1273364,1159,818.0,833.0
33,2018-12-04,836.0,836.0,793.0,799.0,13941869823,3839573,1909,835.0,805.0
34,2018-12-05,812.0,839.0,790.0,827.0,14752161948,3923912,2107,799.0,839.0
35,2018-12-08,858.0,869.0,836.0,860.0,9648728814,2467467,1504,827.0,869.0
36,2018-12-09,889.0,894.0,840.0,869.0,9340393955,2365956,1479,860.0,851.0
