,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-10-13,290.0,290.0,290.0,290.0,1379998505000,59999935,928925,13.0,290.0
1,2019-10-14,304.0,304.0,304.0,304.0,1354042200,56068,977,290.0,304.0
2,2019-10-15,319.0,319.0,319.0,319.0,3399334063,134059,2194,304.0,319.0
3,2019-10-16,335.0,335.0,335.0,335.0,4905951232,184268,2993,319.0,335.0
4,2019-10-20,352.0,352.0,352.0,352.0,17752599110,635042,10105,335.0,352.0
5,2019-10-21,369.0,369.0,369.0,369.0,42623418744,1452147,21406,352.0,369.0
6,2019-10-22,388.0,388.0,388.0,388.0,30198860082,979878,15183,369.0,388.0
7,2019-10-23,407.0,407.0,369.0,406.0,634953022735,19670516,237073,388.0,407.0
8,2019-10-26,408.0,408.0,386.0,394.0,93062466116,2972837,22317,406.0,386.0
9,2019-10-28,374.0,374.0,374.0,374.0,21029576982,707138,1920,394.0,374.0
10,2019-10-30,374.0,389.0,356.0,376.0,343273104243,11491938,110207,374.0,381.0
11,2019-11-02,380.0,390.0,358.0,372.0,209600356114,7086915,56922,376.0,369.0
12,2019-11-03,365.0,377.0,354.0,368.0,126188134448,4317361,33278,372.0,364.0
13,2019-11-04,364.0,371.0,353.0,359.0,92017040597,3226010,22851,368.0,354.0
14,2019-11-05,353.0,377.0,346.0,365.0,136062520711,4693232,27028,359.0,377.0
15,2019-11-09,383.0,383.0,383.0,383.0,35290187840,1159336,9638,365.0,383.0
16,2019-11-10,386.0,390.0,364.0,381.0,130215952949,4298200,24142,383.0,384.0
17,2019-11-11,378.0,390.0,374.0,384.0,72303908801,2369573,15228,381.0,380.0
18,2019-11-12,389.0,390.0,378.0,381.0,75942945300,2508373,13539,384.0,379.0
19,2019-11-13,380.0,380.0,369.0,372.0,59794813443,2025704,12327,381.0,370.0
20,2019-11-16,366.0,373.0,357.0,364.0,61303492884,2119687,10429,372.0,360.0
21,2019-11-17,348.0,349.0,346.0,346.0,94699584838,3444365,5955,364.0,346.0
22,2019-11-18,341.0,363.0,341.0,360.0,64879231318,2266714,6210,346.0,363.0
23,2019-11-19,365.0,378.0,365.0,372.0,60389291322,2043497,7471,360.0,368.0
24,2019-11-20,372.0,372.0,362.0,365.0,42308264854,1459131,8248,372.0,365.0
25,2019-11-23,359.0,363.0,356.0,358.0,36532264281,1284734,8437,365.0,357.0
26,2019-11-24,356.0,371.0,348.0,356.0,63239884638,2234313,10771,358.0,363.0
27,2019-11-25,365.0,374.0,356.0,369.0,81255152087,2768566,10452,356.0,374.0
28,2019-11-26,380.0,388.0,371.0,381.0,114643699568,3782910,11182,369.0,386.0
29,2019-11-27,386.0,393.0,363.0,384.0,77753318210,2550375,9417,381.0,380.0
30,2019-11-30,384.0,394.0,371.0,385.0,112539497834,3677660,10937,384.0,388.0
31,2019-12-01,385.0,404.0,385.0,402.0,122094364982,3824471,10352,385.0,403.0
32,2019-12-02,404.0,419.0,387.0,404.0,126828373334,3953233,9703,402.0,397.0
33,2019-12-03,390.0,408.0,387.0,396.0,88064311982,2802123,8218,404.0,393.0
34,2019-12-04,391.0,404.0,384.0,393.0,88039388316,2821917,8328,396.0,390.0
