,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2013-09-22,287.0,287.0,287.0,287.0,99630270000,9973000,4884,29.0,287.0
1,2013-09-23,302.0,302.0,302.0,302.0,456617637,43533,48,287.0,302.0
2,2013-09-24,317.0,317.0,317.0,317.0,572676000,52000,149,302.0,317.0
3,2013-09-25,333.0,333.0,333.0,333.0,7736999871,669117,961,317.0,333.0
4,2013-09-28,349.0,349.0,340.0,348.0,51450958491,4255741,6641,333.0,349.0
5,2013-09-29,349.0,351.0,341.0,344.0,23107721213,1931211,2876,348.0,341.0
6,2013-09-30,346.0,346.0,328.0,334.0,8269994185,713059,1108,344.0,330.0
7,2013-10-01,332.0,344.0,332.0,338.0,6810565270,579346,831,334.0,337.0
8,2013-10-02,342.0,355.0,336.0,352.0,10640312567,869397,990,338.0,355.0
9,2013-10-05,364.0,370.0,359.0,368.0,9437952523,738556,1245,352.0,370.0
10,2013-10-06,382.0,386.0,368.0,382.0,33824445241,2548324,2228,368.0,372.0
11,2013-10-07,367.0,374.0,363.0,365.0,19839919938,1565886,1345,382.0,365.0
12,2013-10-08,365.0,368.0,356.0,361.0,7948845501,633057,654,365.0,363.0
13,2013-10-09,365.0,370.0,364.0,366.0,6374549492,500910,631,361.0,365.0
14,2013-10-12,373.0,373.0,349.0,355.0,7579635642,614600,647,366.0,350.0
15,2013-10-13,358.0,358.0,340.0,346.0,16673617203,1384871,1127,355.0,345.0
16,2013-10-14,349.0,360.0,349.0,356.0,7516270179,607253,656,346.0,354.0
17,2013-10-15,357.0,358.0,346.0,349.0,5458608292,449757,520,356.0,350.0
18,2013-10-19,348.0,356.0,348.0,353.0,7625594339,621487,489,349.0,355.0
19,2013-10-20,370.0,370.0,351.0,365.0,8133356831,641820,624,353.0,364.0
20,2013-10-21,365.0,365.0,354.0,358.0,7067594097,567729,466,365.0,363.0
21,2013-10-29,383.0,383.0,360.0,373.0,6960969860,537356,512,358.0,370.0
22,2013-10-30,370.0,391.0,370.0,383.0,20690987530,1554205,1289,373.0,391.0
23,2013-11-02,395.0,402.0,393.0,401.0,24051703884,1725071,1197,383.0,400.0
24,2013-11-03,397.0,401.0,383.0,391.0,15533763332,1144651,929,401.0,396.0
25,2013-11-04,395.0,395.0,383.0,388.0,4629653254,343435,363,391.0,383.0
26,2013-11-05,380.0,388.0,376.0,382.0,3599604036,270821,287,388.0,379.0
27,2013-11-06,380.0,402.0,380.0,398.0,12747749343,920938,796,382.0,402.0
