,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2022-05-16,7569.0,7569.0,7569.0,7569.0,3374507373671,119999551,1661604,269.0,7569.0
1,2022-05-17,8020.0,8020.0,8020.0,7657.0,5516158800,185106,2748,7569.0,8020.0
2,2022-05-18,8115.0,8115.0,8115.0,7967.0,19701909450,653463,5612,7657.0,8115.0
3,2022-05-21,8438.0,8438.0,8438.0,8438.0,30133902150,961209,6754,7967.0,8438.0
4,2022-05-22,8935.0,8935.0,8935.0,8935.0,34669963200,1044276,6731,8438.0,8935.0
5,2022-05-23,9460.0,9460.0,9460.0,9460.0,116702323450,3320123,46450,8935.0,9460.0
6,2022-05-24,10026.0,10026.0,10026.0,10026.0,58889642500,1580930,11923,9460.0,10026.0
7,2022-05-25,10618.0,10618.0,10618.0,10618.0,84897307350,2152023,20190,10026.0,10618.0
8,2022-05-28,11250.0,11250.0,11250.0,11250.0,267809047000,6406915,60307,10618.0,11250.0
9,2022-05-29,11923.0,11923.0,11923.0,11923.0,120295099500,2715465,25260,11250.0,11923.0
10,2022-06-01,11694.0,11788.0,11210.0,11344.0,2248034367250,53361006,511518,11923.0,11210.0
11,2022-06-06,11210.0,11210.0,10671.0,10779.0,351367663500,8773901,76765,11344.0,10671.0
12,2022-06-07,10227.0,10658.0,10133.0,10254.0,759639026700,19943892,148163,10779.0,10241.0
13,2022-06-08,10389.0,10860.0,10389.0,10833.0,658091312850,16341965,48823,10254.0,10860.0
14,2022-06-11,11169.0,11438.0,10497.0,10927.0,556982121850,13713578,53965,10833.0,10550.0
15,2022-06-12,10443.0,10685.0,10281.0,10348.0,440392833450,11454220,39334,10927.0,10348.0
16,2022-06-13,10443.0,10618.0,10187.0,10335.0,338835646850,8823804,31826,10348.0,10227.0
17,2022-06-14,10227.0,10254.0,9756.0,9904.0,344414988700,9361563,33827,10335.0,9797.0
18,2022-06-15,9837.0,10160.0,9635.0,9945.0,191483527350,5180151,20215,9904.0,9958.0
19,2022-06-18,10093.0,10093.0,9380.0,9528.0,207948147050,5873833,18479,9945.0,9406.0
20,2022-06-19,9299.0,9420.0,8962.0,9124.0,279722070500,8254545,21527,9528.0,9070.0
21,2022-06-20,9110.0,9514.0,9016.0,9245.0,169775936400,4942709,12115,9124.0,9097.0
22,2022-06-21,9164.0,9272.0,8720.0,9030.0,165456264150,4931650,12360,9245.0,9016.0
23,2022-06-22,9016.0,9258.0,8895.0,9084.0,113608689900,3367020,10852,9030.0,9137.0
24,2022-06-25,9164.0,9420.0,8935.0,9097.0,110163005750,3260936,9593,9084.0,8989.0
25,2022-06-26,8989.0,8989.0,8572.0,8680.0,124112971700,3849522,9067,9097.0,8572.0
26,2022-06-27,8559.0,8680.0,8330.0,8491.0,115168138100,3650780,11138,8680.0,8518.0
27,2022-06-28,8734.0,8787.0,8464.0,8626.0,96461530800,3012034,6603,8491.0,8532.0
28,2022-06-29,8613.0,8693.0,8384.0,8505.0,71690054650,2267357,7514,8626.0,8545.0
29,2022-07-02,8518.0,8666.0,8316.0,8464.0,71514721850,2273765,7786,8505.0,8343.0
30,2022-07-03,8451.0,8532.0,8168.0,8330.0,82367249900,2660808,7469,8464.0,8438.0
31,2022-07-04,8397.0,8586.0,8263.0,8384.0,53251387000,1709103,5674,8330.0,8303.0
32,2022-07-05,8451.0,8451.0,8128.0,8263.0,76119210700,2479584,6520,8384.0,8249.0
33,2022-07-06,8195.0,8263.0,8047.0,8101.0,63804813850,2120384,5611,8263.0,8088.0
34,2022-07-09,8101.0,8168.0,7913.0,8020.0,74707678600,2506711,6641,8101.0,8088.0
