,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,84.0,84.0,84.0,84.0,19400500,1205,4,0.0,84.0
1,2001-03-26,84.0,84.0,84.0,84.0,34212500,2125,2,84.0,84.0
2,2001-03-31,84.0,84.0,84.0,84.0,2382800,148,2,84.0,84.0
3,2001-04-09,84.0,84.0,84.0,84.0,6018700,375,3,84.0,84.0
4,2001-04-10,83.0,83.0,83.0,83.0,5984000,374,1,84.0,83.0
5,2001-04-15,83.0,83.0,83.0,83.0,4796400,300,1,83.0,83.0
6,2001-04-17,83.0,83.0,83.0,83.0,39959290,2500,5,83.0,83.0
7,2001-04-18,82.0,82.0,82.0,82.0,57666700,3650,5,83.0,82.0
8,2001-04-23,82.0,82.0,82.0,82.0,94734000,6000,2,82.0,82.0
9,2001-04-24,82.0,82.0,82.0,82.0,55262773,3500,10,82.0,82.0
10,2001-04-25,82.0,82.0,82.0,82.0,29606100,1875,14,82.0,82.0
11,2001-04-29,81.0,81.0,81.0,81.0,7750000,500,1,82.0,81.0
12,2001-04-30,81.0,81.0,78.0,81.0,42890000,2800,5,81.0,81.0
13,2001-05-01,81.0,81.0,81.0,81.0,3875000,250,1,81.0,81.0
14,2001-05-05,81.0,81.0,81.0,81.0,3875000,250,3,81.0,81.0
15,2001-05-06,81.0,81.0,81.0,81.0,6492586,419,3,81.0,81.0
16,2001-05-07,81.0,81.0,81.0,81.0,104055737,6712,16,81.0,81.0
17,2001-05-08,81.0,81.0,81.0,81.0,390000,25,1,81.0,81.0
18,2001-05-09,81.0,83.0,81.0,83.0,99367900,6244,6,81.0,83.0
19,2001-05-12,83.0,83.0,83.0,83.0,11200500,700,3,83.0,83.0
20,2001-05-13,83.0,83.0,83.0,83.0,24020050,1500,6,83.0,83.0
21,2001-05-15,84.0,84.0,84.0,84.0,16100000,1000,1,83.0,84.0
22,2001-05-16,87.0,87.0,87.0,87.0,16800000,1000,2,84.0,87.0
23,2001-05-19,89.0,90.0,89.0,90.0,46971400,2734,3,87.0,90.0
24,2001-05-20,87.0,90.0,87.0,87.0,495664395,29296,29,90.0,87.0
25,2001-05-21,87.0,87.0,87.0,87.0,88987000,5300,16,87.0,87.0
26,2001-05-23,87.0,87.0,87.0,87.0,122989750,7325,13,87.0,87.0
27,2001-05-26,87.0,87.0,87.0,87.0,7555500,450,3,87.0,87.0
28,2001-05-27,87.0,88.0,87.0,88.0,40840400,2428,7,87.0,88.0
29,2001-05-28,87.0,87.0,87.0,87.0,67569600,4022,9,88.0,87.0
30,2001-05-29,88.0,88.0,88.0,88.0,76198360,4521,9,87.0,88.0
31,2001-05-30,88.0,88.0,88.0,88.0,24442350,1450,9,88.0,88.0
32,2001-06-02,88.0,88.0,88.0,88.0,13488800,800,5,88.0,88.0
33,2001-06-03,88.0,88.0,88.0,88.0,8431500,500,1,88.0,88.0
34,2001-06-06,88.0,88.0,88.0,88.0,4217500,250,1,88.0,88.0
35,2001-06-09,88.0,88.0,88.0,88.0,24706852,1464,4,88.0,88.0
36,2001-06-11,88.0,88.0,88.0,88.0,1957848,116,1,88.0,88.0
37,2001-06-16,88.0,88.0,88.0,88.0,56512402,3350,5,88.0,88.0
38,2001-06-17,87.0,87.0,87.0,87.0,5879650,350,1,88.0,87.0
39,2001-06-18,87.0,87.0,87.0,87.0,88177750,5250,6,87.0,87.0
40,2001-06-19,87.0,87.0,87.0,87.0,3340000,200,1,87.0,87.0
41,2001-06-23,86.0,87.0,86.0,87.0,83195766,5000,8,87.0,87.0
42,2001-06-26,86.0,87.0,86.0,87.0,105955877,6400,9,87.0,87.0
43,2001-07-25,78.0,83.0,78.0,83.0,286584200,18942,7,87.0,83.0
44,2001-08-01,87.0,87.0,87.0,87.0,18341400,1100,3,83.0,87.0
45,2001-08-04,91.0,91.0,91.0,91.0,38165260,2180,7,87.0,91.0
46,2001-08-06,96.0,96.0,96.0,96.0,169665860,9230,18,91.0,96.0
47,2001-08-07,98.0,98.0,98.0,98.0,87206530,4630,10,96.0,98.0
48,2001-08-08,98.0,98.0,98.0,98.0,32051100,1700,6,98.0,98.0
49,2001-08-11,98.0,98.0,98.0,98.0,185191456,9825,25,98.0,98.0
50,2001-08-12,98.0,98.0,98.0,98.0,26955500,1430,2,98.0,98.0
51,2001-08-13,98.0,98.0,98.0,98.0,34872800,1850,3,98.0,98.0
52,2001-08-14,98.0,98.0,98.0,98.0,22808500,1210,1,98.0,98.0
53,2001-08-15,98.0,99.0,98.0,99.0,30310500,1600,3,98.0,99.0
54,2001-08-19,99.0,99.0,99.0,99.0,5700600,300,1,99.0,99.0
55,2001-08-21,99.0,99.0,99.0,99.0,34962540,1840,3,99.0,99.0
56,2001-08-25,99.0,99.0,99.0,99.0,987740,52,1,99.0,99.0
57,2001-08-29,99.0,99.0,99.0,99.0,4737500,250,1,99.0,99.0
58,2001-09-01,99.0,99.0,99.0,99.0,378740,20,1,99.0,99.0
59,2001-09-03,99.0,99.0,99.0,99.0,173177181,9150,8,99.0,99.0
60,2001-09-10,98.0,99.0,98.0,99.0,317726839,16800,18,99.0,99.0
61,2001-09-11,99.0,99.0,99.0,99.0,10415900,550,3,99.0,99.0
62,2001-10-07,98.0,99.0,98.0,99.0,410302553,21877,31,99.0,99.0
63,2001-10-20,98.0,98.0,98.0,98.0,9374500,500,2,99.0,98.0
64,2001-10-24,95.0,95.0,95.0,95.0,109686000,6000,8,98.0,95.0
65,2001-10-27,95.0,95.0,95.0,95.0,968893,53,1,95.0,95.0
66,2001-10-28,95.0,95.0,95.0,95.0,73116000,4000,2,95.0,95.0
67,2001-11-05,95.0,95.0,95.0,95.0,27767610,1520,2,95.0,95.0
68,2001-11-06,95.0,95.0,95.0,95.0,57456976,3145,9,95.0,95.0
69,2001-11-07,95.0,95.0,95.0,95.0,57500035,3145,3,95.0,95.0
70,2001-11-10,95.0,95.0,95.0,95.0,39495730,2160,8,95.0,95.0
71,2001-11-12,95.0,95.0,95.0,95.0,3656800,200,1,95.0,95.0
72,2001-11-13,95.0,95.0,95.0,95.0,12341700,675,2,95.0,95.0
73,2001-11-14,95.0,95.0,95.0,95.0,4077555,223,3,95.0,95.0
74,2001-11-24,95.0,98.0,95.0,95.0,3856510511,205915,10,95.0,95.0
