,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-08-03,15.0,15.0,15.0,15.0,435280000,290000,25,15.0,15.0
1,2003-08-04,15.0,15.0,15.0,15.0,1009794225,669553,249,15.0,15.0
2,2003-08-05,15.0,15.0,15.0,15.0,158170500,105447,19,15.0,15.0
3,2003-08-06,15.0,15.0,15.0,15.0,697500000,465000,58,15.0,15.0
4,2003-08-09,15.0,15.0,15.0,15.0,330000000,220000,34,15.0,15.0
5,2003-08-11,15.0,15.0,15.0,15.0,19852500,13235,4,15.0,15.0
6,2003-08-20,16.0,16.0,16.0,16.0,236250000,150000,43,15.0,16.0
7,2003-08-24,16.0,16.0,16.0,16.0,16530000,10000,2,16.0,16.0
8,2003-08-26,17.0,17.0,17.0,17.0,86750000,50000,25,16.0,17.0
9,2003-08-27,18.0,18.0,18.0,18.0,91050000,50000,10,17.0,18.0
10,2003-08-30,19.0,19.0,18.0,18.0,3823909,2000,2,18.0,18.0
11,2003-09-01,19.0,19.0,19.0,19.0,47587768,24889,14,18.0,19.0
12,2003-09-02,20.0,20.0,20.0,20.0,84294000,42000,16,19.0,20.0
13,2003-09-03,21.0,21.0,21.0,21.0,27441568,13024,6,20.0,21.0
14,2003-09-06,22.0,22.0,22.0,22.0,55300000,25000,9,21.0,22.0
15,2003-09-07,23.0,23.0,23.0,23.0,372899268,160594,74,22.0,23.0
16,2003-09-08,23.0,24.0,22.0,23.0,173304202,74914,36,23.0,23.0
17,2003-09-09,24.0,24.0,24.0,24.0,26088860,10745,5,23.0,24.0
18,2003-09-13,25.0,25.0,25.0,25.0,241431927,94723,44,24.0,25.0
19,2003-09-14,25.0,27.0,25.0,26.0,267334420,101265,46,25.0,26.0
20,2003-09-15,27.0,27.0,27.0,27.0,131974700,48683,21,26.0,27.0
21,2003-09-16,28.0,28.0,27.0,28.0,82183610,29229,10,27.0,28.0
22,2003-09-17,28.0,29.0,28.0,29.0,90322350,30720,16,28.0,29.0
23,2003-09-20,30.0,31.0,30.0,30.0,167570680,54610,20,29.0,30.0
24,2003-09-21,32.0,32.0,32.0,32.0,64452130,20010,9,30.0,32.0
25,2003-09-22,33.0,33.0,33.0,33.0,43882120,13010,3,32.0,33.0
26,2003-09-23,34.0,34.0,34.0,34.0,121695000,35000,11,33.0,34.0
27,2003-09-27,36.0,36.0,36.0,36.0,73036410,20010,11,34.0,36.0
28,2003-09-28,38.0,38.0,38.0,38.0,688870193,180191,56,36.0,38.0
29,2003-09-29,38.0,38.0,36.0,37.0,342990336,91287,59,38.0,37.0
30,2003-09-30,35.0,35.0,35.0,35.0,96100830,26919,14,37.0,35.0
31,2003-10-01,34.0,34.0,34.0,34.0,35926180,10589,9,35.0,34.0
32,2003-10-04,33.0,34.0,33.0,34.0,23886990,7225,8,34.0,34.0
33,2003-10-05,32.0,33.0,32.0,33.0,25723393,7917,11,34.0,33.0
34,2003-10-06,32.0,32.0,32.0,32.0,36280200,11380,7,33.0,32.0
35,2003-10-07,31.0,31.0,31.0,31.0,53684792,17312,6,32.0,31.0
36,2003-10-08,29.0,31.0,29.0,31.0,1021299,343,2,31.0,31.0
37,2003-10-11,29.0,31.0,29.0,31.0,2014231,677,2,31.0,31.0
