,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,26.0,26.0,26.0,26.0,27529141,2994,4,26.0,26.0
1,2001-03-26,26.0,26.0,26.0,26.0,18386030,2000,7,26.0,26.0
2,2001-03-27,26.0,26.0,26.0,26.0,31094299,3382,10,26.0,26.0
3,2001-03-31,26.0,26.0,26.0,26.0,31729160,3451,10,26.0,26.0
4,2001-04-03,26.0,26.0,26.0,26.0,3907875,425,2,26.0,26.0
5,2001-04-07,26.0,26.0,26.0,26.0,5977500,650,4,26.0,26.0
6,2001-04-08,26.0,26.0,26.0,26.0,9454920,1028,4,26.0,26.0
7,2001-04-10,26.0,26.0,26.0,26.0,58447650,6450,14,26.0,26.0
8,2001-04-11,26.0,26.0,26.0,26.0,3831800,425,1,26.0,26.0
9,2001-04-14,26.0,26.0,26.0,26.0,215875425,23985,45,26.0,26.0
10,2001-04-15,26.0,26.0,25.0,25.0,144952770,16272,29,26.0,25.0
11,2001-04-16,25.0,25.0,25.0,25.0,25190534,2831,10,25.0,25.0
12,2001-04-17,25.0,25.0,25.0,25.0,28844511,3249,3,25.0,25.0
13,2001-04-18,25.0,25.0,25.0,25.0,35304000,4000,6,25.0,25.0
14,2001-04-21,25.0,25.0,25.0,25.0,52923754,6091,17,25.0,25.0
15,2001-04-22,25.0,25.0,25.0,25.0,281606981,32179,77,25.0,25.0
16,2001-04-23,25.0,25.0,25.0,25.0,145910545,16709,46,25.0,25.0
17,2001-04-24,25.0,25.0,25.0,25.0,124597966,14123,41,25.0,25.0
18,2001-04-25,25.0,26.0,25.0,26.0,202454277,22449,71,25.0,26.0
19,2001-04-28,27.0,27.0,26.0,27.0,74137545,7970,26,26.0,27.0
20,2001-04-29,27.0,27.0,27.0,27.0,55910805,5875,15,27.0,27.0
21,2001-04-30,27.0,28.0,27.0,28.0,69357149,7183,28,27.0,28.0
22,2001-05-01,28.0,28.0,28.0,28.0,113416657,11686,20,28.0,28.0
23,2001-05-02,28.0,28.0,27.0,27.0,271957105,28204,72,28.0,27.0
24,2001-05-05,27.0,28.0,27.0,28.0,96719272,10065,41,27.0,28.0
25,2001-05-06,28.0,28.0,28.0,28.0,167110132,17351,61,28.0,28.0
26,2001-05-07,28.0,28.0,28.0,28.0,128519833,13240,52,28.0,28.0
27,2001-05-08,28.0,28.0,28.0,28.0,126259610,12882,25,28.0,28.0
28,2001-05-09,28.0,29.0,28.0,29.0,76664528,7659,37,28.0,29.0
29,2001-05-12,29.0,29.0,29.0,29.0,78018909,7622,39,29.0,29.0
30,2001-05-13,29.0,29.0,29.0,29.0,198346584,19310,74,29.0,29.0
31,2001-05-15,30.0,31.0,30.0,31.0,188168280,17685,70,29.0,31.0
32,2001-05-16,31.0,31.0,31.0,31.0,237522550,21871,72,31.0,31.0
33,2001-05-19,31.0,32.0,31.0,32.0,138528760,12568,35,31.0,32.0
34,2001-05-20,32.0,32.0,32.0,32.0,160922132,14490,36,32.0,32.0
35,2001-05-21,32.0,32.0,32.0,32.0,170371004,15147,48,32.0,32.0
36,2001-05-23,32.0,32.0,32.0,32.0,279675695,24836,53,32.0,32.0
37,2001-05-26,32.0,33.0,32.0,33.0,371046785,32709,62,32.0,33.0
38,2001-05-27,33.0,33.0,32.0,32.0,307645898,27120,59,33.0,32.0
39,2001-05-28,32.0,32.0,31.0,31.0,401640864,37400,82,32.0,31.0
40,2001-05-29,31.0,31.0,29.0,29.0,364929820,35545,60,31.0,29.0
41,2001-05-30,29.0,30.0,29.0,29.0,385017440,37529,90,29.0,29.0
42,2001-06-02,29.0,30.0,29.0,30.0,192039979,18443,31,29.0,30.0
