,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-05-26,1958.0,1958.0,1958.0,1958.0,227998181700,39999681,378216,344.0,1958.0
1,2019-05-28,2056.0,2056.0,2056.0,2056.0,596824200,99720,999,1958.0,2056.0
2,2019-05-29,2159.0,2159.0,2159.0,2159.0,1104940856,175834,1737,2056.0,2159.0
3,2019-06-01,2267.0,2267.0,2267.0,2267.0,16649175466,2523367,24279,2159.0,2267.0
4,2019-06-09,0.0,0.0,0.0,2267.0,32652459190,2347409,14379,2267.0,5347.0
5,2019-06-11,2380.0,2380.0,2380.0,2380.0,1498228704,241962,2374,2267.0,2380.0
6,2019-06-12,2499.0,2499.0,2499.0,2499.0,1421482656,218656,2143,2380.0,2499.0
7,2019-06-15,2624.0,2624.0,2624.0,2624.0,1447924294,212119,2088,2499.0,2624.0
8,2019-06-16,2755.0,2755.0,2755.0,2755.0,1822933617,254351,2504,2624.0,2755.0
9,2019-06-17,2892.0,2892.0,2892.0,2892.0,3427012925,455417,4526,2755.0,2892.0
10,2019-06-18,3037.0,3037.0,3037.0,3037.0,1206751334,152734,1499,2892.0,3037.0
11,2019-06-19,3189.0,3189.0,3189.0,3189.0,1651476424,199069,1792,3037.0,3189.0
12,2019-06-22,3348.0,3348.0,3348.0,3348.0,1616497610,185591,1843,3189.0,3348.0
13,2019-06-23,3515.0,3515.0,3515.0,3515.0,2448692635,267763,2866,3348.0,3515.0
14,2019-06-24,3691.0,3691.0,3691.0,3691.0,1301608712,135556,1397,3515.0,3691.0
15,2019-06-25,3875.0,3875.0,3875.0,3875.0,2366769664,234752,2312,3691.0,3875.0
16,2019-07-01,4069.0,4272.0,4069.0,4258.0,34221526478,3089389,9960,3875.0,4272.0
17,2019-07-02,4470.0,4470.0,4470.0,4470.0,28887919820,2483914,4769,4258.0,4470.0
18,2019-07-03,4694.0,4694.0,4694.0,4694.0,6788009423,555893,5991,4470.0,4694.0
19,2019-07-06,4928.0,4928.0,4928.0,4928.0,47838869090,3731290,5784,4694.0,4928.0
20,2019-07-07,5174.0,5174.0,5174.0,5174.0,14455818688,1073824,8810,4928.0,5174.0
21,2019-07-08,5433.0,5433.0,5433.0,5433.0,147321048050,10422430,23045,5174.0,5433.0
22,2019-07-09,5704.0,5704.0,5704.0,5704.0,32903877213,2217093,19373,5433.0,5704.0
23,2019-07-10,5990.0,5990.0,5990.0,5990.0,67318513251,4319997,11741,5704.0,5990.0
24,2019-07-13,6289.0,6289.0,6289.0,6289.0,70694180784,4320632,12575,5990.0,6289.0
25,2019-07-14,6027.0,6604.0,5975.0,6047.0,154464026325,9817985,30567,6289.0,5975.0
26,2019-07-15,5745.0,5745.0,5745.0,5745.0,4439856880,297040,363,6047.0,5745.0
27,2019-07-16,5458.0,5458.0,5458.0,5458.0,2305838600,162383,197,5745.0,5458.0
28,2019-07-17,5185.0,5731.0,5185.0,5476.0,364264661827,25570412,73265,5458.0,5458.0
29,2019-07-20,5457.0,5650.0,5202.0,5326.0,139431601476,10062170,25519,5476.0,5213.0
30,2019-07-21,5247.0,5592.0,5247.0,5529.0,148903713108,10350966,16018,5326.0,5592.0
31,2019-07-22,5573.0,5806.0,5380.0,5640.0,110504762757,7531383,8686,5529.0,5477.0
32,2019-07-23,5458.0,5489.0,5358.0,5380.0,32373475089,2312730,3332,5640.0,5358.0
