,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-04-19,33.0,33.0,33.0,33.0,66131163000,2855000,1358,33.0,33.0
1,2003-04-20,35.0,35.0,35.0,35.0,4832400000,200000,121,33.0,35.0
2,2003-04-21,36.0,36.0,36.0,36.0,2537000000,100000,130,35.0,36.0
3,2003-04-26,38.0,38.0,38.0,38.0,5327600000,200000,210,36.0,38.0
4,2003-04-27,40.0,40.0,40.0,40.0,2950729500,105500,109,38.0,40.0
5,2003-04-29,42.0,42.0,42.0,42.0,3194835930,108790,136,40.0,42.0
6,2003-04-30,42.0,44.0,42.0,44.0,36170591681,1182178,498,42.0,44.0
7,2003-05-03,44.0,46.0,44.0,45.0,7717420722,248555,270,44.0,45.0
8,2003-05-04,47.0,47.0,45.0,47.0,5679359024,172868,131,45.0,47.0
9,2003-05-05,49.0,50.0,48.0,48.0,7116659461,206519,181,47.0,48.0
10,2003-05-06,48.0,48.0,47.0,48.0,1761887888,53004,109,48.0,48.0
11,2003-05-07,48.0,48.0,47.0,47.0,3002486178,91389,137,48.0,47.0
12,2003-05-10,46.0,47.0,46.0,46.0,2498313272,76611,116,47.0,46.0
13,2003-05-11,46.0,49.0,46.0,49.0,1986558246,59760,112,46.0,49.0
14,2003-05-12,51.0,51.0,49.0,51.0,4956273433,139188,88,49.0,51.0
15,2003-05-13,52.0,54.0,52.0,52.0,3220984492,87792,113,51.0,52.0
16,2003-05-14,52.0,53.0,52.0,53.0,1552900063,42095,84,52.0,53.0
17,2003-05-17,53.0,53.0,52.0,52.0,3055132068,83545,111,53.0,52.0
18,2003-05-18,52.0,52.0,50.0,50.0,1994891824,56672,82,52.0,50.0
19,2003-05-20,50.0,51.0,49.0,50.0,1078311978,30782,61,50.0,50.0
20,2003-05-21,49.0,50.0,49.0,50.0,2354402405,67922,93,50.0,50.0
21,2003-05-24,50.0,51.0,50.0,51.0,1013604964,28586,58,50.0,51.0
22,2003-05-25,52.0,52.0,52.0,52.0,1601191440,43920,87,51.0,52.0
23,2003-05-26,53.0,53.0,53.0,53.0,576625608,15431,17,52.0,53.0
24,2003-05-27,55.0,55.0,55.0,55.0,1966079962,51331,76,53.0,55.0
25,2003-05-28,55.0,55.0,54.0,55.0,5277552672,137850,181,55.0,55.0
26,2003-05-31,55.0,55.0,54.0,54.0,1306298162,34596,65,55.0,54.0
27,2003-06-01,53.0,53.0,51.0,51.0,482503665,13415,38,54.0,51.0
28,2003-06-02,51.0,54.0,51.0,54.0,1497808985,40720,77,51.0,54.0
29,2003-06-03,54.0,54.0,54.0,54.0,2378188513,63288,67,54.0,54.0
30,2003-06-07,54.0,54.0,52.0,52.0,1526738150,41742,44,54.0,52.0
31,2003-06-08,52.0,53.0,52.0,53.0,1063665774,29343,44,52.0,53.0
32,2003-06-09,52.0,53.0,51.0,53.0,4111162587,113988,131,53.0,53.0
33,2003-06-10,51.0,52.0,51.0,52.0,1011601625,28068,30,53.0,52.0
34,2003-06-23,62.0,77.0,56.0,60.0,12996227633,304916,340,52.0,60.0
35,2003-07-06,72.0,76.0,57.0,74.0,5992643480,119953,179,60.0,74.0
36,2003-07-08,78.0,78.0,78.0,78.0,555442060,10172,46,74.0,78.0
37,2003-07-09,82.0,82.0,82.0,82.0,1216190020,21212,12,78.0,82.0
38,2003-07-12,86.0,86.0,86.0,86.0,6426878157,106757,128,82.0,86.0
39,2003-07-13,90.0,90.0,90.0,90.0,828253733,13103,24,86.0,90.0
40,2003-07-14,95.0,95.0,95.0,95.0,6796390400,102400,114,90.0,95.0
41,2003-07-15,100.0,100.0,100.0,100.0,198195516,2844,3,95.0,100.0
42,2003-07-16,117.0,122.0,100.0,112.0,12815911365,158868,228,100.0,112.0
43,2003-07-19,112.0,115.0,112.0,112.0,6512614983,81996,143,112.0,112.0
44,2003-07-20,112.0,113.0,111.0,113.0,5359968174,68372,178,112.0,113.0
45,2003-07-21,113.0,116.0,113.0,115.0,3989647931,49740,88,113.0,115.0
46,2003-07-22,115.0,115.0,110.0,113.0,4870920077,61885,93,115.0,113.0
47,2003-07-23,113.0,113.0,113.0,113.0,5249823066,66445,94,113.0,113.0
48,2003-07-26,115.0,119.0,113.0,119.0,2889787375,35493,76,113.0,119.0
49,2003-07-27,125.0,125.0,125.0,125.0,3723985343,42696,83,119.0,125.0
50,2003-07-28,125.0,131.0,125.0,131.0,776203367,8573,15,125.0,131.0
51,2003-07-29,138.0,138.0,138.0,138.0,11987718743,124663,110,131.0,138.0
52,2003-07-30,132.0,138.0,125.0,129.0,6856737300,75421,104,138.0,129.0
53,2003-08-03,122.0,125.0,121.0,125.0,1984468343,23192,49,129.0,125.0
54,2003-08-04,124.0,125.0,123.0,125.0,8204630305,94336,134,125.0,125.0
55,2003-08-05,122.0,122.0,110.0,113.0,3245166794,41161,59,125.0,113.0
56,2003-08-06,113.0,122.0,113.0,115.0,820111163,10094,50,113.0,115.0
57,2003-08-09,114.0,114.0,112.0,112.0,949039270,12065,30,115.0,112.0
58,2003-08-10,111.0,111.0,109.0,109.0,2264398045,29538,50,112.0,109.0
59,2003-08-11,107.0,109.0,102.0,109.0,6051925058,80845,87,109.0,109.0
60,2003-08-12,117.0,117.0,109.0,116.0,2908581088,36721,69,109.0,116.0
61,2003-08-13,116.0,117.0,116.0,117.0,2060212998,25209,60,116.0,117.0
62,2003-08-16,117.0,117.0,116.0,116.0,914414980,11241,33,117.0,116.0
63,2003-08-17,116.0,116.0,112.0,112.0,1902530843,24200,63,116.0,112.0
64,2003-08-18,112.0,115.0,112.0,112.0,2371992971,29946,71,112.0,112.0
65,2003-08-19,112.0,114.0,112.0,112.0,2326814908,29667,70,112.0,112.0
66,2003-08-20,112.0,112.0,111.0,112.0,1181115515,15116,35,112.0,112.0
67,2003-08-25,112.0,112.0,107.0,112.0,1491508291,19348,47,112.0,112.0
68,2003-08-26,110.0,112.0,106.0,112.0,1328956021,17783,61,112.0,112.0
69,2003-08-27,106.0,112.0,106.0,112.0,3305150894,44488,60,112.0,112.0
70,2003-08-30,106.0,112.0,106.0,112.0,407575308,5486,16,112.0,112.0
71,2003-08-31,106.0,112.0,106.0,112.0,108952638,1466,8,112.0,112.0
72,2003-09-01,106.0,112.0,106.0,112.0,3531408269,47533,43,112.0,112.0
73,2003-09-02,106.0,112.0,106.0,112.0,3721727417,49936,91,112.0,112.0
74,2003-09-03,110.0,112.0,110.0,112.0,1547850873,20133,28,112.0,112.0
75,2003-09-06,107.0,112.0,106.0,112.0,838425888,11032,13,112.0,112.0
76,2003-09-07,107.0,112.0,106.0,112.0,2588366632,34774,58,112.0,112.0
77,2003-09-08,106.0,112.0,106.0,112.0,712516950,9590,12,112.0,112.0
78,2003-09-15,106.0,112.0,106.0,112.0,10514413,141,3,112.0,112.0
79,2003-09-16,106.0,112.0,106.0,112.0,7765572,104,2,112.0,112.0
80,2003-09-22,106.0,106.0,106.0,106.0,3714650000,50000,30,112.0,106.0
81,2003-09-23,101.0,102.0,101.0,101.0,7696944549,109010,116,106.0,101.0
82,2003-09-27,96.0,106.0,96.0,101.0,4154150464,58837,79,101.0,101.0
83,2003-11-10,47.0,57.0,44.0,48.0,4182790034,125203,114,101.0,48.0
84,2003-11-11,50.0,50.0,48.0,48.0,512644140,14615,42,48.0,48.0
85,2003-11-12,51.0,51.0,49.0,51.0,7887047432,223185,237,48.0,51.0
86,2003-11-15,49.0,50.0,49.0,50.0,1187277189,34610,103,51.0,50.0
87,2003-11-17,49.0,49.0,47.0,49.0,1031969205,30479,83,50.0,49.0
88,2003-11-18,47.0,48.0,47.0,48.0,884916811,26872,43,49.0,48.0
89,2003-11-19,46.0,47.0,46.0,46.0,1779236462,55143,121,48.0,46.0
90,2003-11-22,46.0,46.0,45.0,46.0,198101344,6194,24,46.0,46.0
91,2003-11-23,44.0,45.0,44.0,44.0,1700577217,55316,76,46.0,44.0
92,2003-11-24,42.0,43.0,42.0,42.0,2399100943,81662,105,44.0,42.0
93,2003-11-25,44.0,44.0,43.0,44.0,2115786012,68835,98,42.0,44.0
94,2003-11-29,45.0,45.0,44.0,45.0,1181511318,37625,56,44.0,45.0
95,2003-11-30,45.0,45.0,43.0,45.0,404563409,13034,41,45.0,45.0
96,2003-12-01,43.0,44.0,42.0,44.0,1137067697,37926,53,45.0,44.0
97,2003-12-02,43.0,43.0,42.0,43.0,1044908781,35538,47,44.0,43.0
98,2003-12-03,42.0,42.0,41.0,42.0,502137292,17541,25,43.0,42.0
99,2003-12-06,40.0,41.0,40.0,41.0,620457796,22166,22,42.0,41.0
100,2003-12-07,39.0,41.0,39.0,41.0,305687504,11126,13,41.0,41.0
101,2003-12-08,39.0,41.0,39.0,41.0,18469320,678,10,41.0,41.0
102,2003-12-09,39.0,41.0,39.0,41.0,25532370,938,4,41.0,41.0
103,2003-12-10,39.0,40.0,39.0,40.0,477669786,17572,29,41.0,40.0
104,2003-12-13,38.0,40.0,38.0,40.0,406071130,15160,38,40.0,40.0
105,2003-12-14,38.0,39.0,38.0,39.0,391373186,14798,20,40.0,39.0
106,2003-12-15,37.0,39.0,37.0,39.0,333654343,12773,8,39.0,39.0
107,2003-12-16,37.0,39.0,37.0,39.0,198555946,7683,8,39.0,39.0
108,2003-12-17,37.0,38.0,37.0,37.0,14026326681,542357,280,39.0,37.0
109,2003-12-21,37.0,38.0,37.0,37.0,1062408979,40640,73,37.0,37.0
