,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2011-08-30,230.0,235.0,228.0,231.0,8933154126,917539,211,24.0,235.0
1,2011-09-03,239.0,239.0,226.0,231.0,888752613,92100,65,231.0,226.0
2,2011-09-04,230.0,230.0,222.0,225.0,4136390866,436274,79,231.0,223.0
3,2011-09-05,222.0,222.0,218.0,221.0,2501524747,271057,92,225.0,219.0
4,2011-09-06,220.0,221.0,215.0,219.0,2561666853,279162,70,221.0,219.0
5,2011-09-07,219.0,221.0,219.0,219.0,660007142,71523,33,219.0,219.0
6,2011-09-10,221.0,223.0,219.0,219.0,469083303,50533,31,219.0,219.0
7,2011-09-11,220.0,222.0,219.0,219.0,923534825,99734,37,219.0,219.0
8,2011-09-12,220.0,220.0,217.0,219.0,679284270,73953,27,219.0,218.0
9,2011-09-13,219.0,221.0,219.0,219.0,684928656,74166,25,219.0,219.0
10,2011-09-14,219.0,227.0,219.0,221.0,2018756682,214852,134,219.0,226.0
11,2011-09-17,221.0,229.0,221.0,223.0,2305000468,243563,80,221.0,222.0
12,2011-09-18,228.0,232.0,226.0,228.0,3392697078,352341,97,223.0,232.0
13,2011-09-19,237.0,237.0,235.0,237.0,4657004420,467234,133,228.0,237.0
14,2011-09-20,236.0,236.0,231.0,237.0,525436148,53264,65,237.0,233.0
15,2011-09-21,235.0,235.0,231.0,236.0,991002956,100807,67,237.0,232.0
16,2011-09-25,227.0,230.0,227.0,234.0,892075004,92602,52,236.0,230.0
17,2011-09-26,227.0,227.0,225.0,233.0,554395136,58244,51,234.0,225.0
18,2011-09-27,226.0,235.0,226.0,233.0,774610060,79469,42,233.0,230.0
19,2011-09-28,228.0,242.0,228.0,235.0,2587367341,259836,93,233.0,238.0
20,2011-10-01,238.0,239.0,236.0,236.0,1888339886,188792,59,235.0,237.0
21,2011-10-02,238.0,238.0,235.0,236.0,1673104322,167970,53,236.0,235.0
22,2011-10-03,234.0,236.0,234.0,236.0,297999406,30187,32,236.0,235.0
23,2011-10-04,237.0,241.0,236.0,237.0,5590990977,559382,468,236.0,237.0
24,2011-10-05,238.0,242.0,238.0,238.0,1222946049,121233,71,237.0,240.0
25,2011-10-08,245.0,248.0,240.0,243.0,3308275198,322574,112,238.0,243.0
26,2011-10-09,245.0,245.0,242.0,243.0,105846701,10344,20,243.0,244.0
27,2011-10-10,242.0,243.0,238.0,242.0,904351424,89410,74,243.0,241.0
28,2011-10-11,234.0,242.0,234.0,241.0,2689549461,265115,58,242.0,242.0
29,2011-10-12,239.0,240.0,239.0,241.0,92712400,9199,13,241.0,240.0
30,2011-10-15,236.0,238.0,236.0,241.0,666551434,67018,39,241.0,236.0
31,2011-10-16,236.0,236.0,231.0,234.0,3541066187,360418,107,241.0,231.0
32,2011-10-17,232.0,233.0,225.0,233.0,27461980751,2805894,24,234.0,232.0
33,2011-10-18,232.0,238.0,232.0,233.0,337372100,34150,22,233.0,237.0
34,2011-10-19,238.0,238.0,233.0,234.0,1429125822,144211,27,233.0,235.0
35,2011-10-22,234.0,234.0,231.0,234.0,810955787,82687,27,234.0,232.0
36,2011-10-23,233.0,233.0,227.0,232.0,1028175951,107340,31,234.0,231.0
37,2011-10-24,227.0,230.0,225.0,228.0,2786071740,292795,59,232.0,228.0
38,2011-10-25,228.0,228.0,226.0,228.0,1183004125,123775,39,228.0,227.0
39,2011-10-26,230.0,230.0,228.0,228.0,92531192,9627,14,228.0,228.0
40,2011-10-29,230.0,230.0,228.0,228.0,534071125,55460,28,228.0,228.0
41,2011-10-30,229.0,230.0,225.0,228.0,153779240,16125,22,228.0,226.0
42,2011-10-31,226.0,226.0,225.0,228.0,120929947,12729,6,228.0,226.0
43,2011-11-01,226.0,226.0,222.0,227.0,255436276,26924,8,228.0,223.0
44,2011-11-02,227.0,228.0,221.0,227.0,119552081,12496,13,227.0,228.0
45,2011-11-05,226.0,226.0,225.0,227.0,1230740190,129650,25,227.0,225.0
46,2011-11-06,222.0,226.0,222.0,225.0,2083612361,220981,59,227.0,226.0
47,2011-11-08,222.0,222.0,216.0,224.0,490805313,53364,30,225.0,222.0
48,2011-11-09,222.0,224.0,222.0,224.0,347381863,36975,23,224.0,224.0
49,2011-11-12,221.0,226.0,217.0,224.0,386158342,41316,20,224.0,226.0
50,2011-11-13,216.0,217.0,216.0,224.0,152607262,16736,13,224.0,217.0
51,2011-11-14,216.0,217.0,216.0,224.0,15780502,1731,3,224.0,217.0
52,2011-11-16,216.0,218.0,216.0,224.0,89605645,9801,12,224.0,217.0
53,2011-11-19,217.0,218.0,217.0,223.0,251186661,27492,28,224.0,217.0
54,2011-11-20,216.0,222.0,216.0,223.0,11073600,1200,4,223.0,222.0
55,2011-11-21,214.0,214.0,214.0,216.0,2833074358,314214,44,223.0,214.0
56,2011-11-22,211.0,211.0,208.0,209.0,2762130310,316160,48,216.0,208.0
57,2011-11-23,208.0,208.0,201.0,201.0,4087480992,482897,77,209.0,201.0
58,2011-11-26,193.0,197.0,193.0,195.0,2313320489,284678,73,201.0,193.0
59,2011-11-27,188.0,190.0,188.0,190.0,2558538142,322991,72,195.0,188.0
60,2011-11-28,182.0,188.0,182.0,187.0,1394437737,181438,159,190.0,182.0
61,2011-11-29,190.0,191.0,190.0,187.0,318930641,39860,21,187.0,190.0
62,2011-11-30,186.0,188.0,180.0,187.0,68868825,8790,11,187.0,180.0
63,2011-12-03,184.0,190.0,184.0,187.0,274310850,34352,7,187.0,190.0
64,2011-12-04,189.0,195.0,189.0,191.0,1753672358,214798,57,187.0,195.0
65,2011-12-07,198.0,198.0,198.0,192.0,468454340,56110,23,191.0,198.0
66,2011-12-10,199.0,199.0,194.0,193.0,473773739,56815,23,192.0,196.0
67,2011-12-11,192.0,192.0,185.0,192.0,363691271,45354,19,193.0,192.0
68,2011-12-12,190.0,197.0,190.0,192.0,170500320,20970,12,192.0,193.0
69,2011-12-13,188.0,195.0,185.0,192.0,159867910,20000,14,192.0,195.0
70,2011-12-14,190.0,190.0,190.0,192.0,4976000,622,1,192.0,190.0
71,2011-12-17,186.0,192.0,186.0,192.0,58917484,7406,9,192.0,192.0
72,2011-12-18,191.0,195.0,191.0,192.0,40812800,5000,5,192.0,195.0
73,2011-12-19,195.0,197.0,195.0,193.0,542270450,66195,65,192.0,195.0
74,2011-12-20,194.0,195.0,190.0,193.0,94731055,11699,12,193.0,195.0
75,2011-12-21,197.0,197.0,187.0,193.0,89095690,11146,15,193.0,188.0
76,2011-12-24,197.0,197.0,188.0,192.0,151086940,19010,7,193.0,196.0
77,2011-12-25,189.0,195.0,189.0,192.0,32507570,4000,5,192.0,195.0
78,2011-12-26,193.0,197.0,193.0,193.0,295893100,36377,15,192.0,193.0
79,2011-12-27,192.0,197.0,190.0,193.0,42723315,5243,9,193.0,190.0
80,2011-12-28,194.0,196.0,193.0,193.0,104520804,12825,9,193.0,196.0
81,2011-12-31,193.0,195.0,192.0,193.0,178709460,22052,17,193.0,192.0
82,2012-01-01,193.0,193.0,187.0,193.0,141487858,17564,11,193.0,187.0
83,2012-01-02,190.0,192.0,190.0,192.0,201195000,25100,15,193.0,190.0
84,2012-01-03,190.0,190.0,188.0,192.0,98881700,12370,9,192.0,188.0
85,2012-01-04,190.0,195.0,190.0,192.0,499821820,62146,33,192.0,195.0
86,2012-01-07,192.0,195.0,192.0,192.0,16533842,2030,4,192.0,195.0
87,2012-01-08,194.0,194.0,191.0,192.0,39277460,4824,5,192.0,191.0
88,2012-01-09,190.0,193.0,190.0,191.0,1552961739,193671,36,192.0,190.0
89,2012-01-10,186.0,190.0,186.0,191.0,886035422,110765,16,191.0,190.0
90,2012-01-11,191.0,192.0,190.0,191.0,745783819,92731,19,191.0,190.0
91,2012-01-15,192.0,196.0,192.0,191.0,472709772,57881,30,191.0,195.0
92,2012-01-16,195.0,195.0,191.0,192.0,167135078,20652,11,191.0,191.0
93,2012-01-17,195.0,195.0,191.0,192.0,18158898,2252,6,192.0,191.0
94,2012-01-18,195.0,195.0,190.0,192.0,71300666,8864,9,192.0,190.0
95,2012-01-21,190.0,192.0,190.0,192.0,383643000,47660,12,192.0,190.0
96,2012-01-23,191.0,191.0,184.0,190.0,2352507696,294142,29,192.0,190.0
97,2012-01-25,183.0,191.0,183.0,190.0,51227900,6552,7,190.0,190.0
98,2012-01-28,194.0,194.0,189.0,190.0,1973916430,246736,48,190.0,190.0
99,2012-01-29,190.0,190.0,187.0,190.0,104508136,13267,11,190.0,187.0
100,2012-01-30,190.0,190.0,187.0,190.0,809712148,102358,28,190.0,190.0
101,2012-01-31,188.0,188.0,182.0,188.0,787705734,101648,57,190.0,182.0
102,2012-02-01,188.0,188.0,183.0,188.0,234758509,30503,16,188.0,183.0
103,2012-02-04,185.0,185.0,181.0,187.0,294635032,38425,13,188.0,181.0
104,2012-02-05,181.0,183.0,180.0,185.0,1028557831,135565,28,187.0,180.0
105,2012-02-06,178.0,178.0,178.0,184.0,261161020,34850,10,185.0,178.0
106,2012-02-07,185.0,190.0,178.0,184.0,366659360,47485,21,184.0,190.0
107,2012-02-08,181.0,181.0,181.0,184.0,15830800,2083,3,184.0,181.0
108,2012-02-12,178.0,185.0,178.0,184.0,179719000,23600,6,184.0,185.0
109,2012-02-13,178.0,191.0,178.0,187.0,2447977248,308538,68,184.0,191.0
110,2012-02-14,191.0,195.0,191.0,195.0,4094528446,499312,103,187.0,195.0
111,2012-02-15,196.0,203.0,196.0,202.0,15049512132,1767427,233,195.0,197.0
112,2012-02-20,205.0,206.0,202.0,204.0,359515204,41811,22,202.0,206.0
113,2012-02-21,212.0,212.0,196.0,203.0,1193647295,141312,55,204.0,201.0
114,2012-02-22,196.0,204.0,196.0,203.0,738458601,87310,37,203.0,200.0
115,2012-02-25,203.0,203.0,195.0,202.0,536369900,64165,31,203.0,195.0
116,2012-02-26,195.0,210.0,194.0,204.0,4099209116,477523,95,202.0,204.0
117,2012-02-27,209.0,209.0,206.0,209.0,45387428510,5170208,30,204.0,207.0
118,2012-02-28,207.0,207.0,200.0,203.0,2566746701,304102,66,209.0,200.0
119,2012-02-29,204.0,204.0,195.0,201.0,936973375,112436,35,203.0,197.0
120,2012-03-03,199.0,201.0,195.0,200.0,971593780,116870,50,201.0,197.0
121,2012-03-04,199.0,199.0,196.0,200.0,224287245,26956,23,200.0,196.0
122,2012-03-05,195.0,202.0,195.0,199.0,979745220,117827,55,200.0,196.0
123,2012-03-06,196.0,200.0,192.0,198.0,833919942,102120,38,199.0,195.0
124,2012-03-07,195.0,199.0,194.0,198.0,154442280,18602,14,198.0,195.0
125,2012-03-10,195.0,197.0,193.0,198.0,168918689,20625,10,198.0,195.0
126,2012-03-11,193.0,193.0,192.0,197.0,413692450,51009,30,198.0,192.0
127,2012-03-12,200.0,200.0,190.0,195.0,1370179920,168888,39,197.0,192.0
128,2012-03-13,190.0,197.0,190.0,195.0,470967824,57097,24,195.0,197.0
129,2012-03-14,199.0,199.0,190.0,195.0,295185810,36360,23,195.0,192.0
130,2012-03-17,197.0,200.0,196.0,197.0,9887324698,1191180,31,195.0,200.0
131,2012-03-18,200.0,200.0,195.0,197.0,315120498,37987,15,197.0,195.0
132,2012-03-24,199.0,201.0,199.0,197.0,278681068,33122,23,197.0,201.0
133,2012-03-25,201.0,201.0,197.0,197.0,426457480,51170,26,197.0,198.0
134,2012-03-26,197.0,197.0,192.0,197.0,90632770,11100,13,197.0,192.0
135,2012-03-27,197.0,197.0,193.0,197.0,181785632,22112,15,197.0,193.0
136,2012-03-28,195.0,195.0,195.0,197.0,73800000,9000,6,197.0,195.0
137,2012-04-02,201.0,201.0,190.0,196.0,1083631659,132187,41,197.0,197.0
138,2012-04-03,197.0,199.0,194.0,196.0,395240840,47810,24,196.0,195.0
139,2012-04-04,199.0,199.0,194.0,196.0,958021444,116444,20,196.0,196.0
140,2012-04-07,197.0,199.0,197.0,197.0,1075552486,128922,59,196.0,199.0
141,2012-04-08,200.0,205.0,197.0,204.0,7319596036,852368,120,197.0,205.0
142,2012-04-09,205.0,212.0,205.0,210.0,10411342950,1175395,238,204.0,212.0
143,2012-04-24,211.0,211.0,203.0,206.0,5017531007,577811,125,210.0,209.0
144,2012-05-02,215.0,217.0,215.0,215.0,8406411830,1050469,108,206.0,215.0
145,2012-05-05,223.0,223.0,215.0,221.0,3878580765,471378,110,215.0,222.0
146,2012-05-06,222.0,228.0,222.0,221.0,552110620,66266,49,221.0,222.0
147,2012-05-07,222.0,226.0,218.0,220.0,2625134785,320095,37,221.0,222.0
148,2012-05-08,223.0,229.0,223.0,226.0,3026681307,359378,70,220.0,229.0
149,2012-05-09,230.0,235.0,230.0,226.0,315356639,36359,32,226.0,234.0
150,2012-05-12,235.0,235.0,235.0,235.0,6592675404,752676,132,226.0,235.0
151,2012-05-13,242.0,242.0,231.0,236.0,1325320204,149914,54,235.0,231.0
152,2012-05-14,234.0,236.0,230.0,234.0,1927478049,222413,69,236.0,231.0
153,2012-05-15,230.0,231.0,227.0,231.0,1889014466,222105,58,234.0,228.0
154,2012-05-16,227.0,234.0,225.0,227.0,6174688844,731357,77,231.0,226.0
155,2012-05-19,228.0,235.0,228.0,230.0,2351516165,272098,37,227.0,229.0
156,2012-05-20,238.0,238.0,237.0,231.0,127428984,14400,9,230.0,237.0
157,2012-05-21,239.0,239.0,234.0,235.0,9365907293,1070207,54,231.0,234.0
158,2012-05-22,236.0,242.0,236.0,238.0,4917543889,555087,53,235.0,237.0
159,2012-05-23,239.0,242.0,238.0,238.0,310174486,34799,26,238.0,241.0
160,2012-05-26,239.0,240.0,229.0,238.0,381887281,43564,27,238.0,235.0
161,2012-05-27,239.0,239.0,230.0,237.0,870432617,99283,38,238.0,230.0
162,2012-05-28,235.0,235.0,232.0,236.0,801331620,92388,25,237.0,232.0
163,2012-05-29,232.0,235.0,228.0,234.0,877091068,102981,39,236.0,233.0
164,2012-05-30,228.0,230.0,227.0,233.0,927101788,109096,21,234.0,228.0
165,2012-06-02,231.0,231.0,227.0,232.0,334116442,39506,10,233.0,227.0
166,2012-06-05,227.0,227.0,224.0,232.0,289804119,34476,20,232.0,226.0
167,2012-06-06,224.0,229.0,224.0,231.0,141819400,16963,34,232.0,224.0
168,2012-06-09,224.0,224.0,222.0,226.0,1953751809,235885,19,231.0,222.0
169,2012-06-10,219.0,224.0,219.0,225.0,480665630,58913,8,226.0,224.0
170,2012-06-11,229.0,229.0,226.0,225.0,311031729,36563,15,225.0,226.0
171,2012-06-12,228.0,228.0,223.0,226.0,471427149,55763,22,225.0,223.0
172,2012-06-13,227.0,228.0,223.0,226.0,258957590,30631,7,226.0,223.0
173,2012-06-16,223.0,223.0,219.0,225.0,226080058,27534,25,226.0,219.0
174,2012-06-17,220.0,223.0,220.0,225.0,45624560,5560,6,225.0,223.0
175,2012-06-19,220.0,220.0,219.0,225.0,318686911,39075,18,225.0,219.0
176,2012-06-20,219.0,221.0,219.0,222.0,1300517405,159443,39,225.0,219.0
177,2012-06-23,216.0,216.0,214.0,220.0,1033179033,129189,36,222.0,214.0
178,2012-06-24,219.0,224.0,215.0,219.0,1249790289,153689,39,220.0,223.0
179,2012-06-25,218.0,221.0,215.0,219.0,152455732,19000,13,219.0,221.0
180,2012-06-26,217.0,217.0,210.0,218.0,883964832,111036,42,219.0,210.0
181,2012-06-27,215.0,215.0,209.0,217.0,331362550,41575,25,218.0,213.0
182,2012-06-30,213.0,218.0,213.0,217.0,197379970,24436,23,217.0,215.0
183,2012-07-01,215.0,218.0,215.0,217.0,28808700,3558,4,217.0,218.0
184,2012-07-02,215.0,215.0,215.0,217.0,86384312,10776,5,217.0,215.0
185,2012-07-03,215.0,215.0,213.0,217.0,239125400,30000,6,217.0,215.0
186,2012-07-04,215.0,215.0,214.0,217.0,55156500,6900,9,217.0,214.0
187,2012-07-07,215.0,215.0,212.0,217.0,147099380,18464,8,217.0,212.0
188,2012-07-08,210.0,215.0,210.0,217.0,102020000,13000,8,217.0,210.0
189,2012-07-09,209.0,212.0,209.0,216.0,144182568,18464,16,217.0,209.0
190,2012-07-10,217.0,217.0,213.0,216.0,38712150,4851,7,216.0,213.0
191,2012-07-11,216.0,225.0,215.0,217.0,456173970,55419,37,216.0,225.0
192,2012-07-14,221.0,228.0,221.0,226.0,510324220,60691,15,217.0,228.0
193,2012-07-15,228.0,228.0,224.0,227.0,393586490,46476,24,226.0,226.0
194,2012-07-16,226.0,226.0,224.0,226.0,142695532,16982,13,227.0,225.0
195,2012-07-17,226.0,226.0,222.0,222.0,274196508,33188,12,226.0,222.0
196,2012-07-18,221.0,223.0,220.0,222.0,405457018,49038,8,222.0,223.0
197,2012-07-21,220.0,220.0,220.0,220.0,12301500,1500,1,222.0,220.0
198,2012-07-22,220.0,225.0,220.0,220.0,322436306,39316,9,220.0,225.0
199,2012-07-23,220.0,220.0,220.0,220.0,82401800,10049,4,220.0,220.0
200,2012-07-24,220.0,220.0,220.0,220.0,201032720,24516,11,220.0,220.0
201,2012-07-25,220.0,220.0,220.0,220.0,88364237,10776,6,220.0,220.0
202,2012-07-28,220.0,224.0,220.0,221.0,349447014,42511,6,220.0,221.0
203,2012-07-29,220.0,222.0,215.0,220.0,4620843336,562855,36,221.0,215.0
204,2012-07-30,215.0,215.0,209.0,214.0,475643685,59575,16,220.0,215.0
205,2012-07-31,215.0,215.0,215.0,215.0,164774523,20598,9,214.0,215.0
206,2012-08-01,215.0,220.0,215.0,215.0,262881919,32858,8,215.0,215.0
207,2012-08-04,215.0,215.0,209.0,215.0,812097452,101610,19,215.0,215.0
208,2012-08-05,211.0,211.0,211.0,211.0,752519700,95856,13,215.0,211.0
209,2012-08-06,215.0,215.0,209.0,210.0,32924778,4203,8,211.0,211.0
210,2012-08-07,215.0,215.0,211.0,211.0,432477500,55070,20,210.0,211.0
211,2012-08-08,215.0,215.0,211.0,211.0,301927823,38360,12,211.0,211.0
212,2012-08-11,212.0,215.0,212.0,212.0,401473955,50746,10,211.0,215.0
213,2012-08-12,213.0,213.0,213.0,213.0,23760000,3000,1,212.0,213.0
214,2012-08-13,213.0,213.0,213.0,213.0,84004490,10593,4,213.0,213.0
215,2012-08-14,213.0,213.0,213.0,213.0,127642380,16062,7,213.0,213.0
216,2012-08-15,215.0,215.0,214.0,214.0,132733781,16675,9,213.0,214.0
217,2012-08-18,214.0,214.0,214.0,214.0,12170190,1527,2,214.0,214.0
218,2012-08-21,214.0,214.0,214.0,214.0,265781880,33306,7,214.0,214.0
219,2012-08-22,215.0,215.0,215.0,215.0,306593074,38355,10,214.0,215.0
220,2012-08-25,215.0,215.0,215.0,215.0,240194218,30031,11,215.0,215.0
221,2012-08-26,215.0,216.0,215.0,215.0,271365040,33920,9,215.0,215.0
222,2012-08-27,215.0,216.0,215.0,215.0,151040842,18880,11,215.0,215.0
223,2012-09-02,215.0,215.0,215.0,215.0,330008000,41251,5,215.0,215.0
224,2012-09-03,215.0,216.0,215.0,215.0,507515130,63426,12,215.0,215.0
225,2012-09-04,215.0,215.0,215.0,215.0,927712000,115964,18,215.0,215.0
226,2012-09-05,215.0,216.0,215.0,215.0,649248600,81156,12,215.0,215.0
227,2012-09-08,215.0,215.0,215.0,215.0,311064000,38883,9,215.0,215.0
228,2012-09-09,215.0,215.0,215.0,215.0,568458000,71051,18,215.0,215.0
229,2012-09-10,215.0,215.0,215.0,215.0,237120000,29640,11,215.0,215.0
230,2012-09-11,215.0,216.0,215.0,215.0,472167904,59016,13,215.0,215.0
