,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-09-04,963.0,963.0,963.0,963.0,789995094100,99999379,645144,122.0,963.0
1,2019-09-07,1011.0,1011.0,1011.0,1011.0,789750360,95208,671,963.0,1011.0
2,2019-09-08,1062.0,1062.0,1062.0,1062.0,1190833824,136736,965,1011.0,1062.0
3,2019-09-11,1115.0,1115.0,1115.0,1115.0,1680584904,183791,1272,1062.0,1115.0
4,2019-09-14,1170.0,1170.0,1170.0,1170.0,3168915661,330061,2259,1115.0,1170.0
5,2019-09-15,1229.0,1229.0,1229.0,1229.0,3598473436,356956,2444,1170.0,1229.0
6,2019-09-16,1290.0,1290.0,1290.0,1290.0,3612088910,341246,2320,1229.0,1290.0
7,2019-09-17,1355.0,1355.0,1355.0,1355.0,4333993212,389958,2664,1290.0,1355.0
8,2019-09-18,1423.0,1423.0,1423.0,1423.0,7862152116,673764,4591,1355.0,1423.0
9,2019-09-21,1494.0,1494.0,1494.0,1494.0,1609361460,131355,865,1423.0,1494.0
10,2019-09-24,1568.0,1647.0,1568.0,1630.0,25749537892,1925403,12887,1494.0,1647.0
11,2019-09-25,1712.0,1712.0,1712.0,1712.0,26638081218,1897029,13397,1630.0,1712.0
12,2019-09-28,1797.0,1797.0,1797.0,1797.0,9386974016,636664,4459,1712.0,1797.0
13,2019-09-29,1887.0,1887.0,1887.0,1887.0,11475275769,741249,5072,1797.0,1887.0
14,2019-09-30,1982.0,1982.0,1982.0,1982.0,15387421885,946627,6379,1887.0,1982.0
15,2019-10-01,2081.0,2081.0,2081.0,2081.0,35251257021,2065463,10904,1982.0,2081.0
16,2019-10-02,2185.0,2185.0,2185.0,2185.0,167596441600,9352480,46774,2081.0,2185.0
17,2019-10-05,2219.0,2223.0,2075.0,2205.0,183208765718,10130806,39333,2185.0,2185.0
18,2019-10-06,2094.0,2094.0,2094.0,2094.0,34392556100,2001895,9676,2205.0,2094.0
19,2019-10-07,1990.0,1990.0,1990.0,1990.0,7534393798,461638,796,2094.0,1990.0
20,2019-10-08,1890.0,1890.0,1890.0,1890.0,6784972495,437599,581,1990.0,1890.0
21,2019-10-09,1796.0,1796.0,1796.0,1796.0,8889216210,603477,908,1890.0,1796.0
22,2019-10-12,1804.0,1885.0,1706.0,1858.0,321942944895,21119596,105411,1796.0,1885.0
23,2019-10-13,1896.0,1951.0,1765.0,1826.0,222711988783,14868621,71127,1858.0,1820.0
24,2019-10-14,1804.0,1917.0,1750.0,1870.0,204519416901,13332165,41725,1826.0,1917.0
25,2019-10-15,1938.0,1944.0,1777.0,1820.0,168190337570,11266858,17799,1870.0,1795.0
26,2019-10-16,1793.0,1865.0,1729.0,1796.0,129632656769,8800159,17126,1820.0,1748.0
27,2019-10-20,1757.0,1803.0,1706.0,1728.0,28627010150,2019218,3399,1796.0,1706.0
28,2019-10-21,1642.0,1706.0,1642.0,1661.0,96864889107,7107383,12424,1728.0,1695.0
29,2019-10-22,1719.0,1745.0,1658.0,1724.0,95870692570,6779011,11585,1661.0,1707.0
30,2019-10-23,1731.0,1745.0,1638.0,1647.0,94913943783,7025076,10550,1724.0,1640.0
31,2019-10-26,1585.0,1638.0,1565.0,1573.0,75356045109,5841521,13096,1647.0,1565.0
32,2019-10-28,1579.0,1634.0,1531.0,1597.0,54089687746,4128276,9734,1573.0,1609.0
33,2019-10-30,1598.0,1677.0,1598.0,1662.0,55330148010,4059140,7830,1597.0,1677.0
34,2019-11-02,1707.0,1719.0,1585.0,1652.0,59047702541,4357808,9992,1662.0,1651.0
35,2019-11-03,1643.0,1734.0,1627.0,1718.0,93244037364,6616026,10275,1652.0,1734.0
36,2019-11-04,1754.0,1792.0,1719.0,1753.0,58517771701,4068616,7974,1718.0,1738.0
37,2019-11-05,1719.0,1786.0,1688.0,1741.0,47987524882,3360198,7059,1753.0,1741.0
38,2019-11-09,1734.0,1786.0,1719.0,1743.0,43068263708,3011616,6717,1741.0,1725.0
39,2019-11-10,1714.0,1737.0,1672.0,1695.0,43890266587,3156542,6563,1743.0,1708.0
40,2019-11-11,1701.0,1749.0,1691.0,1716.0,34554480789,2454182,5814,1695.0,1704.0
41,2019-11-12,1743.0,1765.0,1696.0,1728.0,50104826869,3535485,5370,1716.0,1710.0
42,2019-11-13,1707.0,1814.0,1701.0,1779.0,105455642795,7226538,7833,1728.0,1814.0
43,2019-11-16,1868.0,1868.0,1835.0,1868.0,200304965993,13075832,5073,1779.0,1868.0
44,2019-11-17,1831.0,1896.0,1774.0,1841.0,117429235732,7776415,5679,1868.0,1815.0
45,2019-11-18,1804.0,1902.0,1804.0,1871.0,59077393166,3850313,4188,1841.0,1877.0
46,2019-11-19,1871.0,1926.0,1853.0,1893.0,47444389667,3054897,4536,1871.0,1890.0
47,2019-11-20,1902.0,1933.0,1847.0,1886.0,61997523004,4006748,4629,1893.0,1871.0
48,2019-11-23,1865.0,1893.0,1828.0,1851.0,53117659418,3499300,5105,1886.0,1838.0
49,2019-11-24,1829.0,1943.0,1829.0,1912.0,107128869749,6828547,5375,1851.0,1943.0
50,2019-11-25,2008.0,2008.0,2008.0,2008.0,32889164712,1996671,1802,1912.0,2008.0
51,2019-11-26,2085.0,2108.0,2012.0,2102.0,235903428145,13680692,5214,2008.0,2108.0
52,2019-11-27,2111.0,2194.0,2037.0,2122.0,168752720782,9695754,9802,2102.0,2097.0
53,2019-11-30,2104.0,2228.0,2061.0,2177.0,141573426919,7927680,7383,2122.0,2228.0
54,2019-12-01,2267.0,2286.0,2205.0,2271.0,311175277664,16703241,7485,2177.0,2250.0
55,2019-12-02,2225.0,2303.0,2158.0,2200.0,190826319947,10572234,7922,2271.0,2158.0
56,2019-12-03,2158.0,2304.0,2133.0,2242.0,111645851554,6072149,5990,2200.0,2229.0
57,2019-12-04,2243.0,2267.0,2174.0,2209.0,82128413793,4532894,5324,2242.0,2194.0
58,2019-12-07,2200.0,2249.0,2100.0,2149.0,120445841136,6832672,7077,2209.0,2107.0
59,2019-12-08,2073.0,2146.0,2073.0,2108.0,79882443038,4619760,6339,2149.0,2101.0
60,2019-12-09,2108.0,2192.0,2108.0,2159.0,70174592329,3962342,4827,2108.0,2188.0
61,2019-12-10,2194.0,2248.0,2125.0,2194.0,75775772038,4211245,4142,2159.0,2133.0
62,2019-12-11,2103.0,2247.0,2103.0,2216.0,84141445777,4628605,4234,2194.0,2243.0
63,2019-12-14,2267.0,2327.0,2267.0,2319.0,73701627045,3874365,3458,2216.0,2327.0
64,2019-12-15,2402.0,2435.0,2310.0,2405.0,183397253709,9295977,7174,2319.0,2413.0
65,2019-12-16,2438.0,2483.0,2347.0,2403.0,99019130088,5022452,4883,2405.0,2366.0
66,2019-12-17,2377.0,2414.0,2328.0,2368.0,89612752982,4614166,4737,2403.0,2340.0
67,2019-12-18,2340.0,2461.0,2283.0,2379.0,111167999409,5695730,5139,2368.0,2390.0
68,2019-12-21,2420.0,2498.0,2415.0,2490.0,191033389366,9354199,5690,2379.0,2498.0
69,2019-12-22,2560.0,2614.0,2502.0,2595.0,177006478443,8316252,5001,2490.0,2614.0
70,2019-12-23,2669.0,2688.0,2465.0,2607.0,233826463453,10934760,5890,2595.0,2548.0
71,2019-12-24,2517.0,2724.0,2517.0,2672.0,119495955868,5451998,4108,2607.0,2724.0
72,2019-12-25,2737.0,2804.0,2676.0,2753.0,85808961546,3800188,3601,2672.0,2792.0
73,2019-12-28,2790.0,2890.0,2743.0,2861.0,119115207206,5075413,4886,2753.0,2890.0
74,2019-12-29,2998.0,2998.0,2848.0,2944.0,134715021754,5578803,2996,2861.0,2956.0
75,2019-12-30,2901.0,2968.0,2797.0,2878.0,203010327568,8600268,6368,2944.0,2877.0
76,2019-12-31,2877.0,2968.0,2758.0,2877.0,147166833375,6236171,4121,2878.0,2926.0
77,2020-01-01,2865.0,3021.0,2865.0,3011.0,154464286887,6253321,3138,2877.0,3011.0
78,2020-01-04,2861.0,2861.0,2861.0,2861.0,36187904172,1542142,295,3011.0,2861.0
79,2020-01-05,2718.0,2804.0,2718.0,2720.0,153580354420,6883657,2147,2861.0,2718.0
80,2020-01-07,2584.0,2584.0,2584.0,2584.0,62237221312,2936272,800,2720.0,2584.0
81,2020-01-08,2532.0,2532.0,2532.0,2532.0,35031670292,1686404,163,2584.0,2532.0
82,2020-01-11,2583.0,2583.0,2583.0,2583.0,52776829004,2490883,664,2532.0,2583.0
83,2020-01-12,2712.0,2712.0,2688.0,2712.0,143634915281,6457560,2277,2583.0,2712.0
84,2020-01-13,2712.0,2847.0,2712.0,2830.0,88422727974,3809546,2186,2712.0,2847.0
85,2020-01-14,2902.0,2971.0,2850.0,2953.0,414341678559,17103853,2947,2830.0,2971.0
86,2020-01-15,3101.0,3101.0,3101.0,3101.0,17451792216,686106,804,2953.0,3101.0
87,2020-01-18,3256.0,3419.0,3237.0,3369.0,207537870199,7510905,4296,3101.0,3292.0
88,2020-01-20,3413.0,3560.0,3259.0,3381.0,129859249654,4682544,3579,3369.0,3365.0
89,2020-01-21,3311.0,3401.0,3212.0,3241.0,212963410590,8009754,4915,3381.0,3212.0
90,2020-01-22,3139.0,3284.0,3079.0,3150.0,185607995904,7183142,5700,3241.0,3176.0
91,2020-01-25,3185.0,3307.0,3170.0,3259.0,108264252554,4049221,3690,3150.0,3274.0
92,2020-01-26,3304.0,3352.0,3113.0,3212.0,168442328416,6393941,5115,3259.0,3133.0
93,2020-01-27,3103.0,3216.0,3090.0,3159.0,96664202108,3730544,3318,3212.0,3152.0
94,2020-01-28,3151.0,3270.0,3133.0,3206.0,83608902906,3179524,4245,3159.0,3198.0
95,2020-02-01,3266.0,3266.0,3083.0,3154.0,96647545968,3735660,3599,3206.0,3129.0
96,2020-02-02,3224.0,3312.0,3167.0,3281.0,163086229957,6060249,3757,3154.0,3312.0
97,2020-02-03,3435.0,3445.0,3377.0,3441.0,162384484663,5753342,4309,3281.0,3445.0
98,2020-02-04,3550.0,3584.0,3304.0,3416.0,110001912937,3925321,3790,3441.0,3359.0
99,2020-02-05,3413.0,3587.0,3413.0,3571.0,174264152783,5949272,4403,3416.0,3587.0
100,2020-02-08,3680.0,3895.0,3392.0,3712.0,181393093764,5956650,3499,3571.0,3768.0
101,2020-02-09,3882.0,3898.0,3767.0,3856.0,226601829653,7163971,4933,3712.0,3898.0
102,2020-02-10,3898.0,4034.0,3689.0,3897.0,152930091715,4784094,5286,3856.0,3901.0
103,2020-02-12,3991.0,4090.0,3864.0,3979.0,108148286612,3313822,3527,3897.0,4075.0
104,2020-02-15,4145.0,4177.0,3999.0,4156.0,181129164444,5312793,3615,3979.0,4177.0
105,2020-02-16,4313.0,4364.0,4206.0,4338.0,138282354318,3886174,2621,4156.0,4364.0
106,2020-02-17,4437.0,4555.0,4195.0,4393.0,162608088712,4511949,4393,4338.0,4334.0
107,2020-02-18,4333.0,4333.0,4174.0,4185.0,158297192468,4611608,4499,4393.0,4181.0
108,2020-02-19,4181.0,4394.0,4023.0,4347.0,130425147098,3657234,4561,4185.0,4394.0
109,2020-02-22,4130.0,4565.0,4130.0,4524.0,233472641723,6291556,3298,4347.0,4565.0
110,2020-02-23,4736.0,4750.0,4651.0,4743.0,304426750081,7825268,5306,4524.0,4750.0
111,2020-02-24,4937.0,4973.0,4742.0,4897.0,257609290961,6413065,6089,4743.0,4925.0
112,2020-02-25,4754.0,4998.0,4652.0,4737.0,311961407536,8027948,8643,4897.0,4664.0
113,2020-02-26,4652.0,4754.0,4500.0,4578.0,264556913996,7045349,7919,4737.0,4533.0
114,2020-02-29,4619.0,4633.0,4352.0,4549.0,170505769382,4569678,4615,4578.0,4547.0
115,2020-03-01,4631.0,4776.0,4596.0,4769.0,201845232957,5159536,3586,4549.0,4776.0
