,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-01-13,1541.0,1541.0,1541.0,1541.0,201825000000,103500000,306990,790.0,1541.0
1,2019-01-14,1618.0,1618.0,1618.0,1618.0,183443952,89616,293,1541.0,1618.0
2,2019-01-15,1698.0,1698.0,1698.0,1698.0,203456575,94675,310,1618.0,1698.0
3,2019-01-16,1783.0,1783.0,1783.0,1783.0,303822288,134673,449,1698.0,1783.0
4,2019-01-19,1871.0,1871.0,1871.0,1871.0,497940672,210279,705,1783.0,1871.0
5,2019-01-20,1965.0,1965.0,1965.0,1965.0,473404008,190428,585,1871.0,1965.0
6,2019-01-22,2063.0,2165.0,2063.0,2143.0,3653275450,1347019,4150,1965.0,2165.0
7,2019-01-23,2250.0,2250.0,2250.0,2250.0,11156772354,3918782,12144,2143.0,2250.0
8,2019-01-26,2362.0,2362.0,2362.0,2362.0,20362762763,6812567,20316,2250.0,2362.0
9,2019-01-27,2480.0,2480.0,2435.0,2479.0,150360958420,47930465,111100,2362.0,2480.0
10,2019-01-28,2513.0,2537.0,2379.0,2445.0,104061165186,33633662,70790,2479.0,2392.0
11,2019-01-29,2359.0,2442.0,2326.0,2368.0,57748276942,19278011,24252,2445.0,2336.0
12,2019-01-30,2304.0,2336.0,2250.0,2267.0,38905098458,13559078,11312,2368.0,2250.0
13,2019-02-02,2255.0,2380.0,2189.0,2341.0,51351106334,17334291,12609,2267.0,2380.0
14,2019-02-03,2362.0,2450.0,2362.0,2409.0,38778505672,12724517,7342,2341.0,2428.0
15,2019-02-04,2402.0,2466.0,2331.0,2382.0,19918240610,6609121,4927,2409.0,2335.0
16,2019-02-05,2333.0,2393.0,2283.0,2352.0,16408138587,5514152,3736,2382.0,2353.0
17,2019-02-06,2343.0,2394.0,2315.0,2343.0,14585258029,4919234,2868,2352.0,2345.0
18,2019-02-10,2331.0,2424.0,2331.0,2384.0,11324847748,3753190,3911,2343.0,2380.0
19,2019-02-12,2379.0,2503.0,2379.0,2462.0,32185213261,10332341,5338,2384.0,2503.0
20,2019-02-13,2529.0,2567.0,2442.0,2499.0,31960893400,10108283,7031,2462.0,2466.0
21,2019-02-16,2414.0,2510.0,2408.0,2445.0,13828602774,4469544,4793,2499.0,2410.0
22,2019-02-17,2418.0,2481.0,2370.0,2420.0,16869836044,5508768,3209,2445.0,2442.0
23,2019-02-23,2488.0,2526.0,2371.0,2476.0,13673841749,4364181,1853,2420.0,2467.0
24,2019-02-24,2474.0,2489.0,2412.0,2436.0,12538472935,4068602,2422,2476.0,2426.0
25,2019-02-25,2427.0,2434.0,2390.0,2409.0,10351234814,3396228,2041,2436.0,2410.0
26,2019-02-26,2372.0,2402.0,2372.0,2383.0,8293666788,2750094,1405,2409.0,2383.0
27,2019-02-27,2379.0,2471.0,2379.0,2436.0,9694494699,3144766,1635,2383.0,2430.0
28,2019-03-02,2426.0,2431.0,2388.0,2410.0,7404781660,2428540,1401,2436.0,2410.0
29,2019-03-03,2410.0,2477.0,2388.0,2447.0,16475013319,5321068,1901,2410.0,2471.0
30,2019-03-04,2481.0,2521.0,2458.0,2492.0,16357328911,5188452,1939,2447.0,2462.0
31,2019-03-05,2470.0,2616.0,2470.0,2590.0,23209420016,7080163,1843,2492.0,2616.0
32,2019-03-06,2687.0,2719.0,2628.0,2696.0,72848178008,21354288,3368,2590.0,2637.0
33,2019-03-09,2624.0,2781.0,2564.0,2677.0,55475024428,16381155,3346,2696.0,2655.0
34,2019-03-10,2659.0,2757.0,2659.0,2706.0,22928785719,6695812,1793,2677.0,2671.0
35,2019-03-11,2718.0,2841.0,2688.0,2804.0,44709444085,12602211,2629,2706.0,2782.0
36,2019-03-12,2776.0,2922.0,2774.0,2870.0,28276006930,7784246,2634,2804.0,2877.0
37,2019-03-13,2911.0,2940.0,2742.0,2811.0,24976669655,7020869,3239,2870.0,2837.0
38,2019-03-16,2805.0,2884.0,2727.0,2818.0,22567843543,6328330,2404,2811.0,2837.0
39,2019-03-17,2836.0,2868.0,2784.0,2828.0,10624149706,2969320,1619,2818.0,2835.0
40,2019-03-18,2767.0,2968.0,2767.0,2925.0,19411982018,5244869,3599,2828.0,2940.0
41,2019-03-19,2962.0,3071.0,2932.0,3025.0,22771523545,5948912,1510,2925.0,3071.0
42,2019-03-25,3129.0,3176.0,3028.0,3160.0,12339074737,3085347,588,3025.0,3176.0
43,2019-03-26,3318.0,3318.0,3318.0,3318.0,8474074404,2018598,276,3160.0,3318.0
44,2019-03-27,3483.0,3483.0,3240.0,3416.0,52441577227,12131947,2488,3318.0,3483.0
45,2019-03-30,3556.0,3587.0,3487.0,3575.0,8710940122,1925361,448,3416.0,3587.0
46,2019-03-31,3754.0,3754.0,3611.0,3736.0,66794623760,14128223,2665,3575.0,3754.0
47,2019-04-06,3849.0,3923.0,3738.0,3874.0,11941764396,2436191,791,3736.0,3923.0
48,2019-04-07,4067.0,4067.0,4067.0,4067.0,360176766,69978,25,3874.0,4067.0
49,2019-04-09,4271.0,4484.0,4112.0,4275.0,76890987104,14212207,2892,4067.0,4384.0
50,2019-04-10,4489.0,4489.0,4433.0,4489.0,25890880247,4558596,885,4275.0,4489.0
51,2019-04-13,4690.0,4713.0,4536.0,4670.0,74423945524,12593803,3192,4489.0,4639.0
52,2019-04-14,4587.0,4655.0,4437.0,4466.0,85788270805,15180916,3338,4670.0,4437.0
53,2019-04-15,4245.0,4535.0,4243.0,4327.0,71336085319,13026912,3079,4466.0,4243.0
54,2019-04-16,4112.0,4204.0,4112.0,4118.0,17523693872,3362748,509,4327.0,4112.0
55,2019-04-17,3913.0,3913.0,3913.0,3913.0,2475158381,499931,184,4118.0,3913.0
56,2019-04-20,3793.0,4108.0,3793.0,4007.0,37591684412,7412352,1760,3913.0,4108.0
57,2019-04-22,4207.0,4207.0,3872.0,4029.0,37395362412,7334677,1912,4007.0,3911.0
