,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-05-21,620.0,620.0,620.0,620.0,218400000000,52000000,376222,148.0,620.0
1,2019-05-22,651.0,651.0,651.0,651.0,419492430,95123,742,620.0,651.0
2,2019-05-25,684.0,684.0,684.0,684.0,809472160,174832,1332,651.0,684.0
3,2019-05-26,718.0,718.0,718.0,718.0,1329862658,273578,2110,684.0,718.0
4,2019-05-28,754.0,754.0,754.0,754.0,1470498128,288107,2194,718.0,754.0
5,2019-05-29,792.0,792.0,792.0,792.0,1907134125,355875,2688,754.0,792.0
6,2019-06-01,831.0,831.0,831.0,831.0,3404883330,605205,4574,792.0,831.0
7,2019-06-02,873.0,873.0,873.0,873.0,1798185312,304416,2304,831.0,873.0
8,2019-06-03,916.0,916.0,916.0,916.0,2553059502,411651,3088,873.0,916.0
9,2019-06-08,962.0,962.0,962.0,962.0,1184278832,181861,1338,916.0,962.0
10,2019-06-11,1010.0,1010.0,1010.0,1010.0,1045575573,152929,1127,962.0,1010.0
11,2019-06-12,1060.0,1060.0,1060.0,1060.0,5133547684,715178,5373,1010.0,1060.0
12,2019-06-15,1113.0,1113.0,1113.0,1113.0,17992004064,2387474,6695,1060.0,1113.0
13,2019-06-16,1169.0,1284.0,1157.0,1200.0,383863813957,47238789,83164,1113.0,1256.0
14,2019-06-17,1260.0,1260.0,1182.0,1248.0,104696462180,12391363,58349,1200.0,1260.0
15,2019-06-18,1285.0,1311.0,1260.0,1304.0,88189927642,9993765,22167,1248.0,1311.0
16,2019-06-19,1356.0,1369.0,1322.0,1361.0,29004355224,3148310,9168,1304.0,1369.0
17,2019-06-22,1429.0,1429.0,1429.0,1429.0,18147021977,1876049,4557,1361.0,1429.0
18,2019-06-23,1500.0,1500.0,1456.0,1498.0,91653132312,9039786,11495,1429.0,1500.0
19,2019-06-24,1536.0,1550.0,1423.0,1459.0,204920492406,20742665,39894,1498.0,1423.0
20,2019-06-25,1387.0,1387.0,1387.0,1387.0,6431155796,685186,807,1459.0,1387.0
21,2019-06-26,1317.0,1317.0,1317.0,1317.0,5900797999,661747,674,1387.0,1317.0
22,2019-06-30,1252.0,1383.0,1252.0,1315.0,161948063122,18189707,30712,1317.0,1368.0
23,2019-07-01,1369.0,1381.0,1348.0,1378.0,51210273537,5491181,7585,1315.0,1381.0
24,2019-07-02,1396.0,1403.0,1330.0,1355.0,72960157851,7954579,13710,1378.0,1340.0
25,2019-07-03,1351.0,1355.0,1330.0,1336.0,39480928065,4364359,14478,1355.0,1341.0
26,2019-07-06,1333.0,1343.0,1271.0,1296.0,42163703400,4804418,5927,1336.0,1297.0
27,2019-07-07,1300.0,1335.0,1296.0,1306.0,30863643081,3490847,4174,1296.0,1307.0
28,2019-07-08,1331.0,1331.0,1292.0,1307.0,30664493728,3465350,4816,1306.0,1296.0
