,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-05-20,15647.0,15647.0,8157.0,9299.0,1692898539740,134999431,1278968,742.0,8157.0
1,2023-05-21,9759.0,9759.0,9759.0,9759.0,15827360920,1202687,2176,9299.0,9759.0
2,2023-05-22,10241.0,10241.0,10241.0,10241.0,43335517610,3137981,2314,9759.0,10241.0
3,2023-05-23,10753.0,10753.0,10753.0,10753.0,45416668000,3132184,1910,10241.0,10753.0
4,2023-05-24,11287.0,11287.0,11287.0,11287.0,48438502320,3182556,2925,10753.0,11287.0
5,2023-05-27,11850.0,11850.0,11850.0,11850.0,57104561960,3573502,8771,11287.0,11850.0
6,2023-05-28,12436.0,12436.0,12436.0,12436.0,55794947130,3327069,5038,11850.0,12436.0
7,2023-05-29,13052.0,13052.0,13052.0,13052.0,63585596800,3612818,9056,12436.0,13052.0
8,2023-05-30,13704.0,13704.0,13704.0,13704.0,64520369760,3491362,6595,13052.0,13704.0
9,2023-05-31,14386.0,14386.0,14386.0,14386.0,22335976600,1151339,2228,13704.0,14386.0
10,2023-06-06,15106.0,15106.0,15106.0,15106.0,87687411210,4304733,14813,14386.0,15106.0
11,2023-06-07,15855.0,15855.0,15855.0,15855.0,107760545000,5040250,25309,15106.0,15855.0
12,2023-06-10,16611.0,16611.0,16611.0,16611.0,312204793600,13937714,52132,15855.0,16611.0
13,2023-06-11,17427.0,17427.0,17427.0,17427.0,339742132000,14457112,70339,16611.0,17427.0
14,2023-06-18,18280.0,18280.0,18094.0,18280.0,1658468929350,67303132,139151,17427.0,18280.0
15,2023-06-19,18317.0,18502.0,17390.0,17872.0,443195037500,18391427,19478,18280.0,17390.0
16,2023-06-20,16982.0,16982.0,16982.0,16982.0,75215072900,3284501,1408,17872.0,16982.0
17,2023-06-21,16166.0,16834.0,16166.0,16352.0,1171454905950,53094847,214827,16982.0,16760.0
18,2023-06-24,16685.0,16908.0,15536.0,15944.0,835969646650,38838472,151629,16352.0,15573.0
19,2023-06-25,15758.0,15833.0,15165.0,15239.0,487503171700,23701712,69479,15944.0,15165.0
20,2023-06-26,14869.0,15721.0,14831.0,15313.0,250561433650,12139653,52050,15239.0,15128.0
21,2023-06-27,15276.0,15276.0,14572.0,14683.0,292322540450,14778986,23024,15313.0,14572.0
22,2023-06-28,14349.0,14572.0,13979.0,14201.0,228735076250,11936530,19270,14683.0,14349.0
23,2023-07-01,14572.0,14572.0,13979.0,14275.0,188701078760,9805189,15184,14201.0,14164.0
24,2023-07-04,14600.0,14885.0,14322.0,14708.0,110853027340,5820479,8498,14275.0,14885.0
25,2023-07-05,14986.0,15387.0,14785.0,15101.0,175807711670,8989023,15143,14708.0,15148.0
26,2023-07-08,15132.0,15557.0,14916.0,15225.0,135096534530,6849312,12831,15101.0,15055.0
27,2023-07-09,15047.0,15248.0,14515.0,14854.0,100828824690,5239707,10179,15225.0,14823.0
28,2023-07-10,14522.0,14916.0,14113.0,14476.0,189168858500,10090287,10257,14854.0,14870.0
29,2023-07-11,15016.0,15194.0,14885.0,15186.0,296996492770,15098216,8977,14476.0,15194.0
30,2023-07-12,15209.0,15426.0,14430.0,14684.0,120198922610,6319508,7648,15186.0,14553.0
31,2023-07-15,14677.0,14839.0,14075.0,14376.0,82718456770,4441821,6833,14684.0,14098.0
32,2023-07-16,14098.0,14167.0,13658.0,13688.0,89578433770,5052419,3427,14376.0,13658.0
33,2023-07-17,13148.0,13434.0,13009.0,13025.0,97440088110,5776151,5725,13688.0,13017.0
34,2023-07-18,13264.0,13480.0,13071.0,13264.0,76531770040,4453763,5451,13025.0,13357.0
35,2023-07-19,13511.0,13696.0,12762.0,13279.0,87508650340,5087079,10934,13264.0,12855.0
36,2023-07-22,12677.0,12970.0,12615.0,12638.0,117898389000,7204041,4881,13279.0,12615.0
37,2023-07-23,12662.0,12870.0,12252.0,12747.0,55010366780,3332598,3798,12638.0,12685.0
38,2023-07-24,12855.0,13133.0,12507.0,12909.0,37303948790,2231219,3316,12747.0,12916.0
39,2023-07-25,13109.0,13550.0,12916.0,13488.0,146566979430,8389803,4623,12909.0,13364.0
40,2023-07-26,13372.0,13704.0,12970.0,13380.0,36837954130,2125996,2727,13488.0,13526.0
41,2023-07-29,13357.0,14036.0,13357.0,13797.0,68511660420,3833093,3634,13380.0,13773.0
42,2023-07-30,13534.0,13851.0,13364.0,13526.0,86285722890,4924758,3627,13797.0,13511.0
43,2023-07-31,13287.0,13951.0,13279.0,13665.0,48437006460,2736595,3356,13526.0,13611.0
44,2023-08-01,13364.0,13951.0,13364.0,13712.0,37669768060,2121526,3542,13665.0,13580.0
45,2023-08-05,13704.0,14113.0,13580.0,13936.0,59544958730,3299410,3588,13712.0,14051.0
46,2023-08-06,13943.0,14036.0,13773.0,13889.0,35353776500,1964646,3143,13936.0,13827.0
