,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-03-18,1328.0,1328.0,1328.0,1328.0,159998560000,39999640,333486,332.0,1328.0
1,2019-03-19,1394.0,1394.0,1394.0,1394.0,687804600,163763,1393,1328.0,1394.0
2,2019-03-25,1464.0,1464.0,1464.0,1464.0,1390195170,315237,2673,1394.0,1464.0
3,2019-03-26,1537.0,1537.0,1537.0,1537.0,2504144760,540852,4574,1464.0,1537.0
4,2019-03-27,1613.0,1613.0,1613.0,1613.0,6446818613,1326233,11261,1537.0,1613.0
5,2019-03-30,1694.0,1694.0,1694.0,1694.0,6132231424,1201456,10159,1613.0,1694.0
6,2019-03-31,1779.0,1779.0,1779.0,1779.0,3461571024,645936,5486,1694.0,1779.0
7,2019-04-06,1867.0,1867.0,1867.0,1867.0,4383661054,779179,6610,1779.0,1867.0
8,2019-04-07,1961.0,1961.0,1961.0,1961.0,3232233609,547187,4651,1867.0,1961.0
9,2019-04-08,2059.0,2059.0,2059.0,2059.0,2967911282,478541,3261,1961.0,2059.0
10,2019-04-10,2162.0,2269.0,2162.0,2251.0,5999068123,884654,7082,2059.0,2269.0
11,2019-04-13,2363.0,2363.0,2363.0,2363.0,22079974400,3101120,23060,2251.0,2363.0
12,2019-04-14,2481.0,2481.0,2481.0,2481.0,75411929628,10087203,65938,2363.0,2481.0
13,2019-04-27,3302.0,3465.0,3136.0,3229.0,75382765175,7801489,7142,2481.0,3136.0
14,2019-04-28,3068.0,3068.0,3068.0,3068.0,6823411380,743291,1032,3229.0,3068.0
15,2019-04-29,3025.0,3221.0,2914.0,3129.0,183627301553,19609358,81053,3068.0,3221.0
16,2019-04-30,3285.0,3285.0,2976.0,3208.0,93313351784,9721582,18340,3129.0,3206.0
17,2019-05-01,3225.0,3265.0,3091.0,3170.0,44799874477,4722127,11864,3208.0,3141.0
18,2019-05-04,3144.0,3226.0,3115.0,3139.0,56082962718,5969658,10770,3170.0,3121.0
19,2019-05-05,3141.0,3191.0,3057.0,3130.0,36851613047,3934627,7310,3139.0,3107.0
20,2019-05-06,3104.0,3104.0,2973.0,2993.0,29107325554,3249162,5249,3130.0,2973.0
21,2019-05-07,2937.0,2941.0,2844.0,2856.0,9712026729,1136319,1701,2993.0,2844.0
22,2019-05-08,2713.0,2970.0,2713.0,2831.0,21731345836,2564742,5273,2856.0,2884.0
23,2019-05-11,2844.0,2973.0,2844.0,2955.0,26260790679,2969981,3830,2831.0,2957.0
24,2019-05-12,2957.0,2999.0,2813.0,2877.0,13315234163,1546439,2852,2955.0,2891.0
25,2019-05-13,2891.0,3021.0,2844.0,3002.0,27459272825,3056538,2964,2877.0,3021.0
26,2019-05-14,3074.0,3108.0,3031.0,3064.0,22281297006,2430156,2782,3002.0,3038.0
27,2019-05-15,3044.0,3044.0,2952.0,2994.0,11614373449,1296387,2031,3064.0,2987.0
28,2019-05-18,2986.0,3041.0,2924.0,2966.0,13572642399,1529153,2511,2994.0,2939.0
29,2019-05-19,2924.0,2966.0,2851.0,2891.0,11955694924,1381968,2489,2966.0,2881.0
30,2019-05-20,2874.0,2877.0,2746.0,2768.0,14490555829,1749712,2340,2891.0,2765.0
31,2019-05-21,2740.0,2906.0,2740.0,2895.0,14136614901,1631782,2987,2768.0,2906.0
32,2019-05-22,3007.0,3009.0,2924.0,2963.0,9265691424,1044794,1527,2895.0,2941.0
33,2019-05-25,2964.0,3003.0,2857.0,2944.0,6172403420,700611,1325,2963.0,2907.0
34,2019-05-26,2891.0,3091.0,2891.0,3048.0,32385399067,3550613,3985,2944.0,3091.0
35,2019-05-28,3125.0,3164.0,3059.0,3109.0,21911717720,2354706,1959,3048.0,3141.0
36,2019-05-29,3094.0,3141.0,2967.0,3045.0,10964696408,1203495,1276,3109.0,3021.0
37,2019-06-01,3021.0,3091.0,2974.0,3038.0,11781935486,1296040,1366,3045.0,3074.0
38,2019-06-02,3119.0,3190.0,3041.0,3172.0,28611467290,3013990,2294,3038.0,3190.0
39,2019-06-03,3193.0,3265.0,3141.0,3201.0,12627113558,1318126,1322,3172.0,3181.0
40,2019-06-08,3221.0,3225.0,3108.0,3168.0,10951477911,1155125,1039,3201.0,3192.0
41,2019-06-09,3208.0,3225.0,3142.0,3182.0,20221613579,2123361,1267,3168.0,3201.0
42,2019-06-10,3191.0,3341.0,3158.0,3310.0,23994836321,2422593,1308,3182.0,3341.0
43,2019-06-11,3469.0,3475.0,3342.0,3464.0,38157392708,3681410,1645,3310.0,3475.0
44,2019-06-12,3637.0,3637.0,3409.0,3575.0,31421144842,2936959,1643,3464.0,3447.0
45,2019-06-15,3399.0,3743.0,3397.0,3533.0,25245818444,2387720,1666,3575.0,3668.0
46,2019-06-16,3708.0,3710.0,3515.0,3675.0,27933324239,2539978,1660,3533.0,3608.0
47,2019-06-17,3492.0,3575.0,3491.0,3493.0,18995563486,1817094,2326,3675.0,3491.0
48,2019-06-18,3491.0,3491.0,3319.0,3348.0,12777314823,1275259,1277,3493.0,3319.0
49,2019-06-19,3241.0,3318.0,3181.0,3196.0,12113247083,1266742,830,3348.0,3181.0
50,2019-06-22,3045.0,3154.0,3036.0,3043.0,14278149983,1568141,1137,3196.0,3048.0
51,2019-06-23,3037.0,3195.0,2941.0,3175.0,13556793432,1426792,1393,3043.0,3195.0
52,2019-06-24,3334.0,3334.0,3225.0,3304.0,19803671497,2003093,1317,3175.0,3328.0
53,2019-06-25,3350.0,3350.0,3175.0,3230.0,9478637512,980766,1142,3304.0,3205.0
54,2019-06-26,3208.0,3308.0,3139.0,3191.0,10905820285,1142123,1063,3230.0,3148.0
55,2019-06-30,3223.0,3341.0,3139.0,3243.0,13350791472,1375824,1268,3191.0,3226.0
56,2019-07-01,3241.0,3325.0,3143.0,3204.0,9727293867,1014430,874,3243.0,3207.0
57,2019-07-02,3191.0,3228.0,3141.0,3178.0,12326221713,1296056,1339,3204.0,3186.0
58,2019-07-03,3186.0,3234.0,3108.0,3154.0,9933735702,1052479,1449,3178.0,3152.0
59,2019-07-06,3208.0,3311.0,3181.0,3305.0,42749982178,4321916,1881,3154.0,3311.0
60,2019-07-07,3375.0,3438.0,3196.0,3333.0,13665811166,1370264,1242,3305.0,3280.0
61,2019-07-08,3341.0,3341.0,3171.0,3237.0,16579925116,1711791,1363,3333.0,3235.0
62,2019-07-09,3207.0,3245.0,3141.0,3181.0,9565349796,1004752,1357,3237.0,3179.0
63,2019-07-10,3108.0,3305.0,3108.0,3181.0,15757009286,1655541,1839,3181.0,3181.0
64,2019-07-13,3125.0,3308.0,3125.0,3218.0,14422760002,1497784,2380,3181.0,3271.0
65,2019-07-14,3281.0,3341.0,3242.0,3289.0,13047224941,1325709,1158,3218.0,3315.0
66,2019-07-15,3341.0,3341.0,3178.0,3257.0,7606999971,780478,740,3289.0,3221.0
67,2019-07-16,3170.0,3225.0,3094.0,3119.0,5435750083,582312,507,3257.0,3094.0
68,2019-07-17,2965.0,3221.0,2964.0,3095.0,10361254641,1118525,1045,3119.0,3108.0
69,2019-07-20,3175.0,3175.0,3058.0,3108.0,6383147077,686350,923,3095.0,3121.0
70,2019-07-21,3108.0,3241.0,3058.0,3175.0,8039349629,846162,819,3108.0,3201.0
71,2019-07-22,3328.0,3334.0,3193.0,3330.0,46009254435,4617400,1662,3175.0,3334.0
72,2019-07-23,3342.0,3375.0,3165.0,3285.0,10530699501,1071281,975,3330.0,3291.0
73,2019-07-24,3395.0,3395.0,3208.0,3292.0,13035268248,1323236,838,3285.0,3270.0
74,2019-07-27,3303.0,3303.0,3175.0,3202.0,9304858893,970985,780,3292.0,3251.0
75,2019-07-28,3271.0,3275.0,3139.0,3168.0,8324130960,878090,752,3202.0,3157.0
76,2019-07-29,3141.0,3271.0,3141.0,3195.0,5790625069,605742,599,3168.0,3208.0
77,2019-07-30,3143.0,3258.0,3143.0,3219.0,5132416924,532846,533,3195.0,3175.0
78,2019-07-31,3161.0,3241.0,3148.0,3160.0,9402347601,994349,676,3219.0,3166.0
79,2019-08-03,3160.0,3205.0,3111.0,3145.0,8499131610,903049,765,3160.0,3175.0
80,2019-08-04,3175.0,3271.0,3144.0,3221.0,9507526491,986393,794,3145.0,3256.0
81,2019-08-05,3275.0,3341.0,3228.0,3275.0,11319510561,1154937,899,3221.0,3238.0
82,2019-08-06,3278.0,3278.0,3111.0,3184.0,17387959843,1825192,979,3275.0,3221.0
83,2019-08-07,3195.0,3343.0,3195.0,3324.0,23203884597,2332543,1421,3184.0,3343.0
84,2019-08-10,3490.0,3490.0,3416.0,3490.0,33015933174,3161109,1457,3324.0,3490.0
85,2019-08-11,3542.0,3609.0,3392.0,3522.0,25624512359,2430943,1695,3490.0,3591.0
86,2019-08-13,3527.0,3626.0,3442.0,3511.0,16454513959,1566071,1003,3522.0,3492.0
87,2019-08-14,3539.0,3686.0,3539.0,3669.0,34018717031,3098232,1386,3511.0,3686.0
88,2019-08-17,3853.0,3853.0,3726.0,3827.0,27799530950,2427410,1124,3669.0,3853.0
