,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-01-25,32.0,32.0,32.0,32.0,2893305800,826504,49,0.0,32.0
1,2003-01-26,32.0,32.0,32.0,32.0,607923928,173496,18,32.0,32.0
2,2003-01-29,32.0,32.0,32.0,32.0,57272730,16276,8,32.0,32.0
3,2003-02-02,32.0,32.0,32.0,32.0,15820000,4500,2,32.0,32.0
4,2003-02-04,33.0,33.0,33.0,33.0,91060500,25500,4,32.0,33.0
5,2003-02-10,32.0,32.0,32.0,32.0,8750000,2500,1,33.0,32.0
6,2003-02-16,32.0,32.0,32.0,32.0,217000,62,2,32.0,32.0
7,2003-02-23,32.0,32.0,32.0,32.0,75829000,21666,4,32.0,32.0
8,2003-02-24,32.0,32.0,32.0,32.0,17500000,5000,1,32.0,32.0
9,2003-04-14,32.0,32.0,32.0,32.0,3471000,1000,1,32.0,32.0
10,2003-04-19,32.0,32.0,32.0,32.0,38028798,10938,4,32.0,32.0
11,2003-04-20,33.0,33.0,33.0,33.0,18000000,5000,1,32.0,33.0
12,2003-04-26,34.0,34.0,34.0,34.0,10950000,3000,1,33.0,34.0
13,2003-06-24,33.0,33.0,33.0,33.0,7200000,2000,1,34.0,33.0
14,2003-07-05,32.0,32.0,32.0,32.0,17500000,5000,1,33.0,32.0
15,2003-09-08,33.0,33.0,33.0,33.0,5400000,1500,1,32.0,33.0
16,2003-09-09,33.0,33.0,33.0,33.0,3609990,1000,2,33.0,33.0
17,2003-09-13,33.0,33.0,33.0,33.0,397000,110,2,33.0,33.0
18,2003-09-22,33.0,33.0,33.0,33.0,3600000,1000,1,33.0,33.0
19,2004-01-24,33.0,33.0,33.0,33.0,14079000,3900,1,33.0,33.0
20,2004-02-18,32.0,32.0,32.0,32.0,17184730,5010,2,33.0,32.0
21,2004-03-09,33.0,33.0,33.0,33.0,18065730,5010,2,32.0,33.0
22,2004-03-10,34.0,34.0,34.0,34.0,18792070,5010,2,33.0,34.0
23,2004-03-13,36.0,36.0,35.0,35.0,19498470,5010,2,34.0,35.0
24,2004-05-29,46.0,46.0,46.0,46.0,20000000,4000,2,35.0,46.0
25,2004-05-30,44.0,46.0,44.0,45.0,49049000,10010,3,46.0,45.0
