,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2012-11-19,188.0,188.0,188.0,188.0,9437711400,4839852,841,97.0,188.0
1,2012-11-20,198.0,198.0,198.0,198.0,360423478,176074,52,188.0,198.0
2,2012-11-21,208.0,208.0,208.0,208.0,3354589,1561,6,198.0,208.0
3,2012-11-26,218.0,218.0,218.0,218.0,229344960,101660,41,208.0,218.0
4,2012-11-27,229.0,229.0,229.0,229.0,38127168,16101,30,218.0,229.0
5,2012-11-28,240.0,240.0,240.0,240.0,373573706,150271,74,229.0,240.0
6,2012-12-01,252.0,252.0,252.0,252.0,206260470,79027,62,240.0,252.0
7,2012-12-02,265.0,265.0,265.0,265.0,207878320,75868,88,252.0,265.0
8,2012-12-03,278.0,278.0,278.0,278.0,476028420,165460,126,265.0,278.0
9,2012-12-04,292.0,292.0,292.0,292.0,1234751160,408858,218,278.0,292.0
10,2012-12-05,306.0,306.0,306.0,306.0,3312480507,1044617,897,292.0,306.0
11,2012-12-08,322.0,322.0,322.0,322.0,642829900,193100,117,306.0,322.0
12,2012-12-09,338.0,338.0,338.0,338.0,460497705,131759,76,322.0,338.0
13,2012-12-10,354.0,354.0,354.0,354.0,1329663945,362405,120,338.0,354.0
14,2012-12-11,372.0,372.0,372.0,372.0,5695228224,1478512,763,354.0,372.0
15,2012-12-12,372.0,385.0,353.0,369.0,26949021036,7051520,5092,372.0,354.0
16,2012-12-15,353.0,362.0,351.0,352.0,6961476225,1908256,1130,369.0,352.0
17,2012-12-16,351.0,370.0,341.0,368.0,7271843646,1908604,703,352.0,370.0
18,2012-12-17,386.0,386.0,377.0,386.0,12159342321,3043517,1145,368.0,386.0
19,2012-12-18,401.0,401.0,377.0,388.0,5260915347,1308949,604,386.0,377.0
20,2012-12-19,372.0,401.0,372.0,386.0,5276219080,1320173,539,388.0,384.0
21,2012-12-22,390.0,390.0,374.0,380.0,1950512875,495947,253,386.0,377.0
22,2012-12-23,378.0,393.0,372.0,384.0,4176538823,1051578,462,380.0,377.0
23,2012-12-24,384.0,392.0,379.0,383.0,3614548311,910994,738,384.0,381.0
24,2012-12-25,386.0,386.0,364.0,372.0,2835200297,736825,438,383.0,364.0
25,2012-12-26,357.0,377.0,353.0,357.0,3888918773,1052087,518,372.0,354.0
26,2012-12-29,362.0,362.0,340.0,343.0,2472057698,696692,423,357.0,340.0
27,2012-12-30,330.0,345.0,326.0,332.0,1680616918,488813,248,343.0,339.0
28,2012-12-31,346.0,349.0,346.0,348.0,364339595,101165,48,332.0,349.0
29,2013-01-01,365.0,365.0,359.0,365.0,4119662928,1091396,439,348.0,365.0
30,2013-01-02,372.0,372.0,351.0,360.0,856855854,229962,138,365.0,365.0
31,2013-01-06,364.0,364.0,342.0,342.0,1502626139,423737,202,360.0,342.0
32,2013-01-07,333.0,352.0,333.0,347.0,627619430,174851,104,342.0,348.0
33,2013-01-08,348.0,357.0,343.0,349.0,691807442,191616,101,347.0,352.0
34,2013-01-09,356.0,366.0,348.0,362.0,1666674983,444375,202,349.0,364.0
35,2013-01-13,366.0,375.0,357.0,370.0,1298758697,339027,147,362.0,364.0
36,2013-01-14,372.0,372.0,352.0,356.0,1069807225,290334,164,370.0,352.0
37,2013-01-15,353.0,357.0,344.0,349.0,487499471,134873,79,356.0,344.0
38,2013-01-16,352.0,352.0,344.0,347.0,626981810,174457,90,349.0,346.0
39,2013-01-19,348.0,348.0,330.0,335.0,803699138,231824,116,347.0,331.0
40,2013-01-20,333.0,341.0,333.0,337.0,806644654,231380,174,335.0,336.0
41,2013-01-21,335.0,335.0,320.0,323.0,1020921681,305552,144,337.0,320.0
42,2013-01-22,308.0,321.0,307.0,308.0,550507416,172793,115,323.0,307.0
43,2013-01-23,308.0,323.0,308.0,322.0,437491968,131127,52,308.0,323.0
44,2013-01-26,337.0,337.0,319.0,329.0,802482693,235433,86,322.0,327.0
45,2013-01-27,314.0,327.0,313.0,322.0,1325515868,397264,130,329.0,324.0
46,2013-01-28,324.0,333.0,315.0,326.0,297872990,88200,59,322.0,333.0
47,2013-01-30,319.0,326.0,316.0,321.0,621232120,186942,82,326.0,321.0
48,2013-02-02,327.0,337.0,327.0,337.0,1100417505,315520,112,321.0,337.0
49,2013-02-03,343.0,343.0,320.0,327.0,1010305795,297986,130,337.0,337.0
50,2013-02-04,328.0,328.0,313.0,315.0,293262688,89982,64,327.0,313.0
51,2013-02-05,319.0,326.0,315.0,321.0,279032441,84017,38,315.0,326.0
52,2013-02-06,319.0,330.0,319.0,327.0,571925626,168786,71,321.0,328.0
53,2013-02-09,336.0,340.0,318.0,332.0,283633086,82412,46,327.0,333.0
54,2013-02-11,324.0,335.0,321.0,328.0,316604969,93313,42,332.0,328.0
55,2013-02-12,328.0,333.0,320.0,325.0,704800670,209530,93,328.0,322.0
56,2013-02-13,312.0,322.0,312.0,318.0,609058904,184867,93,325.0,319.0
57,2013-02-16,319.0,328.0,312.0,319.0,197511406,59795,50,318.0,318.0
58,2013-02-17,319.0,321.0,314.0,316.0,609463414,186465,81,319.0,318.0
59,2013-02-18,309.0,319.0,309.0,315.0,91319925,27965,30,316.0,315.0
60,2013-02-19,319.0,331.0,319.0,330.0,1882625034,551548,203,315.0,327.0
61,2013-02-20,314.0,325.0,313.0,315.0,1583979766,485493,300,330.0,313.0
62,2013-02-23,325.0,325.0,304.0,306.0,322688209,101777,71,315.0,304.0
63,2013-02-24,316.0,316.0,291.0,293.0,761092214,250886,130,306.0,291.0
64,2013-02-25,281.0,293.0,278.0,281.0,696023239,239329,109,293.0,288.0
65,2013-02-26,295.0,295.0,295.0,295.0,477376239,156363,64,281.0,295.0
66,2013-02-27,299.0,300.0,281.0,290.0,674668469,224415,106,295.0,281.0
67,2013-03-02,278.0,280.0,276.0,276.0,526337084,183979,95,290.0,276.0
68,2013-03-03,268.0,284.0,268.0,278.0,328242266,114052,50,276.0,284.0
69,2013-03-04,269.0,280.0,269.0,276.0,162426252,56813,49,278.0,279.0
70,2013-03-05,284.0,284.0,267.0,270.0,39209700,14010,12,276.0,271.0
71,2013-03-06,280.0,280.0,257.0,260.0,333955313,124027,61,270.0,261.0
72,2013-03-09,268.0,268.0,249.0,252.0,173438124,66424,55,260.0,253.0
73,2013-03-10,240.0,261.0,240.0,254.0,327591076,124605,47,252.0,247.0
74,2013-03-11,259.0,259.0,244.0,248.0,285005524,110826,42,254.0,244.0
75,2013-03-12,243.0,251.0,240.0,244.0,266423811,105336,45,248.0,248.0
76,2013-03-13,254.0,256.0,254.0,256.0,386379941,145620,85,244.0,256.0
77,2013-03-16,261.0,268.0,246.0,260.0,495884089,184420,69,256.0,250.0
78,2013-03-17,261.0,261.0,247.0,248.0,59104651,22974,26,260.0,249.0
79,2013-03-18,248.0,261.0,248.0,256.0,104717681,39564,31,248.0,261.0
80,2013-03-25,261.0,268.0,261.0,265.0,42407175,15425,12,256.0,268.0
81,2013-03-26,269.0,279.0,269.0,278.0,746890583,259062,107,265.0,279.0
82,2013-03-27,292.0,292.0,273.0,280.0,623894490,214859,96,278.0,273.0
83,2013-03-30,280.0,280.0,266.0,270.0,150662430,53860,30,280.0,277.0
84,2013-03-31,262.0,279.0,262.0,276.0,83791740,29370,30,270.0,273.0
85,2013-04-03,271.0,276.0,270.0,271.0,80388061,28659,27,276.0,270.0
86,2013-04-06,274.0,278.0,259.0,271.0,92656190,33044,27,271.0,262.0
87,2013-04-07,266.0,275.0,263.0,264.0,84448387,30934,31,271.0,263.0
88,2013-04-08,256.0,262.0,252.0,257.0,249221020,93724,60,264.0,254.0
89,2013-04-09,261.0,268.0,261.0,263.0,70068370,25770,25,257.0,265.0
90,2013-04-10,276.0,276.0,261.0,270.0,453443656,162153,75,263.0,267.0
91,2013-05-04,321.0,376.0,321.0,355.0,2333078353,773359,332,270.0,367.0
92,2013-05-05,372.0,372.0,337.0,341.0,1518556239,523800,189,355.0,337.0
93,2013-05-06,329.0,333.0,324.0,326.0,797707373,287712,107,341.0,324.0
