,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2016-09-21,94.0,94.0,94.0,94.0,49997000000,19998800,25195,38.0,94.0
1,2016-09-24,99.0,99.0,99.0,99.0,31830750,12126,37,94.0,99.0
2,2016-09-25,104.0,104.0,104.0,104.0,57247632,20772,58,99.0,104.0
3,2016-09-26,109.0,109.0,109.0,109.0,48072981,16617,46,104.0,109.0
4,2016-09-27,114.0,114.0,114.0,114.0,161677732,53236,124,109.0,114.0
5,2016-09-28,120.0,120.0,120.0,120.0,316995592,99434,251,114.0,120.0
6,2016-10-01,126.0,126.0,126.0,126.0,658003465,196595,450,120.0,126.0
7,2016-10-02,132.0,132.0,132.0,132.0,551107648,156832,387,126.0,132.0
8,2016-10-03,139.0,139.0,139.0,139.0,1259077834,341306,793,132.0,139.0
9,2016-10-04,145.0,145.0,145.0,145.0,45968752542,11869414,19963,139.0,145.0
10,2016-10-05,143.0,145.0,138.0,140.0,19897223582,5356292,7835,145.0,138.0
11,2016-10-08,135.0,139.0,134.0,136.0,15992796221,4411958,4606,140.0,135.0
12,2016-10-09,133.0,140.0,133.0,138.0,5163167002,1407185,1444,136.0,138.0
13,2016-10-10,136.0,142.0,136.0,139.0,5081644929,1369023,988,138.0,138.0
14,2016-10-15,137.0,140.0,134.0,136.0,4037171558,1111541,840,139.0,134.0
15,2016-10-16,133.0,135.0,131.0,132.0,3510617986,996640,800,136.0,131.0
16,2016-10-17,131.0,135.0,128.0,131.0,2994659325,859780,790,132.0,129.0
17,2016-10-18,129.0,131.0,126.0,128.0,3866090154,1137264,734,131.0,126.0
18,2016-10-19,125.0,134.0,125.0,132.0,7433108600,2109617,1172,128.0,134.0
19,2016-10-22,132.0,136.0,128.0,133.0,4105304332,1158207,601,132.0,130.0
20,2016-10-23,129.0,135.0,127.0,129.0,5342957438,1556255,662,133.0,127.0
21,2016-10-24,128.0,131.0,128.0,129.0,2234923271,649024,407,129.0,130.0
22,2016-10-25,131.0,131.0,129.0,130.0,1822939824,526213,355,129.0,131.0
23,2016-10-26,132.0,137.0,130.0,135.0,6483044890,1797136,867,130.0,137.0
24,2016-10-29,138.0,142.0,137.0,142.0,12798693852,3390039,1234,135.0,140.0
25,2016-10-30,140.0,143.0,137.0,141.0,5248721133,1402779,649,142.0,139.0
26,2016-10-31,140.0,144.0,140.0,142.0,4126447868,1090360,499,141.0,141.0
27,2016-11-01,142.0,142.0,135.0,138.0,1360270413,370505,262,142.0,136.0
28,2016-11-02,135.0,139.0,133.0,135.0,1398556699,390461,212,138.0,134.0
29,2016-11-05,135.0,136.0,131.0,133.0,1085530050,305529,186,135.0,133.0
30,2016-11-06,131.0,139.0,131.0,137.0,2389215544,656605,322,133.0,137.0
31,2016-11-07,137.0,141.0,137.0,139.0,892177112,240229,201,137.0,140.0
32,2016-11-08,139.0,141.0,134.0,136.0,1462526687,405265,223,139.0,136.0
33,2016-11-09,129.0,131.0,129.0,129.0,3524493135,1026855,402,136.0,131.0
34,2016-11-12,134.0,134.0,128.0,130.0,1606978267,465048,195,129.0,130.0
35,2016-11-13,131.0,131.0,127.0,129.0,2399485874,700844,290,130.0,129.0
36,2016-11-14,131.0,135.0,130.0,134.0,3609511091,1008196,394,129.0,135.0
37,2016-11-15,136.0,141.0,135.0,140.0,9286297913,2484531,900,134.0,141.0
38,2016-11-16,145.0,147.0,142.0,147.0,8380999040,2143197,712,140.0,147.0
39,2016-11-19,154.0,154.0,154.0,154.0,1738110860,423310,124,147.0,154.0
40,2016-11-21,156.0,160.0,150.0,154.0,15790935075,3850501,1302,154.0,153.0
41,2016-11-22,154.0,162.0,154.0,160.0,17956028019,4216579,1408,154.0,157.0
42,2016-11-23,160.0,165.0,154.0,161.0,4193234116,979135,401,160.0,161.0
43,2016-11-26,158.0,161.0,153.0,156.0,4546047154,1092810,441,161.0,154.0
44,2016-11-27,152.0,159.0,150.0,154.0,5557246062,1351123,470,156.0,153.0
45,2016-11-29,154.0,154.0,148.0,150.0,6694112614,1681718,600,154.0,152.0
46,2016-12-03,150.0,150.0,142.0,144.0,4660772936,1214712,396,150.0,146.0
47,2016-12-04,145.0,151.0,145.0,150.0,2083213321,523242,248,144.0,149.0
48,2016-12-05,150.0,154.0,146.0,151.0,2095243958,519825,251,150.0,150.0
49,2016-12-06,151.0,154.0,146.0,149.0,1814430923,455893,219,151.0,148.0
50,2016-12-07,149.0,149.0,142.0,144.0,5020254152,1312398,515,149.0,144.0
51,2016-12-10,145.0,146.0,140.0,142.0,1179253270,311454,167,144.0,143.0
52,2016-12-11,142.0,145.0,139.0,144.0,2330894769,609130,236,142.0,145.0
53,2016-12-12,146.0,148.0,140.0,144.0,2702771719,707345,275,144.0,142.0
54,2016-12-13,141.0,146.0,139.0,140.0,956409885,256051,131,144.0,142.0
55,2016-12-14,143.0,143.0,139.0,140.0,1566814180,418963,190,140.0,140.0
56,2016-12-18,143.0,143.0,137.0,138.0,1440584383,390811,174,140.0,137.0
57,2016-12-19,138.0,141.0,132.0,135.0,2268747892,632233,269,138.0,133.0
58,2016-12-20,131.0,135.0,131.0,132.0,1495979455,425198,204,135.0,132.0
59,2016-12-21,132.0,137.0,131.0,133.0,1108854866,313238,139,132.0,133.0
60,2016-12-24,136.0,140.0,132.0,138.0,4034312602,1100930,420,133.0,139.0
61,2016-12-25,136.0,142.0,136.0,138.0,963886581,262842,184,138.0,138.0
62,2016-12-26,140.0,140.0,134.0,136.0,655058508,181466,102,138.0,135.0
63,2016-12-27,139.0,139.0,133.0,135.0,894003233,249350,144,136.0,135.0
64,2016-12-28,135.0,137.0,133.0,135.0,459275219,128111,84,135.0,134.0
65,2016-12-31,132.0,137.0,131.0,132.0,1854480243,526453,248,135.0,133.0
66,2017-01-01,135.0,137.0,132.0,135.0,1196177987,331780,194,132.0,135.0
67,2017-01-02,138.0,138.0,134.0,135.0,914086128,253733,128,135.0,137.0
68,2017-01-03,135.0,138.0,133.0,135.0,929880974,258953,138,135.0,134.0
69,2017-01-04,135.0,135.0,132.0,133.0,697029235,197277,134,135.0,134.0
70,2017-01-07,135.0,136.0,132.0,133.0,350834717,99332,85,133.0,135.0
71,2017-01-08,135.0,135.0,128.0,131.0,1118347522,320098,226,133.0,131.0
72,2017-01-09,133.0,133.0,128.0,129.0,1691778642,494184,217,131.0,130.0
73,2017-01-11,131.0,134.0,127.0,132.0,1080870288,306896,203,129.0,131.0
74,2017-01-14,134.0,135.0,131.0,132.0,1226944841,348548,158,132.0,133.0
75,2017-01-15,135.0,139.0,132.0,138.0,4805371363,1305670,437,132.0,139.0
76,2017-01-16,141.0,144.0,136.0,140.0,2774132189,746388,323,138.0,141.0
77,2017-01-17,139.0,144.0,137.0,140.0,1511125445,405538,155,140.0,140.0
78,2017-01-18,137.0,140.0,134.0,137.0,1914087220,525760,213,140.0,138.0
79,2017-01-21,135.0,138.0,133.0,135.0,1173362050,326641,135,137.0,137.0
80,2017-01-22,137.0,137.0,134.0,135.0,853568313,237105,92,135.0,136.0
81,2017-01-23,137.0,142.0,134.0,140.0,5068087235,1358255,525,135.0,142.0
82,2017-01-24,147.0,147.0,147.0,147.0,1709903678,436534,121,140.0,147.0
83,2017-01-25,151.0,154.0,146.0,150.0,10181563905,2552622,899,147.0,148.0
84,2017-01-28,153.0,157.0,152.0,156.0,15447291971,3713114,802,150.0,157.0
85,2017-01-29,158.0,161.0,151.0,156.0,7177646598,1724472,588,156.0,153.0
86,2017-01-30,155.0,161.0,148.0,157.0,14836049190,3558613,891,156.0,156.0
87,2017-01-31,157.0,159.0,149.0,150.0,8228074392,2053784,547,157.0,149.0
88,2017-02-01,149.0,152.0,145.0,147.0,4506163716,1151641,289,150.0,147.0
89,2017-02-04,146.0,146.0,140.0,143.0,2305195541,606397,253,147.0,142.0
90,2017-02-05,140.0,144.0,139.0,140.0,2262945033,605624,299,143.0,140.0
91,2017-02-06,140.0,145.0,140.0,143.0,1974087115,519526,136,140.0,142.0
92,2017-02-07,146.0,146.0,140.0,142.0,1321878153,350768,157,143.0,140.0
93,2017-02-08,140.0,148.0,139.0,145.0,2189108650,568797,156,142.0,145.0
94,2017-02-11,146.0,151.0,143.0,148.0,2431658885,615801,169,145.0,148.0
95,2017-02-12,148.0,151.0,143.0,146.0,852227192,219291,103,148.0,143.0
96,2017-02-13,146.0,148.0,140.0,142.0,864987269,228592,118,146.0,141.0
97,2017-02-14,139.0,145.0,139.0,142.0,1183580918,313170,115,142.0,145.0
98,2017-02-15,145.0,146.0,141.0,143.0,2156107572,565404,167,142.0,142.0
